|character|text|type|character_clean|gender
0||"SCREAM
(SCARY MOVIE)
by Kevin Williamson
Rewrite
July 31, 1995"|unknown||
1||"FADE IN
ON A RINGING TELEPHONE.
A hand reaches for it, bringing the receiver up to the face of
CASEY BECKER, a young girl, no more than sixteen.  A friendly face
with innocent eyes."|stage direction||
2|CASEY|Hello.|speech|CASEY|F
3||(from phone)|location||
4|MAN'S VOICE|Hello.|speech|MAN'S VOICE|?
5||Silence.|stage direction||
6|CASEY|Yes.|speech|CASEY|F
7|MAN|Who is this?|speech|MAN|F
8|CASEY|Who are you trying to reach?|speech|CASEY|F
9|MAN|What number is this?|speech|MAN|F
10|CASEY|What number are you trying to reach?|speech|CASEY|F
11|MAN|I don't know.|speech|MAN|F
12|CASEY|I think you have the wrong number.|speech|CASEY|F
13|MAN|Do I?|speech|MAN|F
14|CASEY|It happens. Take it easy.|speech|CASEY|F
15||"CLICK! She hangs up the phone.  The CAMERA PULLS BACK to reveal
Casey in a living room, alone.  She moves from the living room to
the kitchen.  It's a nice house.  Affluent.
The phone RINGS again."|stage direction||
16||INT.  KITCHEN|location||
17||Casey grabs the portable.|stage direction||
18|CASEY|Hello.|speech|CASEY|F
19|MAN|I'm sorry. I guess I dialed the wrong number.|speech|MAN|F
20|CASEY|So why did you dial it again?|speech|CASEY|F
21|MAN|To apologize.|speech|MAN|F
22|CASEY|You're forgiven. Bye now.|speech|CASEY|F
23|MAN|Wait, wait, don't hang up.|speech|MAN|F
24||"Casey stands in front of a sliding glass door.  It's pitch black
outside."|stage direction||
25|CASEY|What?|speech|CASEY|F
26|MAN|I want to talk to you for a second.|speech|MAN|F
27|CASEY|They've got 900 numbers for that. Seeya.|speech|CASEY|F
28||CLICK!  Casey hangs up.  A grin on her face.|stage direction||
29||EXT.  CASEY'S HOUSE - NIGHT - ESTABLISHING|location||
30||"A big country home with a huge sprawling lawn full of big oak
trees.  It sits alone with no neighbors in sight.
The phone RINGS again."|stage direction||
31||INT.  KITCHEN|location||
32||"Popcorn sizzles in a pot on the stove.  Casey covers it with a
lid, reaching for the portable phone."|stage direction||
33|CASEY|Hello.|speech|CASEY|F
34|MAN|Why don't you want to talk to me?|speech|MAN|F
35|CASEY|Who is this?|speech|CASEY|F
36|MAN|You tell me your name, I'll tell you mine.|speech|MAN|F
37||(shaking the popcorn)|location||
38|CASEY|I don't think so.|speech|CASEY|F
39|MAN|What's that noise?|speech|MAN|F
40||Casey smiles, playing along, innocently.|stage direction||
41|CASEY|Popcorn.|speech|CASEY|F
42|MAN|You're making popcorn?|speech|MAN|F
43|CASEY|Uh-huh.|speech|CASEY|F
44|MAN|I only eat popcorn at the movies.|speech|MAN|F
45|CASEY|I'm getting ready to watch a video.|speech|CASEY|F
46|MAN|Really? What?|speech|MAN|F
47|CASEY|Just some scary movie.|speech|CASEY|F
48|MAN|Do you like scary movies?|speech|MAN|F
49|CASEY|Uh-huh.|speech|CASEY|F
50|MAN|What's your favorite scary movie?|speech|MAN|F
51||"He's flirting with her.  Casey moves away from the stove and takes
a seat at the kitchen counter, directly in front of the glass
door."|stage direction||
52|CASEY|I don't know.|speech|CASEY|F
53|MAN|You have to have a favorite.|speech|MAN|F
54||Casey thinks for second.|stage direction||
55|CASEY|"Uh...HALLOWEEN. You know, the one with the
guy with the white mask who just sorta walks around
and stalks the baby sitters. What's yours?"|speech|CASEY|F
56|MAN|Guess.|speech|MAN|F
57|CASEY|Uh...NIGHTMARE ON ELM STREET.|speech|CASEY|F
58|MAN|"Is that the one where the guy had knives
for fingers?"|speech|MAN|F
59|CASEY|Yeah...Freddy Krueger.|speech|CASEY|F
60|MAN|"Freddy-that's right. I liked that movie.
It was scary."|speech|MAN|F
61|CASEY|The first one was, but the rest sucked.|speech|CASEY|F
62|MAN|So, you gotta boyfriend?|speech|MAN|F
63||(giggling)|location||
64|CASEY|Why? You wanna ask me out?|speech|CASEY|F
65|MAN|Maybe. Do you have a boyfriend?|speech|MAN|F
66|CASEY|No.|speech|CASEY|F
67|MAN|You never told me your name.|speech|MAN|F
68||Casey smiles, twirling her hair.|stage direction||
69|CASEY|Why do you want to know my name?|speech|CASEY|F
70|MAN|"Because I want to know who I'm looking
at."|speech|MAN|F
71||Casey spins around like lightning facing the glass door.|stage direction||
72|CASEY|What did you say?|speech|CASEY|F
73|MAN|I want to now who I'm talking to.|speech|MAN|F
74|CASEY|That's not what you said.|speech|CASEY|F
75|MAN|What do you think I said?|speech|MAN|F
76||"Casey CLICKS on the outside light.  A flood light illuminates the
backyard.  Her eyes survey the grounds.  But it's empty.  No one's
there.  She turns the light out.
On the stove, the popcorn POPS."|stage direction||
77|CASEY|I have to go now.|speech|CASEY|F
78|MAN|Wait...I thought we were gonna go out.|speech|MAN|F
79|CASEY|Nah, I don't think so...|speech|CASEY|F
80|MAN|Don't hang up on me.|speech|MAN|F
81|CASEY|Gotta go.|speech|CASEY|F
82|MAN|Don't...|speech|MAN|F
83||"CLICK!  Casey hangs up.  She checks the glass door making sure
it's locked and then moves to the stove as...
THE PHONE RINGS.
She slides the popcorn from the stove, reaching for the phone."|stage direction||
84|CASEY|Yes?|speech|CASEY|F
85|MAN|I told you not to hang up on me.|speech|MAN|F
86|CASEY|What do you want?|speech|CASEY|F
87|MAN|To talk.|speech|MAN|F
88|CASEY|Dial someone else, okay?|speech|CASEY|F
89|MAN|You getting scared?|speech|MAN|F
90|CASEY|No-bored.|speech|CASEY|F
91||CLICK.  She hangs up.  The phone RINGS again.  She grabs it.|stage direction||
92|CASEY|Listen, asshole...|speech|CASEY|F
93||(deadly serious)|location||
94|MAN|"NO, YOU LISTEN, YOU LITTLE BITCH. IF YOU
HANG UP ON ME AGAIN I'LL GUT YOU LIKE
A FISH. UNDERSTAND?"|speech|MAN|F
95||Total silence.  He has gotten her full attention.|stage direction||
96|CASEY|Is this some kind of a joke?|speech|CASEY|F
97|MAN|More of a game, really.|speech|MAN|F
98||"Casey eyes the glass doors, then looks up the hallway to the front
doors...moving to it.  It's unlocked.  She bolts it."|stage direction||
99|CASEY|I'm two seconds from calling the police.|speech|CASEY|F
100|MAN|They'd never make it in time.|speech|MAN|F
101||"Casey moves her face flush against the door, her eye looking
through the peephole.
ANGLE THROUGH PEEPHOLE.
A distorted view of the front porch.  It is empty.  She relaxes a
bit, relieved."|stage direction||
102|CASEY|What do you want?|speech|CASEY|F
103||(pure evil)|location||
104|MAN|TO SEE WHAT YOUR INSIDES LOOK LIKE.|speech|MAN|F
