|character|text|type
0||"Scream 2
Screenplay by         Kevin Williamson"|stage direction
1||FADE IN:|unknown
2||EXT. MOVIE THEATRE - NIGHT|location
3||"An old preserved movie theatre. The kind only found in
a small town. Very picturesque. The marquee in front
reads:
""SNEAK PREVIEW TONIGHT
'STAB'
Rated R""
A line has formed around the block, GUYS and GIRLS -
mostly college age.
CLOSE on a girl, MAUREEN, no more than 18. A friendly
face with innocent eyes. She stands in line with her
boyfriend PHIL, same age. A handsome counterpart."|stage direction
4|MAUREEN|I hate scary movies.|speech
5|PHIL|"It'll be okay, baby, I'll hold your
hand."|speech
6|MAUREEN|"If we hurry, we can still catch the
Sandra Bullock movie."|speech
7|PHIL|We got free tickets.|speech
8||He pulls her close, snuggling with her.|stage direction
9||EXT. BOX OFFICE|location
10||"Maureen and Phil reach the box office, presenting their
tickets.
They pass through the front doors where an USHER stands
randomly handing out GHOST MASKS. A Hollywood variation
of a most familiar one. Phil takes one."|stage direction
11|MAUREEN|What's that?|speech
12|USHER|The studio sent them.|speech
13||INT. THEATRE - A MINUTE LATER|location
14||"The small theatre is nearly packed to capacity. Maureen
and Phil enter, moving down the aisle searching for two
seats. A YOUNG GIRL SCREAMS, whizzing by them as a
GHOST MASKED GUY chases after her. The crowd LAUGHS.
Everyone is having fun.
Maureen and Phil find aisle seats down towards the
screen just as the lights DIM. People FAKE SCREAM in
terror. A very lively crowd.
ON SCREEN
Credits roll as the movie begins. The studio logo
appears followed by...
""A ROBERT RODRIGUEZ FILM""
IN THE THEATRE
Maureen turns to find a GHOST MASK in her face. Phil
has slipped it on."|stage direction
15|MAUREEN|I don't think so.|speech
16||Phil gets in her face, playing with her. She swats him.|stage direction
17|MAUREEN|Take it off.|speech
18|PHIL|But...|speech
19|MAUREEN|Now.|speech
20||"He obliges.
ON SCREEN
More credits.
""BASED ON THE BOOK ""THE WOODSBORO MURDERS"" BY GALE
WEATHERS""
Maureen looks behind her, toward the rest of the
audience. A sea of white ghost faces fill the theatre.
The publicity masks actually glow in the dark. A
chilling sight that leaves Maureen extremely spooked.
ON SCREEN
The movie begins. A house in the middle of nowhere.
Lights burn from within.
Inside the house, a YOUNG GIRL, Alicia Silverstonish is
taking a shower. The water cascades over her nubile
body. Suddenly, a FIGURE is glimpsed through the
curtain. It's all very PSYCHO."|stage direction
21|MAUREEN|"Now why does she have to be naked?
How does that serve the plot?"|speech
22|PHIL|Sssshhh.|speech
23||"ON SCREEN
The phone RINGS. The young girl pulls the shower
curtain aside to reveal a robe hung on a hook. She
grabs it, running from the bathroom, into the living
room, grabbing the phone."|stage direction
24|GIRL|Hello?|speech
25||A menacing VOICE responds.|stage direction
26|VOICE|Hello?|speech
27|GIRL|Who is this?|speech
28|VOICE|You tell me.|speech
29||"IN THE THEATRE
Maureen is not having a good time. She's already
spooked."|stage direction
30|MAUREEN|I hate this shit.|speech
31|ON SCREEN|The phone rings again.|speech
32|VOICE|Why did you hang up on me?|speech
33|GIRL|Who is this?|speech
34||"IN THE THEATRE
Maureen shifts in her seat."|stage direction
35|MAUREEN|"Why doesn't she just hang up and
call the police? Stupid.."|speech
36|PHIL|Shush.|speech
37|MAUREEN|I'm gonna pee. You want anything?|speech
38||He nods. Maureen stands and moves up the aisle.|stage direction
39||INT. LOBBY - SECONDS LATER|location
40||"Maureen emerges from the theatre and into the small
lobby. It is dark and shadowed. She moves down a long
hallway to a staircase. A ""BATHROOM"" sign with an arrow
points downstairs.
Maureen hits the stairs to..."|stage direction
