|character|text|type|character_clean|gender|principal_character
0||INT. FITTS HOUSE - RICKY'S BEDROOM - NIGHT|location|||
1||"On VIDEO: JANE BURNHAM lays in bed, wearing a tank top. She's
sixteen, with dark, intense eyes."|stage direction|||
2|JANE|"I need a father who's a role model, not
some horny geek-boy who's gonna spray his
shorts whenever I bring a girlfriend home
from school."|speech|JANE|F|True
3||(snorts)|location|||
4|JANE|"What a lame-o. Somebody really should put
him out of his misery."|speech|JANE|F|True
5||Her mind wanders for a beat.|stage direction|||
6|RICKY (O.C.)|Want me to kill him for you?|speech|RICKY|M|True
7||Jane looks at us and sits up.|stage direction|||
8||(deadpan)|location|||
9|JANE|Yeah, would you?|speech|JANE|F|True
10||"FADE TO BLACK.
FADE IN:"|unknown|||
11||EXT. ROBIN HOOD TRAIL - EARLY MORNING|location|||
12||"We're FLYING above suburban America, DESCENDING SLOWLY toward
a tree-lined street."|stage direction|||
13|LESTER (V.O.)|"My name is Lester Burnham. This is my
neighborhood. This is my street. This...
is my life. I'm forty-two years old. In
less than a year, I'll be dead."|speech|LESTER|F|True
14||INT. BURNHAM HOUSE - MASTER BEDROOM - CONTINUOUS|location|||
15||"We're looking down at a king-sized BED from OVERHEAD:
LESTER BURNHAM lies sleeping amidst expensive bed linens,
face down, wearing PAJAMAS. An irritating ALARM CLOCK RINGS.
Lester gropes blindly to shut it off."|stage direction|||
16|LESTER (V.O.)|"Of course, I don't know that yet. He
rolls over, looks up at us and sighs. He
doesn't seem too thrilled at the prospect
of a new day."|speech|LESTER|F|True
17||"(CONTINUED)
2."|unknown|||
18||CONTINUED:|stage direction|||
19|LESTER (V.O.) (CONT'D)|And in a way, I'm dead already.|speech|LESTER|F|True
20||He sits up and puts on his slippers.|stage direction|||
21||INT. BURNHAM HOUSE - MASTER BATH - MOMENTS LATER|location|||
22||"Lester thrusts his face directly into a steaming hot shower.
ANGLE from outside the shower: Lester's naked body is
silhouetted through the fogged-up glass door. It becomes
apparent he is masturbating."|stage direction|||
23||LESTER (V.O.)|unknown|||
24||(amused)|location|||
25|LESTER (V.O.) (CONT'D)|Look at me, jerking off in the shower.|speech|LESTER|F|True
26||(then)|location|||
27|LESTER (V.O.) (CONT'D)|"This will be the high point of my day.
It's all downhill from here."|speech|LESTER|F|True
28||EXT. BURNHAM HOUSE - MOMENTS LATER|location|||
29||"CLOSE on a single, dewy AMERICAN BEAUTY ROSE. A gloved hand
with CLIPPERS appears and SNIPS the flower off.
CAROLYN BURNHAM tends her rose bushes in front of the Burnham
house. A very well-put together woman of forty, she wears
color-coordinated gardening togs and has lots of useful and
expensive tools.
Lester watches her through a WINDOW on the first floor,
peeping out through the drapes."|stage direction|||
30|LESTER (V.O.)|"That's my wife Carolyn. See the way the
handle on those pruning shears matches
her gardening clogs? That's not an
accident."|speech|LESTER|F|True
31||EXT. JIMS' HOUSE - CONTINUOUS|location|||
32||"In the fenced front yard of the house next door, a dog BARKS
repeatedly. A MAN in a conservative suit (JIM #1) chastises
the barking dog."|stage direction|||
33|JIM #1|Hush, Bitsy. You hush. What is wrong?|speech|JIM #1|F|True
34|LESTER (V.O.)|That's our next-door neighbor Jim.|speech|LESTER|F|True
35||"A second MAN in a conservative suit (JIM #2) comes out of the
house."|stage direction|||
36||"(CONTINUED)
3."|unknown|||
37||CONTINUED:|stage direction|||
38|LESTER (V.O.) (CONT'D)|And that's his lover, Jim.|speech|LESTER|F|True
39||(re: barking dog)|location|||
40|JIM #2|"What in the world is wrong with her? She
had a walk this morning."|speech|JIM #2|?|True
41|JIM #1|And a jerky treat.|speech|JIM #1|F|True
42|JIM #2|You spoil her.|speech|JIM #2|?|True
43||(sternly)|location|||
44|JIM #2|Bitsy. No bark. Come inside. Now.|speech|JIM #2|?|True
45||EXT. BURNHAM HOUSE - CONTINUOUS|location|||
46||Lester watches all this from the window.|stage direction|||
47|CAROLYN|Good morning, Jim!|speech|CAROLYN|F|True
48||Jim #1 walks toward the fence to greet Carolyn.|stage direction|||
49|JIM #1|Morning, Carolyn.|speech|JIM #1|F|True
50||(overly friendly)|location|||
51|CAROLYN|I just love your tie! That color!|speech|CAROLYN|F|True
52|JIM #1|"I just love your roses. How do you get
them to flourish like this?"|speech|JIM #1|F|True
53|CAROLYN|"Well, I'll tell you. Egg shells and
Miracle Grow."|speech|CAROLYN|F|True
54||"Jim #1 and Carolyn continue to chat, unaware that Lester is
watching them."|stage direction|||
55|LESTER (V.O.)|Man. I get exhausted just watching her.|speech|LESTER|F|True
56||"Lester's POV: We can't hear what Jim and Carolyn are saying,
but she's overly animated, like a TV talk show host."|stage direction|||
57|LESTER (V.O.) (CONT'D)|"She wasn't always like this. She used to
be happy. We used to be happy."|speech|LESTER|F|True
58||4.|unknown|||
59||INT. BURNHAM HOUSE - JANE'S ROOM - CONTINUOUS|location|||
60||JANE is seated at her desk, working at her computer.|stage direction|||
61|LESTER (V.O.)|My daughter Jane. Only child.|speech|LESTER|F|True
62||"CLOSE on the COMPUTER MONITOR: A PERSONAL BANKING SOFTWARE
window suddenly disappears to reveal another window: a
PLASTIC SURGERY WEBSITE, featuring clinical ""before"" and
""after"" photos of surgically augmented breasts."|stage direction|||
63|LESTER (V.O.) (CONT'D)|"Janie's a pretty typical teenager. Angry,
insecure, confused. I wish I could tell
her that's all going to pass..."|speech|LESTER|F|True
64||"Outside, a CAR HORN BLARES. Jane stuffs items into her
BACKPACK."|stage direction|||
65|LESTER (V.O.) (CONT'D)|But I don't want to lie to her.|speech|LESTER|F|True
66||"We HEAR the CAR HORN again from outside. Jane studies herself
in a mirror, then shifts to get a good profile of her
breasts."|stage direction|||
67||EXT. BURNHAM HOUSE - CONTINUOUS|location|||
68||"Carolyn stands next to a platinum-colored MERCEDES-BENZ
ML320, reaching in through the drivers' window to blow the
HORN again.
Jane shuffles out of the house, her backpack slung over her
shoulder."|stage direction|||
69|CAROLYN|"Jane. Honey. Are you trying to look
unattractive?"|speech|CAROLYN|F|True
70|JANE|Yes.|speech|JANE|F|True
71||CAROLYN|unknown|||
72|JANE|"Well, congratulations. You've succeeded
admirably."|speech|JANE|F|True
73||"Jane gets in the car. Lester hurries out the front door,
carrying a BRIEFCASE."|stage direction|||
74||"(CONTINUED)
5."|unknown|||
75||CONTINUED:|stage direction|||
76|CAROLYN (CONT'D)|"Lester, could you make me a little later,
please? Because I'm not quite late
enough."|speech|CAROLYN|F|True
77||"Lester's briefcase suddenly springs open and his papers spill
all over the driveway. He drops to his knees to gather
everything."|stage direction|||
78|JANE|Nice going, Dad.|speech|JANE|F|True
79||"Lester smiles sheepishly, trying to lighten the moment.
His POV: Carolyn looks down at us, contemptuous but also
bored, as if she gave up expecting anything more long ago."|stage direction|||
80|LESTER (V.O.)|"Both my wife and daughter think I'm this
gigantic loser, and... they're right."|speech|LESTER|F|True
