|character|text|type|character_clean|gender|principal_character
0||"BRIDESMAIDS
Written by"|stage direction|||
1||Annie Mumolo|location|||
2||8/12/09|unknown|||
3||INT. CLEAN, UPSCALE. MODERN BATHROOM.|location|||
4|unknown|"Annie is in nice lingerie, happily getting ready for the
day. She puts a lot of effort into her appearance.
Products everywhere, too many hair-flips, eye-cream, no
hair out of place.
She walks into the bedroom, where TED, a gorgeous man
sleeps. She sneaks back into the bed, carefully
positioning herself and moving the sheets to show her
good parts.
She coughs and nudges Ted to wake him up then pretend
sleeps."|speech|unknown|?|
5|TED|"Good morning.
Annie pretends to wake up."|speech|TED|F|True
6|TED (CONT'D)|Wow, you look beautiful.|speech|TED|F|True
7|"ANNIE
(ACTING EMBARRASSED)"|"What? No. I don't. Oh my God its the
morning. I look terrible. I just woke up."|speech|ANNIE|F|True
8|TED|Last night was fun.|speech|TED|F|True
9|ANNIE|"Yeah, I had the best time. I have't had
that much fun on a first date in years,
ever...
She brushes the hair off his forehead as if he were her
long time lover."|speech|ANNIE|F|True
10|TED|"So listen Annie, I like you. So, I want
to be up front with you. I'm not really
looking for a relationship right now.
Annie's eyes grow large. She uncomfortably smiles at him,
nodding."|speech|TED|F|True
11|ANNIE|Oooooo. Oops. I mean, yeah. What?|speech|ANNIE|F|True
12|TED|"I just want to be honest right off the
bat.
2."|speech|TED|F|True
13|ANNIE|"Yeah, yeah. Ok. Yeah. Yeah. I love that.
Annie struggles to maintain her composure."|speech|ANNIE|F|True
14|TED|"I'm just so busy and I don't have time
for another person...I..."|speech|TED|F|True
15|ANNIE|Yeah, me too, I'm soo busy--|speech|ANNIE|F|True
16|TED|And summer's coming--|speech|TED|F|True
17|ANNIE|"Yeah, summer, exactly. It's a crazy
season. So you just wanna give me a call
in the fall or--?"|speech|ANNIE|F|True
18|TED|"Yeah, I'm not gonna be in town much even
in the fall--"|speech|TED|F|True
19|ANNIE|You shouldn't be! Yeah, Halloween--|speech|ANNIE|F|True
20|TED|I'm gonna be travelling a lot for work.|speech|TED|F|True
21|ANNIE|"Me too, I'm just- so many business trips
to places that are just far away‘cause
I'm doing really well at work."|speech|ANNIE|F|True
22|TED|"And honestly, (sits up) I don't even know
how I feel about the whole monogamy
thing, is one person really enough for
anyone? I mean, I like to be with a lot
of different people."|speech|TED|F|True
23|ANNIE|"It is sooo refreshing to hear you say
that, because isn't that what everyone
thinks but is afraid to say? I mean, i's
science. I'm-I don't want a relationship
either. Let's just say that. And I
wouldn't even care whatever you do or I
do, I just wanna have tons of fun, like
no strings attached at all. I'm just
different from other girls.
3."|speech|ANNIE|F|True
