|character|text|type|character_clean|gender|principal_character
0||"R U N A W A Y   B R I D E
Screenplay by Sarah Parriott & Josann McGibbon
FADE IN"|stage direction|||
1||EXT. AN IMPOSSIBLE EXPANSE OF MARYLAND FARMLAND - DAY|location|||
2||"The wind rustles the endless field of corn, blows over the
freshly mown meadow of soybeans, and magically sways a copse of
trees.
It's a Fall after-noon. A SUDDEN POUNDING OF GALLOPING HOOVES
breaks the peace and... A HORSE and RIDER burst between the rows
of corn into the meadow.  They are running for their lives.
CLOSE ON:
The rider is a bride -- a beautiful woman dressed in a
disheveled wedding gown, it's train tattered and flying like a
knight's banner out behind her. This is MAGGIE CARPENTER.
The horse is frothing and wild-eyed, like the bride, who turns
to look behind her in terror.  The horse's labored breathing
mingles with Maggie's panicked gasps.
We see a WEDDING BOUQUET fly into a ditch as the horse thunders
on.  Maggie clings to the reins.  She looks as though she is
running from the devil himself.
FADE TO BLACK"|stage direction|||
3||EXT. IKE'S APARTMENT BUILDING - DAY|location|||
4||Establishing.|stage direction|||
5||CUT TO:|unknown|||
6||"EXT. IKE'S APARTMENT BUILDING - DAY - ESTABLISHING SHOT
EXT. NEW YORK STREET - DAY"|location|||
7|IKE (V.O.)|"Hey, Fisher, pick up.  I have some
column ideas I want to bounce off you.
Not there?  Okay.  Listen I'm thinking
of writing about those mind-numbing
informercials that are always on."|speech|IKE|F|True
8||Ike walks out of his apartment building talking on cell phone.|stage direction|||
9|IKE (cont'd)|"What do you think?  Good idea, right?
Boring, down to death, pointless -- It
sucks."|speech|IKE|F|True
10||Ike yells at a CONSTRUCTION WORKER.|stage direction|||
11|IKE (cont'd)|"If you guys are here any longer,
they're gonna make you sign a lease."|speech|IKE|F|True
12|CONSTRUCTION WORKER|Your column should be so funny.|speech|CONSTRUCTION WORKER|?|
13||Ike turns and walks down the street, talking into cell phone.|stage direction|||
14|IKE|"Okay, I was also thinking I might write
about..."|speech|IKE|F|True
15||"He spots a RICH LADY with tons of diamonds getting out of a
Limousine, talking to a CHAUFFEUR.  He goes up to her."|stage direction|||
16|IKE (cont'd)|"Excuse me.  I was thinking of doing an
article on limousines.  What would you
say to people who never had a chance to
drive in a limo?"|speech|IKE|F|True
