|character|text|type|character_clean|gender|principal_character
0||"T I T A N I C
a screenplay by
James Cameron"|unknown|||
1||"1 BLACKNESS
Then two faint lights appear, close together... growing brighter. They
resolve into two DEEP SUBMERSIBLES, free-falling toward us like express
elevators.
One is ahead of the other, and passes close enough to FILL FRAME, looking
like a spacecraft blazing with lights, bristling with insectile
manipulators.
TILTING DOWN to follow it as it descends away into the limitless blackness
below. Soon they are fireflies, then stars. Then gone."|stage direction|||
2||CUT TO:|unknown|||
3||"2 EXT./ INT. MIR ONE / NORTH ATLANTIC DEEP
PUSHING IN on one of the falling submersibles, called MIR ONE, right up to
its circular viewport to see the occupants.
INSIDE, it is a cramped seven foot sphere, crammed with equipment. ANATOLY
MIKAILAVICH, the sub's pilot, sits hunched over his controls... singing
softly in Russian.
Next to him on one side is BROCK LOVETT. He's in his late forties, deeply
tanned, and likes to wear his Nomex suit unzipped to show the gold from
famous shipwrecks covering his gray chest hair. He is a wiley, fast-talking
treasure hunter, a salvage superstar who is part historian, part adventurer
and part vacuum cleaner salesman. Right now, he is propped against the CO2
scrubber, fast asleep and snoring.
On the other side, crammed into the remaining space is a bearded wide-body
named LEWIS BODINE, sho is also asleep. Lewis is an R.O.V. (REMOTELY
OPERATED VEHICLE) pilot and is the resident Titanic expert.
Anatoly glances at the bottom sonar and makes a ballast adjustment."|stage direction|||
4||CUT TO:|unknown|||
5||"3 EXT. THE BOTTOM OF THE SEA
A pale, dead-flat lunar landscape. It gets brighter, lit from above, as MIR
ONE enters FRAME and drops to the seafloor in a downblast from its
thrusters. It hits bottom after its two hour free-fall with a loud BONK."|stage direction|||
6||CUT TO:|unknown|||
7||"4 INT. MIR ONE
Lovett and Bodine jerk awake at the landing."|stage direction|||
8||ANATOLY|location|||
9||(heavy Russian accent)|unknown|||
10||We are here.|stage direction|||
11||EXT. / INT. MIR ONE AND TWO|location|||
