|character|text|type|character_clean|gender
0||"UP IN THE AIR
Written by
Jason Reitman & Sheldon Turner"|unknown||
1||Secure your own mask before assisting others.|stage direction||
2|unknown|"- Common Pre-Flight Instruction
1."|speech|unknown|?
3||"A SPOTLIGHT reveals RYAN BINGHAM standing at a PODIUM.
He unzips a BACKPACK and sets it down beside him."|stage direction||
4|RYAN|How much does your life weigh?|speech|RYAN|M
5||Ryan pauses to let us consider this.|stage direction||
6|RYAN (CONT'D)|"Imagine for a second that you're
carrying a backpack... I want you
to feel the straps on your
shoulders... You feel them?
(gives us a beat)
Now, I want you to pack it with all
the stuff you have in your life.
Start with the little things. The
stuff in drawers and on shelves.
The collectables and knick-knacks.
Feel the weight as it adds up. Now,
start adding the larger stuff. Your
clothes, table top appliances,
lamps, linens, your TV. That
backpack should be getting pretty
heavy at this point - Go Bigger.
Your couch, your bed, your kitchen
table. Stuff it all in... Your car,
get it in there... Your home,
whether you have a studio apartment
or a two story house, I want you to
stuff it into that backpack."|speech|RYAN|M
7||Ryan takes a beat to let the weight sink in.|stage direction||
8|RYAN (CONT'D)|Now try to walk.|speech|RYAN|M
9||We hear people around us chuckling. Ryan smiles. Reveal:|stage direction||
10||INT. HOTEL CONFERENCE ROOM - AFTERNOON|location||
11||"The kind that shifts between lower income corporate retreats
and lower income weddings.
The few dozen people seem to be visualizing as told."|stage direction||
12|RYAN (CONT'D)|"Kinda hard, isn't it? This is what
we do to ourselves on a daily
basis. We weigh ourselves down
until we can't even move. And make
no mistake - Moving is living.
2."|speech|RYAN|M
13||We see nodding. People's gears turning.|stage direction||
14|RYAN (CONT'D)|"Now, I'm going to set your backpack
on fire. What do you want to take
out of it? Photos? Photos are for
people who can't remember. Drink
some gingko and let the photos
burn. In fact let everything burn
and imagine waking up tomorrow with
nothing.
(a beat of emphasis)
It's kind of exhilarating isn't it?
That is how I approach every day."|speech|RYAN|M
15||A titter through the crowd.|stage direction||
16||INT. BOEING 757 - DAY|location||
17||A FEMALE FLIGHT ATTENDANT is looking directly at us.|stage direction||
18|RYAN (CONT'D)|"FEMALE FLIGHT ATTENDANT
Do you want the cancer?"|speech|RYAN|M
19||"Turn to see RYAN looking back.
Handsome. Anonymous. Right now - Confused."|stage direction||
20|RYAN|"Excuse me?
FEMALE FLIGHT ATTENDANT"|speech|RYAN|M
21|(SAME DELIVERY)|Do you want the cancer?|speech||
22||"Ryan furrows - What the hell is going on here?
The flight attendant raises her hand to reveal a CAN OF SODA."|stage direction||
23|(SAME DELIVERY)|"FEMALE FLIGHT ATTENDANT
The can, sir?"|speech||
24|RYAN|Oh... No. Um, no thank you.|speech|RYAN|M
25||"The flight attendant moves to the next aisle. Ryan takes a
beat, then returns to his work."|stage direction||
26||INT. SMALL CONFERENCE ROOM, SUN CASUALTY - DAY|location||
27||Two words - Subordinate chic.|stage direction||
28|RYAN|3.|speech|RYAN|M
29||"Seated at a tiny table is RYAN. The Grim Reaper in a suit.
We see a series of REAL PEOPLE react to the news of being
fired. They should be non-actors (actual victims of recent
layoffs) that can react organically to the news with
authenticity. Some are hurt. Others are upset and even
abusive. The series concludes with...
STEVE (AN ACTOR)
... who's on the verge of tears."|stage direction||
30|STEVE|Who the fuck are you?|speech|STEVE|M
31||FREEZE on Ryan.|stage direction||
32|STEVE|"RYAN (V.O.)
Excellent question. Who the fuck am
I? Poor Steve has worked here for
seven years."|speech|STEVE|M
33||INT. STEVE'S CUBICLE - DAY|location||
34|FLASH IMAGES:|"RYAN (V.O.)
He's never had a meeting with me
before..."|speech|FLASH IMAGES:|?
35||INT. CONFERENCE ROOM - DAY|location||
36||Steve in a small meeting.|stage direction||
37|FLASH IMAGES:|"RYAN (V.O.)
...or passed me in the hall..."|speech|FLASH IMAGES:|?
38||INT. ELEVATOR BRIDGE - DAY|location||
39||Steve passes a female coworker.|stage direction||
40|FLASH IMAGES:|"RYAN (V.O.)
... or told me a story in the break
room...."|speech|FLASH IMAGES:|?
41||INT. BREAK ROOM - DAY|location||
42||Steve laughs at a coworker's story.|stage direction||
43|FLASH IMAGES:|"4.
RYAN (V.O.)
And that's because I don't work
here. I work for another company
that lends me out to pussies like
Steve's boss..."|speech|FLASH IMAGES:|?
44||INT. STEVE'S BOSS'S OFFICE - DAY|location||
45||"Steve's BOSS sits at his desk. Subtitle reads - ""A Big Pussy"""|stage direction||
46|FLASH IMAGES:|"RYAN (V.O.)
... who don't have the balls to
sack their own employees. And in
some cases, for good reason.
Because, people do crazy shit when
they get fired."|speech|FLASH IMAGES:|?
47||FLASH IMAGES:|location||
48||"Steve wipes off his boss's desk.
Steve shreds sensitive documents.
Steve pours bleach into the communal coffee pot.
Steve loads an assault rifle. He stands up to get a view of
his coworkers on a coffee break."|stage direction||
49||INT. SMALL CONFERENCE ROOM - DAY|location||
50||Steve is trying to hold it together.|stage direction||
51|BACK TO:|"RYAN (V.O.)
And that's where I come in."|speech|BACK TO:|?
52|STEVE|"What did I... do? What could I have
done differently here?"|speech|STEVE|M
53|RYAN|"This is not an assessment of your
productivity. It's important not to
personalize this."|speech|RYAN|M
54||"Steve scoffs at this.
Ryan slides Steve a PACKET."|stage direction||
55|RYAN|5.|speech|RYAN|M
56|RYAN (CONT'D)|"Steve, I want you to review this
packet. Take it seriously. I think
you're going to find a lot of
answers in there."|speech|RYAN|M
57|"STEVE
(DISMISSIVE)"|"Oh, I'm sure it's going be really
helpful."|speech|STEVE|M
58|RYAN (CONT'D)|"Look, anybody who ever built an
empire, or changed the world, sat
where you are now. And it's because
they sat there that they were able
to do it."|speech|RYAN|M
59||And just for a moment, Steve looks hopeful.|stage direction||
60|RYAN (CONT'D)|I'm going to need your key card.|speech|RYAN|M
61|STEVE|Right...|speech|STEVE|M
62||Steve begins removing it from his wallet.|stage direction||
63|RYAN|"Take the day. Put together your
personal things. Talk to your co-
workers. Tomorrow, go out and get
some exercise. Go for a jog. Give
yourself routines and pretty soon
you'll find your legs."|speech|RYAN|M
64||"Steve nods and gets up to leave. Just as he's about to walk
out, he stops and turns back."|stage direction||
65|STEVE|Wait, how do I get in touch with you?|speech|STEVE|M
66|RYAN|"Don't worry. We'll be in touch
soon. This is just the beginning."|speech|RYAN|M
67||Steve nods and exits the room.|stage direction||
68|RYAN|"RYAN (V.O.)
I'll never see Steve again.
6."|speech|RYAN|M
69||INT. RYAN'S ROOM - PHOENIX HILTON - DAY|location||
70||"The choreography of Ryan's packing is worthy of Tchaikovsky.
A coat slides off a hanger... A travel toothbrush folds
closed like a switchblade... A briefcase clicks onto a roll-
away bag... A hand flips a light switch without looking."|stage direction||
71||INT. LOBBY, PHOENIX HILTON - DAY|location||
72||Ryan is at the check out desk.|stage direction||
73|CHECKOUT GIRL|"Do you have your Hilton Honors Card
with you?"|speech|CHECKOUT GIRL|?
74||"Ryan smiles... ""Do I?""
He hands it to her, close enough to camera, that we get a
nice big close up of it. She runs the card and the screen
pops up with information that makes her blush."|stage direction||
75|CHECKOUT GIRL|"Oh my God... Do you like, live, at
the Hilton?"|speech|CHECKOUT GIRL|?
76||Ryan nods in faux modesty.|stage direction||
77||EXT. OUTDOOR CAR RETURN, HERTZ RENT-A-CAR - DAY|location||
78||"Ryan pulls up to one of the spaces marked with the #1 GOLD
PRESIDENTS CLUB emblem. He hops out and a uniformed man with a
handheld device begins to punch in the license plate number.
Ryan pulls out his HERTZ PRESIDENTS CLUB CARD and places it
nice and close to lens so we can see it.
The card slides through the handheld device and we see the
DIGITAL NUMBER increase by a few thousand points."|stage direction||
79||INT. MAIN CONCOURSE, PHOENIX SKY HARBOR INTL AIRPORT - DAY|location||
80||"The automated GLASS DOORS slide open. Ryan enters the
concourse and takes a deep breath of the temperately
controlled air. He has arrived."|stage direction||
81|CHECKOUT GIRL|"RYAN (V.O.)
This is where I live."|speech|CHECKOUT GIRL|?
82||"Subtitles - ""Airworld"""|stage direction||
83|CHECKOUT GIRL|7.|speech|CHECKOUT GIRL|?
84||"Ryan skips the long lines and steps directly into the
AAdvantage Executive Platinum line.
Glorious close-up of Ryan's AAdvantage Executive Platinum
CARD sliding through the AUTOMATED MACHINE. Were it any
sexier, we'd hear a moan. Maybe we even do.
Immediately, the AIRPORT CLERK registers and perks up."|stage direction||
85|AIRPORT CLERK|"Pleasure to see you again, Mr. Bingham.
RYAN (V.O.)
When I run my card, the system
automatically prompts the desk
clerk to greet me with this exact
statement."|speech|AIRPORT CLERK|?
