|character|text|type
0||"NO STRINGS ATTACHED
Written by
Elizabeth Meriwether"|unknown
1||INT.. BEDROOM- NIGHT|location
2|unknown|"EMMA FRANKLIN and ADAM KURTZMAN Naked in bed but covered.in
sheets. Lying next to each other, but not touching. Emma
stall has her shoes on."|speech
3|EMMA|I don't know.|speech
4|ADAM|"What about ""Comrades-in-Fuck""?."|speech
5|EMMA|No.|speech
6|ADAM|"What if we say we're in the Axis of
Fuck? we formed a Fuck Alliance.
We're neighbors 'on.. Fuck Street."|speech
7|EMMA|"What's wrong with ""buddies'?"|speech
8|ADAM|"Who says ""buddies""?"|speech
9|EMMA|Yeah, you're right.|speech
10||INT. PAVILLION CAMP . WEEHAWKEN-- IGHT-|location
11|EMMA|"1994. A summer camp in- Northern Michigan. It's a dance. An
over-enthusiastic counselor with a massive boombox stereo.
Coolio's ""Fantastic Voyage"" blasts.
About ten thirteen-year-old boys are lined up along the side.
'Hair down to their ears and parted in the middle-- little
versions of Kurt Cobain or Jord Catalano.
They are staring at a group of dancing girls - In the middle
is KATIE, the blonde who grew boobs before anyone else. And
every time she moves; she bounces.
The boys watch her, serious, concentrating. They need to
remember this for later. Katie continues to bounce- One boy
suddenly looks down, scared."|speech
12|BOY|It tickles.|speech
13|OTHER BOY-|"Yeah. It does other stuff.
But there's a boy on the, edge of the group : A sweet. face, 'and
you wouldn't be surprised to- find but he's Jewish: A 12 year -
old, Adam Kurtzman. He's the only boy not looking at Katie.
Instead, he's staring off in another direction.
On the other side of the dance floor, next to an 'enormously '
fat kid, there's Emma. She's an awkward 12. Wearing borrowed
clothes- a skirt that's a little too long, a top that she
can't fill out. She's taller than any of the boys. But
there's something in her eyes, like she's laughing at
everything.
She makes eye,contact with Adam: She squints., He takes -a deep
breath,. She squints some more. He walks over.-'."|speech
14|ADAM|Hey. -|speech
15|EMMA|"Hey.
A 'long' pause'. -They're not looking at each other. Then"|speech
16|ADAM|Do you want to, freak?|speech
17||INT. PAV'ILLION-- MOMENTS LATER|location
18|ADAM|"TLC's ""No Scrubs."" Emma and Adam are freaking awkwardly - Emma
is too tall and Adam is holding on too tight and just
bouncing up and down. -"|speech
19|ADAM|You freak, good.|speech
20|EMMA|Okay.|speech
21|ADAM|- (singing along with the SONG)|speech
22||"""No, I don't want no scrubs""--"|stage direction
23|ADAM|3.|speech
24|EMMA|I don't get it.'|speech
25|ADAM|"Urn. She doesn't want a -scrub;
Because he's hanging out of his.
best friend's ride, trying to
-holler at her.
Katie, in another part of the dance floor, is in the middle
of a big freak-sandwich."|speech
26|KATIE|"CAMP RULES!
Emma scowls at her, looks at Adam."|speech
27|EMMA|Let's go to the dumpster-|speech
28|"ADAM
(SURPRISED)"|We're not even going out.|speech
29|"EMMA
(DEADPAN)"|"But I feel like I've known you.my
whole life."|speech
30||EXT. CAMP GROUNDS- NIGHT -|location
31|"EMMA
(DEADPAN)"|"Emma and Adam awkwardly stand against-the wall near the
dumpster. There are couples on either side. of them making
out.
So."|speech
