|character|text|type
0||"KNOCKED UP
Written by
Judd Apatow"|unknown
1||EXT. BEN'S HOUSE - DAY|location
2||"BEN STONE, 23, cute in a chunky Jewish guy sort of way, boxes one
of his roommates, MARTIN. His other roommates, JAY and JASON fight
with broom sticks. JONAH drinks beer on the couch spectating."|stage direction
3||QUICK IMAGES:|location
4|unknown|We see Ben and Jay fighting. At one point they fight with gloves|speech
5||which are on fire, balancing on a plank over a dirty pool.|stage direction
6|unknown|Ben now has a fishbowl filled with weed smoke over his head.|speech
7||"There is a smoking joint in his mouth, making the bowl get
cloudier and cloudier. He starts coughing hysterically and takes
it off."|stage direction
8|unknown|A boom box is playing. The boys are now free style rapping. It|speech
9||"is terrible but they are having a blast. Pot is being smoked.
Beer is around."|stage direction
10||EXT. AMUSEMENT PARK - A DIFFERENT DAY|location
11||Ben and roommates ride a terrifying rollercoaster.|stage direction
12||INT. ALLISON'S BEDROOM - MORNING|location
13||ALISON SCOTT, pretty, 24, wakes up to her radio alarm.|stage direction
14||INT. DEBBIE AND PETE'S HOUSE, BEDROOM|location
15||"Allison's sister, DEBBIE, sleeps on the floors of the bedroom,
while her husband, PETE, sleeps on the bed with their eight-year-
old daughter SADIE. CHARLOTTE, age three, jumps on the bed."|stage direction
16|CHARLOTTE|Sadie, wake up.|speech
17|SADIE|Oh my gosh.|speech
18|CHARLOTTE|Daddy, wake up.|speech
19||Charlotte hits Pete.|stage direction
20|PETE|Okay, I'm up.|speech
21||EXT. BACKYARD - MORNING|location
22||"She exits a guest house and walks to the main house dressed for
work."|stage direction
23||INT. KITCHEN - MORNING|location
24||"Debbie, is making breakfast for Charlotte and Sadie. Pete enters
the kitchen."|stage direction
25|PETE|KNOCKED UP - 2.|speech
26|DEBBIE|"I need you to take the kids to school
this morning."|speech
27|PETE|"Oh, I would, but I'm supposed to work
out."|speech
28|DEBBIE|What?|speech
29|PETE|"I got an appointment with a trainer. I
can't cancel now, he'll charge me."|speech
30|DEBBIE|Well, you didn't tell me.|speech
31|PETE|Yeah I did. Last week, I told you.|speech
32|DEBBIE|You didn't tell me.|speech
33|PETE|"I did. And then I wrote it on the
calendar like you told me to."|speech
34|DEBBIE|No, you didn't tell me.|speech
35|PETE|I did tell you.|speech
36|DEBBIE|"Well, you didn't, but what are we
going to do? Because I have an
appointment so you're taking the kids
to school."|speech
37||Pete holds Charlotte in front of him.|stage direction
38|DEBBIE (CONT'D)|"Don't use the baby to cover your
tracks."|speech
39|ALISON|"I can drive them. I'll drive them to
school."|speech
40|PETE|Thank you very much.|speech
41|DEBBIE|"Great. Good. You turned my sister into
a limo driver."|speech
42|ALISON|I don't mind.|speech
43|"PETE
(TO CHARLOTTE)"|"It all worked out!
KNOCKED UP - 3."|speech
44||INT. ALLISON'S CAR - DAY|location
45||"Alison drives the kids to school. Charlotte and Sadie sit in the
back. Charlotte GIGGLES."|stage direction
46|ALISON|What are you giggling about?|speech
47|"SADIE
(TO CHARLOTTE)"|Be quiet. You're starting to annoy me.|speech
48|CHARLOTTE|Poo poo.|speech
49|ALISON|Ladies. Nice.|speech
50|SADIE|You know what I did the other day?|speech
51|ALISON|What?|speech
52|SADIE|"I Googled ""murder."""|speech
53|ALISON|"You Googled ""murder?"""|speech
54|SADIE|Yeah.|speech
55|ALISON|Why? I mean what did it say?|speech
56|SADIE|"It didn't say anything. It just showed
pictures of people lying dead on the
floor and...blood everywhere and
ugh..."|speech
57|ALISON|That was just ketchup.|speech
58|(BEAT)|Who wants to hear some music?|speech
59|SADIE|"I want to hear ""Rent."""|speech
60|CHARLOTTE|I want to hear Green Day!|speech
61|SADIE|"No, we're listening to ""Rent."""|speech
62|CHARLOTTE|Well, I want to listen to Green Day.|speech
63||Sadies takes Charlotte's doll.|stage direction
64|SADIE|"Well, I got your baby!
KNOCKED UP - 4."|speech
65||Charlotte WHINES.|stage direction
66|ALISON|Don't taunt her. Come on.|speech
67|SADIE|Here.|speech
68||Sadie shoves the doll at Charlotte.|stage direction
69|ALISON|Sadie!|speech
70|"CHARLOTTE
(CRYING)"|Ow!|speech
71|ALISON|"Why did you just do that? Don't throw
things at your sister!"|speech
72|CHARLOTTE|She hit me.|speech
73|ALISON|Did you hit her?|speech
74|SADIE|I did not.|speech
75|ALISON|Make her happy.|speech
76|(TO CHARLOTTE)|It's okay.|speech
77|SADIE|"It won't make her happy. She spilled
all the marbles on the floor."|speech
78|ALISON|Well, give her her marbles back.|speech
79||INT. BEN'S HOUSE - DAY|location
80||"In a living room of the house the guys have created an office for
their web site. There are a few large tables, several computers
which they work at, and a few TV sets which have movies running on
them. Ben and his friends are holding a meeting. They each have a
note pad and pen, and Jonah is on a computer. They smoke a joint
and drink beers."|stage direction
81|JASON|"All right? Now, are you sure you
understand the terms of the bet?
`Cause this is serious."|speech
82|MARTIN|"Oh, no.
KNOCKED UP - 5."|speech
83||"Martin, listen. You don't shave your
beard or cut your hair for one year,
and if you can do that, I will pay
your rent. But if you shave, then you
have to pay all five of our rents."|stage direction
84||Thanks for the free money, bitch.|stage direction
85||"Hey, Martin, was it weird when you
joined the Taliban, being American and
everything like that? Like when you
see a woman driving a car, do you just
get pissed?"|stage direction
86||"Just watch your back, Serpico. You
never know who your friends are."|stage direction
87||"You guy can't make fun of the me the
whole time."|stage direction
88||"But, Martin, it's a competition. It's
called ""The Dirty Man Competition.""
We're gonna make fun of you until you
shave the beard. That's the rules."|stage direction
89||"That's the whole point. You're
supposed to be tempted into shaving."|stage direction
90||"Your face looks like Robin Williams'
knuckles."|stage direction
91||"You guys aren't allowed to make fun of
me. It's not part of the rules."|stage direction
92||"Martin, why didn't you just listen to
me when I was explaining the rules?
You just looked at me with that blank
stare of yours. It was like talking to
a wax statue."|stage direction
93||"Okay, guys, are you ready? So... ""Only
at `Flesh of the Stars.com' will
customers be able to find exactly how
long into what movies their favorite
stars are exposed."""|stage direction
94||Nice.|stage direction
95||Oh, fuckin' booya.|stage direction
96||Pretty good, right?|stage direction
97|BEN|KNOCKED UP - 6.|speech
98|JONAH|Yeah.|speech
99|JASON|Yeah, ka-ching. Ka-ching. Ka-ching.|speech
100|JONAH|"Guys, let's start loggin', all right?
Charles Manson? Do you have any other
thoughts?"|speech
101|MARTIN|"Good, awesome, let's start this off
with a bang. Jamie Lee Curtis. I got
an hour and ten minutes in ""Trading
Places."" Uh, both chesticles."|speech
102|JAY|"Ah, I got something. A three-titted
alien from ""Total Recall?"""|speech
103|JONAH|Aw, she's not famous.|speech
104|"JASON
(IMITATING SCHWARZENEGGER)"|"""Damn it, Cohaagen, give the people
the air."""|speech
105||INT. E ENTERTAINMENT TELEVISION STUDIO - DAY|location
106||"RYAN SEACREST stands in front of a series of cameras. Alison
stands behind with a clipboard and headset."|stage direction
107|RYAN SEACREST|"So if you want that perfect tan like
the stars, he's the one to see. We'll
be right back on ""E! News."" Stay with
us."|speech
108|ALISON|"(into her headset)
Okay."|speech
109|RYAN SEACREST|Okay, is Jessica Simpson here yet?|speech
110|ALISON|Let me check.|speech
111|RYAN SEACREST|Is she on her way?|speech
112|ALISON|Hey, guys?|speech
113|RYAN SEACREST|She's left her house?|speech
114|ALISON|"(into her headset)
Okay, let me know when she's pulling
in."|speech
115|(MORE)|KNOCKED UP - 7.|speech
116||She's about to pull in.|stage direction
117||Is she camera-ready?|stage direction
118|ALISON|(into her headset)|speech
119||Is she camera-ready?|stage direction
120||"If she's going to be in hair and
makeup for three hours. I can't do it.
I'm not going to be here. I got to do
""American Idol."" It's live. I got to
do it. I got to be there. What are we
going to interview her about?"|stage direction
121||Nothing personal.|stage direction
122||No personal questions.|stage direction
123||"No personal questions. Don't ask her
about her sister and her nose job."|stage direction
124||No plastic surgery questions.|stage direction
125||"She doesn't want to talk about her
boobs or her father's comments about
her boobs."|stage direction
126||"Great. We'll talk about the Middle
East and maybe an idea of an exit
strategy. Maybe she has a good pitch.
Should I ask her about Korea? Maybe
have her point it out to us on a
globe? I don't understand the young
talent in this town! It doesn't make
any sense. I got four jobs. Hell, I'm
more famous than half the people we
talk to anyway! No one stands up. No
one has the balls to sit them down and
say, ""Look, just cut the shit.""But
everybody works for `em. They're all
on the payroll. They're all sucking
the teat! Nobody sits `em down, eye-to-
eye, one-on-one, and says... ""Cut the
shit."" And all these stars just to
fuck it up. That's what they do. They
fuck my day up! And it pisses me off!
And now I'm sweating."|stage direction
127||"You know what? You want us to just
come and get you when she gets here?
You want to head to the green room for
a minute? Just chill out?"|stage direction
128||That's a good idea.|stage direction
129|RYAN SEACREST|KNOCKED UP - 8.|speech
130|ALISON|"Want us to bring you anything? You
want some water?"|speech
131|RYAN SEACREST|No.|speech
132|ALISON|You want a cookie?|speech
133|RYAN SEACREST|Cookie, yeah, cookie. Thanks.|speech
134|ALISON|Okay, we'll get you a cookie.|speech
135|RYAN SEACREST|I'm sorry I'm pissy.|speech
136||JILL, one of the E! executives, approaches Alison.|stage direction
137|JILL|Alison?|speech
138|ALISON|Yeah?|speech
139|JILL|"Jack and I need to see you in his
office."|speech
140||INT. JACK'S OFFICE, E! ENTERTAINMENT - DAY|location
141||"Allison's boss, JACK, early forties, is at his desk. Alison and
Jill sit in the office."|stage direction
142|JACK|"Thanks for coming in, Alison. Well, we
wanted to talk to you today because we
had a little debate on the conference
call with New York about you."|speech
143|ALISON|You were talking about me?|speech
144|JACK|"We were wondering aloud to one another
whether or not you would be good for
on-camera."|speech
145|ALISON|What'd you decide?|speech
146|JILL|"They decided that they like you. And
they would like to put you on camera."|speech
147|ALISON|Really?|speech
148|JILL|"I know. I was so surprised, too.
KNOCKED UP - 9."|speech
149||"Oh, my God. This is the best news
ever. Thank you so much. This is
great!"|stage direction
150||Congratulations.|stage direction
151||Thank you.|stage direction
152||"I'll take that smile as a ""Yes, I'll
do it."""|stage direction
153||"Absolutely. I'm so excited. Oh, my
God."|stage direction
154||"It's a lot of work. Can't wait to see
what happens. It's going to be tough.
Tough job."|stage direction
155||"About the work, most immediately,
there's going to be some things that
you're going to be able to get that
other people in the office don't get.
One of them: Gym membership."|stage direction
156||You want me to lose weight?|stage direction
157||I don't want you to lose weight.|stage direction
158||We can't legally ask you to do that.|stage direction
159||We didn't say lose weight.|stage direction
160||No.|stage direction
161||"I might say ""tighten."""|stage direction
162||"""Tight."""|stage direction
163||A little...tighter?|stage direction
164||Just like toned and smaller.|stage direction
165||"Don't make everything smaller. I don't
want to generalize that way. Tighter."|stage direction
166||"We don't want you to lose weight. We
just want you to be healthy."|stage direction
167|JILL|KNOCKED UP - 10.|speech
168|ALISON|Okay.|speech
169|JILL|"You know, by, by eating less. We would
just like it if you...go home and step
on the scale and write down how much
you weigh and subtract it by, like,
twenty."|speech
170|ALISON|Twenty.|speech
171|JILL|And then weigh that much.|speech
