|character|text|type|character_clean|gender|principal_character
0||"CARRIE II
Written by"|location|||
1||"Rafael Moreu
13 FEBRUARY 1998"|unknown|||
2|unknown|"""I wish that I could write you a melody so plain
That would save you dear lady from going insane""
Bob Dylan, Tombstone Blues
BLACK
MUSIC UP: Slow, sad, ethereal.
Perhaps even eerie.
FADE IN:
On a sea of red, filling the frame. A crimson ocean without
waves or ripples.
A thick housepainter's BRUSH dips in, revealing its paint.
The BRUSH is extracted, paint dripping like congealing blood.
FOLLOW THE BRUSH to reveal..."|speech|unknown|?|
3||INT. A HOUSE - NIGHT|location|||
4|unknown|"A white wall, where the BRUSH is moved horizontally, leaving
a thick continuous stripe, until the paint thins out.
A WOMAN'S HAND plunges the BRUSH back into the paint can,
then takes up creating the stripe again, painting the wall:
until it reaches &pleated drape --
-- and doesn't stop. A window and another drape receive the
same treatment before the BRUSH is re-dipped.
A PUPPY,
a sad-eyed basset hound, sits on the floor watching, a bit
perplexed. This is WALTER and even he knows this is weird.
The dog looks over to...
A FOUR-YEAR-OLD GIRL
standing next to him, also watching. This is RACHEL. Dark
haired, in a plain dress. Her large eyes are welling on the
verge of tears.
The BRUSH is dragged across the wall, hits a wooden picture
frame, moves across a cheap oil painting of a pastoral,
forest scene, and over the other edge of the frame.
Another ANGLE takes in the red line, five feet high, parallel
to the floor, extending around a modest living room.
Painting the line is BARBARA LANG, in her thirties, yet worn,
haggard- She hasn't slept in a while.
The precision of her work, her concentration, her focus, as
the line runs across a wall and into a corner, is more than a
little frightening."|speech|unknown|?|
5|"RACHEL
Mommy"|"BARBARA hears nothing, says nothing, just wipes a paint drip.
This is a very careful line."|speech|RACHELMommy|?|
6|RACHEL|"Momma, come play with me. In my room.
But her mother keeps painting across a door."|speech|RACHEL|F|True
7|RACHEL|"Right now, mommy, okay?
BARBARA looks at her, or rather through her. And continues
her task. RACHEL steps forward, tugs on her mom's"|speech|RACHEL|F|True
8|RACHEL|"I got a idea, we could--
-- and gets , , splat, right-in the face with the brush"|speech|RACHEL|F|True
9||"A TOY AMBULANCE sits on the floor. RACHEL's tiny hand
deliberately presses a button on it. The TOY responds with a"|stage direction|||
10|THE KITCHEN|wheep whe ep siren, then:|speech|THE KITCHEN|F|
11|"AMBULANCE VOICE
(CANNED; TINNY)"|"If you need help, dial nine one one.
If you need help, dial nine one one.
A WALL-MOUNTED PHONE
RACHEL's HAND struggles to reach the buttons to dial 9-1-1.
BARBARA's still painting the wall in the background.
RACHEL (O.S.)
Hello? It's my mom. She's doing
some... some wrong things. She's
doing wrong things, so, and, you
should come."|speech|AMBULANCE VOICE|?|
12||EXT. THE STREET - FROM ABOVE - NIGHT|location|||
13|"AMBULANCE VOICE
(CANNED; TINNY)"|"A light rain falls on an AMBULANCE sitting next to a POLICE
Its dashing red lights
CRUISER with its doors flung open.
splash over the umbrella carrying NEIGHBORS, in pajamas and
robes, watching...
TWO E.M.S. WORKERS drag a struggling BARBARA across a lawn,
her hands in plastic restraining cuffs.
A wet RACHEL stands by a kneeling POLICE OFFICER holding a
poncho over her head."|speech|AMBULANCE VOICE|?|
14|POLICEMAN|"Rachel? Rachel, are you okay?
She keeps staring off, watching her mother being stuffed into
the ambulance."|speech|POLICEMAN|?|
15|RACHEL|"Momma!
She starts towards her, but the OFFICER holds her back."|speech|RACHEL|F|True
16|POLICEMAN|"Honey, she just has to go somewhere,
to get some rest, so she'll feel
better.
As the AMBULANCE pulls away, RACHEL catches a glimpse of her
mother in the rear windows, watching her."|speech|POLICEMAN|?|
17|POLICEMAN|"is your dad around? When's he get
home from work?
I don't have a dad.
The POLICEMAN collects himself."|speech|POLICEMAN|?|
18|POLICEMAN|"Okay. Then we're going to take you
someplace nice, with a family, a
really nice family, till we get all
this sorted out."|speech|POLICEMAN|?|
19|(QUIETLY)|No.|speech|||
20|"POLICMIAN
WE'LL JUS
RACHEL"|"She breaks free, races into.
4."|speech|POLICMIANWE'LL JUSRACHEL|?|
21||INT. THE HOUSE - NIGHT|location|||
22|"POLICMIAN
WE'LL JUS
RACHEL"|"Where she runs down the entrance hall. Behind her, outside,
as the POLICEMAN runs toward the front door, it --
SLAMS by itself, right in his face.
FOLLOW RACHEL as she rushes through the living room and down
a hall. Another door slams shut behind her."|speech|POLICMIANWE'LL JUSRACHEL|?|
23|HER ROOM|"She spins, frightened by the door that closed behind her. To
her left...
A WINDOW crashes shut, startling her. Then, like a wave
moving in a circle around her, another WINDOW bangs down, a
DOOR slams shut, another WINDOW. Scared, RACHEL backs into"|speech|HER ROOM|F|
24|A CLOSET|"where she finds WALTER huddling and cradles him in her arms.
The CLOSET DOOR swings shut, sealing her off from the world."|speech|A CLOSET|?|
25|FROM ABOVE|"In the dark, RACHEL is in a fetal position on the floor, dry
eyed, in shock, curled around her puppy.
There's the far-off sound of POUNDING on a door."|speech|FROM ABOVE|M|
26|DISSOLVE TO:|"NT. A DARKENED BEDROOM - DAWN
RACHEL, now 17, is curled in bed around WALTER, also now a
far more senior dog. She's enmeshed in tangled white
Small TATTOOS come into view -- A delicate angel with broken
wings on her ankle. A small EGYPTIAN ANKH is etched on her
shoulder blade.
Wrapped around her upper arm is an elegant THORN BAND
encircling a HEART, either protecting or imprisoning it.
There's a knock on her bedroom door.
WOMAN (O.S.)
Rachel. c et up. You're gonna be late
again.
She rolls over, blinks awake. She's beautiful, with sensual
lips framed by raven black hair."|speech|DISSOLVE TO:|?|
27|RACHEL|joy.|speech|RACHEL|F|True
28|CUT TO|BLACK. A SUPER burns in:|speech|CUT TO|?|
29||M. O N D A Y|stage direction|||
30||FADE INTO:|unknown|||
31|CUT TO|"A PAN AROUND RACHEL'S ROOM
the usual teenage mess, clothes strewn everywhere. A POSTER
of Jim Morrison reads: ""No One Here Gets Out Alive.""
RACHEL stands before her dresser mirror, in a ratty bathrobe,
putting on a small nose stud. She dons her daily armor --
-- Slipping on multiple earrings.
-- Applying Kohl around her eyes.
-- Shrugging on a T-shirt with a photo of Sharon Tate
captioned ""Manson Sucks"".
-- Disheveling her long black hair.
Scooping up WALTER, she kisses him, takes him to an open
ground floor window.
Sorry, Walt.
And gently lowers him outside."|speech|CUT TO|?|
32||EXT. A HOUSE - MORNING|location|||
33|CUT TO|"It's not the home RACHEL lived in with BARBARA. This one is
run down and in the section of town where people have cars in
their yards they've abandoned tinkering with. The lawn is
overgrown, there's broken glass on the street."|speech|CUT TO|?|
34||INT. KITCHEN - MORNING|location|||
35|CUT TO|"The crammed eat-in-kitchen of the WALLACE house. EMILYN,
40's, is ironing a waitress uniform on the counter. A groggy
BOYD, 40's, enters, he's a trucker and looks like one. He
goes straight for the refrigerator.
BOYD and his wife EMILYN have taken in RACHEL as a foster kid
to augment their income.
6."|speech|CUT TO|?|
36||RACHEL is alone at a formica table, eating cereal. BOYD|stage direction|||
37|CUT TO|looks at his ..rife.|speech|CUT TO|?|
38|"BOYD
(YAWNS)"|Working tonight?|speech|BOYD|F|True
39|EMILYN|Graveyard shift, again.|speech|EMILYN|F|
40|(TO RACHEL)|"Was the dog in the house last night?
He's allowed in the morning."|speech|||
41|BOYD|"(head in refrigerator)
Daytime, yes; nighttime, no. We've
been over this ground.
I only brought him in this morning.
No juice?"|speech|BOYD|F|True
42|EMILYN|We're out of a lot of things.|speech|EMILYN|F|
43|(TO RACHEL)|"I heard dog noises last night.
When I was trying to sleep."|speech|||
44|(LOUDER)|"Walter was not in the house last
night."|speech|||
45|BOYD|"(shoots Rachel a look)
You watch that voice in this house.
While you're here, you'll respect her
as your mother, and treat her as such."|speech|BOYD|F|True
46|RACHEL|"(lowers her eyes, mumbles)
Sorry.
She picks through her cold cereal in silence."|speech|RACHEL|F|True
47|EMILYN|"Your mom's making progress isn't she,
on the new medicacions, the
tricyclics?
7."|speech|EMILYN|F|
48|RACHEL|Yes, ma'am.|speech|RACHEL|F|True
49|(BEAT)|"May I be excused?
Without waiting for a reply, she stands and gathers the bowl.
(casually, a routine)
And you should take that thing outta
your nose. Don't you have enough
holes in your head?
As she turns away, RACHEL makes a face, but replies."|speech|||
50|RACHEL|Yes, sir.|speech|RACHEL|F|True
51||EXT. HOUSE - MORNING|location|||
52|RACHEL|"RACHEL stands outside, clad in a long dark overcoat, with a
black backpack. WALTER sits next to her, behind a fence.
A YELLOW SCHOOL BUS pulls up."|speech|RACHEL|F|True
53|RACHEL|"Later, Walt.
On WALTER, bummed.
WITHIN THE SCHOOL BUS
A gaggle of young KIDS in faded denims and pastels. RACHEL
moves to the back, sits with LISA PARKER, who could be her
younger sister, also dressed Goth, black lace and metal.
LISA has a HEART-THORN TATTOO around her arm, like RACHEL's."|speech|RACHEL|F|True
54|"LISA
(SMILES)"|Well, hullo.|speech|LISA|F|True
55|RACHEL|"She speaks. She opens her mouth
and sounds come out. The sounds
are words.
LTA gives her a Cheshire cat grin."|speech|RACHEL|F|True
56|LISA|"What's wrong, fcscer-dad bein' a
pain again?
8."|speech|LISA|F|True
57|RACHEL|Why are you so weiz.ly happy?|speech|RACHEL|F|True
58|LISA|o I look any different?|speech|LISA|F|True
59|RACHEL|Do you look any...|speech|RACHEL|F|True
60|(GETTING IT)|Oh, my gawd. You did it.|speech|||
61|LISA|"Yep.
With who?"|speech|LISA|F|True
62|LISA|"You'd never believe me if I told you.
I'm bringing him to lunch."|speech|LISA|F|True
63|RACHEL|C'mon. ' 1 Fess up.|speech|RACHEL|F|True
64|LISA|"All will be revealed in due time.
RACHEL pulls out a worn Anne Rice paperback from her ba
gives it to LISA."|speech|LISA|F|True
65|RACHEL|You suck.|speech|RACHEL|F|True
66|LISA|"I love you too.
Simultaneously, they bite their thumbs, then press them
together; a pantomime of blood sisters."|speech|LISA|F|True
67|LISA / RACHEL|"Best Blood. / Best Blood.
ARNIE, a skinny, pimply stoner, plops into the seat behind
them, sticks his head on their seatback, smiles full braces."|speech|LISA / RACHEL|?|
68|ARNIE|"Hi there gruesome twosome, how 'bout
a threesome?"|speech|ARNIE|F|True
69|LISA|"(ignoring him, to Rachel)
Lunch. Meet me in the parking lot.
9."|speech|LISA|F|True
70||EXT. BERGEN HIGH SCHOOL - MORNING|location|||
71|LISA|"A modern, windowless school, shrouded in mist. It's
beautiful in an eerie ""Fall of the House of Usher"" way.
E SCHOOL ENTRANCE - MORNING
Hung over the concrete entrance is a large bedsheet BANNER
with oversized red lettering:
CRUSH CARLIN FRIDAY!
The school mascot, a scrappy BULLDOG wearing a CROWN tilted
at a rakish angle, is also drawn on the banner.
FADE IN -- KNOTS of STUDENTS, like spectral figures.
The two major school cliques are...
on the front steps. Land of burnouts, step-kids, Metalheat s
skateboard junkiei-and other lost souls.
A STONER KID kicks his skateboard up and catches it. HIS
BUDDY follows suit and misses, suffering the embarrassment of
watching his board shoot down the steps whose metal rail
separates Freak Hall and..,"|speech|LISA|F|True
72|THE PATIO|"a courtyard with concrete tables where the school's royalty
hold court. The cleancut ""Patio People"" are the jocks,
student government types and others who have no idea what it
is to be alone on a Saturday night.
At the patio is a pack of muscular jocks in football letter
jackets reading ""Bulldogs"", some sport caps marked ""Dawgs:
There's JESSE RYAN, handsome, longish hair, a young Eddie
Vedor if Eddie ever played football. Next to him is...
MARK BING, good looking, with a body like a fist.
Behind them, arrayed around a concrete table are the large,
doltish BRAD, hearty rich boy CHUCK, and the arrogant ERIC.
CHUCKS looks over a plain looking GIRL on the Patio."|speech|THE PATIO|F|
73|CHUCK|"(aside, low)
Hey, Mark, the girl over there,
how many if I do her?
10.
Six."|speech|CHUCK|F|True
74|"BRAD
(MIFFED)"|"Hold it. I did her last week,
I only got five."|speech|BRAD|M|True
75|MARK|"She was having a bad hairday.
A group of PATIO GIRLS sit at another table. Among them is
MONICA, a stunning brunette, AMY a cute redhead and TRACY, an
icy BLONDE who could spend all day checking her makeup.
JESSE looks over. TRACY graces him with a smile and turns
away. MARK leans in to JESSE."|speech|MARK|M|True
76|MARK|"Hey, Jess. Tracy, she wants you, man.
Jump her bones."|speech|MARK|M|True
77|I JESSE|Yeah, whatever.|speech|I JESSE|?|
78|CHUCK|"What's the matter with you, she's got
an ass stamped ""Made in Heaven"|speech|CHUCK|F|True
79|JESSE|"I don't know, you ever have a
conversation with her? It's like
talking down a well. She only wants
me cause I'm on the football team."|speech|JESSE|F|True
80|MARK|"So what? You want her to want you
cause of your dazzling personality?
Look, you want someone to talk to,
you got us. H, you screw.
THE SCHOOL BUS
RACHEL and LISA hop off and walk past the Patio. CHUCK
watches LISA pass."|speech|MARK|M|True
81|"CHUCK
(ASIDE)"|Woof- Coyote date.|speech|CHUCK|F|True
82|JESSE|That's harsh, man, keep it down.|speech|JESSE|F|True
83|"11
ERIC"|What's a coyote date?|speech|11ERIC|?|
84|MARK|"When you wake up in the morning, and
she's sleeping on your arm, and the
only way to get up is to wake her.
So you gnaw your arm off instead.
BRAD snorts a laugh.
A goatee'd ENGLISH TEACHER nods to both camps as he passes."|speech|MARK|M|True
85|ENGLISH TEACHER|"Hello Montagues, hello Capulets.
A BELL goes off and the STUDENTS start filing into school.
LISA waves the tips of her fingers to RACHEL, bye-bye.
RACHEL looks over, catches a glimpse of JESSE, across the
line of demarcation. For a piece of a second it seems as if
he's looking back. She drops her head, walks away."|speech|ENGLISH TEACHER|?|True
86||INT. ENGLISH CLASS - DAY|location|||
