|character|text|type
0||GODZILLA|location
1||"by
Dean Devlin & Roland Emmerich
First Draft 2/19/96"|unknown
2||"FADE IN:
An iguana...
Crawling off its nest, leaving its eggs exposed."|stage direction
3||1  EXT. MORUROA ATOLL ISLANDS, FRENCH POLYNESIA - PACIFIC       1|unknown
4||"Grainy, Kodak color, nineteen sixties documentary
footage of a beautiful Polynesian island. We SEE quick
shots of Kimono Dragons, Gila Monsters and Chameleons
all in their natural tropical environment.
Super:"|stage direction
5||"Moruro Atoll Islands, French Polynesia - June
1968"|location
6||"Incongruously over this jungle environment we HEAR a
static ridden radio filtered VOICE, slowly counting down
in French. It is almost as through the reptiles of the
island are reacting to the countdown as they anxiously
move about.
Suddenly with a brilliant FLASH OF WHITE LIGHT, a
nuclear EXPLOSION mushrooms into the sky.
We SEE a SERIES of REAL shots of footage of some of the
over one hundred and sixty official nuclear tests the
French government held in this tropical region.
Explosion after explosion devastates the locale. One
building after the next, accelerating in momentum,
culminating in one final EXPLOSION.
The clould-filled sky begins to drizzle. The ash-like
fallout drifts downward onto what's left of the islands
below.
We FOLLOW this ash as it settles next to a dead reptile,
unrecognizable now, and down onto what's left of the
lizard's eggs.
Suddenly the image clears from the grainy footage to
clean, modern high resolution. We ZOOM IN on one of the
eggs as it slowly gets buried in the falling ash. WE
continue to push in, getting closer...closer..."|stage direction
7||"SMASH CUT TO:
2  EXT. PACIFIC OCEAN - OIL TANKER - RAINSTORM - NIGHT          2"|unknown
8||"Smashing through the choppy waters, barely by the storm
we SEE the CORI AKIDO, a Japanese oil supertanker.
Super:"|stage direction
9||Pacific Ocean, present day|location
10||3  INT. CORI AKIDO - BRIDGE - NIGHT                             3|unknown
11||"We TRACK across the complicated computerized
navigational console that is actually steering the
immense ship. In the b.g. we HEAR a Japanese t.v.
program playing.
At the end of the console is the ship's SKIPPER, an
overweight Japanese seaman sleepily watches a snowy
satellite broadcast of a Sumo wrestling match.
Suddenly the SONAR blares out a warning ALARM. Startled,
the Skipper awakes and stumbles out of his chair over to
the console.
The SONAR displays an enormous MASS heading quickly
toward the ship. The Skipper's eyes go wide. He hits a
KLAXON alarm, awaking the entire ship. He presses the
radio/intercom."|stage direction
12||(in Japanese)|unknown
13|SKIPPER|"Captain. This is the bridge. We have
an emergency."|speech
14||4  INT. SUPERTANKER'S HALLWAYS - SAME - NIGHT                   4|unknown
15||"Alarms BLARING. The crew rushes out of their quarters
and into the hall. Quickly they race for the upper
decks."|stage direction
16||5  INT. OTHER HALLWAY - BY KITCHEN                              5|unknown
17||"The ship's elderly COOK pokes his head out of the
kitchen and yells at some of the crew as they pass by."|stage direction
18||(in Japanese)|unknown
19|COOK|What's going on? What's happening?|speech
20||"Before anyone can answer, the ship is ROCKED by an
enormous THUD as something hits the side of the immense
ship. The crew TUMBLES as the ship SWAYS VIOLENTLY.
The old Cook is thrown to the floor. He looks up
nervously."|stage direction
21||6  INT. BRIDGE - SAME - NIGHT                                   6|unknown
22||"The CAPTAIN enters quickly, joining the Skipper at the
console."|stage direction
23||(in Japanese)|unknown
24|CAPTAIN|What was that!?|speech
25||(in Japanese)|unknown
26|SKIPPER|I can't tell...|speech
27||"Again, the ship is HIT. An enormous CRASHING SOUND is
HEARD as the ship ROCKS to one side, tossing the Captain
and Skipper to the floor.
Suddenly we HEAR the tell-tale, famous SCREAMING WAIL of
our creature from somewhere outside. Terror shines in
the Captain's eyes at the sound."|stage direction
28||7  INT. HALLWAYS - CONTINUOUS - NIGHT                           7|unknown
29||"The crew, getting back on their feet, reacts to the
horrible WAILING SOUND.
Suddenly the ship is HIT AGAIN. This time something
enormous RIPS THROUGH THE HULL, crushing one of the crew
members as it TEARS THROUGH THE WALLS.
Water RUSHES THROUGH the large gaping hole, quickly
filling the hallway. The Cook and what's left of the
crew scurry for the stairs, as the water level chases
them."|stage direction
30||8  INT. BRIDGE - SAME - NIGHT                                   8|unknown
31||"The ship's computers are WHIRLING with warning lights
and alarms. As the Skipper tries to adjust the controls
in vain, the Captain grabs the ship's p.a. system."|stage direction
32||(in Japanese)|unknown
33|CAPTAIN|"Abandon ship! Abandon ship! Man the
lifeboats..."|speech
34||"But before he can say anything more, something WHIPS
across the bridge's enormous windshield, SHATTERING THE
GLASS. Was it a tail? No way, far too big."|stage direction
35||9  EXT. SHIP'S DECK - SAME - NIGHT                              9|unknown
36||"The doors BURST open as the crew and the Cook rush out
onto the deck. Again, the ship is HIT, ROCKING it
violently.
A TARP
is ripped away, revealing a life boat. Two more life
boats are revealed behind it as the crew desperately
tries to hoist them up and over the side.
ANGLE - WATER BESIDE THE TANKER
Something ENORMOUS jolts out of the water towards the
ship. Through the rainstorm it is hard to make out what
it is, but it SLAMS into the side of the ship, RIPPING
INTO IT, pulling down the starboard side as it does.
Could that have been a CLAW?
THE CREW
Are thrown backwards. The lifeboats swing WILDLY,
several of them SMASHING INTO BITS as they slam against
the ship.
THE CLAW
Or whatever it is, RIPS INTO THE SIDE AGAIN. This time
the entire ship begins to FLIP OVER.
A LIFEBOAT
Bounces off the deck and slides off the side. Following
it is the Cook.
Desperately, the Cook grabs onto the ship's side railing
to keep from falling off. He looks back and SEES
something so horrible that he SCREAMS IN TERROR and lets
go of the railing.
The old Cook slides over the side as the enormous tanker
FLIPS OVER."|stage direction
37||CUT TO:|unknown
38||"WINDSHIELD WIPERS
Clearing at their highest speed, we see through the rain
doused windshield, DR. NIKO ""NICK"" TATOPOULOS. Music
blares from the tiny headphones of his Walkman."|stage direction
39||(singing)|unknown
40|NICK|"...I'm singing in the rain, just
singing in the rain..."|speech
41||"CUT TO:
10  INT. RUSSIAN TOWN - RAIN - DAY                              10"|unknown
42||"The utility van races through this small Russian town
right past a roadblock marked with the international
signs for ""no trespass"" and ""nuclear radiation."""|stage direction
43|NICK|"...""What a glorious feeling. I'm happy
again..."""|speech
44||"As the van disappears down the road, we CRANE UP
revealing a city sign reading: CHERNOBYL, RUSSIA."|stage direction
45||11  EXT. CHERNOBYL DIRT PARK - RAIN - DAY                       11|unknown
46||"With the infamously crippled nuclear power plant in the
distance, the utility van slides to a muddy stop by this
field of dirt.
Nick hops out quickly and rushes to the back of the van.
He opens the back of the van and grabs several metallic
cases.
Walking a few yards away from the van, he dumps the
cases on the ground, opening them to REVEAL an
assortment of sophisticated scientific equipment.
Taped to the inside are several photos of a girl we'll
meet later. Some of the photos are of her looking young
and beautiful. Others are of the two of them happily
together.
With a switch he turns on the equipment which comes to
life. Inside one of the cases are several cables
attached to long SPIKES. He grabs them and dashes away."|stage direction
47|NICK|"...""I'm laughing at clouds, so dark up
above..."""|speech
48||"Nick rushes over to a small patch of land and begins to
SHOVE the spikes into the muddy earth."|stage direction
49|NICK|"...""The sun's in my heart and I'm
ready for love..."""|speech
50||"Once firmly in the ground, he rushes back over to the
van and pops the hood.
CLOSE - VAN'S ENGINE
We SEE the steaming engine and a large electric car
BATTERY."|stage direction
51|NICK|"...""Let the cloudy skies chase..."""|speech
52||"He attaches the cables to the battery and they SPARK!
Nick YELPS and jumps back. Shaking off the shock, he
rushes back over to the mud pit, dropping down to his
knees.
Suddenly, raising from the mud we see DOZENS OF
EARTHWORMS. Excitedly Tatopoulos grabs a big empty glass
jar and begins filling the jar with worms, happily in
his element."|stage direction
53|NICK|"...""I'm singin' in the mud, just
scooping up my worms..."""|speech
54||"Unable to hear over his Walkman, he is oblivious as an
enormous RUSSIAN MILITARY HELICOPTER lands right behind
him.
From the intense wind kicked up by the helicopter,
Tatopoulos finally turns in time to see several RUSSIAN
OFFICERS coming toward him. Nick scrambles to his feet."|stage direction
55||(broken Russian)|unknown
56|NICK|"Good day. I am here with
permission...I have a, a..."|speech
57||(in English)|unknown
58|NICK|Permit. How do you say permit?|speech
59||He goes through his pockets looking for his permits.|stage direction
60|MALE VOICE (O.S.)|Dr. Nick Topopolosis?|speech
61||"Tatopoulos looks up as the Russian soldiers move past
him and over towards his cases of equipment. A man in a
long raincoat comes forward."|stage direction
62|NICK|It's Tatopoulos.|speech
63|TERRINGTON|The worm guy, right?|speech
64||"(extending his hand as he
approaches)"|unknown
65|TERRINGTON|"Kyle Terrington, U.S. State
Department."|speech
66||"The Russian soldiers close up his equipment and take it
off to the Helicopter."|stage direction
67|NICK|What are they doing?|speech
68|TERRINGTON|You've been reassigned.|speech
69|NICK|"You can't shut me down now! My
research here's not finished!"|speech
70|TERRINGTON|It is now.|speech
71||"CUT TO:
12  EXT. PAPEETE - TAHITI - STREET - DAY                        12"|unknown
72||"Coastal town of Papeete, Tahiti. With the ocean in the
distance, through the heat waves we SEE a row of
official looking black sedans coming toward us."|stage direction
73||13  EXT. PAPEETE HOSPITAL - CONTINUOUS - DAY                    13|unknown
74||"The doors to the sedans open as a group of very official
looking Government types. Stopping to light his
cigarette is PHILLIP RAYMOND, 40's, intense, dangerous
and worst of all...French."|stage direction
75||14  INT. HOSPITAL HALLWAY - MOMENTS LATER - DAY                 14|unknown
76||"Raymond leads the official looking group down the hall.
A BRIEFING OFFICER rushes over. (The following dialog is
entirely in French with subtitles)"|stage direction
77|BRIEFING OFFICER|"The Japanese consulate has been
calling and we've been getting
pressure from the Americans."|speech
78|RAYMOND|What did you tell them?|speech
79|BRIEFING OFFICER|Nothing yet.|speech
80|RAYMOND|Are there any other survivors?|speech
81|BRIEFING OFFICER|Only one, Sir. He was very lucky.|speech
82||"The group arrives at a door at the end of the hall. The
Briefing Officer opens the door.
RAYMOND'S P.O.V. - THROUGH OPEN DOOR
In the corner of the large room we see the old Cook from
the tanker curled up in the fetal position. The doctors
and a few nurses are attending to him."|stage direction
83|RAYMOND|Get them out of there.|speech
84||"Two of the Officials move in and escort the Doctors and
Nurses out of the room. Raymond nods to two other
Officials who begin to unpack some recording equipment,
including a video camera."|stage direction
85||15  INT. HOSPITAL ROOM - SAME                                   15|unknown
86||"Raymond enters and moves close to the old Cook, kneeling
down in front of him, inspecting his distant glare. The
old Cook seems to be in a world of his own, rocking back
and forth. Raymond nods to another Official who comes
forward."|stage direction
87||(in French)|unknown
88|RAYMOND|Ask him what happened.|speech
89||"The Second Official ask him in Japanese, but the old
Cook does not respond. He asks again but the old Cook
seems to be in a world of his own."|stage direction
90||(in English)|unknown
91|BRIEFING OFFICER|"It's no use. He's been like this since
we fished him out of the ocean.
Whatever happened to that tanker put
him in a complete state of shock."|speech
