|character|text|type
0||"""MISSION TO MARS""
Screenplay by
Jim Thomas, John Thomas & Graham Yost
Story by"|unknown
1|unknown|Lowell Cannon, Jim Thomas & John Thomas|speech
2||SHOOTING DRAFT|unknown
3||FADE IN:|stage direction
4||EXT. LATE AFTERNOON SKY|location
5||"Blue sky, a few puffs of cloud, pierced by slanting rays of
sunlight. Late afternoon on a perfect day.
SUPER TITLE: ""HOUSTON, TEXAS. JULY 4, 2020.""
As we hear, after a few more beats, an ASTRONAUT'S VOICE."|stage direction
6|PHIL|"T minus ten, nine, eight, start
ignition sequence, five, four, three,
two, one, ignition... Liftoff!"|speech
7||"A tiny red streak zips into the sky, then bursts with a faint,
ludicrous POP. A bottle rocket. We hear CHILDREN'S LAUGHTER,
excited SHOUTS."|stage direction
8||EXT. LAWN PARTY. LUKE GRAHAM'S HOUSE. LATE AFTERNOON|location
9||"DESCENDING, we see PHIL OHLMYER, late 20's, kneeling, with a
gaggle of eager CHILDREN around him. Phil, an astronaut, has
got an impressive array of fireworks lined up, and is using
an empty longneck as his launching tube."|stage direction
10||(all at once)|location
11|CHILDREN|"My turn! My turn! No, I was next!
No, me! Uncle Phil, Uncle Phil, can
I do one? I want to do one!"|speech
12|PHIL|"Guys, guys, please! This is risky
stuff here. And I'm a highly trained
professional."|speech
13||"Derisive GROANS from the kids, more SHOUTS. Phil grins.
There's little danger NASA will ever use him on a recruiting
poster: he's messy, very hyper. Phil waves his hands for
silence."|stage direction
14|PHIL|"Okay, okay! Uncle Phil will launch
another booster..."|speech
15||"Another astronaut, RENEE COTE, a tall, very fit French woman,
is walking by with a fresh six-pack. She tosses a beer and
Phil catches it."|stage direction
16|PHIL|"...just as soon as he completes his
fuel intake."|speech
17||"ANGLE FOLLOWS COTE
Who grins, walking away from Phil and the kids, as we begin
to get a better sense of the scope of this party. We are in
the big back yard of a middle-class home in a Houston suburb.
DOZENS OF PEOPLE - astronauts, NASA personnel, and their
families -- are gathered around picnic tables or spread-out
blankets. Lots of red, white and blue bunting, lots of
balloons. We hear snatches of MUSIC, mostly country-flavored,
from dueling boomboxes. Futuristic Frisbees are being tossed
about. A banner, strung between trees, reads ""BON VOYAGE,
MARS ONE!!!"""|stage direction
18|WILLIS|"It'll take us six months just to get
to Mars. Another year on the surface,
then six months back. That's two
years..."|speech
19||"Passing the banner, Cote lobs a beer to another astronaut,
NICHOLAS WILLIS, who snags it neatly. He's got his other arm
around the waist of a PRETTY GIRL. As Cote moves OUT OF FRAME,
ANGLE LINGERS on these two. Willis, a very young astronaut,
early 20s, is recruiting poster material, and knows it all
too well."|stage direction
20|WILLIS|"I guess what I'm trying to say is,
since this is my last night on Earth,
it's gonna be a very precious memory
to me. Y'know?"|speech
21|PRETTY GIRL|Nice try, Nick.|speech
22||"As the Pretty Girl slips out of his grasp, laughing, and
walks away, Willis shrugs philosophically. He pops open his
beer, swigs it.
ANGLE FOLLOWS THE PRETTY GIRL As she swerves around an open-
pit barbecue, where other ASTRONAUTS are gathered. Cote has
paused here, too, distributing the last of her beers. SERGEI
KIROV, a Russian cosmonaut, is watching some kids nearby as
they play a game of wiffle ball. He turns, grinning beerily
at the chef."|stage direction
23|KIROV|"Hey, Woody, our Mars One crew won't
be heading back to Earth till ten
days after you guys land at our base
camp with Mars Two. That's a pretty
good long rendezvous."|speech
24||"WOODY BLAKE, late 30s, is a big, rangy guy in a cowboy hat
over a Hawaiian shirt and a ""KISS THE CHEF"" apron. An entire
pig is turning on a spit over the flames, and Woody is basting
this as he smiles at Malik."|stage direction
25|WOODY|What are you suggesting, Sergei?|speech
26|KIROV|"Maybe you should bring a baseball
bat. Yes? American baseball? Our two
crews could have ourselves a little
Solar System Series."|speech
27|WOODY|"Please. Half you guys are foreigners.
We'd crush you."|speech
28|KIROV|"No, no, we have equal crews. Three
men, one woman. Same handicap."|speech
29||He grins teasingly at Cote, who makes a face at him.|stage direction
30|WOODY|"Easy now, you're talking about my
wife."|speech
31||(seeing her approach)|location
32|WOODY|"And Terri just happens to be one
helluva shortstop."|speech
33||"DR. TERRI FISHER, early 30s, passes by with a platter of
corn-on-the-cob. Short, sturdy body, a face made attractive
by its alert, questing intelligence. She pauses to kiss
Woody's cheek; there's a wonderful, sexy spark between them.
Then she glances at Kirov, all business now."|stage direction
34|TERRI|"Fast pitch, no steals, batter calls
his own strikes. Thousand bucks make
it interesting?"|speech
35||"He's a bit rattled by her cockiness, and looks at Cote, who
smiles, nods her cool agreement."|stage direction
36|COTE|Eh bien. Winner take all.|speech
37|TERRI|Good.|speech
38||"(smiles sweetly at
Kirov)"|location
39|TERRI|Bring some balls.|speech
40||"The other men ooooh at this, busting on Kirov and Cote, as
Terri moves on. Woody, watching her go, has a thousand-watt
grin."|stage direction
41|WOODY|"You wanna know the sad part?
Technically I outrank her. But if we
want any peace at all on Mars Two,
I'm gonna be saying a lot of ""Yes,
dears."""|speech
42||"The others laugh.
ANGLE FOLLOWS TERRI as she dodges a PACK OF KIDS -- they run
by her, shrieking happily - before she finally reaches a
picnic table, where ASTRONAUTS' WIVES are opening containers
of baked beans, coleslaw, and potato salad."|stage direction
43|1ST WIFE|"...just not sure how I feel about
NASA allowing couples to go on this
type of mission together."|speech
44||"One of the other women raises a warning eyebrow, and the 1st
Wife turns, sees Terri setting down her platter."|stage direction
45||(embarrassed)|location
46|1ST WIFE|"Nothing personal, Terri. It's just
that, well, it's kind of a funny
feeling for those of us staying
behind."|speech
47||(carefully neutral)|location
48|TERRI|"All the research shows that marriage
will provide stability on these long
duration trips."|speech
49|2ND WIFE|"Then they haven't studied some of
the couples I've known."|speech
50||"Laughter at this. Terri smiles politely -- she doesn't really
have much in common with these women -- before moving on.
ANGLE LINGERS on the wives, who watch her go with a slight
tinge of jealousy. One of them is looking around."|stage direction
51|3RD WIFE|Anybody seen Jim McConnell?|speech
52|4TH WIFE|I don't think he's coming.|speech
53|1ST WIFE|God, that poor man. How's he doing?|speech
54|2ND WIFE|"Totally losing it, from what I hear.
Can't sleep, can't eat. Visits her
grave almost every day."|speech
55||(lowers her voice)|location
56|2ND WIFE|They say he could lose mission status.|speech
57|3RD WIFE|"Oh, that's so sad. That is just so
tragic. You go to a routine physical
one day, and wham."|speech
58|4TH WIFE|"After all those years of training,
too. It was their whole dream."|speech
59|1ST WIFE|"Must be a pretty funny feeling for
Luke Graham. Y'know? Now he's gonna
be in the history books. First man
on Mars..."|speech
60||"She shakes her head, awed by the thought. The others nod in
agreement, following her glance...
In the distance, a lone MALE FIGURE stands by the garage,
his back to them, facing the parked cars, vans, and SUVs
which stretch down the driveway and along the street. Another
figure, a WOMAN, can be seen approaching him.
CLOSER ANGLE FOLLOWS the moving woman -- DEBRA GRAHAM, early
30s, very attractive -- until she reaches her husband. LUKE
GRAHAM, mid 30s, has the lean, fit body of an astronaut, the
restless intellect of a scientist. He's unaware of her
approach until she touches his shoulder. He looks at her
with an apologetic smile."|stage direction
61|DEBRA|He's not coming, Luke.|speech
62|LUKE|"Jim deserves this, too. All his
friends are here. And it's my last
night."|speech
63||(gently)|location
64|DEBRA|Your last night with us, too.|speech
65||"He looks at her, moved. She summons a smile. He slides his
arms around her waist, kisses her forehead."|stage direction
66|LUKE|I love you, Deb.|speech
67|DEBRA|"I love you too, baby. But maybe you
should spend some time with Bobby."|speech
68|LUKE|Yeah. I will. Where is he?|speech
69|DEBRA|Up in his fort.|speech
70||"He kisses her again, then goes. Debra's eyes follow him,
with a mixture of pride and sadness.
ANGLE FOLLOWS Luke away from the garage, into"|stage direction
71||EXT. THE BACK YARD. LATE AFTERNOON|location
