|character|text|type|character_clean|gender|principal_character
0||BRINGING OUT THE DEAD|location|||
1||"First draft (11/7/97)
Paul Schrader
From the novel by
Joseph Connelly
After World War One it was called
Shell Shock.
After World War Two it was called
Battle Fatigue.
After Vietnam it was called
Post Traumatic Stress Disorder.
Frank Pierce, 28, drives an EMS vehicle for
Our Lady of Mercy Hospital, New York City.
He has been a paramedic for five years."|unknown|||
2||EXT. NEW YORK STREETS--NIGHT|location|||
3||"An EMS ""bus"" careens around a corner, tires squealing, lights
flashing, siren whoop-whooping, swooping through Stygian
canyons of New York.
FRANK PIERCE, 28, drives. He wears dark cargo pants, black
boots, a white shirt with the paramedic badge, ""EMS"" gold
logo on one collar, ""OLM"" on the other. ""Our Lady of Mercy
Paramedic"" is inscribed in white across the back of his
navy jacket. On his belt: two-way radio, leather gloves,
beeper, drug kit, multi-purpose tool kit, mini-flashlight,
collapsible baton.
LARRY, 35, overweight, his partner for the night, rides techie
(shotgun), both hands clutching the dash.
Frank scans the blurring cityscape for hidden danger. He is
a young man of slight frame and open face--his life, his
possible futures, still before him: behind those open eyes,
beneath those dark shadows: hollowness beckons.
Dispatcher's voice crackles through the cab static: ""Ladder
4, respond to a 10-22, four flight residential, 417 East 32.
13 Boy, men's room Grand Central, man set his pants on fire.
Bad burns. 17 David, at 177 East 24, there's a
woman who says a roach crawled in her ear. Can't get it out,
says she's going into cardiac arrest ...""
Frank's detached voice speaks over the urban landscape:"|stage direction|||
4|FRANK (V.O.)|"Thursday started out with a bang: a
gunshot to the chest on a drug deal
gone bad. Heat, humidity, moonlight--
all the elements in place for a long
weekend. I was good at my job: there
were periods when my hands moved
with a speed and skill beyond me and
my mind worked with a cool authority
I had never known. But in the last
year I had started to lose that
control. Things had turned bad. I
hadn't saved anyone for months. I
just needed a few slow nights, a
week without tragedy followed by a
couple of days off."|speech|FRANK|M|True
5||"The radio continues: ""Zebra, 13Z, 524 East 17--"""|stage direction|||
6||(on radio)|location|||
7|LARRY|We're there.|speech|LARRY|M|True
8||"The ambulance breaks to a halt in front of a row of vintage
walk-ups. Frank and Larry jump out: Frank lugs the EKG monitor
and airway bag, Larry the drug box, yellow oxygen
pack slung over his shoulder. Neighbors crowd around."|stage direction|||
9|OLD WOMAN|Which apartment? Which apartment?|speech|OLD WOMAN|?|
10|FRANK|Move back. Where's the stairs? 5A.|speech|FRANK|M|True
11|OLD WOMAN|Oh Jesus, it's Mr. Burke.|speech|OLD WOMAN|?|
12||"The front door opens, a young boy holding it.
Author's note: in emergency situations, either on the street
or in the hospital, it is assumed there is continual
background noise--voices, sirens, cries, questions, etc."|stage direction|||
13||CUT TO:|unknown|||
14||INT. TENEMENT STAIRWELL--NIGHT|location|||
15||"Four flights up: Frank and Larry climbing rotting steps,
gray-yellow painted walls, red doors with three locks each,
Larry, out of breath, his stomach rolling around like a
bowling ball in a bag."|stage direction|||
16||CUT TO:|unknown|||
17||INT. BURKE APARTMENT--NIGHT|location|||
18||"They enter 5A. MRS. BURKE, 55, her eyes run dry, standing in
the center of the room, surrounded by neighbors. Someone
leads them to the BEDROOM where Mr. Burke, 60, lies unmoving,
stretched on the bed. A young woman, MARY BURKE, 24, kneels
over the old man, pressing her lips to his flaccid mouth.
JOHN BURKE, 30, grabs Franks arm:"|stage direction|||
19|JOHN|"We were just watching TV and Dad
yelled out and started punching his
chest, next thing he locked himself
in the bathroom. I said we were gonna
call you guys and he said not to.
He was crying, I never heard him
crying before, then he sorta stopped.
We pulled him out and put him on the
bed."|speech|JOHN|M|
20||Frank and Larry moving the body to the floor:|stage direction|||
21|FRANK|How long ago did he stop breathing?|speech|FRANK|M|True
22|JOHN|"Maybe ten minutes. Woman on the phone
tried to tell us how to do CPR.
Please, you gotta do something."|speech|JOHN|M|
23|FRANK|We'll do all we can.|speech|FRANK|M|True
24||"Larry ripping open Mr. Burke's shirt, prepping electrode
patches, hooking wires, Frank opening Burke's mouth, feeling
a puff of gas escape; Larry calling for backup. Burke's EKG
rhythm on the monitor a flat green line.
Frank's training takes over: he injects the long steel
laryngoscope down Burke's throat, he finds a vein, injects
epinephrine, followed by atrophine, followed by another epi:
no response on the monitor. Larry pulls out the paddles:"|stage direction|||
25|FRANK (CONT'D)|Clear! Clear!|speech|FRANK|M|True
26||"Larry activates defibrillator, shock--Burke's body heaves.
Sweat drips from Larry's nose onto Burke's chest."|stage direction|||
27|MARY|No more, please don't!|speech|MARY|F|True
28||"They shock him again. This time the body moves less. Frank
glances up: Mr. and Mrs. Burke's wedding photo sits on the
nightstand. Other pictures: a day at the beach, a young
serviceman, happy parents. Frank's mind drifts:"|stage direction|||
29|FRANK (V.O.)|"In the last year I had come to believe
in such things as spirits leaving
the body and not wanting to be put
back, spirits angry at the awkward
places death had left them.  I
understood how crazy it was to think
this way, but I was convinced if I
turned around, I'd see Old Man Burke
standing at the window, watching,
waiting for us to finish."|speech|FRANK|M|True
30||"Frank feels Burke's heart beneath cracked ribs. The EEG
remains flat. He's dead. It's time to quit."|stage direction|||
31||(to Larry)|location|||
32|FRANK (CONT'D)|"I'll take over. Call ER and ask for
an eighty-three."|speech|FRANK|M|True
33||(to Mrs. Burke)|location|||
34|FRANK (CONT'D)|Sorry.|speech|FRANK|M|True
35||"Larry stands, breathing heavy, looks for a phone. Frank turns
to notice relatives and neighbors standing around."|stage direction|||
36|FRANK (CONT'D)|Do you have any music?|speech|FRANK|M|True
37|MARY|What?|speech|MARY|F|True
38|FRANK|"Music. I think it helps if you play
something he liked."|speech|FRANK|M|True
39|MARY|John, play the Sinatra.|speech|MARY|F|True
40||John enters crying. Mary repeats softly:|stage direction|||
41|MARY|Play the Sinatra.|speech|MARY|F|True
42||"John exits. Frank notices Mary for the first time: blond
hair dyed black, cut short, loose fitting tank dress, black
makeup running down her cheeks. He notices her prom picture,
glances back to Mary: it seems she hasn't smiled since that
day eight years before. Something special about her, that
something that hits you right away.
""September of My Years"" plays from the other room. Frank
continues massaging Mr. Burke's chest (now to Sinatra beat),
even though it's hopeless. Larry returns:"|stage direction|||
43|LARRY|"It's OK, Frank. We can call it. Eighty-
three."|speech|LARRY|M|True
44||"Frank feels something strange, looks into Burke's pupils,
checks his neck pulse, wrist pulse. His eyes go to Larry:"|stage direction|||
45|FRANK|No we can't. He's got a pulse.|speech|FRANK|M|True
46|LARRY|No shit.|speech|LARRY|M|True
47||"Larry checks the monitor: the green line up and down. Mary
senses a change in status:"|stage direction|||
48|MARY|Is he going to be alright?|speech|MARY|F|True
49||(not encouraging)|location|||
50|FRANK|His heart's beating.|speech|FRANK|M|True
