|character|text|type|character_clean|gender|principal_character
0||"OCEAN'S TWELVE
Written by
George Nolfi
ROUGH DRAFT
1    A MULTI-COLORED SCREEN                                      1
After a few introductory credits, we pull back to reveal the
source of this kaleidoscopic backdrop: A SINGLE, STRIPED
TULIP, planted in a long row of other tulips. A HAND reaches
in and pulls the tulip from the ground. We then cut to:
1A   A BASKET of tulips, carried by hand to a truck, where it    1A
is loaded with hundreds of other baskets. The door of the
truck is SHUT and we cut to:
1B   The door of the truck OPENING to reveal that the tulips    1B
are now boxed and crated. A forklift moves the crates onto a
wagon, which is driven by a MANNED CART across the biggest
warehouse on the planet, the Bloenen Markt (CHECK THIS--
steven) in Amsterdam, Netherlands. The cart and wagons we
were following disappear into a maze of synchronized
activity.
1C   The cart arrives in the AUCTION ROOM, which is             1C
constructed like an ampitheater: the buyers sit in a steeply
raked semi-circle, facing two giant, clock-shaped scoreboards
that display the bids on the flowers being viewed. The
striped tulips fetch a very high price.
1D   The carts of striped tulips are delivered to an automated 1D
sorting apparatus of enormous size and complexity. They end
up on a truck heading for the airport.
1E   The tulips are loaded onto a plane. During the transatlantic
flight, they sit nestled in the cargo hold.
1F   The tulips are unloaded from the plane, driven across an    1F
airport tarmac and loaded onto another plane.
1G   The tulips are unloaded from the plane and loaded onto a   1G
truck. The truck drives through a small town and pulls into
the back of a
2    EXT./INT. FLOWER SHOP -- DAY                                2
A YOUNG MAN takes delivery of the flowers and carries them
through the rear of the store to the display area up front.
We stay on the tulips as we hear the following conversation:
CUSTOMER"|unknown|||
1||Wow. How do they do that?|stage direction|||
2||"(CONTINUED)
2.
2   CONTINUED:                                                  2
OWNER
It's an accident. It means the
flower developed a virus early
in the bulb stage. The flaws
create the unusual coloring.
CUSTOMER
Can you arrange something for me
with those?
OWNER
Of course. What kind of price range
are you looking for?
Now we SEE the customer: TESS.
TESS
Well, it's for my parent's
anniversary. They don't know I'm
coming. I just want it to be
beautiful. Can you just do whatever
you think looks best?
OWNER
I'll need a few minutes.
TESS
Take your time, please. And thank
you.
The Owner moves toward a corner of the store where the
flowers are arranged. Tess walks around, looking at the rest
of the store.
Tess looks out the window. A black sedan is pulling up at the
curb.
OWNER
That should be some surprise.
TESS
Which?
OWNER
For your parents.
TESS
Oh. Yes. I hope so.
One of the POWER TWINS gets out of the driver's side door and
crosses in front of the car. Tess starts moving away from the
window.
(CONTINUED)
3.
2   CONTINUED: (2)                                               2
OWNER
Which one is it?
TESS
I'm sorry?
OWNER
Anniversary.
TESS
Oh. Fortieth
OWNER
Wow. Okay. I think I have an idea.
Something classic.
The Power Twin opens the rear passenger side door, revealing
TERRY BENEDICT.
Tess turns away from the window.
TESS
Do you have a bathroom?
OWNER
Straight back, on the left. It's
unisex.
TESS
Thank you.
Tess scurries to the back.
OWNER
(to Tess, a caveat)
It's unisex!
Tess flies past the bathroom and heads for the back door. She
pushes through it and runs right into Power Twin No. 2.
CUT TO:
3   EXT. HOUSE -- DAY                                           3
A nice place on the eastern seaboard. We hear the faint sound
of a phone ring.
4.
4   INT. HOUSE -- DAY                                             4
Danny Ocean picks up the receiver, checks the caller ID. He
smiles and answers:
DANNY
Miguel Diaz speaking.
Almost immediately, his expression clouds. He looks at his
watch.
DANNY (cont'd)
Tess, Tess. It's okay. You remember
what we talked about, if this
happened? All right. Call me in
twenty-four hours on that number.
He hangs up the phone and runs out of the house. He doesn't
take anything with him.
5   EXT. HOUSE -- DAY                                             5
Danny runs out of the house and down the street, leaving his
car in the driveway.
6   INT. CAR -- DAY                                               6
Tess, floral arrangement in her lap, sits in the car with
Benedict.
BENEDICT
The Baldwins.
TESS
What about them?
BENEDICT
We had dinner with them three years
ago. You talked about your parent's
anniversary.
She says nothing.
BENEDICT (cont'd)
I'm getting married next month.
TESS
So am I.
(CONTINUED)
5.
6    CONTINUED:                                                     6
A beat.
BENEDICT"|unknown|||
3||"Well, I hope Danny is as good as he
thinks he is. A bouquet toss in
prison can get pretty ugly."|stage direction|||
4||"7    INT. BANK VAULT -- DAY                                        7
Danny takes a safe deposit box out of a wall, He opens the
box, revealing a CELL PHONE and some CASH.
8    EXT. TRAIN STATION (NOT A BIG ONE) -- DAY                     8
Danny boards a train.
9    INT. AMTRAK TRAIN -- DAY                                      9
The landscape hurtles by. We pan over to find Danny sitting
next to the window. We continue to pan and find REUBEN
TISHKOFF seated next to a group of male commuters."|unknown|||
5||(over)|unknown|||
6||"I really think you're being too
sensitive. She's crazy about you. I
can tell."|stage direction|||
7||"10   INT. SPA -- DAY                                              10
REUBEN lies in a mud bath, his face covered with a dried
exfoliating ""mask"" treatment. There is a cigar in one hand
and a cellphone in the other. His eyes are closed to the sun."|unknown|||
8||"Joyce, she's ninety-two. I'm all
she has left."|stage direction|||
9||(beat)|unknown|||
10||"The wheelchair thing was an
accident, she's having some trouble
with the joystick. I'll adjust it."|stage direction|||
11||(beat)|unknown|||
12||"I told you, when her mouth hangs
open like that, that means she's
happy."|stage direction|||
13||(beat)|unknown|||
14||I am. When are you coming over?|stage direction|||
15||(beat)|unknown|||
16||"(CONTINUED)
6.
10   CONTINUED:                                                    10"|unknown|||
17||"You're tired because you work too
much. You don't have to work all
the time. Don't you want to take a
break? Those trays look so heavy."|stage direction|||
18||(beat)|unknown|||
19||Of course. How could you ask that?|stage direction|||
20||(beat)|unknown|||
21||"Because when I heard you laugh, all
my problems disappeared."|stage direction|||
