|character|text|type
0|unknown|"MAX PAYNE
Written by"|speech
1||"Beau Michael Thorne
8/24/2007
OVER BLACK:
MAX'S VOICE
C
I don't believe in heaven, but I have
this idea about it. Something I heard in
a song."|unknown
2||FADE IN:|stage direction
3||"White.
pristine, empty frame.   Clean and peaceful."|unknown
4||"Heaven is a place where nothing ever
happens."|unknown
5||"There's gentle motion in the blank frame, like swirling 16mm
grain. A RUMBLE starts to build, low but growing louder...
The grain moves faster, big chunks fluttering, now a dirty
dishwater grey. The RUMBLE becoming a HOWLING WIND.
Churning black water LAPS at the bottom of the frame..."|stage direction
6||EXT. HUDSON RIVER - DAWN|location
7||"A blizzard, at the peak of its power. Visibility zero, New
York reduced to the hulking shapes of buildings on the banks.
MAX PAYNE thrashes in the water, a long way from shore."|stage direction
8||"MAX'S VOICE
There's an army of bodies under this
river. Criminals, people who ran out of
time, out of friends."|unknown
9||"Chunks of ice float in the dirty water around him. Max's
body freezing, skin turning blue. Heavy winter clothes
saturating, like an anchor dragging him down..."|stage direction
10||"MAX'S VOICE
The next time they drag this river,
they'll find me on the bottom with the
rest of them. And there won't be anybody
left to say I was different."|unknown
11||Max's face sinks below the surface...|stage direction
12||CUT TO:|unknown
13||INT. HALLWAY - DAY|location
14||"Nothing to orient us to the location, the time. Just a flash
of golden light filling the hall, warm as the river was cold.
Around a closed door, sunlight streams through the gaps...
BEDROOM
A WOMAN sleeps on the bed, curled up around a bundled BABY.
Is this the final, peaceful memory of a drowning man?
Something's wrong, then: the woman's body in an unnatural
position, more thrown than laid across the bed. The crib
tipped over, blankets scattered. Her eyes frozen open.
Something BLACK flutters against the window pane, CRACKING
into the glass. The sound of the BLIZZARD creeps in...
RESUME - HUDSON RIVER
Wind POUNDS the river where Max had once been, but there's no
more thrashing in the water. Mixed in behind the falling
snowflakes, BLACK SHAPES swirl and dive closer to the water."|stage direction
15||MAX'S VOICE|unknown
16||"I could feel the dead down there, just
below my feet. Reaching up to welcome me
as one of their own."|location
17||"Max breaks the surface - GASPING, STRUGGLING against the
undertow. Not simply trying to breathe...trying to swim."|stage direction
18||MAX'S VOICE|unknown
19||It was an easy mistake to make.|location
20||CUT TO:|unknown
21||EXT. STREET (NYC) - NIGHT|location
22||"Abruptly, the snow is gone. Just a bitter wind left in its
place, whipping through desolate streets long after midnight.
Shuffling up the littered sidewalk, three rough-looking MEN
duck out of the wind by descending down to the subway...
On the dark side of the street, a pair of BOOTS follows them.
TITLE CARD:      ONE WEEK EARLIER"|stage direction
23||INT. ROSCOE ST. STATION - DAY|location
