|character|text|type
0||"COLOMBIANA
Written by
Robert Mark Kamen & Luc Besson
August 2009"|unknown
1||"ON A BLACK SCREEN
BOGOTA, COLOMBIA 1997
CLOSE ON A PAGE OF A LARA CROFT COMIC BOOK
Being copied, with uncanny precision, down to the last
detail, by a ten year old hand clutching a pencil."|stage direction
2|VOICE|Cataleya!|speech
3||"The page of a notebook turns, revealing neat cursive
handwriting, covers the comic.
PULL BACK TO"|stage direction
4||INT. CAT'S HOME - DAY|location
5||"CATALEYA RESTREPO, CAT for short, a contained, very
centered 10 year old, pretty, but with a toughness, sitting
at the dining room table, in a well kept, but modest home,
with windows that look out over the steep hillside favela,
attends to her notebook.
On the window there are half a dozen beautiful orchid
plants. The rare Cataleya orchid. All around there are
packed cartons, suitcases. Moving day is at hand."|stage direction
6|MOTHER|"Cat! Is your homework finished
yet?"|speech
7|CAT|Working on it Mama.|speech
8||"Her mother, taking time off from packing, comes over to
Cat, and turns the page of the notebook to reveal the Lara
Croft comic and it's copy."|stage direction
9|MOTHER|"You draw beautifully my love, but
if you want to be something in
life you have to study."|speech
10|CAT|"I am studying Mama. I want to be
a super hero."|speech
11||Her mother turns the page back to the lessons.|stage direction
12|MOTHER|Better to be a doctor. A lawyer.|speech
13|CAT|"Are we going to see Uncle Emilio?
2."|speech
14|MOTHER|"I don't know. Just waiting to
hear from your father."|speech
15||"Cat looks up at a picture on the wall of the family. Cat,
her mother, and her father. Her face carries a bit of
worry."|stage direction
16||CLOSE ON|location
17|DON LUIS|I can't believe this.|speech
18||"Mid 40'S, a gentleman, calm, courteous, impeccably dressed.
PULL BACK TO"|stage direction
19||EXT. DON LUIS'S GARDEN - DAY|location
20||"At a table, with bottle of liquor and two glasses, Don
Luis sits opposite..."|stage direction
21|FABIO|Why not?|speech
22||"Cat's father. Off to the side, Don Luis's right hand man,
MARCO, stands like any right hand, unobtrusive."|stage direction
23|DON LUIS|"Because I love you Fabio. Like a
brother."|speech
24|FABIO|"And I love you Don Luis. Like a
brother."|speech
25||He turns to Marco.|stage direction
26|DON LUIS|"Can you believe this guy Marco?
We started when we were little...how
old were we Fabio?"|speech
27|FABIO|Ten.|speech
28|DON LUIS|"Ten year old bastards stealing
apples from the carts in the market.
After all we've been through.
And now we're on top, he wants to
leave..."|speech
29|FABIO|"Luis, I'm going to be honest with
you. You remember I had that
operation?
3."|speech
30|DON LUIS|That was last year.|speech
31|FABIO|"Since then, I'm not a hundred
percent. And you can't do this
thing if you're not a hundred
percent. I'm tired."|speech
32|DON LUIS|So you'll take a rest.|speech
33|FABIO|"You know how many times we should
have been dead?"|speech
34|DON LUIS|I don't even want to count.|speech
35|FABIO|"Neither do I. But you gotta think.
How lucky we are to still be alive."|speech
36|DON LUIS|"Yeah. That's right. We're alive.
And what about the future of this
thing we built?"|speech
37|FABIO|"It's yours. It's not my thing any
more."|speech
38|DON LUIS|"I'm not going to talk you out of
it, am I cabron?"|speech
39|FABIO|"I'll always be there for you Luis.
Just pick up the phone, I'm there."|speech
40|DON LUIS|"I'm gonna hold you to that. You
bastard."|speech
41|(EMOTIONAL)|I'm going to miss you.|speech
42|FABIO|And I'm going to miss you.|speech
43|DON LUIS|"OK. Enough of this sentimental
bullshit. Next we'll be crying
like two old women. Come on! One
last drink, huh?"|speech
44||He pours the liquor into the glasses.|stage direction
45|DON LUIS|"To the future.
4."|speech
46||They tap glasses.|stage direction
47|FABIO|Bueno.|speech
48||They shoot the liquor down. Fabio rises.|stage direction
49|DON LUIS|So. Business is all clear?|speech
50|FABIO|All clear.|speech
51||He hands Don Luis a computer disc.|stage direction
52|FABIO|It's all here.|speech
53|DON LUIS|No other copies?|speech
54|FABIO|You even have to ask?|speech
55|DON LUIS|Hey.|speech
56||"He shrugs. Opens his arms. The two men embrace. Close
as brothers."|stage direction
57|FABIO|"Adios Marco. Make sure he doesn't
get in too much trouble."|speech
58|MARCO|Adios Don Fabio. I'll do my best.|speech
59||"And with that, Fabio exits the garden. Don Luis watches
him, sad to see his friend go. Sighs deeply, pours himself
a whiskey, downs it, turns to Marco."|stage direction
60|DON LUIS|Kill this motherfucker.|speech
61||INT. CAR - DAY|location
62||"Two men, holding automatics in their laps sit in the back,
the driver in the front. They see Fabio very contained,
calm, walking towards them. The driver turns the engine
on. Fabio slips into the passenger seat. The car takes
off.
Fabio explodes. Smashes the dashboard. Over and over."|stage direction
63|FABIO|This fucker! The motherfucker!|speech
64||He keeps banging the dash.|stage direction
65|FABIO|5.|speech
66|DRIVER|Not OK Boss?|speech
67|FABIO|"This bastard thinks I'm an idiot.
Playing it all mellow and shit.
If he would have yelled and screamed
and threatened to kill my whole
family, it would have been OK. We
have an hour to get out of here.
At most."|speech
68||Off the nervous looks of the guys in the car...|stage direction
69||EXT. CAT'S HOME - DAY|location
70||"Fabio's car comes to a screeching halt. Fabio exits to
three other gunmen, nervous, on edge. The gunmen from the
car take defensive positions. Fabio runs up the stairs."|stage direction
71||INT. CAT'S HOME - DAY|location
72||"Cat is still at the table drawing, when she hears the
screeching of tires, the fast footsteps outside. She senses
a storm coming. Fabio bursts in. His wife sees his tension
filled face."|stage direction
73|MOTHER|Fabio?|speech
74|FABIO|We've got ten minutes.|speech
75|"MOTHER
(PANICKED)"|Cataleya, go pack!|speech
76|CAT|I'm packed Mama.|speech
