|character|text|type
0||"POINT BREAK
by
James Cameron
Kathryn Bigelow
From the Screenplay by
W. Peter Iliff"|unknown
1||"FADE IN:
We are in the belly of a wave.
Light refracts in a constant collision of water.
SLOW MOTION, the hallucinatory prisms, like liquid
diamonds taking flight, dreamlike..."|stage direction
2||EXT.  OCEAN - DUSK|location
3||"Backlit against a flaming sun a solitary SURFER glides
across the green glassy peak.  TIME IS STRETCHED until his
movements gain a grace and fluidity not of this world.
Total Zen concentration.  Body weight centered, eyes
forward and on the next section."|stage direction
4||EXT.  URBAN STREET - DUSK|location
5||"SLOW MOTION ON a black sedan.
Creeping along store fronts.  Past a Winchell's.
PEOPLE splash steps down rain-washed sidewalks in DREAM
MOTION.  The sedan turns past the FIRST VIRGINIA BANK and
into an alley."|stage direction
6||INT.  BLACK SEDAN|location
7||"TWO MEN and ONE WOMAN in SUSPENDED TIME put on overcoats
and hats.  Under their hats strips of Scotch tape stretch
taut from the base of their nose to their forehead,
hideously distorting their features.  Makes them look like
human PIGS."|stage direction
8||EXT.  OCEAN|location
9||"SILVERY in this light, almost metallic, as if from some
future-scape.  The lone surfer SHREDS a long, endless
right wall.
ACCELERATING INTO REAL TIME -- as he stares into the pit,
digs in, drops into the sweet spot on the wave, hunkers
down.
His moves becoming aggressive, frenzied--"|stage direction
10||INT.  BLACK SEDAN|location
11||"An M-16 clip is SMACKED into place and cocked with a
CACHACK!  Ammo clips are SNICK-SNICKED into handgun butts
and a long clip is SSSNICKED into an UZI.
Watches are checked.  The PIG NOSE people nod to each
other."|stage direction
12||EXT.  BANK|location
13||"Pig Nose #1, steals into position near the glass doors,
slams his back to the wall, weapon to cheek, breath fast."|stage direction
14||EXT.  OCEAN|location
15||"FAST NOW -- the surfboard rips a brutal gash in the face
of the wave.  The surfer TRIMS down the line, pivoting the
board and going straight down, CARVING the bottom.  He
slashes viciously back toward the lip and--
In a radical INVERTED AIR ATTACK sails SIX feet above the
wave in an explosion of water--"|stage direction
16||INT.  BANK|location
17||"--BAAAAAAMMM!
Glass doors explode OPEN and Pig Nose #1 SPINS inside.  He
fires a burst into the ceiling.  BRRAAMM!!"|stage direction
18|PIG NOSE #1|EVERYBODY on the floor!|speech
19||"PEOPLE drop.
VERY FAST HERE--
Two bandits handle BANK EMPLOYEES and customers--
Another PIG NOSE watches the door--
Pig Nose #1 moves behind counter, Uzi and canvas sack in
hand."|stage direction
20||INT.  SURVEILLANCE VAN|location
21||"Dark. Monitors SHOW SLOW SCANS of the bank INTERIOR.
Two MEN wear headphones and black windbreakers with FBI
stenciled on the back.  One watches with binoculars."|stage direction
22|BINOCULARS|"Bingo.  We're on.  Let's go.
Where's the big college
quarterback?!  Are you with us,
Utah?"|speech
23||EXT.  BANK WALL|location
24||"A MAN in his twenties.  His head spins revealing rain-
slicked hair and face, eyes wide, bright.  An edgy
handsomeness to him.
He pops a stick of Wrigley's in his mouth, rests a shotgun
on one leg and leans against the wall.  He wears a
headset... through which we hear the FBI guy yelling for
him.
This is JOHNNY UTAH."|stage direction
25|BINOCULARS (FILTERED)|Utah, where the hell are ya!?|speech
26||Utah takes his headset off...|stage direction
27||INT.  BANK|location
28||"Pig Nose #1 LEAPS over the counter, holds a canvas sack
filled with booty from tellers' drawers."|stage direction
29|PIG NOSE #1|Fuckin' shake it!|speech
30||"Pig Nose #2 nods with his snubby nose, hurries toward the
exit."|stage direction
31||EXT.  FIRST VIRGINIA BANK|location
32||"The bandits burst through the doors and sprint to the
alley where they jump into the SEDAN.  THE DRIVER, the
WOMAN PIG NOSE, punches it and the TIRES WHIRRR on the
slick pavement.
The sedan launches down the alley.
Utah running.  Like a freight train.  Splashing through a
cross-alley.  He doesn't break stride as he slams his
shoulder into a large, steel GARBAGE DUMPSTER.
DRIVING it like a football training sled into the ALLEY
where--
THE SEDAN LOCKS 'EM UP seconds too late as it SKIDS and
SLAMS into it, CRUNCHING into the brick wall and--
Still alive -- GRINDS into reverse back down the alley,
HEADLIGHTS SMASHED, it guns it backward as--
UTAH leaps over the dumpster and sprints after the car.
He has a brick in his right hand.  He cocks it back.
Johnny HEAVES the brick thirty yards and--
SMASH!  The brick EXPLODES into the windshield,
SPIDERWEBBING the glass.
Lady Pignose flinches from the glass fragments thrown into
her face."|stage direction
33|LADY PIGNOSE|Son of a bitch!|speech
