|text|type
0|"SPEED RACER
Written by"|location
1|"Larry & Andy Wachowski
1st Draft
January 4th, 2007"|unknown
2|INT. ELEMENTARY SCHOOL CLASSROOM - DAY - PAST|location
3|He stares at the clock, pencil poised, waiting until the|stage direction
4|INT. TEACHER'S OFFICE - DAY - PAST|location
5|INT. ELEMENTARY SCHOOL CLASSROOM - DAY - PAST|location
6|EXT. ELEMENTARY SCHOOL|location
7|INT. THUNDERHEAD LOCKER ROOM - NIGHT - PRESENT|location
8|EXT. THUNDERHEAD RACEWAY - NIGHT - PAST|location
9|INT. CAR|location
10|EXT. THUNDERHEAD RACEWAY - NIGHT|location
11|INT. CAR|location
12|REX (CONT'D)|stage direction
13|"REX (CONT'D)
Close your eyes and listen."|stage direction
14|REX (CONT'D)|stage direction
15|REX (CONT'D)|stage direction
16|SPEED|stage direction
17|EXT. THUNDERHEAD RACEWAY -= NIGHT - PRESENT|location
18|INT. MEDIA ROW|location
19|INT. CAR|location
20|EXT. TECH PIT|location
21|EXT. THUNDERHEAD RACEWAY - NIGHT|location
22|EXT. TECH PIT|location
23|EXT. THUNDERHEAD RACEWAY - NIGHT|location
24|EXT. TECH PIT|location
25|EXT. THUNDERHEAD RACEWAY - NIGHT - PAST|location
26|EXT. GRANDSTANDS|location
27|EXT. CREW PIT|location
28|EXT. THUNDERHEAD RACEWAY|location
29|INT. MEDIA ROW - PRESENT|location
30|EXT. GRANDSTANDS|location
31|EXT. SUBURBAN STREET- DAY - PAST|location
32|INT. POP'S GARAGE|location
33|EXT. THUNDERHEAD RACEWAY - NIGHT - PRESENT|location
34|INT. MEDIA ROW|location
35|EXT. THUNDERHEAD RACEWAY - NIGHT|location
36|INT. REX'S ROOM - NIGHT - PAST|location
37|INT. RACER LIVING ROOM|location
38|EXT. THUNDERHEAD RACEWAY - NIGHT PRESENT|location
39|INT. RACER LIVING ROOM - NIGHT - PAST|location
40|EXT. THUNDERHEAD RACEWAY - NIGHT - PRESENT|location
41|INT. YOUNG SPEED'S BEDROOM|location
42|EXT. THUNDERHEAD RACEWAY - NIGHT - PRESENT|location
43|EXT. SCHOOL YARD - DAY - PAST|location
44|EXT. THUNDERHEAD RACEWAY - NIGHT - PRESENT|location
45|INT. MEDIA ROW|location
46|INT. RACER LIVING ROOM - NIGHT - PAST|location
47|EXT. THUNDERHEAD RACEWAY -- NIGHT - PRESENT|location
48|INT. YOUNG SPEED'S BEDROOM - PAST|location
49|EXT. THUNDERHEAD RACEWAY - NIGHT - PRESENT|location
50|INT. MEDIA ROW|location
51|INT. RACER X'S PENTHOUSE - NIGHT|location
52|EXT. RACER HOUSE - MORNING|location
53|INT. KITCHEN|location
54|SPR ITTLE|stage direction
55|SPRITTLE (CONT'D)|stage direction
56|INT. PARENTS BEDROOM|location
57|INT. SPEED'S ROOM|location
58|INT. KITCHEN|location
59|INT. LIVING ROOM|location
60|INT. KITCHEN|location
61|REMMINGTON (CONT'D)|stage direction
62|EXT. COSMOPOLIS - DAY|location
63|INT. K-HARRIER.|location
64|EXT. REMMINGTON INDUSTRIES|location
65|INT. HANGER/FOYER|location
66|INT. TRAMWAY|location
67|REMMINGTON (CONT'D)|stage direction
68|INT. REMMINGTON CAR MUSEUM|location
69|INT. TRAMWAY|location
70|INT. ENERGY-CELL THEATRE|location
71|INT. TRAMWAY|location
72|INT. ELEVATOR|location
73|INT. TRAINING AQUARIUM|location
74|INT. ELEVATOR|location
75|INT. DRIVERS' CLUB|location
76|INT. PENTHOUSE|location
77|INT. CRUNCHER BLOCK'S OFFICE|location
78|He begins opening a large package wrapped with butcher|stage direction
79|INT.'TRUCK CAB|location
80|INT. CRUNCHER BLOCK'S OFFICE|location
81|INT. TRUCK CAB|location
82|INT. CRUNCHER BLOCK'S OFFICE|location
83|INT. TRUCK CAB|location
84|INT. CRUNCHER BLOCK'S OFFICE|location
85|INT. TRUCK CAB|location
86|INT. CRUNCHER BLOCK'S OFFICE|location
87|EXT. LONELY HIGHWAY|location
88|INT. RACER X'S CAR|location
89|INT. ELEMENTARY SCHOOL CLASSROOM|location
90|EXT. ELEMENTARY SCHOOL.|location
91|INT. MACH 5|location
92|INT. REMMINGTON INDUSTRIES T-180 FACTORY|location
93|"The new GRX has a super charged
inner-positive transporter and
will be capable of speeds in
excess off 800 kilometers an hour."|stage direction
94|INT. MACH 5|location
95|INT. RACER GARAGE|location
96|INT. K--HARRIER|location
97|INT. REMMINGTON INDUSTRIES LANDING DOCK|location
98|INT. K-HARRIER|location
99|INT. REMMINGTON'S OFFICE|location
100|INT. K-HARRIER|location
101|CLEANING MAN (CONT'D)|stage direction
102|INT. REMMINGTON'S OFFICE|location
103|INT. TRAMWAY|location
104|INT. REMMINGTON'S OFFICE|location
105|INT. TRAMWAY|location
106|INT. REMMINGTON'S OFFICE|location
107|REMMINGTON (CONT'D)|stage direction
108|INT. TRAMWAY|location
109|INT. REMMINGTON'S OFFICE|location
110|EXT. FUJI HELEXICON|location
111|EXT. STARTING LINE|location
112|INT. REMMINGTON'S OFFICE|location
113|INT. FUJI ANNOUNCER'S BOOTH|location
114|EXT. HELEXICON TRACK|location
115|INT. FUJI ANNOUNCER'S BOOTH|location
116|EXT. HELEXICON TRACK|location
117|INT. LUXURY BOOTH|location
118|EXT. HELEXICON TRACK|location
119|EXT. UPPER BOX GRAND STANDS|location
120|INT. REMMINGTON'S OFFICE|location
121|EXT. HELEXICON TRACK|location
122|EXT. GRANDSTANDS|location
123|INT. HELEXICON PENTHOUSE|location
124|INT. REMMINGTON'S OFFICE|location
125|EXT. RACER HOUSE|location
126|INT. REMMINGTON'S OFFICE|location
127|INT. SPEED'S ROOM|location
128|INT. RACER LIVING ROOM - PAST|location
129|INT. SPEED'S ROOM - PRESENT|location
130|INT. RACER LIVING ROOM - DAY|location
131|EXT. RACER HOUSE|location
132|INT. RACER LIVING ROOM - DAY|location
133|EXT. INSPIRATION POINT - NIGHT|location
134|INT. REMMINGTON'S OFFICE|location
135|INT. CASA CRISTO BLIMP|location
136|INT. HOTEL|location
137|INT. CASA CRISTO BLIMP|location
138|INT. MACH 5|location
139|INT. INSPECTOR'S OFFICE|location
140|INT. CASA CRISTO BLIMP|location
141|INT. KATSU'S CAR|location
142|INT. CASA CRISTO BLIMP|location
143|INT. RACER X'S CAR|location
144|INT. C.I.B. DESIGN LAB|location
145|INT. CASA CRISTO BLIMP|location
146|EXT. STARTING LINE|location
147|INT. RACER DEN|location
148|EXT. DESERT VISTA|location
149|EXT. RAMPART|location
150|INT. MACH 5|location
151|EXT. CASA CRISTO MEMORIAL|location
152|EXT. RAMPART|location
153|INT. CRUNCHER'S HOTEL ROOM|location
154|EXT. RAMPART|location
155|EXT. CASA CRISTO|location
156|INT. HELICPOTER|location
157|INT. RACER X'S CAR|location
158|INT. HOTEL SUITE|location
159|EXT. CASA CRISTO|location
160|INT. HOTEL SUITE|location
161|EXT. CASA CRISTO|location
162|INT. CASA CRISTO BLIMP|location
163|EXT. ZUNUBIAN DESERT|location
164|EXT. SQUARE|location
165|EXT. ZUNUBIAN DESERT|location
166|INT. HELICOPTER|location
167|INT. MACH 5|location
168|EXT. ZUNUBIAN DESERT|location
169|INT. BASEMENT|location
170|INT. CASA CRISTO BLIMP|location
171|EXT. DESERT FLATS|location
172|INT. CASA CRISTO BLIMP|location
173|EXT. RACER BACKYARD|location
174|INT. RACER DEN|location
175|INT. CASA CRISTO BLIMP|location
176|EXT. CORTEGA|location
177|INT. CASA CRISTO BLIMP|location
178|INT. LUXURY CORTEGAN HOTEL|location
179|INT. REMMINGTON'S OFFICE|location
180|INT. RACER HOTEL ROOM|location
181|INT. HALLWAY|location
182|INT. RACER HOTEL ROOM|location
183|SPEED (CONT'D)|stage direction
184|INT. HALLWAY|location
185|INT. HOTEL SUITE|location
186|EXT. HOTEL|location
