|character|text|type
0||by|unknown
1||Ed Solomon and John August|stage direction
2||"current revisions by
Zak Penn
EARLY DRAFT
August 11, 1999"|unknown
3||"CHARLIE'S ANGELS - 8/18/99
FADE IN:"|stage direction
4||EXT. THE BIG BLUE SKY - DAY|location
5||A VIRGIN AIR 747 bursts through the clouds and levels off.|stage direction
6||INT. VIRGIN AIR 747 - DAY|location
7||"We move through the FIRST CLASS CABIN. It's the regular
mix of first class people: OLD MONEY in Gucci enjoying
freshly baked cookies, a MILLIONAIRE in jeans and a T-
shirt, BUSINESS PEOPLE relaxing after a tough day, and...
...a very nervous MAN.
Shifty-eyed. Alone in an aisle seat, the emergency row.
We hold on him for a moment, but not for too long. Then
we continue moving into --
THE COACH SECTION
Stopping at the lavatory, the ""OCCUPIED"" sign switches to
""VACANT"" and...
JAMES EARL JONES
(or actually, a James Earl Jones type, who for ease of
description, we'll simply refer to as James Earl Jones)
steps out of the restroom, in full African regalia:
multi-colored dashiki, mufti (it's a kind of hat), the
works. He heads up the aisle towards --
THE FIRST CLASS CABIN
Where he is stopped by a --"|stage direction
8||"FLIGHT ATTENDANT
I'm sorry, sir. This cabin is
restricted to first cl..."|unknown
9||Mr. Jones now removes a FIRST CLASS TICKET.|stage direction
10||"JAMES EARL JONES
Is this what you're looking for?"|unknown
11||"She looks at it -- a little confused as to why he's just
handing it to her now -- but then she nods. As he passes:"|stage direction
12||"FLIGHT ATTENDANT
Oh, I'm sorry. Please. Is there
anything I can get you?
JAMES EARL JONES
Scotch, blended. Straight."|unknown
13||"He continues into the first class cabin and toward --
CHARLIE'S ANGELS - 8/18/99                              2.
THE FIRST CLASS EMERGENCY ROOM
Where he slides in past the nervous, shifty-eyed man (his
name is PASQUAL) and sits by the window.
After a moment, Pasqual quietly clears his throat and
leans, slightly, towards Jones."|stage direction
14||"PASQUAL
(tentatively)"|unknown
15||They say birds can't fly this high.|location
16||JAMES EARL JONES|unknown
17||They say only angels can.|location
18||"Now Pasqual nods. Nervously begins to remove something
from his pocket when they are interrupted by --"|stage direction
19||FLIGHT ATTENDANT|unknown
20||Shall I pour your scotch?|location
21||JAMES EARL JONES|unknown
22||No -- I'll take the bottle. Thank you.|location
23||"She hands him the airplane-sized bottle -- he waves off
the glass. She shrugs, leaving...
Pasqual to resume what he was doing. Slowly, he removes
a roll of Certs. He looks to Jones -- ""Well? What about
your end of the bargain?""
From within his dashiki, Jones pulls out a black velvet
pouch. He hands it to Pasqual, who opens it to find
diamonds. A helluva lot of diamonds. Pasqual smiles.
He hands the roll of Certs to Jones. It's not breath
candy at all, but a tiny roll of explosives, with a tiny,
high-tech triggering mechanism."|stage direction
24||JAMES EARL JONES|unknown
25||"Ah, c-5. The most dangerous
explosive material ever invented.
Hard to believe that this little
contraption could blow up ten city
blocks."|location
26||PASQUAL|unknown
27||Be careful with it, huh?|location
28||"Both men smile.   Pasqual's very relieved that the deal is
done.
Then suddenly, the lights blink out.
Pasqual looks around, nervous. But it's just the in-
flight movie beginning. Clouds, and a woman holding a
torch."|stage direction
29||(CONTINUED)|unknown
30||"CHARLIE'S ANGELS - 8/18/99                              3.
CONTINUED:
Columbia Pictures presents... David Spade and Adam
Sandler in ""BOSOM BUDDIES: THE MOVIE.""
James Earl Jones shakes his head, rolls his eyes."|stage direction
31|JAMES EARL JONES|Another movie from an old TV show?|speech
32|PASQUAL|Well, what're you gonna do?|speech
33||JAMES EARL JONES|unknown
34|PASQUAL|Walk out.|speech
35|PASQUAL|That's very funny.|speech
36||But James Earl Jones is dead serious.|stage direction
37||JAMES EARL JONES|unknown
38|PASQUAL|No.   It isn't.|speech
39||"Jones grabs Pascal in a headlock and turns toward the
back of the plane, shouting:"|stage direction
40||JAMES EARL JONES (CONT'D)|unknown
41|PASQUAL|EVERYONE!   FASTEN YOUR SEAT BELTS!|speech
42||"Now Jones does the unthinkable. Holding Pasqual tight,
he yanks open the emergency door release.
With a RUSH, the cabin decompresses.
Panic erupts as air, paper and everything not belted in
screams out of the open door, including --"|stage direction
43||EXT. THE BIG BLUE SKY - FALLING AWAY FROM THE 747 - DAY|location
