|character|text|type
0||"PARANORMAN
Written by
Christopher Butler"|unknown
1||1 INT. RESEARCH LABORATORY - NIGHT 1|location
2|unknown|"An attractive FEMALE SCIENTIST in a gore-spattered lab
coat moves fearfully along a wall, passing benches strewn
with broken lab equipment. Her ample bosom heaves as she
PANTS nervously, mascara-rimmed eyes darting to and fro.
Glass SMASHES on the floor nearby and MELODRAMATIC MUSIC
swells. The woman backs into a shadow, not noticing a
pair of dead eyes catching the moonlight behind her.
The music climbs to a frenzy as something GROANS horribly
into the woman's ear. She spins around on her stiletto
heels as a rotted face looms out of the darkness,
drooling through broken teeth, and lunges at her neck."|speech
3|ZOMBIE|"Brains!
CLOSE ON the woman as she raises her hands and SCREAMS."|speech
4||2 2|stage direction
5||INT. BABCOCK'S HOUSE, LIVING ROOM - NIGHT|location
6|CUT TO:|"Eleven year-old NORMAN BABCOCK sits on the floor
watching TV. He has large piercing eyes and a messy shock
of hair. The movie scene we just witnessed continues off-
screen with the sound of bloodcurdling SCREAMS.
Behind him sitting upon a sofa is GRANDMA BABCOCK, a
plump old lady squinting through thick glasses."|speech
7|GRANDMA BABCOCK|What's happening now?|speech
8|NORMAN|"The zombie is eating her head,
Grandma."|speech
9|GRANDMA BABCOCK|"That's not very nice. What's he
doing that for?"|speech
10|NORMAN|"Because he's a zombie. That's what
they do."|speech
11|GRANDMA BABCOCK|"Well he's going to ruin his
dinner. I'm sure if they just
bothered to sit down and talk it
through it'd be a different story.
Norman CHUCKLES, as if the idea is absurd, then winces as
he hears his father shout from the kitchen.
ParaNorman 2."|speech
12||2 CONTINUED: 2|stage direction
13|GRANDMA BABCOCK|"PERRY BABCOCK (O.S.)
Norman! Didn't I tell you to take
out the garbage?"|speech
14|NORMAN|Coming, Dad!|speech
15|GRANDMA BABCOCK|"Tell him to turn up the thermostat
too, will ya? My feet are like
ice.
Norman nods to her and shuffles over to the kitchen door."|speech
16||3 3|stage direction
17||INT. BABCOCK'S HOUSE, KITCHEN - CONTINUOUS|location
18|GRANDMA BABCOCK|"Norman's mother, SANDRA BABCOCK, is emptying the
dishwasher. She is in her late thirties, and wears `mom'
clothes that do no favors for her figure. His father,
PERRY BABCOCK, is older, with a neatly-trimmed beard
trying hard to delineate chin from neck. He stands on a
chair, decked out in tool belt and safety goggles, even
though he's only changing a light bulb in a ceiling
fixture.
Sandra smiles at her son as he makes his way silently to
an overstuffed trash can as tall as he is."|speech
19|SANDRA BABCOCK|Hi. Whatcha watching in there?|speech
20|NORMAN|Sex and violence.|speech
21|SANDRA BABCOCK|"Oh. That's nice.
Perry glares over as Norman wrestles with the garbage."|speech
22|PERRY BABCOCK|"Can't you be like other kids your
age and pitch a tent in the yard,
or have a healthy interest in
carpentry?"|speech
23|SANDRA BABCOCK|Perry...|speech
24|NORMAN|"I thought you said kids my age
were too busy shoplifting and
joyriding?"|speech
25|SANDRA BABCOCK|"Norman!
He hefts the bag onto the floor and ties it in a knot.
ParaNorman 3."|speech
26||3 CONTINUED: 3|stage direction
27|SANDRA BABCOCK|"Breezing into the kitchen through the back door while
CHATTING inanely on her cell phone, Norman's older sister
COURTNEY is fifteen years-old and is the bleached-blonde
cheerleader archetype of every schoolboy's sordid dreams."|speech
28|COURTNEY|"Oh yeah, he's r-i-double p-e-d.
Like, a seven pack at least."|speech
29|(TO NORMAN)|"Ew! Watch it!
She pushes her brother out of the way as he drags the
garbage outside."|speech
30|SANDRA BABCOCK|Courtney, be nice.|speech
31|COURTNEY|"Yeah, she totally doesn't deserve
him. I mean, she's nice and I
really like her, but she's a
complete loser. Yeah, I know.
Courtney slumps into a chair at the table, twisting a
strand of gum out of her mouth with a finger.
Norman returns inside and shuts the door, pausing a
moment as if thinking something over."|speech
32|NORMAN|"Dad? Grandma says, ""Can you turn
up the heating?"" Her feet are
cold.
The bubble Courtney is blowing POPS against her face,
Perry rolls his eyes and GROANS, and Sandra pales."|speech
33|SANDRA BABCOCK|Now, Perry...|speech
34|PERRY BABCOCK|"How many times do we have to go
through this, Son? Your
grandmother is dead!"|speech
35|NORMAN|I know!|speech
36|PERRY BABCOCK|"Then why do you keep on talking to
her?"|speech
37|NORMAN|Because she talks back!|speech
38|COURTNEY|"O-M-G, you are such a liar!
ParaNorman 4."|speech
39||3 CONTINUED: (2) 3|stage direction
40|NORMAN|"I'm not making this up! I swear!
She talks to me all the time!"|speech
41|COURTNEY|"Oh yeah? Prove it!
Norman levels her a look that says ""you asked for this""."|speech
42|NORMAN|"She said it's not very ladylike to
hide photos of the High School
quarterback with his shirt off in
your underwear drawer.
Sandra and Perry raise their eyebrows."|speech
43|COURTNEY|"I knew it! You've been sneaking
around in my personal stuff!"|speech
44|NORMAN|No I haven't! Grandma told me!|speech
45|COURTNEY|"You are the worst!
Courtney, brimming with outrage, storms out of the
kitchen, her ponytail wagging furiously behind her.
Sandra kneels down beside Norman with a wearily
sympathetic smile."|speech
46|SANDRA BABCOCK|"Norman, I know you and Grandma
were very close, but we all have
to move on. Grandma's in a better
place now."|speech
47|NORMAN|"No she's not, she's in the living
room.
Perry throws his arms in the air, swaying on the chair."|speech
48|PERRY BABCOCK|"Your grandmother was old and sick,
and she died. That's all there is
to it!"|speech
49|SANDRA BABCOCK|"Perry, this is just part of the
mourning process.
ParaNorman 5."|speech
50||3 CONTINUED: (3) 3|stage direction
51|PERRY BABCOCK|"Stop indulging him! I'm nothing if
I'm not liberal, but that limp-
wristed, hippie garbage needs to
be nipped in the bud!
Norman SIGHS and steps between his parents as they argue.
He mutely heads out of the room."|speech
52||4 4|stage direction
53||EXT. BABCOCK'S HOUSE, FRONT YARD - CONTINUOUS|location
54|PERRY BABCOCK|"The argument in the kitchen continues, slightly muted.
PERRY BABCOCK (O.S.)
This behavior might be okay with
your side of the family, but I'm
not putting up with it anymore!
Not me!
SANDRA BABCOCK (O.S.)
Oh, not this again!
PAN UP to find a light go on in Norman's bedroom window."|speech
55||5 5|stage direction
56||INT. BABCOCK'S HOUSE, NORMAN'S BEDROOM - NIGHT|location
57|PERRY BABCOCK|"Norman sits on his bed, using a couple of zombie action
figures to act out his parents' ongoing ""discussion""
which carries upstairs.
Norman gets up off the bed and approaches the door."|speech
58|PERRY BABCOCK|"This isn't the West Coast, Sandra;
people talk! They do!
SANDRA BABCOCK (O.S.)
He's just sensitive, Perry.
PERRY BABCOCK (O.S.)
Oh please, ""sensitive"" is writing
poetry and being lousy at team
sports... not this! I won't have
him turn out like that uncle of
yours! If that crazy old tramp has
been around here putting ideas in
Norman's head...
SANDRA BABCOCK (O.S.)
Perry, no one's had anything to do
with Uncle Prenderghast in years!
I bet he doesn't even know what
Norman looks like!
Norman quietly closes the door, and the room goes black.
ParaNorman 6."|speech
59||6 INT. MR PRENDERGHAST'S HOUSE, STUDY - NIGHT 6|location
60|PERRY BABCOCK|"CLOSE ON a faded photograph of Norman, held in the grimy
hand of MR PRENDERGHAST. He stands over a dusty desk
scattered with pictures of Norman, Sandra and older
family members. He is in a dark study; a wall-to-wall
trove of curious miscellanea and dumpster-dived junk."|speech
61|MR PRENDERGHAST|"Not much time, not much time...
He pulls an old leather-bound book out from the mess, and
traces a finger over a woodcut illustration on its cover;
an ethereal woman lying beneath a cluster of stars.
Wincing with pain, the man drops the book and clutches at
his chest, COUGHING and GASPING horribly.
CAMERA PANS to a wall covered in countless photographs,
newspaper clippings and scrawled occult markings. It is a
shrine of sorts; a madman's recondite genealogy project,
and at its center is a photograph of Norman, posing with
his family on vacation.
ZOOM IN to the photograph, hurtling past the Babcocks and
through dense trees further and further into a dark
forest."|speech
62||7 7|stage direction
63||INT. BABCOCK'S HOUSE, NORMAN'S BEDROOM - MORNING|location
64|TITLE: PARANORMAN|"Norman opens bleary eyes, turns off his zombie hand alarm
clock, and slides out of bed."|speech
65||8 INT. BABCOCK'S HOUSE, LIVING ROOM - MORNING 8|location
66|TITLE: PARANORMAN|"Dressed for school, Norman pauses at the front door and
turns to look at the sofa in the living room. He waves
happily, and Grandma smiles back.
Courtney passes him as she comes down the stairs in the
opposite direction. She also stops to look at the sofa,
but to her eyes it is empty. She sneers contemptuously."|speech
67||9 9|stage direction
68||EXT. SUBURBAN STREET - MORNING|location
69|TITLE: PARANORMAN|"Norman ambles past houses and lawns spotted with small-
town America detritus; cheap plastic lawn furniture,
peeling-paint fences and cookie-cutter topiary. Here the
quaint colonial buildings are mostly in disrepair, their
picket fences rotten or daubed in graffiti.
ParaNorman 7."|speech
70||9 CONTINUED: 9|stage direction
71|TITLE: PARANORMAN|"Norman is watched dubiously by the occasional passer-by
as he shouts amiable greetings to people who simply
aren't there."|speech
