|character|text|type
0||"""xXx""
by
Rich Wilkes"|unknown
1||Third Draft|unknown
2||FADE IN:|stage direction
3||EXT. PRAGUE - NIGHT|location
4||"On a hill above the city is an old CATHEDRAL. The night is
spooky, with harsh shadows playing across the cobblestones
and medieval walls.
A NERVOUS YOUNG HACKER makes his way down an alley.
There is a DOOR at the end of the alley. MUSIC can be faintly
heard from inside."|stage direction
5||EXT. ROOFTOP - NIGHT|location
6||"High above the street an INTRUDER DRESSED ALL IN BLACK spies
from the roof. He's watching with NIGHT VISION GOGGLES.
He pulls out a CROSSBOW and FIRES.
A BOLT flies, trailing CABLE.
THUNK! It sticks into the alley wall below."|stage direction
7||EXT. THE ALLEY - NIGHT|location
8||"As he passes by the ominous Cathedral, the Hacker spins,
sure he's heard something.
But there's nothing there. He continues on.
Then the Intruder comes sliding down the ZIP-LINE from above.
WHAM! He kicks the Hacker into the wall, knocking him out.
The Intruder pulls off his mask, revealing the chiseled
features of a dashing BRITISH SECRET AGENT. His name is
STERLING."|stage direction
9|STERLING|I hate to drop in unexpectedly.|speech
10||"Sterling searches the Hacker and pulls a SMALL BLACK CASE
from his coat. Inside the case is a DATA CHIP. Sterling tucks
it away.
Sterling unzips his black jumpsuit, revealing a crisp TUXEDO
underneath. He pulls out CAR KEYS. In a quick insert we see
the ""ASTON-MARTIN"" LOGO.
As he strolls back out the alley, he HEARS something and
flattens against the wall.
A BLACKED OUT SUV screeches to a stop, blocking his exit.
The SUV's HEADLIGHTS illuminate the slumped Hacker.
BAD GUYS get out to investigate, pulling out weapons.
Cornered, Sterling heads deeper into the alley, staying in
the shadows. He gets to that DOOR the Hacker was heading
towards.
As he PICKS THE LOCK Sterling can hear MUSIC from inside. He
smooths his hair and prepares to ""blend in"" with the crowd."|stage direction
11||INT. CONCERT HALL - NIGHT|location
