|character|text|type|character_clean|gender
0||"THE REAL GHOSTBUSTERS
""Poultrygeist!""
by
Duane Capizzi
and
Steven Roberts
Last revised May 12, 1988"|unknown||
1||ACT ONE|stage direction||
2||FADE IN:|unknown||
3||EXT. -- A FARMHOUSE OUTSIDE NEW YORK CITY -- NIGHT|location||
4||"On the farmhouse roof a CHICKEN-SHAPED WEATHERVANE stands silhouetted
against a FULL, BLOOD-RED MOON.  The wind HOWLS and the vane swivels with
an EERIE SQUEAK.  Then a weird ANIMAL CRY is heard--a cross between a
chicken CROWING and a wolf HOWLING."|stage direction||
5|WERECHICKEN  (VO)|(A CROWING HOWL)|speech|WERECHICKEN|M
6||CAMERA PANS DOWN TO:|unknown||
7||"CHICKEN PEN
A fenced-in dirt area with numerous CHICKENS milling around, CLUCKING as
they peck at the ground."|stage direction||
8|WERECHICKEN (VO)|(ANOTHER HOWL, nearer now)|speech|WERECHICKEN|M
9||The chickens' heads jerk up toward the sound.|location||
10||"WERECHICKEN'S POV -- MOVING
A RED-tinted, shaky, MOVING CAMERA TRUCK-IN on the chickens.  (These shots
are in the style of the POV SHOTS in WOLFEN.)  Magnified GURGLING and
HEAVY BREATHING of Werechicken is heard."|stage direction||
11|WERECHICKEN (VO)|(GURGLING, HEAVY BREATHING)|speech|WERECHICKEN|M
12||"The terrified chickens stare INTO CAMERA as the Werechicken moves closer,
his shadow falling over them.  They flap into their coop, SQUAWKING
wildly."|stage direction||
13||INT. -- FARMHOUSE LIVING ROOM -- NIGHT|location||
14||"MAUDE and ZEKE sit on the sagging couch watching a werewolf movie on TV
while munching popcorn from a huge bowl.  They're distracted by CHICKENS
SQUAWKING."|stage direction||
15||Sump'n's stirrin' up the chickens, Maude.|location||
16||Jes' set easy, Zeke.|location||
17|MAUDE|(she rises; heads for door)|speech|MAUDE|F
18||I'll take a look-see.|location||
19||Zeke continues staring at TV.|stage direction||
20||EXT.  FARMHOUSE -- NIGHT -- WERECHICKEN'S POV|location||
21||"Through the Werechicken's red eyes, we see a distant image of Maude with a
flashlight, approaching the fenced-in chicken pen and opening the gate.
CAMERA STARTS MOVING IN toward Maude as she enters, leaving gate open."|stage direction||
22|WERECHICKEN (VO)|(GURGLING, HEAVY BREATHING)|speech|WERECHICKEN|M
23||"ANGLE WITHIN CHICKEN PEN
The dirt compound is empty now as Maude crosses toward wooden chicken
coop."|stage direction||
24|MAUDE|(as she goes)|speech|MAUDE|F
25||"Here, chick-chick-chick-chick.
INT.  CHICKEN COOP -- OTS MAUDE"|location||
26||"AS Maude ENTERS from OUT OF CAMERA, her flashlight beam illuminates the
chickens cowering on their roosts in a corner.  They CLUCK nervously."|stage direction||
27||"What's got you girls so durned upset?
There a coyote sneakin' 'round?"|location||
28||Suddenly the Werechicken's shadow moves up Maude's back, then the wall.|stage direction||
29|WERECHICKEN (VO)|(Low, gutteral CLU-UCK)|speech|WERECHICKEN|M
30||Maude looks over her shoulder AT CAMERA, reacts.|stage direction||
31|MAUDE|(GASP!)|speech|MAUDE|F
32||"MAUDE'S POV -- THE WERECHICKEN
Red-eyed, grotesque, three times the size of an ordinary rooster as it
stands framed in the moonlit doorway.  It opens its fanged beak in a
horrifying SHRIEK as it springs AT CAMERA, wings flapping."|stage direction||
33|WERECHICKEN|(Frightening SHRIEK)|speech|WERECHICKEN|M
34||INT. FARMHOUSE LIVING ROOM - CLOSE ON TV|location||
35||"Old black-and-white movie.  MELODRAMATIC MUSIC as a man turns into a
werewolf, his HOWL a continuation of the previous Werechicken SHRIEK."|stage direction||
36|TV WEREWOLF|(eerie HOWL)|speech|TV WEREWOLF|?
37||"WIDER ANGLE - ZEKE
continues watching TV and eating popcorn.  Maude walks stiffly into room
behind him, eyes staring blankly."|stage direction||
38|ZEKE|(without looking up)|speech|ZEKE|M
39||Everythin' okay out there, Maude?|location||
40||"WAIST SHOT -- MAUDE
She stares with glassy, red eyes and CLUCKS quietly."|stage direction||
41|MAUDE-CHICKEN|(CLUCKS)|speech|MAUDE-CHICKEN|?
42||What say?|location||
43||"PAN DOWN below Maude's waist to reveal that she's turning into a chicken
from the feet up.  First her shoes RIP apart as large, yellow chicken feet
sprout.  Then her dress SWELLS and SPLITS, revealing a large, feathered
body underneath. The only piece of clothing left on her is her apron.  One
foot scratches the floor."|stage direction||
44|MAUDE-CHICKEN (VO)|(more CLUCKS)|speech|MAUDE-CHICKEN|?
45||"WIDER ANGLE -- FULLSHOT OF MAUDE-CHICKEN
Now completely transformed and six feet tall, she leaps up to perch on
back of couch, THRUSTING her chicken head repeatedly into the popcorn bowl
in Zeke's lap, pecking the bowl clean.  Zeke's jaw hangs open, speechless,
as he stares at the fanged, drooling, six-foot Werechicken.  The
Werechicken looks up from the empty bowl, right in Zeke's terrified eyes."|stage direction||
46|ZEKE|(SCREAMS)|speech|ZEKE|M
47||He scrambles backwards off the couch.|stage direction||
48||EXT. FARMHOUSE -- NIGHT - WERECHICKEN'S POV|location||
49||"SCENE RED-tinted.   We hear loud SQUAWKING from within house as chicken
feathers fly out the open windows."|stage direction||
50|ZEKE (VO)|(YELLING)|speech|ZEKE|M
51||Get away!' Scat!  Shoo!|location||
52|MAUDE-CHICKEN (VO)|(loud SQUAWKING)|speech|MAUDE-CHICKEN|?
53||"CLOSE ANGLE -- WERECHICKEN
Watching from slight hilltop.  Its beak seems to bend into an insidious
grin."|stage direction||
54|ZEKE (VO)|(from distance)|speech|ZEKE|M
55||Help!... He-elp!|location||
56||CUT TO:|unknown||
57||EXT.  ESTABLISHING -- GHOSTBUSTERS HQ - NIGHT|location||
58||As CAMERA MOVES IN, we hear:|stage direction||
59||"Egon, could you hold off on the weather
balloon bit for a minute?"|location||
60||DISSOLVE THRU TO:|unknown||
61||INT. -- LABORATORY -- ON PETER AND RAY|location||
62||"They stand holding big plastic bags of trash, obviously annoyed at the
O.S. Egon.  Ray's armful of trash is piled so high that he can't see over
it.  SLIMER hovers behind, sticking his nose in one of the bags like a
dog.  He finally dives right into it."|stage direction||
63||It's Your night to take out the trash.|location||
64||"And Winston's in the kitchen doing your
dishes."|location||
65||"ANGLE ON EGON
He's busy testing his WEATHER BALLOON--a large, pink bubble half the size
of the room.  He moves a lever on its remote control unit and the balloon
rises."|stage direction||
