|character|text|type|character_clean|gender
0||"Written by
Sean Anders & John Morris"|unknown||
1||INT. CONFERENCE ROOM|location||
2||"A dozen or so shadowy people are seated in the darkened room.
A slide projector dimly lights MR. FULLER, a crew-cutted
Robert Stack type in a suit, as he addresses the group. The
current slide is a still from a security video of a blurry
figure - it could be any of about a billion people."|stage direction||
3|FULLER|"...So, let's keep a steely eye out
for this bastard. (THEN) Before we
dismiss, this is your monthly
reminder of why we're here."|speech|FULLER|F
4||"Fuller advances to a slide of the American flag. Close on
one of the group - a heavyset bald man in his mid-thirties.
He politely pays close attention to the presentation."|stage direction||
5|FULLER (CONT'D)|"The American people want to travel.
(Slide: Family in front of a fake
dinosaur) They want to attend
baseball contests (Slide: Fat guys
spilling beers as they go for a
foul ball) and popular music
concerts. (Slide: John Tesh)"|speech|FULLER|F
6||"Close on another face in the group. A doughy man with three-
day scruff and a trendily long haircut. He looks bored,
rolling his eyes at the speech."|stage direction||
7|FULLER (CONT'D)|"They want to be happy. (Slide: People
line dancing) But, Security comes
first. (Slide: Army soldier with a
massive machine gun guards a play-
ground) Without security there can be
no happy. You are America's front
line in the global war on terror.
Let's hit the trenches and let's be
careful out there. (Slide: TSA logo)"|speech|FULLER|F
8||"The lights come up and as the group files out we get a better
look at their uniforms. The TSA agents move out into the..."|stage direction||
9||INT. AIRPORT - SECURITY CHECK POINT - DAY|location||
10||"The agents take their places, manning the screening
equipment. We push in on the bald man as he takes up his
post next to the walk-through metal detector. This is KIRK
KETTNER. He is not a looker. His uniform only serves to
highlight his least attractive features but his eyes and
demeanor are pleasant and kind."|stage direction||
11||2.|unknown||
12||"The scruffy agent is STAINER. He stands at the x-ray
monitor. As the bags begin to move through, he does not pay
any attention, rather he hands Kirk a flyer."|stage direction||
13||STAINER|unknown||
14|FULLER (CONT'D)|Kirk, bro.     Tonight?|speech|FULLER|F
15||"INSERT: The flyer reads, ""Wheel in the Sky - a Tribute to
Journey at Club Vertigo - Every Tuesday Night!"" Stainer is
pictured wearing a massive afro in the band photo."|stage direction||
16|KIRK|I don't know, Stainer.|speech|KIRK|M
17|STAINER|"Dude, you never come see us
anymore. It's been like four
months. Time to forget about
Marnie and get back on the whores."|speech|STAINER|M
18||"Stainer does a sex dance that makes everyone uncomfortable.
Fuller shoots a stern look from his office."|stage direction||
19|KIRK|"It's not that. It's my Grandma.
I'll probably be at the hospital
for the next few nights."|speech|KIRK|M
20||STAINER|location||
21|KIRK|"Oh, shit. I spaced that.   How's
she doing?"|speech|KIRK|M
22|KIRK|"She's hanging in there but it
doesn't look good."|speech|KIRK|M
23|STAINER|"Dude, I'm sorry. She's a great
lady. That sucks."|speech|STAINER|M
24||"A Middle-Eastern man in a cowboy hat is next in line. Mr.
Fuller appears behind Kirk, taps his shoulder and subtly
motions to the Arab. Kirk smiles at the potential terrorist."|stage direction||
25|KIRK|Hey there, Habib.|speech|KIRK|M
26||"(perfect English with a
southern accent)"|unknown||
27|HABIB|"Howdy Kirk. Lemme guess; I been
flagged for a random search."|speech|HABIB|M
28||3.|unknown||
29|KIRK|"Yeah, sorry. I'll get you out of
here quick. You off to Boston again?"|speech|KIRK|M
30|HABIB|"No, sir. Pediatric convention in
Delaware."|speech|HABIB|M
31||Kirk opens Habib's bag.|stage direction||
32|HABIB (CONT'D)|"Kirk, I know you're just doing your
job but, for Pete's sake, ya'll
know me."|speech|HABIB|M
33||KIRK|unknown||
34|HABIB (CONT'D)|I'm sorry.     It's just...|speech|HABIB|M
35||Kirk gestures to his boss as he zips the bag back up.|stage direction||
36|KIRK (CONT'D)|"Okay, Habib, you're all set buddy.
Have a good trip."|speech|KIRK|M
37|HABIB|Thanks Kirk. See you next time.|speech|HABIB|M
38||Fuller again appears behind Kirk.|stage direction||
39||"(to fuller - now in a
thick Arab accent)"|unknown||
40|HABIB (CONT'D)|Praise be to Allah.|speech|HABIB|M
41|FULLER|"You think that's funny!? You wanna
sit in first class or you wanna sit
on my gloved and jellied finger!?"|speech|FULLER|F
42||EXT. AIRPORT CURB - DAY|location||
43||"Follow a pair of perfect female legs as the woman's heels
click along the sidewalk, suitcase rolling behind. Although
we can't see the woman riding on these legs, we can see
several men stare as she passes by on her way into..."|stage direction||
44||INT. AIRPORT TICKETING|location||
45||"More stares from more men and even a few women as we follow
the legs to the check-in line. The legs glide to the front
and stop to wait for the next available ticket agent."|stage direction||
46||4.|unknown||
47||"From the slightly upward angle, we see two young male ticket
agents. (One on each side of the legs.) One is black and one
white; each are dealing with customers. They simultaneously
notice our woman. They suspiciously eye one another and the
race is on. Each agent begins typing furiously to expedite
their current customer in the hope of waiting on her next.
Angle on the WHITE AGENT as he waits on a yuppie couple."|stage direction||
48||(RUSHED)|unknown||
49|WHITE AGENT|"Okay, how many bags are you
checking? Any bags!?"|speech|WHITE AGENT|?
50|YUPPIE MAN|Is this one too big to carry on?|speech|YUPPIE MAN|?
51||WHITE AGENT|unknown||
52|YUPPIE MAN|No.    Carry it on. Good call.|speech|YUPPIE MAN|?
53|YUPPIE WOMAN|"Grant, you don't want to lug that
thing all over the airport."|speech|YUPPIE WOMAN|?
54||"The agent leans back and issues a bothered sigh. He looks to
his right to check the progress of the BLACK AGENT, who is
waiting on an old Asian woman."|stage direction||
55||(RUSHED)|unknown||
56|BLACK AGENT|Did you pack your bags yourself?|speech|BLACK AGENT|F
57||"The Asian woman obviously did not understand a word of the
question but she smiles and nods along."|stage direction||
58||ASIAN WOMAN|unknown||
59|BLACK AGENT|Yes.|speech|BLACK AGENT|F
60|BLACK AGENT|"Has anyone unknown to you asked you
to carry anything onto your flight?"|speech|BLACK AGENT|F
61||More smiles and blank nods.|stage direction||
62||ASIAN WOMAN|unknown||
63|BLACK AGENT|Yes.|speech|BLACK AGENT|F
64|BLACK AGENT|I think you mean NO.|speech|BLACK AGENT|F
65|WHITE AGENT|You can't do that!|speech|WHITE AGENT|?
66||5.|unknown||
67|BLACK AGENT|"She doesn't know what the hell I'm
talking about!"|speech|BLACK AGENT|F
68|YUPPIE MAN|Where exactly is gate F5?|speech|YUPPIE MAN|?
69|WHITE AGENT|"Just past F4. Have a day now
folks. Let's hustle it up."|speech|WHITE AGENT|?
70||ASIAN WOMAN|unknown||
71|WHITE AGENT|Sank you!|speech|WHITE AGENT|?
72||BLACK AGENT|unknown||
73|WHITE AGENT|No sweat.     Keep it moving.|speech|WHITE AGENT|?
74||"The Asian woman is not going anywhere. The black agent leans
into her face and barks once like a dog. Her smile turns to
fear as she backs away, ending the race in a dead tie."|stage direction||
75||BOTH AGENTS|unknown||
76|WHITE AGENT|Next!|speech|WHITE AGENT|?
77||"Reverse to show the woman they were competing for. She is a
classy, sophisticated, blonde around thirty. Drop dead
beautiful. She is startled by the sudden call from both men.
She laughs off her little scare and then randomly chooses the
black agent. He shoots a smug victory grin over to his co-
worker, who is being an overtly sore loser."|stage direction||
78|MOLLY|"Hi, I'm booked on flight 94 to
Burbank. Molly McCall."|speech|MOLLY|F
79||(trying way too hard)|unknown||
80|BLACK AGENT|"California. Fantastic. So do you
travel quite a bit?"|speech|BLACK AGENT|F
81||"The white agent moves to loiter around the black agent's
station, just to get a better look at MOLLY."|stage direction||
82|WHITE AGENT|"Hey Derek. You got the     numbers on
the (making it up as he    goes) new,
um, procedures for the,    um, airport
thing... regarding the,    ah, planes?
(to Molly) Whassup?"|speech|WHITE AGENT|?
83||INT. AIRPORT SECURITY CHECKPOINT - DAY|location||
84||Kirk is at his post.|stage direction||
85||6.|unknown||
86||"Stainer works the next x-ray belt, where a young rocker type
is running a guitar case through. Stainer stops the belt and
moves it back to get a better look."|stage direction||
87|STAINER|Les Paul Classic re-issue?|speech|STAINER|M
88||ROCKER|location||
89||(SMUG)|unknown||
90|STAINER|No, it's a sixty-five.   Mint.|speech|STAINER|M
91||STAINER|unknown||
92|STAINER|Fuck you.    No way.|speech|STAINER|M
93||"The rocker boy looks at his watch as Stainer rolls the case
through and pops it open."|stage direction||
94|ROCKER|Dude, I'm late for my flight.|speech|ROCKER|M
95|STAINER|"Sorry, I have to search this case
for, you know, explosives and such.
This thing is sweet!"|speech|STAINER|M
96||"Stainer takes the guitar out and starts riffing on it as the
bins and bags pile up before him.
At Kirk's station, Molly (the blonde bombshell) is crossing
through. Every guy who can see her has been struck dumb but
Kirk banters with her like he would anyone else. No flirting
or stammering - just friendly and relaxed."|stage direction||
97||KIRK|unknown||
98|STAINER|Morning.|speech|STAINER|M
99|MOLLY|Oh, hello again.|speech|MOLLY|F
100|KIRK|Second trip in two days?|speech|KIRK|M
101||Molly is putting her laptop back in her bag.|stage direction||
