|character|text|type
0||"17 AGAIN
Written by
Jason Filardi
October 2007"|unknown
1||EXT. FITCH SENIOR HIGH SCHOOL - DUSK|location
2||"A few cars scatter the parking lot. WE hear GRUNTS followed
by the distinct sound of basketballs shredding net."|stage direction
3||INT. FITCH SENIOR HIGH SCHOOL/GYM - CONTINUOUS|location
4||"An empty gymnasium except for a shirtless MIKE O'DONNELL, 17.
Mike stands feet BEYOND the 3 point line, grabs balls from a
hopper and rapidly shoots, shoots, shoots.
SWISH...SWISH...SWISH. This kid's automatic.
Mike's hair, a pompadour mullet a la `21 Jump Street' and
short shorts circa 1989.
Mustached and curly haired COACH HARVEY, 40, enters."|stage direction
5|COACH HARVEY|"Hey, O'Donnell, save some for the
game."|speech
6||Mike sinks one last jumper, turns to the Coach.|stage direction
7|MIKE|Just warming up, Coach.|speech
8||Coach Harvey hands Mike a towel.|stage direction
9|COACH HARVEY|"First game of the season and the
scouts are already lining up. You
have half the season I know you're
capable of, you can play anywhere
you want, Mike."|speech
10|MIKE|That's the plan coach.|speech
11||"The rest of the FITCH FALCONS basketball team jogs out from
the locker room followed by a PHOTOGRAPHER."|stage direction
12|COACH HARVEY|"Round up, Jock Straps! Picture
time."|speech
13||"The Team assembles in the middle of the court. A PLAYER
kneeling in front holds a sign, `FITCH FALCONS, 1989'."|stage direction
14||MIKE|location
15|COACH HARVEY|Hold on.   Ed's not here yet.|speech
16||DOM, 17, handsome, tall, long rat tail, scoffs-|stage direction
17||"2.
DOM"|unknown
18|COACH HARVEY|Who cares?      He's the water boy.|speech
19|MIKE|"And you suck, Dom, but we're
letting you in the picture."|speech
20||A shoving match breaks out between Mike and Dom.|stage direction
21||COACH HARVEY|unknown
22|MIKE|Hey!   Hey!     Knock it off.|speech
23||"Coach Harvey pulls the Players apart just as the gym doors
burst open. ED FREEDMAN, 17, sporting a jacket over a WIZARD
costume, runs in, trips on his robe, gets up, peels his
clothes off."|stage direction
24|ED|"Sorry I'm late. I was locked in a
life and death battle with the dark
wizard..."|speech
25|COACH HARVEY|...Fall in, Freedman. Hurry up.|speech
26||Ed takes a spot next to Dom.|stage direction
27|PHOTOGRPAHER|And 3, 2, 1-|speech
28||"WE see Dom reach behind Ed, grab hold of his
underwear...RRRRIIIPP...FLASH. And with the flash WE cut to:"|stage direction
29||INT. FITCH SENIOR HIGH SCHOOL/GYM - NIGHT|location
30||"The Falcons run, pass and shoot on one end of the court.    On
the opposite end, a TEAM in BLUE warms up.
Lights dim. Cue MC Hammer's `Can't Touch This'. CHEERLEADERS
at center court perform the Hammer DANCE ROUTINE. PAN around
the gym, everybody's doing the Hammer dance.
Ed awkwardly tries to imitate Mike.
Coach shakes his head in disgust and when the routine ends-"|stage direction
31|COACH HARVEY|Alright, Ladies, bring it in!|speech
32||"The Falcons swarm to the bench, take seats.     Ed hands waters
to the Players, skips Dom, stops at Mike."|stage direction
33||3.|unknown
34|MIKE|"Ed, I can't help you with the girls
if you keep showing up places
dressed like the Cookie Crisp guy.
Okay? Dude, don't look now but I
think Muffy Campanella is scopin'
you hard."|speech
35||ED|unknown
36|MIKE|For real?|speech
37||Ed jerks around to blatantly stare at her.|stage direction
38|MIKE|Smile, pud.|speech
39||Ed flashes a goofy smile.   MUFFY mimes puking.|stage direction
40||MIKE (CONT'D)|unknown
41|MIKE|My bad.|speech
42||GIRL'S VOICE (o.s.)|unknown
43|MIKE|Mike?|speech
44||SCARLET, 17, an 80's beauty, stands at the end of the bench.|stage direction
45|MIKE|"Who's that stone cold fox? Oh,
it's my girlfriend."|speech
46||(walks over)|unknown
47|MIKE|"I'm glad you're here, Scar. This
whole scout thing's got me wicked
nervous."|speech
48||Dom dribbles past, smiles at Scarlet.|stage direction
49|DOM|"I'm dedicating my first basket to
you, Scarlet."|speech
50|MIKE|"Way you shoot that might be mid-
season!"|speech
51||(to Scarlet)|unknown
52|MIKE|Everything cool?|speech
53||She smiles nervously, lies...|stage direction
54||SCARLET|location
55|MIKE|"Oh yeah. Everything's totally
copacetic."|speech
56||"4.
MIKE                              SCARLET"|unknown
57||"Totally?                           Totally.
REFEREE blows the whistle."|stage direction
58||COACH HARVEY|location
59||"Let's go! Remember, Boys, winners
get the girls. Losers please
themselves!"|unknown
60||MIKE|location
61||"(to Scarlet)
Excellent. Gotta run."|unknown
62||He kisses her cheek, starts off, turns back-|stage direction
63||MIKE (CONT'D)|location
64||What's wrong?|unknown
65||"LONG SHOT: We hear nothing but see Mike's body deflate. He
steps away from Scarlet towards center court.
Muffy and her friends mock Ed and laugh hysterically"|stage direction
66||ED|location
67||"Do you really think Muffy's in to
me?"|unknown
68||"Mike, in a daze walks right past Ed. Takes his place for the
jump ball. The Crowd stomps and cheers LOUDLY.
The Ref is about to toss the ball. Mike looks up at the
stands, sees a crushed Scarlet heading for the exit. Mike's
torn. Play or go after her. He goes after her."|stage direction
69||COACH HARVEY|location
70||Where you going!? O'Donnell!?|unknown
71||INT. FITCH SENIOR HIGH SCHOOL/TUNNEL - NIGHT|location
72||Mike rushes in.|stage direction
73||"MIKE
Scar!    Wait."|unknown
74||"She turns, slumps against the wall.    Mike catches up to her.
Mike leans in and kisses Scarlet."|stage direction
75||"CUT TO:
5."|unknown
76||EXT. PALISADES NEIGHBORHOOD. PRESENT DAY - MORNING|location
77||"Opulent HOMES.   OCEAN views.   Luxury CARS.   Manicured LAWNS.
The sound of an alarm clock shatters the silence as WE settle
in on a large, MEDITERRANEAN STYLE HOUSE."|stage direction
78||INT. ED'S HOUSE/MIKE'S BEDROOM - MORNING|location
79||"MIKE O'DONNELL, now 36, angrily slaps the alarm off...6 AM.
He climbs out of bed, bones creaking, stiff, groans."|stage direction
80||INT. BATHROOM - MORNING|location
