|character|text|type
0||"HAPPY FEET
Written by
George Miller
Screenplay by
John Collee
(Early Draft)
SPACE
Distant STARS, with vast tracts of darkness stretching
between them. Move in on OUR SUN, dwarfed in the immense
cosmic ocean.
MUMBLE (VO)"|unknown
1||You ever feel small?|location
2||"Moving in on....
PLANET EARTH
The spinning blue marble.
FADE IN: A strange cacophony of MUSIC, growing louder as the
familiar CONTINENTS revolve below us and we spiral down onto
ANTARCTICA
THE ICE SHELF
Vast, pristine, stupendous. Washed with dawn light. A few
small BLACK-SUITED FIGURES are moving towards us.
MUMBLE (VO)"|unknown
3||"Like you're no-one, cos the world is full
of us, and everyone's the same"|location
4||"Wait a minute. These aren't humans... they are PENGUINS!
MUMBLE (CONT'D)"|unknown
5||"How do you stand out from the crowd?
How do you find someone special?"|location
6||"A GREAT COMMUNITY
EMPEROR PENGUINS all over the place, Its chaos - Grand
central station - with everyone SINGING to each other.
MUMBLE (VO)"|unknown
7||"I know. I know. ""You sing your heart
out."" That's how mum found dad in the
first place"|location
8||"Follow a female penguin as she waddles through the massive
crowd past an assortment of crooning males
(CONTINUED)
2."|unknown
9||CONTINUED:|stage direction
10||"KEEN MALE
(trying to connect)"|unknown
11|unknown|"""Babe...I got you Babe..."""|speech
12||She ignores him|stage direction
13||(giving it his all)|unknown
14|NEXT MALE|"""When a man loves a woman..."""|speech
15||She keeps moving, until she sees the male of her dreams:|stage direction
16|WISHFUL|"""Love me tender love me true, all my
dreams fulfil."|speech
17||"He stands a bit apart from the rest. And what a voice. What a
hip movement. She sings along."|stage direction
18|NORMA J. AND WISHFUL|"...for my darling I love you and I always
will."|speech
19|MUMBLE (VO)|With them it was love at first song.|speech
20||Close up on the two penguins as their necks intertwine.|stage direction
21|MUMBLE (VO) (CONT'D)|"But with me everything was a different,
right from the moment I was born"|speech
22||"THE ICE SHELF
With infinite care, THE EGG is passed from Norma J's feet
onto WISHFUL's."|stage direction
23|MUMBLE|"First rule of survival: get yourself laid
before winter."|speech
24||WISHFUL covers the egg, glancing up at the darkening sky|stage direction
25|MUMBLE (CONT'D)|Apparently I only just made it.|speech
26||"Women are leaving and heading off over the ice. The community
resounds with sad songs of parting."|stage direction
27||"(CONTINUED)
3."|unknown
28||CONTINUED:|stage direction
29|MUMBLE (CONT'D)|"Afterwards Mum went off to the sea to
keep warm. Dad stayed home like dad's do,
incubating."|speech
30||"Norma J is having difficulty tearing herself away. Finally
she pads off after the others."|stage direction
31|WISHFUL|Safe home baby....|speech
32||"As he watches her dwindle into the distance, where huge STORM
CLOUDS are building."|stage direction
33|WISHFUL (CONT'D)|I'll miss you.|speech
34||"THE DARKNESS
Wind comes shreiking across the ice shelf to where THOUSANDS
OF MALES are huddled, ice crusting on their feathers."|stage direction
