|character|text|type
0||"LIAR LIAR
Written by
Tom Shadyac & Mike Binder
Rough draft, April 1996"|unknown
1||INT. FULGHAM KINDERGARTEN -- WEDNESDAY MORNING|location
2||"Two dozen KINDGERGARTNERS listen to their teacher, MS.
BERRY. The word ""Work"" is on the blackboard."|stage direction
3||MS. BERRY|unknown
4|unknown|"""Work."" Today we're going to
share what our parents do for
work."|speech
5||"QUICK CUTS of a series of five-year olds standing beside
their desks, addressing the class:"|stage direction
6|JEFF|My dad is a truck driver.|speech
7|MELINDA|My mommy is a doctor.|speech
8||CAROLYN|unknown
9|MELINDA|"My dad is a librarian and my
mom is a vegetarian."|speech
10||(with difficulty)|unknown
11|THEODORE|"My father is a struck-sher-al-
engine-ear."|speech
12||CRAIG     -|unknown
13|THEODORE|"My mother is an actress. She
works at Denny's."|speech
14||KELLY|unknown
15|THEODORE|"My daddy works at a place
where they make stuff, and my
mommy is a mommy."|speech
16||"ELLIOT
(looking a little
CRAZED)"|unknown
17|THEODORE|My father is a postal worker.|speech
18||The QUICK CUTS end with MAX:|stage direction
19|MAX|My mom's a teacher.|speech
20||As Max starts to sit:|stage direction
21|MS. BERRY|And your dad?|speech
22||"MAX
(HESITANT)"|unknown
23|MS. BERRY|My dad? He's . . . a liar.|speech
24||"MS. BERRY
(taken aback)
A liar? I don't think you
mean ""a liar.""
MAX
Well... he wears a suit and
goes to court and talks to the
judge and--
MS. BERRY
(RELIEVED)
Oh! I see-- you mean he's a
lawyer.
Max shrugs."|unknown
25||INT. COURTROOM .-- DAY|location
26||"FLETCHER REID, early 30's, stands before the JUDGE. His
manner is utterly genuine and convincing.
FLETCHER
A dark street. . . a stormy
night... two desperate men
struggle... one man is taken
to the hospital, the other to
ja il. The prosecutor wants
you to believe this is an
open-and-shut case of a poor
man, brutally victimized.
He nods at the victim - - a fragile OLD MAN in his 70's.
FLETCHER (CONT'D)
Well, for once I agree with
t he prosecutor. This is an
open-and shut case -- but the
true victim is my client.
Fletcher's CLIENT is a 250 pound brute in a suit.
FLETCHER (CONT'D)
Put yourself in his shoes for
a moment--walking home from
church, alone, in a
frightening part of the
suburbs.
As he describes his client's movements, Fletcher ACTS THEM
OUT:
FLETCHER (CONT'D)"|unknown
27|MS. BERRY|"You're nervous, timid, looking
over your shoulder -- when
suddenly, you encounter him--"|speech
28||"(pointing at the
old man)"|unknown
29|MS. BERRY|"pouncing from the shadows.
You quiver in fear. The
streetlight flashes on
something shiny in his hand--
a knife?"|speech
30||"Suddenly Fletcher becomes the attacker, brandishing a
weapon. The jurors RECOIL."|stage direction
31||FLETCHER (CONT'D)|unknown
32|MS. BERRY|"And in that terrifying instant
you do what any respectable
citizen would -- you defend
y ou rse lf. Only after you
shatter his arm and collarbone
do you realize it's all a
mistake... the man was merely
walking away from an ATM
machine, the apparent flash of
metal caused by his bank card."|speech
33||He reveals the weapon in his hand is only a credit card.|stage direction
34||"FLETCHER (CONT'D)
(CONCERNED)"|unknown
35|MS. BERRY|"As you stand over his
crumpled, though potentially
still-dangerous form, your
he art goes out to him. You
want to help. First, you
gather up the many bills he
dropped, to stop them from
bl owi ng away. Second, in an
effort to get the name and
number of someone to notify,
you take his wallet. Finally,
you leap into the man's Lexus
to head for assistance, when
suddenly a police car speeds
up. You breathe a sigh of
relief: ""Someone to look -after
the injured man! Oh joy!""
But do the police applaud your
initiative? Do they hail your
heroism? No-- they arrest you
and throw you in the slammer!"|speech
36||He walks along the jury box:|stage direction
37||· And why? Why does the State|unknown
38||"turn its massive power against
this individual?"|location
39||"(takes an
IMPRESSIVE
moment, then
answers his own
QUESTION:)"|unknown
40||Discrimination,|location
41||"(to a black
JUROR)"|unknown
42||"But this time it's not based
on race."|location
43||"(to a female
JUROR)"|unknown
44||Not based on gender.|location
45||"(to a man wearing
a crucifix)"|unknown
46||Not based on religion,|location
47||"(to a heavy set
JUROR)"|unknown
48||"No--this time it's
discrimination based on size!"|location
49||. I know what the prosecution|unknown
50||"wants you to think - - i t ' s
always the big guy's fault.
Is that what we've come to as
a society -- persecuting
people because they're large?"|location
51||Fletcher points accusingly at the opposition.|stage direction
52||FLETCHER (CONT'D)|unknown
53||"Shame on you, Mister
Prosecutor! Shame on you!"|location
54||"(turning back to
JURY)"|unknown
55||"The state is trying to
barbeque my client on the spit
of Justice. Only you can douse
the flames. The decision is
your s. And please...don't let
your emotions run away with
y ou . The fact that my client
is a family man, raising his
sons alone after the tragic
death of their mother, has
absolutely no bearing on this
case."|location
56||In the front row we see two sad-faced YOUNG CHILDREN.|stage direction
57|FLETCHER (CONT'D)|"Instead, let cold reason be
your guide as you decide the
fate of this church-going,
orphan-rasing widower!"|speech
58||Fletcher returns to his seat. Jurors, dab their eyes.|stage direction
59||EXT. COURTHOUSE -- AFTERNOON|location
60||Fletcher bounds down the stairs, passing a fellow LAWYER,|stage direction
61|LAWYER|How's it going, Fletcher?|speech
62||"FLETCHER
(he' s won)"|unknown
63|LAWYER|"Another gratifying day serving
Justice."|speech
64||Fletcher's huge client catches up to him.|stage direction
65|CLIENT|"Hey great job, Mr. Reid. I
wish there was some way I
could show my appreciation."|speech
66|FLETCHER|"Stay out of my neighborhood
after dark."|speech
67||A PUBLICIST carrying, a clipboard approaches Fletcher.|stage direction
68|PUBLICIST|"Mr. Reid, do you have a ·
moment-?"|speech
69|FLETCHER|"No, I'm late picking up my
son."|speech
70|PUBLICIST|"-Because a couple of reporters
want to interview you about
your big win today."|speech
71||Fletcher instantly shifts directions.|stage direction
72|FLETCHER    ..|How's my hair?|speech
73||And he's off to woo a GANG OF REPORTERS.|stage direction
74||EXT. SUBURBAN PORCH - AFTERNOON|location
75||"A sad Max and his mother, AUDREY, wait silently on the
steps."|stage direction
76|MAX|What time is it?|speech
77||"AUDREY
(checks her
WATCH)"|unknown
78|MAX|"I ' m sure he just got tied up
in court again."|speech
79||"Finally, Fletcher's BMW pulls up. Max races to him,
delighted."|stage direction
80||MAX|unknown
81|MAX|Dad!|speech
82||FLETCHER|unknown
83|MAX|Maximillian!|speech
84||"(calls out a
COMMAND)"|unknown
85|MAX|TRANSFORMERS!! .|speech
86||"Fletcher instantly becomes a human version of the
TRANSFORMER TOY making ROBOTIC MOVEMENTS and SOUNDS. Max
knows the routine well, moves in perfect sine with dad. . ...
Until --                       ."|stage direction
87||FLETCHER|unknown
88|MAX|"Malfunction in vector 3 ! !
Malfunction in vector 3!!"|speech
89||"(pretends to lose
control of a
'robotic' arm)"|unknown
90|MAX|"Look out! It's on tickle
mode!!"|speech
91||"Fletcher's ""mechanical arm"" becomes CLAW-LIKE, TICKLING MAX
like crazy! Max loves it.
Audrey watches these two kids, smiles."|stage direction
92||(re: Audrey)|unknown
93|FLETCHER|"And who is this lovely lady?
Max, could you introduce me?"|speech
94|MAX|That's no lady, that's mom!|speech
95|AUDREY. ·|Thanks, Max.|speech
96||·   FLETCHER|unknown
97|AUDREY. ·|Mom? !|speech
98||"(under his
BREATH)"|unknown
99|AUDREY. ·|"Himnm. . . I don't remember her
looking that good,"|speech
100||"(becomes the
robot again)"|unknown
101|AUDREY. ·|"Malfunction in Vector 4!
Malfunction in Vector 4!"|speech
102||"Fletcher's other robotic arm becomes a ""pincher"", comes
after Audrey."|stage direction
103||(PLAYFULLY)|unknown
104|AUDREY|"Keep Vector 4 away from me.
Unless you want Vector 4
chopped off."|speech
105||FLETCHER|unknown
106|AUDREY|"You know, you were much easier
when we were married..."|speech
107||(re: her luggage)|unknown
108|AUDREY|So where are you off too?|speech
109||AUDREY|unknown
110|AUDREY|"Stanford. I'm delivering a
paper."|speech
111||FLETCHER|unknown
112|AUDREY|"O h really? Where I live, we
use a boy on a bike."|speech
113||MAX|unknown
114|AUDREY|"Hey mom, dad's taking me to
see wrestling!"|speech
115||"AUD REY
(MILDLY
PROTESTING)"|unknown
116|AUDREY|Oh, Fletcher!|speech
117||"FLETCHER
(PLAYFULLY
mimicking her)"|unknown
118|AUDREY|Oh, Audrey!|speech
119||AUDREY|unknown
120|AUDREY|"Do you have to take him to
tho se things? They're so
violent."|speech
121||"Fleccher IMITATES the familiar wise, old INDIAN CHIEF DAN
GEORGE."|stage direction
122||FLETCHER/DAN GEORGE|unknown
123|AUDREY|"The boy must learn the way of
the war rior . An d wh o be tter
to teach him than Rowdy Rod- .
Piper and Big John Stud?"|speech
124||Audrey can't help but LAUGH.|stage direction
125|FLETCHER/DAN GEORGE|"He must be schooled in the way
of the face-claw, the sleeper-
hold, and the purple nuxple.
For only then--"|speech
126||"AUDREY
(PLAYFULLY)"|unknown
127|FLETCHER/DAN GEORGE|Shut up!!|speech
128||(to Max)|unknown
129|FLETCHER/DAN GEORGE|"The squaw will never
understand us."|speech
130||"A HORN HONKS. It's the good-natured, affable JERRY. Max
runs up to him."|stage direction
131||JERRY|unknown
132||Max, my man!|location
133||"Jerry gives Max ""five"", then kisses Audrey on the lips."|stage direction
134|JERRY|Fletcher, good to see you?|speech
135||FLETCHER|unknown
136||What? No kiss for me?|location
137||(re: luggage)|unknown
138||"What do you say, Max? Give me
a hand?"|location
139||"Fletcher grits his teeth as Jerry gives Max a piggyback
ride to get the luggage."|stage direction
140||(to Audrey)|unknown
141||"I didn't know the boyfriend
was going."|location
142||"AUDREY
Jerry. His name is Jerry and
yes, he's going."|unknown
143||Audrey heads inside.|stage direction
144||INT. HOUSE - DAY                           ·.|location
145||Audrey enters, shuts the blinds.|stage direction
146||"FLETCHER
T o Stanford? Overnight? Does
this mean you two are..."|unknown
147||"say the words)
AUDREY
I've been seeing him seven
months, what do you think?
FLETGHER
I was hoping that after being
married to me, you'd have no
more strength left.
AUDREY
. Well you have to remember when"|unknown
148|(cringes, can't|"we were married, I wasn't
having sex nearly as often as
you were."|speech
149||"FLETCHER
MEDIC!! I've been hit."|unknown
150||EXT. HOUSE - DAY           '           ·   '|location
151||Audrey locks up.|stage direction
152||"FLETCHER
Well, great... I'm so happy
for you two. I am just Mister
H appy man. Happy, happy,
happy.
AUDREY
Relax, Fletcher. It looks
like Jerry's taking that job
offer in Boston."|unknown
153||Fletcher turns sincere.|stage direction
154||"FLETCHER
Aud, I am so sorry..."|unknown
155||"Behind her back, he FLAILS in celebration.    She glances
back... He stops, whistles innocently."|stage direction
156||"(calling to
AUDREY)"|unknown
157|JERRY|Ready?|speech
158||"Audrey and Jerry say goodbye to Max.    They get in his
Explorer."|stage direction
159||"FLETCHER
(to Audrey)"|unknown
160|JERRY|"Yo u gonna be okay? Because if
not, we could leave Max with
your sister and I could go out
with you two, does that appeal
to you at all?"|speech
161||They drive off.|stage direction
162|FLETCHER|"Wave to the soon-to-be ex-
boyfriend, Max."|speech
163||"(flipping Max the
KEYS)"|unknown
164|FLETCHER|You drive.|speech
165||INT. BMW - AFTERNOON'- MOVING|location
166||Fletcher is driving, Max beside him.|stage direction
167|MAX|"Dad, are we really going to go
to wrestling?"|speech
168|FLETCHER|"Absolutely, Maxattacker. We
just have to stop by the
office for one minute."|speech
169||Max SIGHS. He's heard this before.|stage direction
170||EXT. SKYSCRAPER - AFTERNOON|location
171||"Establishing the headquarters of ALLAN, STEWART &
KONIGSBERG.
As they head inside, Fletcher and Max pass a BEGGAR."|stage direction
172|BEGGAR|"'Scuse me, sir. Do you have
any change?"|speech
173||"(patting his
POCKETS)"|unknown
174|FLETCHER|'Fraid not. Sorry.|speech
175||INT. SKYSCRAPER LOBBY - AFTERNOON|location
176||"Fletcher grabs The Daily Journal, paying for it with a
HANDFUL OF CHANGE. His son takes this in.
On their way to the elevators Fletcher and Max pass PHILIP,
a dweebish bore."|stage direction
177||PHILIP|unknown
178|FLETCHER|Fletcher!|speech
179||FLETCHER|unknown
180|FLETCHER|Philip!|speech
181|PHILIP|And this must be Max!|speech
182||"FLETCHER
(trying to brush
him off)
. Yes. Yes it is. Well, it was"|unknown
183||good seeing you--|location
184||Fletcher starts off with Max, when Philip calls after him.|stage direction
185||PHILIP|unknown
186|PHILIP|"You know, Ethel and I had a
blast at our last little get-
together."|speech
187||FLETCHER|unknown
188|PHILIP|"Oh, me too. I can never get
enough of charades. We'll
have to do it again sometime."|speech
189||"Fletcher heads into an open elevator... only to find the
door's closing impededby Philip's foot."|stage direction
190||PHILIP|unknown
191|PHILIP|When?|speech
192||FLETCHER|unknown
193|PHILIP|Soon.|speech
194||The door again begins to close... when Philip stops it.|stage direction
195||PHILIP|unknown
196||How 'bout tonight?|location
197||FLETCHER|unknown
198|PHILIP|"Not that soon. I'm taking Max
to see wrestling--"|speech
199|PHILIP|We love wrestling.     We could--|speech
200|FLETCHER|"I don't think so. See, Max is
really shy around strangers."|speech
201||Max looks up at Fletcher.    He isn't.|stage direction
202||FLETCHER (CONT'D)|unknown
203|FLETCHER|"Tell you what -- give me your
card as a reminder. I'll call
y o u . Soon. Promise."|speech
204|PHILIP|Great!|speech
205||Philip hands him his card just as the door closes.|stage direction
206||INT. ELEVATOR - AFTERNOON|location
207||Max watches as his father TEARS PHILIP'S CARD IN TWO.|stage direction
208||INT. RECEPTION AREA OF LAW OFFICES - AFTERNOON|location
209||"The receptionist, JANE, greets them. Jane has an ODD,
UNATTRACTIVE HAIRDO. A large GIFT BASKET is on her desk."|stage direction
210|JANE|Hi, Mr. Reid.|speech
211||"(indicates, her
HAIR)"|unknown
212|JANE|What do you think?|speech
213|FLETCHER|Fabulous! I love it.|speech
214||"(indicates the                     ·
BASKET)"|unknown
215|FLETCHER|What's this?|speech
216|JANE|"I don't know who sent it. But
it's for Mr. Allan. It's his
anniversary."|speech
217|FLETCHER|"Ah... The Partnership
Committee meeting still
scheduled for Friday?"|speech
218||(as she goes)|unknown
219|JANE|Yep...|speech
220||"Fletcher quickly removes a gift card from his pocket,
scribbles on it, puts it in place of the one already there"|stage direction
221|MAX|What are you doing?|speech
222|FLETCHER|Oh, I'm... fixing the card,|speech
223||"(shows him the
old card)"|unknown
224|FLETCHER|"Look, they spelled Mr. Allan's
name wrong. Have an apple."|speech
225||INT. MIRANDA'S OFFICE - AFTERNOON|location
226||"...Where a troubled FRED RAND is talking to MIRANDA, a
beautiful, steely partner."|stage direction
227|FRED|I can't do it.|speech
228|M IRANDA|"Fred, it's your duty to
present the strongest case
possible."|speech
229|FRED|"The strongest case possible,
consistent with the truth."|speech
230||"Let the Judge decide what's
true. That's what he gets
paid for. You get paid to
win."|location
231||"If you insist on my taking it
to trial, I'll represent Mrs.
Cole aggressively and
ethically. But, Miranda -- I
won't lie."|location
232||Miranda looks out her window, calculating.|stage direction
233||"Then we'll just have to find
someone who'will.
INT. HALLWAY OF LAW OFFICES -- AFTERNOON"|location
234||"Fletcher strides through the hallway with Max, calling out
GREETINGS to his colleagues."|stage direction
235|FLETCHER|Hey, Pete! Great tie!        ·.|speech
236||Max looks at PETE, -whose fashion-disaster tie startles him.|stage direction
237|FLETCHER|"Thomas--looks like you're
losin' weight."|speech
238||"THOMAS glances up from a file. Max notes that he's
corpulent."|stage direction
239|THOMAS|Gained three pounds.|speech
240||"FLETCHER
(wedging past
HIM)"|unknown
241|THOMAS|On you, it works.|speech
242||"Fletcher arrives at his office. WE MEET his secretary, the
fiftyish, .worldly-wise and world-weary GRETA."|stage direction
243||GRETA '|unknown
244|THOMAS|M ax ! What's new?|speech
245|.MAX|"Well. . . it's my birthday
tomo rrow. We're having a
party and everything."|speech
246||Flet cher's EYES WIDEN. He has clearly forgotten.|stage direction
247|GRE TA|"I'm sure your dad'11 give you
something wonderful."|speech
248||"Fletcher tries to wave her off, awkwardly stopping when Max
turns to him.     ."|stage direction
249|MAX|Yeah?|speech
250|FLETCHER|"Oh, yeah. You're going to
love it. Uh, why don't you
play in my office for a
minute? Fax something, sue
someone, have a good time.
We'll be leaving in a second."|speech
251||"Max heads into the office. Fletcher closes the door behind
him turning it into a silly, two-handed wave."|stage direction
252||FLETCHER (CONT'D)|unknown
253|FLETCHER|Damn!   I completely forgot.|speech
254|GRETA|Oh, there's a surprise.|speech
255||Greta produces a wrapped GIFT.|stage direction
256||FLETCHER|unknown
257|GRETA|"You're a saint. I should get
you something."|speech
258||GRETA|unknown
259|GRETA|You did.|speech
260||She holds up another, smaller package.|stage direction
261||FLETCHER|unknown
262|GRETA|"Ah. Well, I always do the
classy thing. Any calls?"|speech
263||She hands him a stack of mail.|stage direction
264||GRETA|unknown
265||. Let's see.. .   ·|location
266||"(CHECKING
MESSAGES)"|unknown
267|GRETA|"Judge Patterson's clerk. He
needs your filing."|speech
268||FLETCHER|unknown
269|GRETA|Tell him it's in the mail.|speech
270||"GRETA
(jotting down a
NOTE)"|unknown
271|GRETA|"Right. You'll do it next
week. Mr. McKinley phoned,
questioning that fourteen
hours you billed on Christinas
Eve."|speech
272||FLETCHER|unknown
273|GRETA|"Write him a long, explanatory
letter. Then bill him for the
letter."|speech
274||"GRETA
(jotting down a
. note).    .."|unknown
275|GRETA|Done. Your mother called.|speech
276||FLETCHER|unknown
277|GRETA|I ' m on vacation.|speech
278|GRETA|This is your fifth week.      .   ·   .|speech
279|FLETCHER|It's a long vacation.|speech
280||"(jotting down a
NOTE)"|unknown
281|GRETA|"""Break mother's heart."" Done.
And that's it, except
Miranda's looking for you."|speech
282||"FLETCHER
(checking watch)"|unknown
283|GRETA|"As if I don't have anything
better to do than bow and
scrape at her royal perfumed
p artner feet. Tell her I'm in
court."|speech
284|GRETA|Court's closed.|speech
285|FLETCHER|"Tell her I broke my leg and
had to be shot."|speech
286||(WHISPERS)|unknown
287|GRETA|"Why don't you tell her
yourself?"|speech
288||"As Miranda approaches, Fletcher switches gears in an
INSTANT:"|stage direction
289|FLETCHER|"--And then send out a notice
of judgement on my win today!"|speech
290||"GRETA
(DRY)"|unknown
291|FLETCHER|I'll get right on it.|speech
292||Fletcher turns -- and pretends to be surprised.|stage direction
293|FLETCHER|"Miranda! I didn't see you.
Hey, you look lovely, today.
Here, I bought you a gift."|speech
294||He grabs Greta's gift and hands it to Miranda.|stage direction
295|MIRANDA|"Thanks. I heard about your
victory today. You're making
quite an impression on the
partnership committee."|speech
296||"(FEIGNING
PUZZLEMENT;
THEN)"|unknown
297|FLETCHER|"Oh, that's right. You folks
are meeting again soon.
""Allan, Stewart, Konigsberg,
and Ried."" There's something
about the rhythm of fours.
It's like a full measure.
Well, anyway, I've got a
client waiting in my office--"|speech
298|MIRANDA .|"Actually, something important
h as come up. You're not busy
tonight, are you?"|speech
299||Before Fletcher answers, we:|stage direction
300||CUT TO:|unknown
301||INT. FLETCHER'S OFFICE - EVENING|location
302||"A sad Max sits on Fletcher's big sofa. His heart sinks
further when Fletcher enters. . . carrying two boxes of
documents."|stage direction
303|MAX|We're not going, are we?|speech
304|FLETCHER|"Of course we are. A promise
i s a promise. We are gonna
see wrestling or my name isn't
Fletcher T. Reid."|speech
305||"FLETCHER
(to wrestler)"|unknown
306|FLETCHER|Could you hand me that?|speech
307||"(the wrestler
DOES)"|unknown
308|FLETCHER|Thank you.|speech
309||"(without looking
UP)"|unknown
310|FLETCHER|"We are having some fun, eh
Maxer?"|speech
311||"PUSH IN on Max; he isn't.
·INT. HOTEL ROOM - NIGHT
Jerry paces. Audrey is on the phone, waiting.   She notices
Jerry pacing."|stage direction
312|AUDREY|Are you alright?|speech
313||JERRY|unknown
314|AUDREY|"Uh, yeah, just, uh... how long
are you gonna be on the phone?"|speech
315||AUDREY|unknown
316|AUDREY|"I just wanted to say good-
night to Max, but he must
still be out with Fletcher,"|speech
317||(hangs up)|unknown
318||(SUDDENLY)|unknown
319|JERRY|Will you marry me?|speech
320||She's SHOCKED.|stage direction
321||AUDREY|unknown
322|I|"Uh...would I . . . ? What did you
say?"|speech
323||"JERRY
(NERVOUS)"|unknown
324|I|"I proposed, I . . . Look, I know
this Boston thing is a great
opportunity, good job,
mo ney .. . everything. But I
started to think about being
three thousand miles away from
you and Max. And I didn't
like it. I-- Look, I know
it's a lot to ask, to move and
everything, but I . . . . I love
you. I love your son.   Will
you marry me?"|speech
325||She stares at him, excited, but nervous.|stage direction
326||EXT. HIGH RISE APARTMENT BUILDING - MORNING|location
327||Early morning outside Fletcher's building.|stage direction
328||INT. FLETCHER'S STUDY - MORNING|location
329||"Fletcher types on his computer.   He's been up all night.
He leans back, rubs his eyes. When he opens them he sees
Max standing there in pajamas. Fletcher SMILES."|stage direction
330|FLETCHER|"Max Factor... Happy birthday.
How old are you today?
T h ir t y ? Forty?"|speech
331|MAX|Five.|speech
332||"Well, you've held up well. I
only wish there was some way
to commemorate such an
occasion, some small symbol to
mark this day, like...."|location
333||Fletcher produces --|stage direction
334||FLETCHER|unknown
335|FLETCHER|. . . A present! .|speech
336||Max eyes it with wonder.|stage direction
337||MAX|unknown
338||What is it?|location
339||(no idea)|unknown
340||It's... it's.|location
341||(it hits him)|unknown
342||a surprise.|location
343||"Max knows his father doesn't have a clue but he rips the
box open, revealing, a BASEBALL, GLOVE, DODGER'S CAP, and
FULL MAJOR LEAGUE STYLE UNIFORM."|stage direction
344||MAX|unknown
345||Baseball stuff!|location
346||"_J
FLETCHER
Baseball stuff.
MAX
(hugging his dad)
Will you play catch with me?
FLETCHER            '·
Absorootentootenlutely."|unknown
347||Max beams.|stage direction
348||"FLETCHER
Tonight. After your party,
you have my word on it."|unknown
349||Max nods sadly as Fletcher turns back to his work.|stage direction
350||EXT. JERRY'S CAR - MORNING|location
351||"Jerry and Audrey are driving. Audrey's holding a couple of
airline tickets."|stage direction
352||"AUDR EY
(re: tickets)
Jerry, these are for tomorrow.
JERRY
The company wants me to get
started right away.
AUDREY"|unknown
353||"I can't just pick up and move
to Boston with two days
notice."|location
354||"Ju st come check it out. You
a nd Max, see the town. Let's"|location
355||. pick out a place together.|unknown
356||"Then, if you want to turn me
down and scar me for life,
fine."|location
357||AUDREY|unknown
358||"It's just not that simple...
What about my job? I've been
at UCLA three years."|location
359||JERRY|unknown
360||"It's New England. They're
lousy with colleges. You
can't swing a bat back there
without hitting a college."|location
361|JERRY|"You'd get a job there in a
second."|speech
362|AUDREY|"There are other factors
involved."|speech
363||(POINTS)|unknown
364|AUDREY|T here they are now.       ·.|speech
365||"They pull up in front of Fletcher's building where Fletcher
and Max are waiting. Fletcher's still reviewing a file.
As Audrey gets out of Jerry's car, Max runs over."|stage direction
366|AUDREY|"Did you have fun? How were
the wrestling matches?"|speech
367|FLETCHER|"Big fun. Manly fun. Am I
right, Maxie?"|speech
368||(HALF-HEARTEDLY)|unknown
369|MAX|It was fun..|speech
370||(re: Audrey)|unknown
371|FLETCHER|"So how were the wrestling
matches ? Did you have fun?"|speech
372|JERRY|"Max , my man! My happy
birthday man!"|speech
373||"Max and Jerry exchange ""fives"" and'a hug.   Jerry gives Max
a light punch on the arm."|stage direction
374|JERRY|"One-two-three-four-five... and
one for good luck."|speech
375|FLETCHER|"Did you see that? He struck
the child!"|speech
376|MAX|Look what dad got me!|speech
377||(shows the glove)|unknown
378||"Whoa! Great! I have my glove
in the car. We'll stop in the
park on the way home and play
c atch. Then tonight we'll oil"|location
379|JERRY|"it, wrap a rubber band around
it. . . It'll be great."|speech
380||(to Fletcher)|unknown
