|character|text|type
0||"ALL ABOUT STEVE
Written by
Kim Barker
November 2006"|unknown
1|unknown|"TNT. KITCHEN - DAY
A New York Times crossword puzzle. The hand of MARY HOROWITZ
scratches the answers in ink without pausing even a second
between each one.
MARY (V.O.)
Vita aenigma est. Life is a
puzzle. It is. Specifically, life
is most like a crossword puzzle.
There are a million reasons why,
not the least of which is that
life, like crosswords, requires the
use of your whole entire brain-
Her writing hand knocks a glass of grape soda and it spills
all over the puzzle."|speech
2|MARY|"Crap.
The puzzle answers all run together."|speech
3||INT. SCHOOL HALLWAY - DAY|location
4|MARY|"Ten plastic folding chairs line the hallway -- all empty
except for one.
In the last chair sits Mary Horowitz, 31, in her best
synthetic cardigan, somebody's grandmother's skirt, her own
red rubber boots. Genius meets retard. She mumbles to
herself."|speech
5|MARY|"Four letter word for... vomit.
She takes a deep breath to calm her nerves. it doesn't help."|speech
6|MARY|"Not ""barf"". For sure not ""barf"".
That's too easy. ""Puke"" is okay,
but maybe a bit pedestrian (that
means boring)... I like ""hurl"". I
do. I like the way it rolls off
your tongue -- the word, I mean.
But my all time favorite is none of
those.
She puts her head between her knees, tries to keep it
together.
2."|speech
7|MARY|"Four letter word for vomit? S-P-E-
W. Spew... Sp-ew.
A door nearby opens but Mary doesn't budge. A POLICE OFFICER
walks out.
A 40ish female TEACHER pokes her head out the door, signals
to Mary."|speech
8|TEACHER|"We're ready for you now.
(a plastic Kroger shopping
Mary jumps up, grabs her purse
bag)."|speech
9|MARY|Jesus help me.|speech
10||INT. CLASSROOM - DAY|location
11|MARY|"Mary stands in front of the chalkboard, ""CAREER DAY"" written
in huge letters behind her. She smiles with terror at the
class of 10 year old KIDS.
The Teacher reads from her notes."|speech
12|TEACHER|"Here's a treat, students. Our
final guest for Career Day, Miss
Mary Horowitz, is the crossword
constructor for the Atlanta
Citizen. You know the crossword
puzzles you see every week in the
newspaper? It's her job to create
them. Isn't that fun?
Mary stares at the Teacher, whispers."|speech
13|MARY|You weren't supposed to tell them.|speech
14|TEACHER|Pardon me?|speech
15|MARY|"I made a crossword puzzle to help
them guess what my job is. You
ruined it."|speech
16|TEACHER|"Oh, I'm so sorry.
3.
Mary takes the crossword puzzles out of her bag, looks at
them like lost puppies."|speech
17|TEACHER|"Maybe you could tell them a bit
about what your job is like?"|speech
18||watche s hit|stage direction
19||GARBAGE|location
20|TEACHER|"Mary drops thu p file out her
the bottom She p lls"|speech
21||u hearsed enthusiasm.|stage direction
22|TEACHER|bag, reads with re|speech
23|MARY|"People do crossword puzzles all the
time but they don't often think of
the person who made all the words
fit together, and who thought up
the clues, and who made sure the
little black squares at the top
mirror the ones at the bottom.
She pulls one of the crosswords out of the garbage can, holds
it up, turns it upside down, forces a nervous smile."|speech
24|MARY|"Crossword constructors usually have
above average intelligence, with
knowledge of just about every
subject you can imagine. And it
helps if they can spell.
The card in Mary's hand reads ""LAUGH"". She laughs. Nobody
else does. She looks at the cards again, instantly gets
serious, sweeps her hand through the air."|speech
25|MARY|"Imagine, for a moment, a world
without crossword puzzles. A world-
Mary notices one Kid with his hand up. It totally throws her
off."|speech
26|TEACHER|Daniel, you have a question?|speech
27|DANIEL|"You make a living doing that? Just
making puzzles? The Atlanta
Citizen only comes out on Fridays.
One puzzle a week can't make you
enough to live on.
A LARGE KID in the front row pipes up.
4.
LARGE KID
How do you pay your rent?"|speech
28|MARY|My parents -|speech
