|character|text|type
0||"Men In Black
by
Ed Solomon"|unknown
1||EXT. ROAD -- TEXAS/MEXICO BORDER -- NIGHT|location
2||"A million stars wink in the night desert sky. Down here on earth, an
insect, one of those big, beautiful, multicolored four-winged jobs, glides
effortlessly on the breeze, wafting along through the crisp Texas air.
The insect dips, it banks, it does loop-the-loops -- and then SPLATS
unceremoniously against the windshield of a white van that's tearing down
the road."|stage direction
3||INT. VAN -- TEXAS/MEXICO BORDER -- NIGHT|location
4||"The DRIVER of the van, a fifty-year-old American, turns on the wipers,
smearing the remains all over."|stage direction
5|DRIVER|Goddamn bugs.|speech
6||"He squirts some wiper fluid onto the glass, which clears it up a bit, but
now he sees something worse up ahead. It's a grouping of headlights, eight
of them, all pointed at him, sealing off the road.
He bites his lip and calls over his shoulder, to the back of the van. He
speaks in Spanish, which is subtitled."|stage direction
7|DRIVER (CONT'D)|Deja me hablar.|speech
8||"(Let me do the talking.)
EXT. ROAD -- TEXAS/MEXICO BORDER -- NIGHT"|location
9||"The van slows to a stop in front of the parked cars, all government-issue
four doors with ""INS"" stenciled on the sides. Seven or eight INS AGENTS
stand in front of the cars imposingly. Their apparent leader steps forward
and comes to the window.
The DRIVER rolls it down. AGENT JANUS, blonde-haired, blue-eyed, also
government issue, looks at him and sighs."|stage direction
10|AGENT JANUS|"Well. Nick the Dick. What a surprise. Where
you comin' from?"|speech
11|DRIVER|I was fishing in Cuernavaca.|speech
12|AGENT JANUS|"Sure you were. What do you say we have a
look at your catch?"|speech
13||"AT THE BACK OF THE VAN,
the Agents fling open the rear doors, revealing a DOZEN FRIGHTENED
MEXICANS, hopeful immigrants without official permission. Agent Janus
looks at the Driver, who's now held by two other Agents, and shakes his
head."|stage direction
14|AGENT JANUS|Me, I woulda thrown 'em back.|speech
15||(to the passengers, in Spanish)|location
16|AGENT JANUS|Vamanos. Fuera. Hagan una lina!|speech
17||(Let's go. Out. Form a line!)|location
18||They pile out of the van. Some are parents with small children.|stage direction
19|AGENT JANUS (CONT'D)|"What do you get, Nick? Hundred bucks a
head?  Two hundred? I hope you saved it all
for your lawyer, pal, 'cause you're gonna
need --"|speech
20||"He stops in the middle of his sentence, as another car is approaching,
fast, its engine WHINING as it barrels down the road toward them. Several
Agents pull their weapons.
The new car pulls a hard right, goes off the road, spins around the INS
cars, and SQUEALS to a sideways halt, silhouetted in front of their
headlights. It's a boxy, black 1986 Ford LTD.
TWO MEN get out, dressed in plain black suits, crisp white shirts, simple
black ties, shiny black shoes. KAY, fiftyish, is the apotheosis of
world-weary; his partner, DEE, mid-sixties, is just weary. They approach
the INS agents."|stage direction
21|KAY|We'll take it from here.|speech
22|AGENT JANUS|Who the hell are you?|speech
23||Kay and Dee flash some form of ID.|stage direction
24|KAY|INS Division 6.|speech
25|AGENT JANUS|Division 6? I never heard of Division 6.|speech
26|KAY|Really?|speech
27||Kay and Dee move past him and approach the row of nervous immigrants.|stage direction
28|KAY (CONT'D)|What're we thinking, Dee?|speech
29|DEE|Tough call, Kay.|speech
30||"He walks down the row, studying the faces, greeting each one cheerily in
Spanish."|stage direction
31|KAY|!Oye! Que pasa, coma estas? Hey!|speech
32||(What's up, how are you?)|location
33|KAY|"No se preocupe, abuela. Bienvenida a los
Estados Unidos."|speech
34||"(Don't worry grandma.
Welcome to the United
States.)"|location
35|(next)|"A donde vas? San Antonio? Buscando trabajo,
no? Buena suerta."|speech
36||"(Where are you going? San
Antonio?  Looking for
work, aren't you?  Good
luck.)"|location
37|(next)|Es un placer verle aqui.|speech
38||"(It's a pleasure seeing
you here.)"|location
39||"One by one, their faces relax, reassured by Kay's calm demeanor. When he
reaches the fifth Guy, he keeps the same cheery tone, but:"|stage direction
40|KAY (CONT'D)|Que dices si te rompo la cara?|speech
41||"(What do you say if I
break your face?)"|location
42||"The Guy smiles and nods. Kay stops. His own smile broadens and he drops a
hand on the Guy's shoulder."|stage direction
