|character|text|type
0||"Taking Lives
by
Jon Bokenkamp
based on the novel by
Michael Pye
previous revisions by
Nicholas Kazan
H. Seitz
David Ayer
EARLY DRAFT
February 28, 2003"|unknown
1||FADE IN:|stage direction
2||INT. BUS STATION - DAY|location
3||"SUPERIMPOSE:     17 YEARS AGO
Small, Canadian, rural. Just the Native American CASHIER
jotting down sports stats from the paper. MARTIN, 16,
enters. Slight, pale and frail, new clothes, a tag still
hangs from his stiff work jacket. Martin stands in front
of the Cashier a beat. Nervously tugs an earlobe."|stage direction
4||"MARTIN
Sir. Sir, may I have a ticket to
Montreal please?"|unknown
5||"Pardon?
MARTIN
I need a ticket to Montreal."|unknown
6||"Montreal?
MARTIN
Yes, sir.     Please.
CASHIER
Forty-three dollars."|unknown
7||"Martin pulls out an envelope filled with crisp twenties
and carefully counts out three. The Cashier gives Martin
his ticket and change. Points at a bus outside. The
DRIVER loading bags."|stage direction
8||INT. BUS - DAY|location
9||"A half dozen PASSENGERS. Martin steps aboard, takes a
seat. DAN SOULSBY, Martin's age, sits next to him,
offers a hand. Martin shakes."|stage direction
10||"Dan Soulsby.
MARTIN
Martin.     Nice to meet you.
DAN
Where you heading to?
MARTIN
Away from here.
(CONTINUED)
2."|unknown
11||"CONTINUED:
Dan produces a couple beers from his pockets.     Offers
Martin one."|stage direction
12||MARTIN|unknown
13|DAN|Pisswater.|speech
14|DAN|"At least it's cold pisswater.
Here's to getting away."|speech
15||"They CLINK CANS. The Driver enters the bus. Unlocks the
airbrakes. Puts the bus in reverse, gives it gas.
BOOM! The ENGINE throws a rod. Horrible GRINDING.
Smoke wafts into the windows. The Driver KILLS the
ENGINE. Silence. Martin and Dan trade looks."|stage direction
16|DAN|That was bad.|speech
17||(bummed)|unknown
18|DAN|"It's gonna take all day to get
another bus here."|speech
19||"Martin sighs, looks out the window.
WHAT MARTIN SEES
A car rental place.
BACK TO SCENE
Martin fingers the envelope of cash in his pocket."|stage direction
20|MARTIN|You have a license?|speech
21||DAN|unknown
22|MARTIN|Had one.    They took it away.|speech
23||MARTIN|unknown
24|MARTIN|I got one.   Let's go.|speech
25||INT. RENTAL CAR - MOVING - NIGHT|location
26||"Dan drives. JOURNEY ON the RADIO. Martin checks out
Dan's guitar. Dan shows Martin his teeth."|stage direction
27||DAN|unknown
28|MARTIN|See that?    They're all fake.|speech
29||"(CONTINUED)
3."|unknown
30||CONTINUED:|stage direction
31|MARTIN|"You take a hockey puck in the
face?"|speech
32|DAN|"A fist. My stepdad socked me. I
flew across the room and dented
the sheetrock in the kitchen. My
mom saw everything and still took
his side."|speech
33|MARTIN|You got cracked good.|speech
34|DAN|"I hate that guy. Two hundred
pounds of worthless grease."|speech
35|MARTIN|Why'd he hit you?|speech
36|DAN|"I wrecked his sixty-five Mustang
and his boat in the same week.
His babies. I totaled them."|speech
37|MARTIN|I would have popped you too.|speech
38|DAN|"It was worth it. But I didn't
deserve the tour in hell."|speech
39||Dan rubs his close-cropped hair.|stage direction
40|DAN|"Don't ever go to military school
if you can help it. It sucks."|speech
41||(a beat)|unknown
42|DAN|I jumped the wall two days ago.|speech
43|MARTIN|You going back?|speech
44|DAN|"I'm done with that racket. I'm
going to Seattle and playing
music."|speech
45||Martin tries the guitar, he's not that good.|stage direction
46|MARTIN|I know some chords.|speech
47|DAN|Think you can learn drums?|speech
48||4.|unknown
49||INT. RENTAL CAR - MOVING - DAY|location
50||"The land rolls endlessly. Martin drives.      Dan plays his
guitar. He's really good."|stage direction
51||DAN|unknown
52||"I'm the next Billy Squire. Krokus
will be opening for me one day."|location
53||"POW! The CAR HITS a BOTTLE. A front tire deflates.
Martin guides the crippled vehicle to the curb."|stage direction
54||EXT. HIGHWAY - DAY|location
55||The middle of nowhere.    Martin flips a coin.    Heads.|stage direction
56||DAN|unknown
57||Shit.|location
58||"Dan hauls the spare from the trunk.      Sets the jack under
the bumper.
A PICKUP TRUCK approaches.      Still a mile away.
Martin watches Dan lean in the trunk for the tire iron.
The pickup gets closer, a big one.      Heavy with bags of
animal feed. Speeding.
Martin looking at Dan's back. Martin shoves Dan hard,
into the highway. In front of:
THE GRILL OF THE PICKUP
WHAM! It plasters Dan. He goes over the hood, SHATTERS
the front WINDSHIELD. Bounces off, spins like a rag doll
into a ditch.
The pickup has lost control, it rolls.      Several times, a
heaving mass of steel.
CRASH! The TRUCK folds itself around a husky tree.         No
survivors, that's clear.
MARTIN
He can't believe what he has just done.       He takes in the
carnage, tugs at his ear."|stage direction
59||EXT. MONTREAL - DAY|location
60||"SUPERIMPOSE:   PRESENT DAY
ESTABLISHING the river-bound city.      Beautiful."|stage direction
61||5.|unknown
62||EXT. ST. LAWRENCE RIVER - DAY|location
63||"A large Ferry plies the unstoppable waters.     Gliding
toward skyscrapers."|stage direction
64||EXT. FERRY PIER - DAY|location
65||"The signs in French. Crowded with PASSENGERS waiting to
board. As more PASSENGERS pour off the just-docked ship.
A WOMAN runs through the crowd. Terror etched in her
face. She knocks aside several PEOPLE. Runs toward a
row of restaurants. Even in her turmoil, she is
patrician, elegant."|stage direction
66||EXT. PIER-SIDE CAFE - DAY|location
67||"Two BEAT COPS eat at an outdoor table.   Laid back.    The
WOMAN approaches them, frantic."|stage direction
68||WOMAN|unknown
69||"I just saw my dead son get off the
ferry."|location
70||The COPS trade looks.|stage direction
71||WOMAN|unknown
72||"Listen to me; he's been dead
eighteen years. He just walked
right past me.
INT. MONTREAL PD OFFICE - DAY"|location
73||"An INSPECTOR pours the Woman tea. She has calmed down.
He takes his pen, looking at her statement."|stage direction
74||WOMAN|unknown
75||"You need to open that grave.   It
can't be my son in there."|location
