|character|text|type
0||HANNIBAL|location
1||"David Mamet
From the Novel by"|unknown
2||September 8, 1999|unknown
3||"INT MIDWIVES OFFICE DAY.
FAIRLY RUNDOWN OFFICE.  OLD AND DIRTY HEALTH NOTICES TACKED
TO A BULLETIN BOARD.  ""COMMON SENSE FOR NURSING MOTHERS,""
ET CETERA.
A LOWER-CLASS WOMAN, PREGNANT, WITH A SMALL CHILD IN TOW,
OPENS THE DOOR, AND ENTERS.  SHE IS SWELTERING, AND MOPS
HER BROW AS SHE WALKS TO THE REGISTRATION DESK."|stage direction
4|MOTHER|It's hotter|speech
5||inside|location
6||than it is|unknown
7||outside|location
8|MOTHER|with the air conditioning.|speech
9|REGISTRAR|"Would you sign in here, please..?  You know,
we're closing in half an..."|speech
10|MOTHER|I just came to drop off my payment....|speech
11||"SHE DROPS AN ENVELPE ON THE DESK.
AS SHE LEAVES WE SEE THE DOOR OPEN, AND THE DREARY SUBURBAN
SPRAWL PARKING LOT BEHIND.  CAMERA PANS HER PAST"|stage direction
12||"CLARICE
STARLING
, WHO IS SITTING, VERY HOT AND PREGNANT, ON A"|location
13||BENCH.  THE MOTHER EXITS, AND|stage direction
14||"EVELDA DRUMGO
, A VERY BEAUTIFUL"|location
15||"AFRICAN AMERICAN WOMAN, HOLDING A NEWBORN, ENTERS.  SHE
LOOKS AROUND, GOES TO THE REGISTRAR, AND SIGNS IN."|stage direction
16|REGISTRAR|...that'll just be a minute.|speech
17||"DRUMGO SITS, SHE AND STARLING EXCHANGE A LOOK.
BEAT."|stage direction
18|STARLING|S'hotter inside than it is|speech
19||"outside
...even"|location
20|STARLING|with the air conditioning.|speech
21||"(SHE LOOKS AT HER WATCH, THEN
UP AT THE WALLCLOCK.)"|unknown
22|DRUMGO|You nervous...?|speech
23|STARLING|"Evone tells me:  I shoulda been in, fi,
six, months ago.... thizz my first
checkup."|speech
24|DRUMGO|Gonna be fine.  You ask your momma.|speech
25||STARLING MUTTERS.|stage direction
26|DRUMGO (cont'd)|...what...?|speech
27|STARLING|"....I didn't realize I said it out
loud."|speech
28|DRUMGO|Said what?|speech
29|STARLING|I'm an orphan.|speech
30|DRUMGO|"Well, then, you're a lucky girl, cause
that baby's gone to be your family."|speech
31||(TO THE RECEPTIONIST)|unknown
32|DRUMGO|...I've got an appointment....|speech
33||"THE RECEPTIONIST IS GONE, DRUMGO GOES TO PEER OVER THE
RECEPTION DESK.
ANGLE ON STARLING"|stage direction
34|STARLING|That is a lovely thing to say.|speech
35|DRUMGO|Waal...|speech
36|STARLING|It gets, um... it gets so lonely sometime.|speech
37||(SITS.  COMFORTS THE CHILD)|unknown
38|DRUMGO|What'd you say, hon...?|speech
39|STARLING|I said sometime it gets so...|speech
40|DRUMGO|Well, don't you worry, cause that|speech
41||baby's|location
42|DRUMGO|gone take care of|speech
43||that|location
44||"SHE BRUSHES BACK THE HAIR FROM THE SIDE OF HER FACE.
ANGLE INS.
ON A BARRETTE IN HER HAIR.  WHICH WE SEE BEARS A SMALL
MICROPHONE.
ANGLE ON STARLING, AS SHE HITCHES HERSELF UP IN HER SEAT,
AS IF TO FIND A COMFORTABLE POSITION.
ANGLE INSERT.
ON THE BACK OF HER DRESS.  WHERE WE SEE THE PRINT OF A
SQUARE BOX, AS STARLING'S HAND MANIPULATE A SMALL KNOT
THROUGH THE DRESS.  NEXT TO IT WE SEE THE PRINT OF A
PISTOL UNDER THE DRESS.
ANGLE
ON STARLING AND DRUMGO.
STARLING, AS SHE FIDDLES WITH THE BARRETTE ONCE AGAIN."|stage direction
45|STARLING (cont'd)|I wonder if you could just, sit down,|speech
46||talk|location
47||with me a moment...|unknown
48||"ANGLE XCU ON STARLING, HOLDING THE BARRETTE, AS SHE SPEAKS TO
DRUMGO."|stage direction
49|STARLING (cont'd)|Cause, you know, I'm sitting here|speech
50||"all
alone
.  Do you know what I mean?"|location
51||(PAUSE)|unknown
52|STARLING (cont'd)|Cause I feel it's getting|speech
53||late|location
54||for|unknown
55|STARLING (cont'd)|"me... do you know...?  That I've Waited
Too"|speech
56||Long|location
57||"ANGLE ON DRUMGO, AS SHE STANDS IN THE EMPTY RECEPTION AREA,
AND LOOKS AT IT AND THEN BACK TO STARLING ."|stage direction
58||(PAUSE)|unknown
59|DRUMGO|Waited too long, hon...?|speech
60||"(PAUSE)
(SHE LOOKS AT STARLING )"|unknown
61|STARLING|How's your|speech
62||child|location
63||"STARLING STANDS, AND MOVES TO LOOK OUT OF THE WINDOW.
ANGLE XCU ON DRUMGO, AS SHE LOOKS AT STARLING.
ANGLE, HER POV
THE DRESS, STUCK BY SWEAT, TO STARLING'S BACK, REVEALS THE
PISTOL AND TRANSMITTER.
ANGLE
ON STARLING, AS SHE SITS DOWN AGAIN."|stage direction
64|DRUMGO|...what?|speech
65|STARLING|I said how's your baby...?|speech
66|DRUMGO|You want to|speech
67||hold|location
68||him...?|unknown
69|STARLING|Waal...|speech
70|DRUMGO|'bout time you|speech
71||learned|location
72||"SHE HANDS THE BABY TO STARLING.
SHE GOES INTO THE CHILD'S DIAPERBAG AND TAKES OUT A PISTOL,
AND LEVELS IT AT STARLING, AS SHE MOVES TO LOOK OUT THE
WINDOW."|stage direction
73|DRUMGO (cont'd)|...where's your friends...?|speech
74||"SHE MOVES TO STARLING, AND FRISKS HER, AND REMOVES HER
PISTOL, AND THE TRANSMITTER FROM THE BELT AT HER BACK..."|stage direction
75|DRUMGO (cont'd)|...you're here all by yourself, honey....|speech
76|STARLING|Give it up, Evelda.|speech
77|DRUMGO|Well, you know|speech
78||my|location
79||name, honey, but|unknown
80||I|location
81|DRUMGO|don't know|speech
82||yours|location
83|STARLING|Give it up.|speech
84|DRUMGO|"Hey, you know, I never thought of
that..."|speech
85||SHE STARTS GETTING INTO THE NURSES GARB.|stage direction
86|DRUMGO (cont'd)|Ain't this a|speech
87||"picture
, though, cause you
know"|location
88||you ain't the first girl, ever got|unknown
89|DRUMGO (cont'd)|lef, in a position, waiting at the|speech
90||"doctor's
.  You can't trust men, child,"|location
91|DRUMGO (cont'd)|"don't you know that.... old as you
are...?"|speech
92||"SHE WALKS BACK TOWARD STARLING, SCOOPS UP HER CHILD, PEEKS
OUT THE WINDOW, AND STARTS FOR THE DOOR."|stage direction
93|DRUMGO (cont'd)|"Cause, see, they'll always let you down.
Terrible thing, to do to an"|speech
94||orphan|location
95||"SHE LEANS BACK TOWARD STARLING, GRABS HER HAIR, AND PULLS HER
BACK AND KISSES HER ON THE LIPS, AND RETIRES AND EXITS.
ANGLE
ON STARLING, AS SHE LOOKS OUT OF THE WINDOW.  AT A CAR, WHICH
IS IN THE FAR END OF THE PARKING LOT, IT ACCELERATES, AND
SCREECHES UP TO THE DOOR, AND EVELDA, CARRYING HER CHILD,
GETS IN TO THE STILL MOVING CAR, WHICH STARTS TO TAKE OFF.
ANGLE EXT THE MIDWIVES CENTER.
STARLING, CROUCHING AT THE DOOR, RETRIEVES A BACKUP WEAPON
FROM HER ANKLE HOLSTER.  SHE EMERGES FROM THE DOORWAY.
ANGLE
IN THE PARKING LOT, DRUMGO AND CHILD, GETTING HAULED INTO
THE CAR.  A FIGURE IN THE BACKSEAT OF THE CAR, SHOOTING OVER
THE ROOF, APACHE STYLE, FIRES AT STARLING, AS THE CAR PEALS
OUT OF THE PARKINGLOT.
STARLING TAKES COVER.
BEAT.
STARLING, ALONE, WALKS INTO THE NOW EMPTY PARKINGLOT.  SHE
SITS ON A LOW CONCRETE DIVIDER.  HOLD.  A VAN PULLS IN.
FOLLOWED BY ANOTHER CAR, AND TEN SWAT CLAD COPS PILE OUT,
AND APPROACH STARLING.
STARLING SLOWLY LOOKS UP."|stage direction
96|STARLING|....where were you...?|speech
97||(SHE LOOKS AT HER WATCH. )|unknown
98||"(AS SEVERAL OTHER OFFICERS
MOVE INTO THE MIDWIVES
CENTER.)"|unknown
99|SWAT OFFICER|...we, we didn't hear the go-ahead.|speech
100||"(AS SHE HANDS HIM THE SMALL
RADIO TRANSMITTER)"|unknown
101|STARLING|"Yeah, well, you didn't get it cause your
radio went"|speech
102||"dead
.  The
backup"|location
103||plan was,|unknown
104|STARLING|17.45, you guys are the Cavalry...|speech
105||"SHE GETS UP AND WALKS AWAY FROM THE DOORSTEP, TO A SEDAN,
WHICH IS PULLING UP.  AS SHE GOES, SHE TAKES OFF THE FAKE
BELLY SHE HAS BEEN WEARING.
ANOTHER SWAT AGENT TAKES THE RADIO AND LOOKS AT IT."|stage direction
106|SECOND SWAT OFFICER|"...what'd you do, sweat it out, short
out the leads...?  Got a little"|speech
107||hot|location
108||in|unknown
109|SECOND SWAT OFFICER|there.....?|speech
110||SHE FLINGS THE FAKE STOMACH AT HIM.|stage direction
111|SECOND SWAT OFFICER (cont'd)|...what happened to Right to Life...?|speech
112||(HE LAUGHS)|unknown
113||"STARLING ROUNDS ON HIM, HITS HIM SEVERAL TIMES, AND THROWS
HIM TO THE GROUND."|stage direction
114|STARLING|"What happened to Right to Life?  What
happened to right to"|speech
115||my|location
116||life...?  I'm in|unknown
117|STARLING|"there, carrying the mail for all you
drugstore cowboys, si'in in a van playin
with each other's"|speech
118||Velcro|location
119||(THE OFFICER STARTS TO GET UP)|unknown
120|STARLING|"You wanna get up, you wanna get up?
Here I"|speech
121||am|location
122||TWO FBI TYPES GET OUT OF THE NEWLY ARRIVED SEDAN.|stage direction
123|FBI TYPE|What happened to the girl...?|speech
124||(AS SHE GETS INTO THE SEDAN)|unknown
125|STARLING|Get me out of here...|speech
126||"INT CONFERENCE ROOM FBI HEADQUARTERS DAY.
STARLING IS NOW DRESSED IN A T-SHIRT AND JEANS.  SHE HAS
CLEANED HERSELF UP."|stage direction
127||"KRENDLER
, A CLEAN-CUT STUDENT COUNCIL"|location
128||"TYPE AROUND FORTY IS HOLDING FORTH.  AROUND THE CONFERENCE
TABLE ARE THE FATHERLY"|stage direction
129||"JACK CRAWFORD
, AND VARIOUS OTHER"|location
