|text|type
0|PUBLIC ENEMIES|location
1|"Written by
Ronan Bennett, Michael Mann & Ann Eiderman
November, 2007"|unknown
2|EXT. PRICK STREETS OF MICHIGAN CITY, INDIANA - A BROWN|location
3|is parked at the curb. It waits.|stage direction
4|"INT. PONTIAC - ""RED"" HAMILTON ( 34)"|location
5|"looks at his watch. With his meticulously parted red hair, he
might be a bank president. It's 6:55 a.m."|stage direction
6|INT. INDIANA STATE PRISON, MICHIGAN CITY, INDIANA - LINE OF|location
7|Brilliant, violent, he hates all authority.|stage direction
8|and as calm as Pierpont is volatile.|stage direction
9|INT. INDIANA STATE PRISON, GATEHOUSE - TURNKEY|location
10|INT. INDIANA STATE PRISON - THE SHIRT FACTORY: STACKS OF|location
11|arrive at a busy work station with Pierpont, Makley and Van|stage direction
12|"is approached by Pierpont, who shoves the 45 in his face.
PIERPONT
Line up! Line up...
Dietrich and Van Meter control THREE OTHER GUARDS. ED SHOUSE,
JIM LESLIE and EARL ADAMS - three other Cons armed with
makeshift clubs and spivs -- join the escape. Meanwhile..."|stage direction
13|INT. GATEHOUSE - TURNKEY|location
14|INT. GATE HOUSE - GUARDS|location
15|EXT. FRONT YARD - RED|location
16|EXT. FRONT YARD - ESCAPEES|location
17|INT. WEST TOWER - TOWER GUARDS #1 + #2|location
18|EXT. FRONT YARD - DILLINGER|location
19|INT. RED'S PONTIAC - MANLEY + SHOUSE|location
20|tumble in. Dillinger and Van Meter - outside - FIRE at the|stage direction
21|EXT. STREET - PONTIAC|location
22|EXT. STREET - DIETRICH'S|location
23|INT. PONTIAC - HAMILTON|location
24|EXT. FARM ROAD - SHOUSE|location
25|EXT. PERU, INDIANA - CROSSROADS - LATER|location
26|INT. FARM HOUSE -- PIERPONT, MAKLEY + VAN METER|location
27|EXT. FARM -- A TODDLER|location
28|brings out the dozen fried egg sandwiches wrapped in|stage direction
29|"DILLINGER
Well, then you keep the change."|stage direction
30|Dillinger passes Viola and the struggling toddler on the way|stage direction
31|Pierpont, Homer and Makley head towards the Plymouth.|stage direction
32|INT. PONTIAC - DILLINGER,|location
33|EXT. THICK WOODS NEAR EAST LIVERPOOL, OHIO - A MAN - DAY|location
34|handle. It's the best rifle made in 1933.|stage direction
35|With Purvis are Special Agents WARREN BARTON (31) and|stage direction
36|EXT. MIDDLE OF THE ORCHARD|location
37|"A few .45s splinter nearby branches. Fultz, Baum and Barton
seek cover: Purvis works the bolt and chambers another round."|stage direction
38|"FLOYD (CONT'D)
And I believe you have killed me. So you
can go and rot in hell, you sonofabitch.
He lapses, goes cold and dies.
CUT TO:"|stage direction
39|INT. KITCHEN - CA-ROLE SLAYMAN - DAY (EAST CHICAGO, INDIANA)|location
40|EXT. REAR YARD - CAROLE|location
41|INT. REAR GARAGE - OSCAR LIEBOLDT - LATER|location
42|INT. KITCHEN - DILLINGER|location
43|enters. MARTIN ZARKOVICH looks up. He wears a police badge|stage direction
44|"the East Chicago, Indiana Police Department.
ZARKOVIOH
Johnny! How are ya?"|stage direction
45|INT. CAROLE'S BEDROOM - DILLINGER'S - LATER|location
46|INT. CONGRESSIONAL HEARING ROOM - J. EDGAR HOOVER - DAY|location
47|INT. HOOVER'S PRIVATE OFFICE -- HOOVER|location
48|INT. BUREAU OF INVESTIGATION w HOOVER ESCORTS PURVIS THROUGH|location
49|EXT. JUSTICE DEPARTMENT STEPS - HOOVER, PURVIS, SUYDAM +|location
50|INT. AMERICAN BANK AND TRUST COMPANY - JOHN DILLINGER|location
51|EXT. BANK + STREET - HOMER VAN METER|location
52|Grover Weyland OPENS THE VAULT. Dillinger checks his watch.|stage direction
53|EXT. BANK - VAN METER|location
54|INT. BANK - PIERPONT|location
55|PIERPONT|stage direction
56|EXT. BANK - OFFICER CHESTER BOYARD|location
57|INT. BANK - BOYARD|location
58|EXT. BANK - REAR ALLEY: RED IN THE BUICK|location
59|EXT. BANK FRONT - VAN METER|location
60|INT. BANK -- DILLINGER|location
61|EXT. AMERICAN BANK AND TRUST --- VAN METER,|location
62|INT. BUICK - MAKLEY + PIERPONT|location
63|INT. BUICK:.- RED|location
64|Right there. Now. 6 miles to the new|stage direction
65|INT. BUICK - HAMILTON|location
66|EXT. THICK WOODS|location
67|INT. CHICAGt7: BUREAU OF INVESTIGATION OFFICES - PURVIS - DAY|location
68|DILLINGER (CONT'D)|stage direction
69|EXT. ARAGON BALLROOM - DILLINGER + BILLIE - NIGHT|location
70|INT. GOLD COAST RESTAURANT - MAITRE D' - NIGHT|location
71|EXT. STREET OUTSIDE RESTAURANT - DILLINGER - NIGHT|location
72|INT. PHONE COMPANY EXCHANGE - PURVIS - DAY|location
73|VOICE (V.0.)|stage direction
74|EXT. NORTH DEARBORN STREET - JOHN DILLINGER - NIGHT|location
75|INT. STEUBEN CLUB - DILLINGER - NIGHT|location
76|INT. APARTMENT, DILLINGER'S BEDROOM - NIGHT|location
77|DILLINGER (CONT'D)|stage direction
78|!NT. PHONE COMPANY - BAUM/INT. PURVIS' APARTMENT - PURVIS --|stage direction
79|INT. PURVIS'S PIERCE-ARROW - PURVIS + BAUM|location
80|INT. HALLWAY ON THIRD FLOOR - PURVIS + BARTON - NIGHT|location
81|INT. APARTMENT 302, LIVING ROOM/DINING ROOM - THEY ENTER|location
82|INT. CARPETED HALLWAY ON THIRD FLOOR - PURVIS + BARTON|location
83|EXT. STREET - PURVIS|location
84|EXT. SHERONE APARTMENTS - BAUM|location
85|INT. THIRD FLOOR HALLWAY - PURVIS|location
86|INT. APT 30.2 VI SCOTT|location
87|EXT. SHERONE APARTMENTS - BAUM|location
88|INT. SHERONE APARTMENTS - PURVIS|location
89|EXT. SHERONE APARTMENTS -- PURVIS|location
90|INT. CENTRAL NATIONAL BANK, GREENCASTLE, INDIANA -- 7ILLINGER,|location
91|"Teller looks up at Pierpont but is staring into the 45 cal.
barrel of a Tommy gun while..."|stage direction
92|vaults the five foot divider railing and trains two 45s on|stage direction
93|EXT. STREET - RED HAMILTON|location
94|INT. STUDEBAKER RED|location
95|INT. BUREAU OF INVESTIGATION, WASHINGTON - HOOVER - DAY|location
96|INT. BANKERS BUILDING - PURVIS - DAY (INTERCUT)|location
97|INT. UNION STATION (CHICAGO) - A TRAIN - DAY|location
98|INT. UNION STATION, GREAT HALL - DAY|location
99|EXT. THE KENNEL CLUB (MIAMI) -- MECHANICAL RABBIT -- DAY|location
100|"DILLINGER (CONT'D)
Billie and I want to hit the Gulf Coast
on the way to Arizona.
PIERPONT
I want to take 66 and check banks in
Denver and Phoenix. We'll meet you in
Tucson on the 25th."|stage direction
101|EXT. PHILLIPS GAS STATION - BILLIE WITH A CAMERA -- DAY|location
102|INT. CONGRESS HOTEL, TUCSON, ARIZONA - ON THE CLERK - DAY|location
103|INT. ROOM 323 - DOOR OPENS|location
104|INT. BATHROOM - BILLIE|location
105|INT. ROOM 323|location
106|INT. JAIL -- DILLINGER|location
107|INT. JAIL CELL - DILLINGER - NIGHT|location
108|EXT. SKY OVER CHICAGO - AERIAL: LOCKHEED LODESTAR LANDING|location
109|EXT. MIDWAY AIRPORT RUNWAY - LOCKHEED|location
110|crowd have come to greet the biggest celebrity in America.|stage direction
111|EXT. CHICAGO STREETS - CROWDS - NIGHT|location
112|"crane to see the Dillinger convoy as they hear approaching
sirens. It heads east towards the Indiana border and the town"|stage direction
113|INT. LAKE COUNTY COURT HOUSE + JAIL -- (CROWN POINT, INDIANA)|location
114|INT. LAKE COUNTY CRIMINAL COURT BUILDING - LOUIS PIQUETT -|location
115|INT. UNOCCUPIED OPEN CELL|location
116|INT. LAKE COUNTY COURT - JUDGE MURRAY - DAY|location
117|PIQUETT|stage direction
118|INT. CRIMINAL CELL BLOCK|location
119|INT. LAKE COUNTY JAIL, CORRIDOR - DILLINGER|location
120|INT. LAKE COUNTY JAIL, WARDEN`S OFFICE - FOUR GUARDS|location
121|INT. GARAGE|location
122|at the rear of the jail. A mechanic named EDWARD SAAGER is|stage direction
123|something shoved into his back. He turns to see|stage direction
124|EXT. CROWN POINT MAIN STREET - FORD V-8 - DAY|location
125|INT. HOLLEY'S FORD V-8 - YOUNGBLOOD|location
126|INT. J. EDGAR'S OFFICE - RADIO|location
127|INT. WALGREENS DRUG STORE, GARY, INDIANA - PHONEBOOTH:|location
128|INT. WILLIE'S FURNISHED APARTMENT - NIGHT|location
129|INT. TELEPHONE EXCHANGE|location
130|INT. BILLIE'S APARTMENT - BILLIE|location
131|INT. ROOM IN TELEPHONE EXCHANGE - BAUM|location
132|INT. TELEPHONE EXCHANGE|location
133|EXT. CAROLE SLAYMAN'S WHOREHOUSE, REAR YARD - DILLINGER|location
134|INT. KITCHEN - MARTIN ZARKOVICH|location
135|EXT. BRICK STREET IN KANKAKEE, ILLINOIS - THE '34 FORD - DAY|location
136|INT. KEDSIE AVENUE CIGAR STORE - GLASS DOOR|location
137|INT. SECOND FLOOR - GILBERT, DILLINGER + RED - DAY|location
138|kidney, pulls him back off balance, holds him up with one 45|stage direction
139|"D'ANDREA. (CONT'D)
Good luck to you. You too, Red."|stage direction
140|EXT. JUSTICE DEPT. BUILDING + STAIRCASE - PURVIS WAS KEPT|location
141|voltage enthusiasm suddenly imbues Hoover.|stage direction
142|INT. MOVIE THEATER - DILLINGER'S|location
143|Beyond their on the screen Pretty Boy Floyd`s face is replaced|stage direction
144|INT. LOBBY` SECURITY NATIONAL BANK & TRUST COMPANY (SIOUX|location
145|EXT. THE SECURITY NATIONAL BANK & TRUST COMPANY|location
146|EXT. ROOFTOPS ACROSS THE STREET -- DEPUTY|location
147|DILLINGER (CONT'D)|stage direction
148|INT. FORD, TRAVELLING - DILLINGER|location
149|grimaces with pain. Hamilton helps him off with his overcoat.|stage direction
150|EXT. LITTLE BOHEMIA - FORD - TWILIGHT (LATER)|location
151|INT. DILLINGER'S ROOM - MONEY - NIGHT|location
152|INT. SIOUX FALLS HOSPITAL - TOMMY CARROLL - NIGHT|location
153|INT. SIOUX FALLS AIRPORT - NIGHT|location
154|INT. BANKERS' BUILDING, OFFICE - COWLEY - NIGHT|location
155|INT. LITTLE BOHEMIA, DILLINGER'S ROOM - DILLINGER - NIGHT|location
156|EXT. PINE WOODS - TWO BUREAU HIRE CARS - NIGHT|location
157|EXT. LITTLE BOHEMIA LODGE - THREE LOCAL MEN, CCC WORKERS|location
158|INT. BARROOM - NELSON|location
159|EXT. LITTLE BOHEMIA LODGE - CHEVROLET|location
160|INT. CHEVROLET - NIGHT|location
161|EXT. LITTLE BOHEMIA LODGE - NELSON|location
162|INT. BARROOM - NELSON|location
163|and the others inside are FIRING out windows, killing lights.|stage direction
164|EXT. WOODS - WINSTEAD + HURT|location
165|INT. DILLINGER'S ROOM - DILLINGER + HAMILTON|location
166|EXT. LITTLE BOHEMIA, BARROOM - NELSON, SHOUSE + VAN METER|location
167|EXT. PINE WOODS - PURVIS|location
168|INT. LITTLE BOHEMIA, SECOND STORY - ROOF - DARK NIGHT|location
169|EXT. LITTLE BOHEMIA - THE TWO MEN|location
170|EXT. WOODS - PURVIS - NIGHT|location
171|EXT. ROAD - NELSON|location
172|INT. BUREAU CAR - CARTER BAUM|location
173|EXT. PINE WOODS - PURVIS|location
174|EXT. ROAD -- BAUM|location
175|INT. CAR - NELSON'S|location
176|EXT. HOUSE - A CAR|location
177|EXT. LITTLE BOHEMIA LODGE - WIDE - NIGHT|location
178|INT. STOLEN BUREAU CAR, MOVING - NELSON|location
179|EXT. WOODS NEAR THE ROAD -- PURVIS|location
180|INT. PACKA.,.RD - COWLEY|location
181|INT. STOLEN BUREAU CAR- NELSON|location
182|EXT. HIGHWAY|location
183|INT. PACKARD - COWLEY|location
184|INT. STOLEN BUREAU CAR - NELSON|location
185|INT. PACKARD - PURVIS|location
186|EXT. ROAD ,SPLITS ...|location
187|INT. PACKARD - PURVIS|location
188|INT. STOLEN BUREAU CAR - LOSING SPEED!|location
189|EXT. DIRT ROAD -- BUT NELSON'S CAR.|location
190|INT. STOLEN BUREAU CAR - NELSON|location
191|INT. DILLINGER'S STOLEN CAR, PARKED IN A SMALL TOWN -|location
192|The Driver turns, restarts his car and pulls quickly away.|stage direction
193|EXT. FIELD - NIGHT|location
194|EXT. FIELD - DAWN|location
195|INT. BLACK HUDSON, CHICAGO - JOHN DILLINGER ._ NIGHT|location
196|INT. 1933 CHEVROLET SURVEILLANCE CAR - NIGHT|location
197|INT. ASHLAND APARTMENT, FOYER - BILLIE + NEIGHBOR,|location
198|EXT. REAR ALLEY - SNOW FLURRIES: BILLIE|location
199|EXT. ALLEY - A SECOND FBI CAR + AGENTS|location
200|INT. REINECKE'S CAR|location
201|EXT. WABANSIA AVENUE - BILLIE|location
202|INT. AGENTS''OFFICE - DAY|location
203|INT. NBC RADIO STUDIO (LOS ANGELES, CA)- WILL ROGERS - DAY|location
204|INT. DILLINGER'S BLACK HUDSON - BILLIE + JOHNNY - NEW YEAR'S|location
205|INT. FRANK NITTI'S LIVING ROOM (CICERO, ILLINOIS) -- FRANK|location
206|INT. FBI - HOOVER'S OFFICE -- HOOVER -- NIGHT|location
207|WILL ROGERS (O.S.)|stage direction
208|INT. BLACK HUDSON - BILLIE + JOHNNY - NEW YEAR'S EVE|location
209|INT. TELEPHONE COMPANY EXCHANGE- PURVIS - NEW YEAR'S EVE -|location
210|INT. PURVIS'S APARTMENT OFF MICHIGAN AVENUE - PURVIS - NIGHT|location
211|EXT. ROAD THRU DUNES - DILLINGER + BILLIE - NIGHT|location
212|They drive on into the pre-dawn of the year 1934.|stage direction
213|EXT. DILLINGER FARM (MOORESVILLE, INDIANA) - SOMEHOW JOHN|location
214|"watches Johnny. This is who he would be if he had not had the
troubles in this life, a charismatic young man."|stage direction
215|EXT. FIELD - BILLIE + DILLINGER SR. - LATER|location
216|EXT. CHICAGO'S CROWDED DOWNTOWN STREETS - DILLINGER +|location
217|DILLINGER (CONT'D)|stage direction
218|we're not staying that long.|stage direction
219|EXT. AUSTIN STATE TAVERN - 416 NORTH STATE STREET -|location
220|INT. CAR - DILLINGER|location
221|INT. AUSTIN STATE TAVERN - REINECKE|location
222|EXT. TAVERN - REINECKE + MADALA LEADING OUT BILLIE|location
