|character|text|type|character_clean|gender
0||"12 YEARS A SLAVE
Written by
John Ridley
CARD: 1841
FADE IN:"|unknown||
1||1 INT. TOWNHOUSE/STUDY - DAY 1|location||
2|unknown|"-EARLY APRIL, 1841-
We are close on a PAIR OF BLACK HANDS as they open A
FINELY WRAPPED PACKET OF VIOLIN STRINGS.
WE CUT TO the hands stringing a VIOLIN. It's not a high
end piece, but it is quite nice.
WE CUT TO a wide shot of the study. Sitting in a chair
with violin in hand is SOLOMON NORTHUP; a man in his late
twenties. Everything about Solomon, his mien and manner,
is distinguished. But he, too, seems a hardy individual.
Someone who has known manual labor in his time.
Solomon begins to lightly play his violin, as if testing
the strings, their tuning. Satisfied, Solomon begins to
play vigorously. As he does, we make a HARD CUT TO:"|speech|unknown|M
3||INT. HOUSE/LIVING ROOM - EVENING|location||
4|unknown|"We come in on a lively affair. A dinner party is being
thrown within the confines of a fairly stately house. In
attendance are EIGHT COUPLES. All are WHITE and all are
FAIRLY YOUNG, in their early twenties. The men and women
are dressed in very fine attire. We should get the sense
that for the most part they are people of means.
The furniture has been set aside in the living room. At
the moment the couples are engaged in the dancing of a
REEL.
The music they are dancing to is being played by Solomon,
having cut directly from the tune he was previously
playing. He plays with a light determination, and in no
way seems possessed with empty servitude.
Solomon concludes the reel, and the dancers break into
enthusiastic applause, which is followed by personal
thanks and congratulations from all. It should be clear
that despite their respective races there is much
admiration and appreciation for Solomon's abilities."|speech|unknown|M
5||INT. NORTHUP HOUSE/BEDROOM - MORNING|location||
6|unknown|"It is a Saturday morning. Clad in her finest attire is
ANNE; Solomon's wife, a few years younger than he. We
see also the Northup children: MARGARET who is eight, and
ALONZO who is five. They are handsome, and well groomed
kids. Anne straightens up the children. She finishes,"|speech|unknown|M
7||2.|location||
8||3 CONTINUED: 3|stage direction||
9|(CONTINUED)|"she rises up and stands behind them, almost as if
preparing to pose for a portrait.
They all wait a moment, then Solomon enters the foyer.
He stands and looks admiringly at his family. ADMIRINGLY
stressed. It isn't that he doesn't have love for them,
he does as well. But in the moment, he truly admires his
greatest accomplishment: a family that is healthy and
well and provided for. He goes to his children, and
hands each a coin, then goes to Anne. Gives her a kiss
on the cheek. The children giggle at the sight."|speech|unknown|M
10||EXT. STREET - DAY|location||
11|(CONTINUED)|"Solomon and his family are out walking along the streets
and groves of Saratoga.
The streets are well populated this morning with many
people out strolling. Most are WHITE, but there are
BLACKS as well. They are FREED BLACKS who mingle fairly
easily - though not always completely - with the whites.
We see, too, a few BLACK SLAVES who travel with their
WHITE MASTERS. These pairings are largely from the south
and - despite the fact the blacks are slaves - they are
not physically downtrodden, not field hands. They are
well dressed and ""leading apparently an easy life"" -
comparatively speaking - as they trail their masters.
As they walk, Solomon and his family arrive to an
intersection well-worn and muddied from horse and cart
traffic. Solomon and his children easily jump across the
muck. Anne stands at the lip of the puddle, calls for
Solomon to help her across."|speech|unknown|M
12|ANNE|"Solomon...
Solomon, turning back to his wife with a broad smile
waving her forward:"|speech|ANNE|F
13|SOLOMON|"Come, Anne. Jump.
The children, now smiling as well, egg their mother on."|speech|SOLOMON|M
14|ALONZO MARGARET|"Jump. You can make it. I've done it. You can make
it."|speech|ALONZO MARGARET|?
15|ANNE|"I will not ruin my dress. Catch
me!
Solomon moves close, holds out his arms. Yet, there's
still just a bit of mischievousness in his eyes. Anne
gives her husband a lightly stern look to which Solomon
replies."|speech|ANNE|F
16||3.|location||
17|SOLOMON|I will catch you, Anne.|speech|SOLOMON|M
18|(BEAT)|"I will.
Again, lightly stern:"|speech||
19|ANNE|"You will.
And with that Anne takes the leap. Solomon catches her,
swings her around grandly and sets her down lightly to
the delighted applause of the children. That done,
Solomon takes Anne's hand and leads her on.
As Solomon and his family make their way, among the
slaves on the street, we see one in particular; JASPER.
As he trails his MASTER he can't help but note Solomon
and his family as they enter A STORE. His intrigue of
this most handsome and harmonious group should be
obvious.
With his Master occupied, Jasper moves slyly toward the
STORE. Frozen on the spot, Jasper looks on admiringly.
Suddenly a voice barks out-
A VOICE (O.S.)
Jasper! Come on!"|speech|ANNE|F
20||INT. STORE - LATER|location||
21|ANNE|"We are inside the store of MR. CEPHAS PARKER; a white man
and a supplier of general goods. Solomon greets him"|speech|ANNE|F
22|"WITH:
SOLOMON"|Mr. Parker.|speech|WITH:SOLOMON|?
23|PARKER|"Mr. Northup. Mrs. Northup.
With money in hand the Northup children move quickly
about the store looking for items to purchase."|speech|PARKER|F
24|CONTINUED:|Anne looks over some silks and fabrics. Parker suggests|speech|PARKER|F
25|"TO SOLOMON:
PARKER (CONT'D)"|"A new cravat, Solomon? Pure silk
by way of the French."|speech|TO SOLOMON:PARKER|?
26|SOLOMON|"We are in need of a fresh carry
all for the Mrs's travels."|speech|SOLOMON|M
27|PARKER|"A year's passed? Off to Sandy
Hill?"|speech|PARKER|F
28|ANNE|"I am.
Using a long pole, Mr. Parker fetches down a CARRY ALL
from an upper shelf."|speech|ANNE|F
29|PARKER|"Something to suit your style, but
sturdy enough for the forty miles
round trip.
Handing the Bag to Anne, she is immediately taken by it."|speech|PARKER|F
