|character|text|type|character_clean|gender
0||FADE IN:|stage direction||
1||INT. A MENTAL HOSPITAL - DAY|location||
2||"A few patients sit around fumbling with themselves. One man
sits at a table scratching back and forth on a piece of paper
with a crayon. Another stands in a corner smoking a cigarette
and staring at the crayon guy. This is CHARLES. Another man,
KARL, sits in a chair staring at the floor and rubbing his
hands together. We cut back and forth between Charles staring
and Crayon Man scratching. After a moment, an attendant
approaches Charles."|stage direction||
3|ATTENDANT|You can't smoke in here.|speech|ATTENDANT|F
4||"Charles stares at him blankly for a moment and continues
smoking. He looks back to Crayon Man again for a moment then
looks over at Karl and then goes and sits down beside him."|stage direction||
5|CHARLES|"A Mercury is a good car and that's
what I was driving that day. I've
owned a lot of cars. Different
kinds. Lots of different kinds of
cars. She was standing, this girl,
on the side of the street where
there was a chicken stand; not the
Colonel, mind you, but nevertheless
a chicken stand, and I pulled the
Mercury over and rolled down the
window by electric power. She was
wearing a leather skirt and she had
a lot of hair on her arms. I like
that. I like it a lot. It means a
big bush. I like a big bush. She
said, ""Are you dating?"" I said,
""yes,"" and she got in the car. We
pulled to a remote location, one
that she and I both felt
comfortable with and she said, ""How
much can you spend?"" I said, ""What
it takes to see your bush. I know
it's a big one."" She said ""twenty
five dollars,"" which to a working
man is not chicken feed. I produced
the money and she put it in her
shoe and pulled up her skirt. There
before me lay a thin, crooked,
uncircumcised penis. You can
imagine how badly I wanted my
twenty-five dollars back."|speech|CHARLES|M
6||INT. A HALLWAY - DAY|location||
7||"Two young women, MARSHA DWIGGINS, carrying a briefcase, and
THERESA EVANS, carrying two camera bags are being led down
the hallway by a GUARD."|stage direction||
8|THERESA|"I don't know why you're so weirded
out, this is not San Quentin, it's
just a nuthouse. Most of these
people don't even know where they
are, they're not gonna hurt you."|speech|THERESA|M
9|MARSHA|"In a few minutes we're gonna be in
a room with a killer. That doesn't
bother you?"|speech|MARSHA|M
10|THERESA|"Hey, you're the one that wanted to
major in journalism. Anyhow, wasn't
the guy something like twelve or
thirteen when he did it, it was
twenty-five years ago, he probably
doesn't even remember it."|speech|THERESA|M
11||(wrinkling her nose)|location||
12|MARSHA|Do you smell shit?|speech|MARSHA|M
