|character|text|type
0||"WE OWN THE NIGHT
Written by
James Gray"|unknown
1||"FADE IN:
A PAIR OF SMOKESTACKS AGAINST AN ORANGE AUTUMN SUN SKY...
THE CAMERA ZOOMS OUT to REVEAL: A CEMETERY in the
foreground. TOMBSTONES blend into a NEVER-ENDING SEA OF
MIDDLE-CLASS ROW HOUSES in the distance, and nothing seems
to separate the two. A NEWLY DUG GRAVE is in the LOWER
LEFT-HAND CORNER of our FRAME.
MILITARY DRUMS. HUNDREDS of POLICEMEN, in their DRESS
BLUES, ENTER from FRAME RIGHT. A FEW COPS CARRY a COFFIN.
SUPERIMPOSE ON THE SCREEN'S LEFT SIDE: THE FOLLOWING WORDS
FADE IN--PARAGRAPH BY PARAGRAPH:
New York, New York.   1988.
A new breed of narcotics has swept the great city, bringing
with it a ferocious crime wave more terrifying than any in
recent memory.
The old criminal order is gone. In its place, new ethnic
groups rise up to seize control without respect for
traditional rules of engagement.
Outmanned and outgunned, demoralized by cutbacks and
scandal, the Police find themselves burying one of their
own at the rate of twice a month...
The WORDS TURN BLOOD RED, then DISAPPEAR. The POLICE LOWER
THE COFFIN when they arrive at the SITE. As we begin to
ZOOM INTO a CLOSE ANGLE ON THEM, we HEAR MUSIC. A THUMPING
POP BEAT. THE CLASH'S ""ROCK THE CASBAH""..."|stage direction
2||SMASH CUT TO:|unknown
3||"CLOSE ON: BOBBY GREEN, thirty. He is passionate and vital
and handsome, a real physical presence. His CLOTHES are
stylish, expensive. A sly SMILE. He steps forward, into:"|stage direction
4||INT. STOREROOM|location
5||"The camera MOVES with him to SEE: ROSARIO DIAZ, twenties,
dark-skinned, impossibly gorgeous. Leaning up against the
wall, biting her lower lip, eyeing Bobby with true desire."|stage direction
6||"BOBBY GREEN
...you're so fuckin' beautiful, you
know that...?
(CONTINUED)
2."|unknown
7||"CONTINUED:
She beams. They kiss, PASSIONATELY. SUPERIMPOSE:
""BROOKLYN"". They really GO AT IT. They are ferocious; as
they DEVOUR each other:"|stage direction
8|ROSARIO DIAZ|I love you, baby...|speech
9||Then we HEAR a fist BANGING ON A DOOR, a MUFFLED VOICE:|stage direction
10||MUFFLED VOICE|unknown
11|ROSARIO DIAZ|Bobby!   You in there?|speech
12||"No ANSWER--they're too busy making out. Then, MORE
BANGING. They both START LAUGHING. The voice continues:"|stage direction
13|MUFFLED VOICE (CONT'D)|"Bobby! [If] you two could just
keep your hands off each other for
a second--I, I think we got a
situation brewin' out front!"|speech
14|ROSARIO DIAZ|It's Jumbo... We gotta go anyway...|speech
15||"BOBBY GREEN
(beat; to the door)"|unknown
16|ROSARIO DIAZ|I'll be out in a second, Louis!|speech
17||"She grabs him; he moves back in, starts MAULING her again.
She SLIDES DOWN his body, perhaps to perform fellatio..."|stage direction
18||CUT TO:|unknown
19||INT. EL CARIBE NIGHTCLUB - MAIN ROOM|location
20||"A huge, bustling, vibrant nightclub, very `80's. Decadent,
pure New York. BOBBY emerges from the back room area,
straightening out his outfit. ROSARIO is behind him,
fixing herself and walking toward the front of the club.
Bobby enters the PULSING, VITAL HEART of the place. As he
appears, everyone approaches, happily shouting out his
name. He is having a blast.
Bobby is the master of this domain. An `80's version of
Tony Manero from SATURDAY NIGHT FEVER, but without kitsch.
He is genuine cool. MUSIC: BLONDIE'S ""HEART OF GLASS.""
Bobby waves hello to people, greets them (""Hey, baby!""), a
pretty girl kisses him (the women love him). Moves with a
swagger, a DANCE. As he sways, he re-buttons his shirt,
claps his hands. He is the CLUB MANAGER, and HE LOVES
every minute of it. He's GIDDY, ALIVE, a PERMANENT GRIN.
WE WANT HIS LIFE. SENSUOUS, SEDUCTIVE, INCREDIBLE FUN."|stage direction
21||"(CONTINUED)
3."|unknown
