|text|type
0|GRAN TORINO|location
1|"Written by
Nick Schenk"|stage direction
2|INT. CHURCH|location
3|INT. CHURCH - LATER|location
4|INT. WALT'S HOUSE - SAME TIME|location
5|INT. CELLAR - SAME TIME|location
6|EXT. WALT'S HOUSE - EVENING|location
7|INT. GARAGE - SAME TIME|location
8|EXT. WALT'S HOUSE - LATER|location
9|INT. LAND CRUISER - SAME TIME|location
10|INT. HMONG HOUSE NEXT DOOR - SAME TIME|location
11|EXT. TAO'S HOUSE - SAME TIME|location
12|EXT. CONVENIENCE STORE - NIGHT|location
13|EXT. WALT'S HOUSE - SUNNY SPRING MORNING|location
14|EXT. TAO'S HOUSE - SAME TIME|location
15|INT. WALT'S HOUSE - DAY|location
16|EXT. STREET - DAY|location
17|EXT. TAO'S HOUSE - DAY|location
18|INT. GARAGE|location
19|INT. VFW|location
20|INT. VFW BOOTH - SAME TIME|location
21|INT. WALT'S BEDROOM - THAT SAME NIGHT|location
22|INT. GARAGE - SECONDS LATER|location
23|EXT. ALLEY - SAME TIME|location
24|INT. GARAGE - AFTERNOON|location
25|EXT. WALT'S DRIVEWAY - DAY|location
26|EXT. DRIVEWAY - THAT AFTERNOON|location
27|EXT. WALT'S DRIVEWAY - EVENING|location
28|EXT. WALT'S STREET - LATER THAT NIGHT|location
29|EXT. WALT'S YARD - SAME TIME|location
30|INT. WALT'S HOUSE - NEXT MORNING|location
31|EXT. WALT'S FRONT PORCH - SAME TIME|location
32|EXT. WALT'S HOUSE - DAY|location
33|INT. WALT'S ENTRYWAY|location
34|INT. OLD SCHOOL BARBERSHOP|location
35|EXT. BARBERSHOP - SAME TIME|location
36|EXT. SIDEWALK - SAME TIME|location
37|INT. WALT'S TRUCK - DRIVING|location
38|EXT. WALT'S FRONT PORCH - EARLY MORNING|location
39|INT. WALT'S KITCHEN|location
40|EXT. WALT'S HOUSE - SECONDS LATER|location
41|EXT. WALT'S PORCH - EVENING|location
42|INT. TAO'S HOUSE - KITCHEN|location
43|INT. DINING ROOM - SECONDS LATER|location
44|INT. LIVING ROOM|location
45|INT. BATHROOM - SAME TIME|location
46|INT. KITCHEN|location
47|INT. BASEMENT - SAME TIME|location
48|EXT. WALT'S YARD - DAY|location
49|INT. WALT'S ENTRYWAY - MORNING|location
50|EXT. WALT'S HOUSE - EVENING|location
51|EXT. WALT'S PORCH - NEXT MORNING|location
52|EXT. WALT'S GARDEN - MORNING|location
53|EXT. WALT'S HOUSE - MORNING|location
54|EXT. NEIGHBOR'S HOUSE - SAME DAY|location
55|EXT. HOUSE ACROSS THE STREET - RAINY MORNING|location
56|EXT. NEIGHBORING HOUSES - DAY|location
57|EXT. WALT'S PORCH - MORNING|location
58|EXT. WALT'S HOUSE - MORNING|location
59|INT. WALT'S BATHROOM - SAME TIME|location
60|INT. WALT'S ENTRYWAY - SECONDS LATER|location
61|INT. DOCTOR'S WAITING ROOM|location
62|INT. DOCTOR'S OFFICE|location
63|INT. MITCH'S KITCHEN|location
64|EXT. WALT'S FRONT YARD - DAY|location
65|EXT. TAO'S YARD - LATER|location
66|INT. WALT'S ENTRYWAY - MORNING|location
67|INT. TAO'S KITCHEN - A MINUTE LATER|location
68|INT. WALT'S GARAGE|location
69|INT. WALT'S BASEMENT|location
70|INT. MITCH'S MASSIVE DEN|location
71|INT. TAO'S HOUSE|location
72|INT. WALT'S BASEMENT - A MINUTE LATER|location
73|EXT. WALT'S BACKYARD - MINUTES LATER|location
74|EXT. WALT'S PORCH - DAY|location
75|EXT. WALT'S GARDEN - DAY|location
76|EXT./INT. BARBERSHOP - DAY|location
77|INT. WALT'S OLD PICKUP TRUCK - MORNING|location
78|INT. JOB TRAILER - SAME TIME|location
79|INT. TRUCK - DRIVING - SAME MORNING|location
80|INT. HOME DEPOT|location
81|EXT. BUS STOP - AFTERNOON|location
82|EXT. WALT'S ALLEY - MORNING|location
83|INT. TAO'S BEDROOM - NIGHT|location
84|INT./EXT. WALT'S TRUCK - NIGHT|location
85|EXT. DUPLEX - SAME TIME|location
86|EXT. WALT'S HOUSE - SAME EVENING|location
87|EXT. WALT'S BACKYARD - DAY|location
88|INT. WALT'S LIVING ROOM - EVENING|location
89|EXT. TAO'S HOUSE - SAME TIME|location
90|INT. TAO'S HOUSE - LATER|location
91|EXT./INT. WALT'S HOUSE - SAME TIME|location
92|INT. WALT'S LIVING ROOM - LATER|location
93|INT. WALT'S KITCHEN - MORNING|location
94|INT. BATHROOM|location
95|EXT. WALT'S YARD - DAY|location
96|INT. OLD SCHOOL BARBERSHOP|location
97|INT. OLD SCHOOL MEN'S CLOTHING STORE|location
98|INT. CATHOLIC CHURCH OFFICE|location
99|INT. CONFESSIONAL BOOTH|location
100|INT. WALT'S KITCHEN - 3:51 P.M.|location
101|EXT. WALT'S HOUSE|location
102|INT. VFW|location
103|INT. VFW PHONE BOOTH|location
104|INT. TAO'S HOUSE - SAME TIME|location
105|EXT. SMOKIE'S DUPLEX - AFTERNOON|location
106|INT. WALT'S HOUSE|location
107|EXT. SMOKIE'S DUPLEX - SAME TIME|location
108|EXT. SMOKIE'S DUPLEX - LATER|location
109|EXT. TAO'S HOUSE - DAY|location
110|INT. CATHOLIC CHURCH|location
111|INT. LAW OFFICE|location
