|character|text|type
0||WATER FOR ELEPHANTS|location
1||Written by|unknown
2||Richard Lagravenese|stage direction
3||APRIL 16, 2009|unknown
4||EXT. MODERN CIRCUS GROUNDS - PRESENT DAY - NIGHT|location
5|unknown|"An upstate New York town. A CIRCUS is being dismantled...The
Big Top falls and is gathered up by workmen...Trucks are
being loaded with animals."|speech
6||EXT. PARKING LOT - CIRCUS GROUNDS - CONTINUOUS - NIGHT|location
7|unknown|"AN ELDERLY MAN , JACOB JANKOWSKI - 93 year old - stands
alone, with a walker in the middle of the empty parking lot.
His shirt is stained with sweat - as if it took great effort
for him to get there. As he watches the Circus disappear,
Jacob looks lost, bewildered and fragile.
CHARLIE, 50's circus manager, and RUSS, a tattooed teen with
rings through his eyebrows, approach him with a wheelchair."|speech
8|CHARLIE|"Excuse me sir, can we help you?
(No reply from Jacob)
Did you miss your ride?"|speech
9|JACOB|I missed the Spec.|speech
10|RUSS|The what?|speech
11|CHARLIE|"Yes, I'm afraid you did. Can we
call someone for you?"|speech
12|"JACOB
(SAD)"|Where'd it all go?|speech
13|RUSS|He's seriously old.|speech
14|CHARLIE|"Did you come with the folks from
the retirement home?"|speech
15|JACOB|No, I came on my own.|speech
16|"CHARLIE
(IGNORING HIM)"|"Let's go inside and we can call
them to pick you up.
Charlie motions for Russ to get Jacob in the wheelchair.
Jacob resists.
2."|speech
17|JACOB|"No, I told ya, I came on my own and
I'm not going back. Get your hands
off me."|speech
18|RUSS|"(as if talking to a child)
It's OK. We're gonna call the home
so they can come pick you up."|speech
19|"JACOB
(SUDDENLY LUCID)"|"Why don't you pick some of those
rings out ya head maybe you won't
be so stupid, ya dumb little shit."|speech
20|RUSS|Woah! The language. Uncalled for.|speech
21|CHARLIE|"Sir, we need to get you out of this
parking lot. My trucks have to come
through here. Please...
He offers the wheelchair. Jacob relents and sits."|speech
22|CHARLIE (CONT'D)|"I got it Russ. Take the walker.
Finish closing up the ticket booth.
Russ takes the walker and exits as Charlie wheels Jacob."|speech
23|JACOB|"In my day, they had old timers in
the ticket wicket and freaks like
him in the sideshow. Damn kid
didn't even know what the Spec was."|speech
24|CHARLIE|"You sound like you know circuses.
Charlie checks his watch, impatient to get Jacob home."|speech
25|JACOB|I should. I was on two.|speech
26|CHARLIE|"(Calling OS to Trucks)
Malcolm, tell them to come through!
(Patronizing, to Jacob)
Two circuses. Wow, that's
something.
3."|speech
27|JACOB|"Ringling, of course, but that was
later..."|speech
28|CHARLIE|"I'll need your name when I call the
home."|speech
29|JACOB|"...First one was called Benzini
Brothers Most Spectacular Show ...
Charlie suddenly stops upon hearing that name."|speech
30|CHARLIE|"What?...Wait a minute! Did you say
you were with the Benzini Brothers?"|speech
31|(JACOB NODS)|What years?|speech
32|JACOB|1931.|speech
33|CHARLIE|"""ò31?...You're saying you were there
for the---?"|speech
34|JACOB|I was in the middle of it.|speech
35|"CHARLIE
(INCREDULOUS)"|"I don't believe this. After the
Hartford Fire and the Hagenback-
Wallace Wreck, that's the most
famous circus disaster of all time."|speech
36|JACOB|"I remember it like yesterday...
Better - cause I don't remember
yesterday."|speech
37|"CHARLIE
(EXTENDS HAND)"|Charlie O'Brien the third.|speech
38|JACOB|Jacob Jankowski the only.|speech
39|CHARLIE|"Mr. Jankowski, I would be honored
if you would have a drink with me
in my trailer.
4."|speech
40||INT. CHARLIE'S TRAILER -CIRCUS GROUNDS - TWILIGHT|location
41|CHARLIE|"A bottle of expensive, Laphroaig scotch sits on the table.
Charlie pours them each a shot. Jacobs drinks. It feels good."|speech
42|JACOB|"(to the Scotch)
Ah, I remember you...Camel would've
loved this stuff."|speech
43|CHARLIE|"Camels drink scotch?
Jacob laughs, shaking his head No. Charlie pours another;"|speech
44|CHARLIE (CONT'D)|You really got here on you're own?|speech
45|JACOB|The Great Escape! But I got lost.|speech
46|CHARLIE|"I should call the home, let them
know where you are."|speech
47|JACOB|"I don't know why they call it a
""home""ù. You don't know anybody
there. They fill you so full of
drugs, you don't care...Five kids
and not one has a place for me
since their mother died. They take
turns visiting me on weekends. They
forgot whose turn it was today so
nobody showed up.."|speech
48|(BEAT)|"I had a life, ya know. A big
life...It isn't right.
Charlie empathizes. Pours another. Changes the subject."|speech
49|CHARLIE|"So, how did the Benzini Brothers
stampede start? The story is two
guys got thrown off the train and--"|speech
50|JACOB|"No point in telling a story if all
you want to know is the end."|speech
51|CHARLIE|"Sorry. From the beginning.
5."|speech
52|JACOB|"Now, let's see...the beginning...
Well, everything began the same day
everything ended...Ha, isn't that
how it always works?..."|speech
53||INT. JANKOWSKI HOUSE - JACOB'S BATHROOM - 1931 - MORNING|location
54|JACOB|"A mirrored medicine cabinet closes revealing the reflection
of JACOB JANKOWSKI - 23 years old, handsome, full of energy.
JACOB (V.O.)
It was a big day. My final exams."|speech
55||INT. JANKOWSKI HOUSE - CONTINUOUS - MORNING|location
56|JACOB|"Jacob bounds down the stairs and into the kitchen.
JACOB'S MOTHER AND FATHER are finishing up breakfast. The
Father tunes a Philco Radio while smoking a pipe...The Mother
pours coffee wearing a cardigan sweater and pearls.
Late for class, Jacob grabs a piece of bread and bacon and
downs a coffee as his mother sweetly scolds him in POLISH...
His father says something supportive in POLISH as well. Jacob
thanks him in POLISH. He kisses his mother and exits."|speech
57||EXT. JANKOWSKI HOUSE - ITHACA NY - 1931 - MORNING|location
58|JACOB|"A simple, clapboard house in a middle class neighborhood.
Jacob runs out, passing his father's sign on the front lawn:
E. JANKOWSKI
Doctor of Veterinary Medicine"|speech
59||EXT. CORNELL UNIVERSITY CAMPUS - 1931 - ITHACA, NY - DAY.|location
60|JACOB|"The beautiful campus of Cornell University. Jacob runs.
JACOB (V.O.)
After six years of dissections,
castrations, foalings and shoving
my arm up a cow's ass more times
than I cared to remember, I was
finally going to graduate Cornell
in Veterinary Science. I was summa
cum laude...ha,ha and the oldest
male virgin on campus.
6."|speech
61||INT. CORNELL UNIVERSITY LECTURE HALL, 1931 - ITHACA, NY - DAY|location
62|JACOB|"Jacob sits beside a beautiful Blonde who distracts him with
her legs. She notices him staring, crosses her legs and
smooths her skirt.
VETERINARY SCIENCES FINAL EXAMS is written on the board of a
Lecture Hall. The Proctor announces from his desk."|speech
63|THE PROCTOR|"You may begin.
Jacob, the Blonde and fifty other students open their exam
booklets and begin under The PROCTOR's supervision.
JACOB (V.O.)
I had my whole life planned. I knew
exactly where it was taking me...
And then, with the opening of a
door, it all vanished.
The Lecture Hall door opens and DEAN WILKINS enters. The Dean
walks to the Proctor and they confer privately. Then:"|speech
64|THE PROCTOR|"Mr. Jankowski? May we have a word?
Fifty pairs of eyes turn to look at Jacob, who looks up."|speech
65||EXT. LECTURE HALL - CONTINUOUS - DAY|location
66|THE PROCTOR|Jacob steps outside with Dean Wilkins.|speech
67|DEAN WILKINS|"Jacob, it's your parents. I'm
afraid there's been a car accident."|speech
68||INT. BASEMENT HALLWAY - ITHACA HOSPITAL - NIGHT|location
69|DEAN WILKINS|"Jacob walks down a dimly lit hall with a Police Chief and a
Chaplain to the Morgue led by a Nurse. We follow them inside."|speech
70||INT. CORONER'S MORGUE - ITHACA HOSPITAL - CONTINUOUS - NIGHT|location
71|DEAN WILKINS|"The room is windowless and bare except for TWO GURNEYS, each
with a sheet-covered body. A CORONER stands between them.
Jacob sees a steel table upon which lay his parents
belongings; wedding rings, pearl necklace, his father's pipe.
7."|speech
72|CORONER|"Are you ready?
The Chaplain places a comforting hand on Jacob's shoulder.
Jacob nods. The Coroner exposes first Jacob's father, then
Jacob's mother. We see only Jacob's expression:"|speech
73|CHAPLAIN|Is there any other family to call?|speech
74|JACOB|No. Just me.|speech
75||INT. EDMUND HYDE LAW OFFICES - DAY|location
76|JACOB|Jacob, in a black suit. Mr. Hyde is seated opposite him.|speech
77|HYDE|"I know this is difficult for you,
but there's been no mistake. The
house and all their assets,
including your father's practise,
are now property of the bank in
default of the mortgage."|speech
78|JACOB|"But I'm telling you, my father put
away every penny he ever earned.
They owned that house outright. Why
would he have a mortgage?"|speech
79|HYDE|"My guess is because he let people
pay him in beans & eggs or whatever
they had, instead of money."|speech
80|JACOB|"And so he's penalized for not
turning away people who couldn't
afford his help? He was a doctor."|speech
81|HYDE|"Yes, I know, he was a very good man
but in banking terms, in the
reality of what makes this world
actually function, he was an
irresponsible man. I'm sorry, but
you oughta to know the truth. This
Depression is going to last for a
long while.."|speech
82|(MORE)|8.|speech
