|character|text|type|character_clean|gender
0||Sleepy Hollow|unknown||
1|unknown|Being the true storie of one Ichabod Crane|speech|unknown|?
2||"and the Headless Horseman
Kevin Yagher and Andrew Kevin Walker
Based on ""The Legend of Sleepy Hollow"" by Washington Irving
Screenplay by Andrew Kevin Walker
Third Draft
4/10/95
A pleasing land of drowsy head it was,
of dreams that wave before the half shut eye..."|unknown||
3||EXT.  GNARLED FOREST -- NIGHT|location||
4||"An UGLY MAN charges through on a horse, holding a lantern
forward on a long pole. He looks back, terrified.
INSERT TITLE:"|stage direction||
5||1799 Sleepy Hollow, New York|unknown||
6||"THUNDEROUS HOOFBEATS are HEARD behind.
The ugly man glances back again.  His lantern swings wild...
SHATTERS against a tree.  The jammed-up pole SLAMS the ugly
man off his horse...
He hits the ground.  He runs, trips, falls and scrambles up.
DEEP IN THE FOREST, we glimpse the source of the HOOFBEATS: a
HUGE FORM on a HUGE BLACK HORSE, already gone.
The ugly man pushes through thorny bushes.  Jagged branches
slit his hands and cheeks.
He bursts from the briar patch and tumbles to a trail.  He
lifts his bloodied face.  He runs.
IN THE FOREST BEHIND: the hooves of the black horse rip
underbrush.  HOOFBEATS DEAFENING.  A spur digs into the
snorting steed's already bleeding flank.
The pursuer's gloved hand draws a SWORD, blade RINGING.
ON THE TRAIL, the ugly man runs on.  The shrill WHISTLE of a
SWORD SWING is HEARD as the pursuer blurs past.
The ugly man is still running when his head lolls back, at an
impossible angle... tumbles off his shoulders... His headless
body hits the dirt."|stage direction||
7||EXT.  CITY STREETS -- NIGHT|location||
8||"Empty cobblestone streets.  Crooked buildings.  A RAPIDLY
CLANGING BELL breaks the silence from afar.
INSERT TITLE:"|stage direction||
9||New York City|unknown||
10||"TWO CONSTABLES clamor round a corner, lanterns held high,
listening.  They rush into an alleyway.
ELSEWHERE, piers border the Hudson River.  The BELL is
LOUDER. The two constables arrive, searching.  No one around.
Constable One hefts his pistol, scared."|stage direction||
11|CONSTABLE ONE|Where are you?!|speech|CONSTABLE ONE|M
12|MAN'S VOICE (o.s.)|Here!  Over here!|speech|MAN'S VOICE|?
13||"They hurry to the river's edge.  Down a hill, the MAN,
another constable, stands with his back to us.  He's waist
deep in water, tossing away his ALARM BELL."|stage direction||
14|MAN|I need your help with this.|speech|MAN|M
15||"Constable Two crosses on the peir above.  Constable One moves
forward, wary.  The MAN grunts, lifting something."|stage direction||
16|CONSTABLE ONE|"Constable Crane?  Ichabod Crane...
is that you?"|speech|CONSTABLE ONE|M
17||The MAN turns.  Meet ICHABOD CRANE, handsome, eyes piercing.|stage direction||
18|ICHABOD|Yes, it is me.  But, not only me...|speech|ICHABOD|M
19||(lifting, struggling)|location||
20|ICHABOD|I found someone here...|speech|ICHABOD|M
21||He drags a bloated MALE CORPSE up from the murky water.|stage direction||
22|ICHABOD|Someone quite dead.|speech|ICHABOD|M
23||EXT.  WATCHHOUSE/JAIL -- NIGHT|location||
24||"The elderly HIGH CONSTABLE lifts a blanket off the corpse on
a wheelbarrow manned by Constable Two.  A snobby MAGISTRATE
looks, disgusted.  Constable One and Ichabod wait."|stage direction||
25|HIGH CONSTABLE|Burn it.|speech|HIGH CONSTABLE|?
26|CONSTABLE ONE|Yes, sir.|speech|CONSTABLE ONE|M
27||Constable Two wheels the corpse inside.  Ichabod's dismayed.|stage direction||
28|ICHABOD|"Just a moment... if I may.  It is
possible this man was murdered."|speech|ICHABOD|M
29|HIGH CONSTABLE|He drowned.  Anyone could see.|speech|HIGH CONSTABLE|?
30|ICHABOD|"There are surgical ways of telling
how he died... by the water in his
lungs..."|speech|ICHABOD|M
