|character|text|type
0||The Hollow Man|unknown
1||"Red Wagon
Prods.
Revised Draft
6/26/98"|unknown
2||"FADE IN:
On complete darkness.
A SMALL DOOR swings open.
A circle of light reveals that we I re looking down the
length of a tube. At the far end of the tube, we see a
gloved hand dangling a rat. The hand shoves the
frightened rat into the tube and closes the door behind
it. The rat s stark white fur bristles and it begins to
pad down the tube s length.
After several feet, the tube opens up into a dimly lit
cubicle. The rat hesitates and stops.
The SOUNDS of gentle BREATHING whispers in the rat s
ears.
The rat turns round to head back down the tube, but a
door swings shut, trapping it in the cubicle.
The rat cowers as the BREATHING turns to SNORTING.
The rat s head jerks around, looking for signs of danger,
but the cubicle is empty. The rat sees a water dish on
the far side of the cubicle - a place to hide - and
dashes toward it.
But an invisible force descends.
The rat squeals in agony as something smashes down on its
body, crushing it.
A LOUD BELLOW rings out, and the rat flies into the air,
halting a few feet off the ground. Its body writhes,
struggling against the unholy force.
Then a sick crunch of tiny bones snapping. All life
quickly drains from the levitating body. Dead eyes...
The creature s corpse floats in mid-air. Then the white
fur of the rat explodes in a shower of blood.
HUGE BLOOD SMEARED INCISORS appear, as do the red-slicked
ape- like lips. The gaping bloody mouth bites again into
the rat.
CUT TO:"|stage direction
3||INT. BEDROOM - NIGHT|location
4||"In the background we hear Jay Leno s monologue from the
Tonight Show. A small lamp and the glow from a computer
screen illuminates SEBASTIAN CAINE, late twenties with
the shabby good looks of a perpetual grad-student. Wiry
framed and wearing only boxer shorts, Sebastian sips
coffee from an  Einstein  coffee mug. He peers at a
complex computer rendered molecule displayed on his
screen. He pecks a few keys and the molecule shifts
slightly, then falls apart.
Sebastian pulls a twinkie from a hostess box, unwraps the
cellophane and sucks it down. He attacks the keyboard
with renewed vigor.
Another molecule appears on the screen. Sebastian s
fingers fly across the keyboard. The molecule blinks on
and off, it trembles and twists apart."|stage direction
5|SEBASTIAN|Damnit.|speech
6||"Sebastian pears out his window. Across the courtyard, a
light comes on in a neighboring window. He sees a
BRUNETTE, mid-twenties, absolutely stunning, enter her
living room. The Brunette thumbs through the mail, tosses
it and then begins to undress. Sebastian loans over to
the window, getting interested. But when the brunette
reaches her bra and panties, she crosses to the window
and lowers her shades."|stage direction
7|SEBASTIAN (cont d)|Damnit.|speech
8||"Sebastian leans back in his chair and closes his eyes.
He s obviously tired. He opens his eyes and stares up at
the ceiling. Painted across the white matte finish in big
red letters is a brief reminder -  You Should Be
Working.  Sebastian sighs, leans forward and begins
pecking away again."|stage direction
9||LATER:|unknown
10||"The television is now only static. We pan by his alarm
clock. 4 am. We find Sebastian pacing in front of his
computer.
He gets an idea... slides back in his chair. Types away
again. The molecule reforms on the computer screen.
He types a few more keys, waits, watches the molecule.
Nothing happens.
He hits a few more keys and watches intently for a
reaction."|stage direction
11||(beat)|location
12|SEBASTIAN|I am a goddamn genius.|speech
13||"He hits a few more keys and a telephone keypad appears on
the screen. He dials.
CUT TO:"|stage direction
14||INT. ANOTHER BEDROOM - NIGHT|location
15||"Digital phone rings.
In the bed, LINDA FOSTER, late twenties, stirs from a
deep sleep. As she straggles out of bed and over to her
desk, we notice a young man sleeping next to her.
The ringing continues. She moves her computer mouse
around and her screen comes to life. She click on a
telephone icon and the ringing stops. A beat later,
Sebastian appears in a window on her screen."|stage direction
16|LINDA|"Sebastian, do you know what time it
is?"|speech
17|SEBASTIAN (SCREEN)|"You know Da Vinci never slept. Said it
was waste of time."|speech
18|LINDA|What is it this time?|speech
19||"INTERCUT: SEBASTIAN S BEDROOM
Sebastian peers at the image of Linda in the computer
window. He notices something behind her in the bed, the
young man sleeping face down."|stage direction
20|SEBASTIAN|Who s that?|speech
21||"Linda pulls the camera off the top of the of the computer
screen and positions it so Sebastian can t see the bed."|stage direction
22|LINDA|Not your business. Not anymore.|speech
23|SEBASTIAN|Touche.|speech
24|LINDA|"So you calling about anything in
particular, or were you just hoping to
catch me sleeping in the nude?"|speech
25|SEBASTIAN|I cracked the reversion.|speech
26||Upon hearing this, Linda receives a jolt of adrenaline.|stage direction
27|LINDA|You cracked it?|speech
28|SEBASTIAN|Look at this.|speech
29||"Sebastian hits a couple of keys. A moment later the
molecular structure appears on Linda s computer."|stage direction
30|SEBASTIAN|Watch this.|speech
31|LINDA|You sure?|speech
32|SEBASTIAN|91% sure.|speech
33||(astonished)|location
34|LINDA|"Eleven months with no progress and you
suddenly come up with it out of the
blue? How?"|speech
35|SEBASTIAN|The usual. Coffee and twinkies.|speech
36|LINDA|I hate you.|speech
37|SEBASTIAN|"I know. You think you could hunt down
Matt and get to the lab early. I want
Isabelle prepped for a live test."|speech
