|character|text|type
0||"LEGALLY BLONDE
Karen McCullah Lutz & Kirsten Smith
Shooting Draft
July 31, 2000"|unknown
1||INT. DELTA GAMMA HOUSE - DAY                                      1|location
2||"""HEAD OVER HEELS"" by the Go-Go's plays as we wind through a
flock of abstract, silky, golden strands -- PULLING BACK, to
discover that the strands are hair on a BLONDE GIRL's head.
But not just any blonde girl, a girl in Delta Gamma, the
blondest, most beautiful sorority at USC.
We PULL BACK further to see that she's signing a handmade
card. She holds it up ~ OVER HER SHOULDER, we see hearts
and glitter surrounding and ""Good Luck Tonight!"" and ""Elle
and Warner forever!.""
She carries the card out of her room and we FOLLOW HER across
the hall, into the room of --
THREE BLONDE CHEERLEADERS, who stop practicing their pom-pom
routine to sign the card. As they finish, we follow the Card
Girl out and into the room of --
A BLONDE GIRL IN A TANK TOP and shorts, working out on a
Stairmaster as ""General Hospital"" plays on a tiny TV. She
signs the card while continuing to exercise. We move on, to
the room of--
A BLONDE GIRL MAKING OUT WITH HER BOYFRIEND who stops long
enough to sign the card, as her boyfriend nibbles on her
neck. She hands the card back and we head into the room of --
A BLONDE PARTY GIRL who pours a pink frozen margarita into a
glass from the blender, then passes it down to ANOTHER BLONDE
GIRL, assembly-line style. The card goes one way, being
signed, as the drinks go the other.
Once the card arrives back in the Card Girl's hands, we
follow her out of the room and down the hall until she
reaches the very last and biggest door --
She puts a kiss mark on the card, then kneels down and slides
the card under the door."|unknown
3||INT. ELLE'S DELTA GAMMA ROOM - DAY - CONTINUOUS                   2|location
4||"The CARD slides into the pink room, hitting the feet of
UNDERDOG, a tiny chihuahua ~ who picks it up in his mouth
and trots it over to a pair of perfectly pedicured feet in
strappy sandals.
An equally perfectly manicured hand with a ""Sisters Forever""
charm bracelet dangling from the wrist, scoops up Underdog.
(CONTINUED)
2.
2                                                                  2
As he rises, we RISE WITH HIM, passing toned, waxed, tanned
legs in pink Prada pedal pushers and a pair of perky boobs
encased in a spaghetti-strap top -- until we finally reveal a
magnificent head of long blonde hair and a sweet, beautiful
face. This is ELLE WOODS, 21, the Goddess Queen of Delta
Gamma. She talks on a pink, fuzzy phone.
ELLE
(into the phone)
I love you, too!
Behind her, a ""Go USC"" banner is pinned to the pink wall. A
stack of ""Cosmopolitan""s and ""Glamour""s teeters on the
dresser. The closet overflows with trendy, designer clothes
in a predominance of pink.
ELLE (CONT'D)
(continuing; into phone)
I'll see you tonight.
She hangs up and lets out a squeal of joy, kissing Underdog's
head and taking the card out of his mouth. She reads it,
touched.
ELLE (CONT'D)
(continuing)
""Elle and Warner forever"". Aww...
Underdog yips.
2
3   INT. DELTA GAMMA HOUSE - LIVING ROOM - DAY - SAME TIME
A Delta Gamma/Sigma Chi barbecue in full swing. Beautiful
college students drink beer and mingle, trying to figure out
who they're going to sleep with next.
The main wall of the living room has been designated as a
""Model Wall"" of Delta Gamma girls -- ELLE smiles at us from a
Hawaiian Tropic ad and a Miss June USC calendar photo. A
cover of an Italian Vogue shows a blonde sexpot MARGOT; a USC
cheerleader poster displays a hard-bodied non-blonde SERENA
in a pom-pom pose.
Serena walks up, fending off an admirer.
SERENA
Jeremy, enough! I am not going to formal
with you.
Jeremy slinks off as Margot arrives, agitated.
MARGOT
Can someone please tell Rick that he is
not the only Sigma Chi with a big penis?
(CONTINUED)
3.
3
ELLE (O.S.)
You guys are so sweet!
ELLE, a vision of fluffy blondeness, runs down the stairs
toward Serena and Margot, holding the card.
ELLE (CONT'D)
But I ' m not positive it's gonna happen
to n i g h t --
. SERENA
Helloo...he just had lunch with his
grandmother. You know he got ""The Rock"".
MARGOT
Why else would she have flown in from
Newport? It's not like she'd Fed Ex a
six carat diamond.
ELLE"|unknown
5||(excited)|location
6||"You think?
SERENA
I can't believe you're getting engaged!
The three girls jump up and down, squealing and hugging.
ELLE
C'mon ·-- you have to help me pick out the
perfect outfit.
As they head toward the door, Elle spots AMY, a shy girl in a
Delta Gamma Pledge sweatshirt, standing alone.
ELLE (CONT'D)"|unknown
7||(continuing)|location
8||"Amy, what's wrong?
AMY
I don't really -- know anyone.
ELLE"|unknown
9||(teasing)|location
10||"That's because you spend too much time in
the library. Come with me."|unknown
11||(to Serena and Margot)|location
12||"I'll meet you outside.
As they go, Elle leads Amy over to a group of jovial Sigma
Chi brothers.
(CONTINUED)
4.
( 2 )                                                        3
ELLE (CONT'D)
(continuing)
Bra ndon , Jason, Grant --this is Amy.
Why don't you tell her about the time you
guys went golfing naked?
Elle winks at Amy and.heads off as the guys launch into their
story.
BRANDON
It was classic.     Jason hit with wood all
day.
GRANT
And we never ran out of balls --
Amy laughs."|unknown
13||INT. SUNSET PLAZA BOUTIQUE - DAY|location
