|character|text|type|character_clean|gender
0||"CHRONICLE
Written by
Max Landis
Based on a story by
Josh Trank and Max Landis
FROM ANDREW'S FIRST CAMERA.
CUT - to indicate time lapses within a scene"|unknown||
1||INT. DETMER RESIDENCE - ANDREW'S ROOM|location||
2||"The room is dingy. Unkempt. The camera sits on the bed, on
its side, facing the door. We can hear someone moving around
off screen.
The door handle clicks; someone's trying it.    Then nothing.
Then, suddenly, loud pounding on the door.
Andrew's voice is scratchy and prone to cracking.   He speaks
with a rushed mix of fear and anxiety."|unknown||
3|ANDREW (O.S.)|"What do you want, I'm getting ready
for school-"|speech|ANDREW|M
4|MR. DETMER (O.S.)|"Why is the door locked, unlock this
fucking door right now."|speech|MR. DETMER|M
5||The bed stirs as Andrew sits down.|unknown||
6|MR. DETMER (O.S.) (CONT'D)|"I said unlock this door. UNLOCK
THE DOOR. OPEN THE DOOR, NOW."|speech|MR. DETMER|M
7|ANDREW (O.S.)|You're drunk-|speech|ANDREW|M
8||MR. DETMER (O.S.)|location||
9|ANDREW (O.S.)|"Listen, you don't tell me- IF I'M
DRUNK, OR-"|speech|ANDREW|M
10|ANDREW (O.S.)|"It's seven thirty. In the AM.
You're drunk, dad, that's crazy-"|speech|ANDREW|M
11|MR. DETMER (O.S.)|What're you doing in there.|speech|MR. DETMER|M
12|ANDREW (O.S.)|I'm filming this.|speech|ANDREW|M
13|MR. DETMER (O.S.)|What?|speech|MR. DETMER|M
14|ANDREW (O.S.)|"I bought a camera. I'm filming all
your shit from now on."|speech|ANDREW|M
15||"2.
There's a beat, and then we can hear Mr. Detmer moving away
from the door."|unknown||
16||INT. DETMER RESIDENCE - SANDRA DETMER'S ROOM|location||
17||"Equally dingy. SANDRA DETMER, gaunt and sickly, is sat up in
bed. Andrew's filming her. She's clearly very ill, speaking
in a weak rasp. Andrew now holds the camera.
ANDREW (O.S.)"|unknown||
18|ANDREW (O.S.)|"Mom? Will you say hi to the
camera?"|speech|ANDREW|M
19|SANDRA DETMER|Who's the audience?|speech|SANDRA DETMER|F
20|ANDREW (O.S.)|"The millions of people watching at
home."|speech|ANDREW|M
21|SANDRA DETMER|Hello world. Do I look awful?|speech|SANDRA DETMER|F
22|ANDREW (O.S.)|No, you look great.|speech|ANDREW|M
23|SANDRA DETMER|"I've been looking a little better,
yeah?"|speech|SANDRA DETMER|F
24|ANDREW (O.S.)|Oh yeah, definitely.|speech|ANDREW|M
25|SANDRA DETMER|It's a nice camera.|speech|SANDRA DETMER|F
26||EXT. CLARK STREET - MORNING|location||
27||"Clark Street is a slummy mess; dead lawns, potholes in the
street in a downtrodden suburb of Portland Oregon. Andrew
carries the camera loosely at his side before getting into
the passenger side of a car.
In the driver's seat is MATT Garrety, 17, with messy hair.
He's disaffected, and more than a little cynical; the
reasoned demeanor of an unpretentious high-school
intellectual."|unknown||
28|MATT|I got you egg salad.|speech|MATT|M
29||3.|unknown||
30|ANDREW (O.S.)|Oh, yeah, thanks.|speech|ANDREW|M
31||"CUT.
They're driving."|unknown||
32|MATT|"So...Should I ask about the camera,
or-"|speech|MATT|M
33|ANDREW (O.S.)|"I'm filming things now. I'm
filming everything."|speech|ANDREW|M
34|MATT|You're filming everything.|speech|MATT|M
35|ANDREW (O.S.)|"For my mom. I'm trying to get
custody of her from my dad. She's
getting worse, and he's
not...helping, and this way, in
case something goes down-"|speech|ANDREW|M
36|MATT|He gets violent or whatever-|speech|MATT|M
37|ANDREW (O.S.)|Right, it'd be evidence.|speech|ANDREW|M
38|MATT|"Evidence. But you're not with him
right now, but you're filming this."|speech|MATT|M
39|ANDREW (O.S.)|Well, yeah, to add context.|speech|ANDREW|M
40||MATT|location||
41|ANDREW (O.S.)|"Context.   Andrew, you are...a weird
dude."|speech|ANDREW|M
42||CUT.|unknown||
43|MATT (CONT'D)|"Did you ever read any Auguste
Comte?"|speech|MATT|M
44|ANDREW (O.S.)|What is that?|speech|ANDREW|M
45|MATT|He's this philosopher I'm reading.|speech|MATT|M
46||4.|unknown||
47|ANDREW (O.S.)|For school?|speech|ANDREW|M
48|MATT|"He's just like- his whole thing is
about being positive and like,
taking up for yourself. You should
read him, maybe, it might make you
feel- you know, improve your
outlook."|speech|MATT|M
49|ANDREW (O.S.)|Yeah, right.|speech|ANDREW|M
50||EXT. BENJAMIN FRANKLIN HIGH - PARKING LOT|location||
51||"Andrew's getting out of the car, but then ducks back in to
see Matt lighting a pipe."|stage direction||
52|ANDREW (O.S.)|Are you not coming in?|speech|ANDREW|M
53|MATT|"I'm gonna blaze a little first,
yeah?"|speech|MATT|M
54|ANDREW (O.S.)|You're going to miss first period-|speech|ANDREW|M
55||Matt turns on the radio, loud.|stage direction||
56|ANDREW (O.S.) (CONT'D)|Okay, okay.|speech|ANDREW|M
57||INT. BENJAMIN FRANKLIN HIGH - HALLWAY|location||
58||"Andrew's filming himself putting stuff in his locker, and
does a quick sweep of the crowded school hallway."|stage direction||
59|ANDREW (O.S.)|"This is my school, I guess.   This
is the hallway-"|speech|ANDREW|M
60|GIRL|"Vote ""Kaz!"""|speech|GIRL|F
61||A girl suddenly approaches, awkwardly handing Andrew a flyer.|stage direction||
62|GIRL (CONT'D)|"Vote Steve Kazinsky for Senior
class president!"|speech|GIRL|F
63||5.|unknown||
64||ANDREW (O.S.)|location||
65|GIRL (CONT'D)|...yeah-|speech|GIRL|F
66|GIRL|Every vote counts.|speech|GIRL|F
67||"Andrew films the flyer for a moment, brightly colored and
featuring a picture of a smiling Steve Kazinsky, before
something yanks the camera away.
For the first time we see ANDREW Detmer, 17, pale, awkward
and gangly, with long, stringy hair and thin, scraggly beard.
He looks anxious, if not afraid."|stage direction||
68|BRYCE (O.S.)|"Yo this camera is a piece of shit.
It's like from 2004 or some shit."|speech|BRYCE|M
69||"WAYNE, 17, big and hateable in his Ed Hardy T-shirt, appears
wrapping his arm roughly around Andrew."|stage direction||
70|WAYNE|Hey, how do I look?|speech|WAYNE|?
71||(starts muscle posing)|unknown||
72|WAYNE|"Like this? Ooh, that's good.   Like
this? That's sexy, right?"|speech|WAYNE|?
73|ANDREW|Bryce, gimme my camera back-|speech|ANDREW|M
74|BRYCE (O.S.)|"Fuck you Andrew, shut up.   This
camera's a piece of shit."|speech|BRYCE|M
75|WAYNE|You got me, let's go.|speech|WAYNE|?
76||"Wayne turns and knocks everything out of Andrew's locker.
Bryce starts to walk away with the camera."|stage direction||
77|ANDREW (O.S.)|Hey, Bryce, come on, give it back-|speech|ANDREW|M
78||"The camera is set down on the ground, and then abruptly
kicked back to Andrew. He picks it up, checking on it."|stage direction||
79||(quietly, sad)|unknown||
80|ANDREW (CONT'D)|Oh come on...|speech|ANDREW|M
81||6.|unknown||
82||EXT. BENJAMIN FRANKLIN HIGH - FOOTBALL FIELD|location||
83||"A view from the bleachers as the soccer team practices. The
cheerleaders are practicing too. We cut: a different view,
lower."|stage direction||
84|ANDREW (O.S.)|"This is where I eat lunch, out here
on the bleachers."|speech|ANDREW|M
85||CUT.   LATER.|unknown||
86||"The camera's next to Andrew as he's eating, down on the
bench. A CHEERLEADER approaches."|stage direction||
87||CHEERLEADER|location||
88|ANDREW (O.S.)|Hi.|speech|ANDREW|M
89||ANDREW|location||
90|ANDREW (O.S.)|Hey-|speech|ANDREW|M
91|CHEERLEADER|"Could you not videotape us, please?
It's really fucking creepy."|speech|CHEERLEADER|F
92|ANDREW|"I wasn't, videotaping you, so much
as I was just-"|speech|ANDREW|M
93||CHEERLEADER                           ANDREW|unknown||
94||Just don't videotape-              -you know, filming what I do|stage direction||
95||during the-|unknown||
96|CHEERLEADER|"Don't videotape us, okay, or we'll
call security. We see you watching
us, we're not stupid, and it's
sketchy, so back off."|speech|CHEERLEADER|F
97||ANDREW|location||
98|CHEERLEADER|...okay.|speech|CHEERLEADER|F
99|CHEERLEADER|Is it on right now?|speech|CHEERLEADER|F
100||ANDREW|location||
101|CHEERLEADER|Yes.|speech|CHEERLEADER|F
102|CHEERLEADER|Turn it off.|speech|CHEERLEADER|F
103||Andrew turns off the camera.|stage direction||
104||7.|unknown||
105||INT. MATT'S CAR|location||
106||Matt's driving.   Andrew's filming from the passenger seat.|stage direction||
107|MATT|"There's a party tonight.    A barn
party at Haven Hills."|speech|MATT|M
108|ANDREW (O.S.)|I thought Haven Hills was closed.|speech|ANDREW|M
109|MATT|"It's abandoned, yeah. That's why
it's a good place for a party. Two
kegs."|speech|MATT|M
110|ANDREW (O.S.)|Why are you telling me?|speech|ANDREW|M
111|MATT|"You wanna go? I don't wanna go
alone."|speech|MATT|M
112||ANDREW (O.S.)|unknown||
113|MATT|...Nah...|speech|MATT|M
114|MATT|"When was the last time you went to
a party?"|speech|MATT|M
115|ANDREW (O.S.)|I don't like parties.|speech|ANDREW|M
116|MATT|"You're a senior.     Just come, you'll
have fun."|speech|MATT|M
117|ANDREW (O.S.)|I'll think about it.|speech|ANDREW|M
118|MATT|"Okay, right. Andrew, can I give
you like, a pro tip?"|speech|MATT|M
119||ANDREW|unknown||
120|MATT|Yeah?|speech|MATT|M
121|MATT|"Keep the camera at home.    It's
weird."|speech|MATT|M
122|ANDREW|It has a purpose-|speech|ANDREW|M
123||8.|unknown||
124|MATT|"I'm trying to be a good cousin,
here. This is me being your
friend, yeah? Okay?"|speech|MATT|M
125||EXT. DETMER RESIDENCE|location||
126||Andrew is filming as he walks along towards his house.|stage direction||
127|HOWARD (O.S.)|Hey, what you doing?|speech|HOWARD|M
128|COSTLY (O.S.)|"Hey nice camera bitch, gimme your
fuckin camera!"|speech|COSTLY|M
129||"The camera pans up to reveal HOWARD and COSTLY, moron
hoodlums, along with several friends, over by a car on the
other side of the road, drinking forties."|stage direction||
130|HOWARD|"Hey don't film me nigga, don't film
me."|speech|HOWARD|M
131|COSTLY|"Hey fuck off, you better run to
your house, bitch. Run to your
house and lock the door."|speech|COSTLY|M
