|character|text|type|character_clean|gender
0||"WILD HOGS
Written by
Brad Copeland
FIRST DRAFT
REVISED 7/06/05"|unknown||
1||INT. KITCHEN - MORNING|location||
2|FADE IN:|"ANGLE ON: BILLY MATTHEWS, 8, ravenously eating a plate
of hashbrowns, runny fried eggs and syrupy waffles.
WOMAN'S VOICE (O.C.)
Doug?...
We see DOUG MATTHEWS, 40's, sitting across the table,
staring at his son, Billy. Doug is handsome in that
honest, sincere way. A guy you would call to help you
move a couch. He watches Billy scoop up his hashbrowns
with a frosted pop-tart. Billy catches his Dad's look
and grins with his mouth full. Doug smiles back, then
looks down at his own plate. He has scrambled egg whites
and sliced tomatoes. His smile fades away.
WOMAN'S VOICE (O.C.) (CONT'D)
Doug?
Doug snaps out of it and looks up at his wife, KELLY
MATTHEWS. She's attractive, with a patient smile."|speech|FADE IN:|?
3|KELLY|"I've got some stuff to do for the party
tomorrow. Can you take Billy to school?"|speech|KELLY|M
4|DOUG|"What ""stuff""? This party isn't going to
be fancy, is it? Just some friends and a
wing platter from Costco?"|speech|DOUG|M
5|KELLY|"It's a our 10th anniversary, Doug. Its
going to be a nice party with nice food
and nice music. And wings have carbs, so
you can't eat them anyway."|speech|KELLY|M
6|"BILLY
(MOUTH FULL)"|"I'll eat 'em.
Doug gives Billy a look."|speech|BILLY|M
7|DOUG|"No you won't. Because I'm going to
scrape the batter off."|speech|DOUG|M
8|BILLY|"That doesn't work.
""Wild Hogs"" writers first draft 7/06/05 2."|speech|BILLY|M
9|DOUG|"I went to medical school. You think I
don't know how carbs work?"|speech|DOUG|M
10|BILLY|"Dentists go to medical school?
Doug looks a little insulted."|speech|BILLY|M
11|KELLY|Doug, can you take Billy or not?|speech|KELLY|M
12|DOUG|"Yeah, I can take him. There aren't any
emergencies at the office this morning."|speech|DOUG|M
13|KELLY|You have emergencies?|speech|KELLY|M
