|character|text|type
0||"MEGAMIND
Written by
Alan Schoolcraft & Brent Simons"|unknown
1||"CREDITS SEQUENCE
NEWSPAPER HEADLINE MONTAGE:
HEADLINES flash before us, displaying their accompanying
photographs.
""UBERMAN - METRO CITY'S HERO AFTER DEFEATING MASTER MIND!
PHOTO: A chiseled, statuesque man wearing the COOLEST SUPER
HERO SUIT IMAGINABLE, COMPLETE WITH FLOWING CAPE, shines a
confident smile at the lens. This is UBERMAN, champion of
METRO CITY.
""UBERMAN DEFEATS MASTER MIND'S GIANT ROBOT!""
PHOTO: Wide-shot of Uberman in mid-flight lifting the GIANT
ROBOT in the sky above the city buildings.
""MASTER MIND ALL WET AFTER UBERMAN FOILS AQUARIUM HEIST!""
PHOTO: Uberman stands knee-deep in water. He has his enemy by
the collar. The villain blocks his face from the shot with a
METALLIC GAUNTLET.
The images start to flash by even quicker, each showing the
MYSTERIOUS VILLAIN in various stages of humiliation. In each
photograph he successfully blocks his face with his armored
glove.
We ZOOM IN to the last headline.
""MASTER MIND BEHIND BARS ONCE AGAIN - THANKS TO UBERMAN!""
PHOTO: Uberman stands in a gallant pose with his fists on his
hips, obviously trying to accentuate the ""U"" insignia on his
chest.
END OF CREDITS SEQUENCE"|stage direction
2||EXT. BUILDING - DAY|location
3||"We DISSOLVE from the photograph to Uberman standing in the
exact same position.
WE PULL BACK showing him atop a BUILDING overlooking the city
below. A perfect view for our guardian hero.
He watches the thriving metropolis, bristling with life as
people happily go about their day.
Yet, we can't help but detect a hint of sadness in Uberman's
expression."|stage direction
4||2.|unknown
5|UBERMAN|You look so peaceful from up here.|speech
6||"His serenity is suddenly interrupted by a loud BEEPING SOUND
coming from his wrist.
He looks down at a BRACELET (a manly one) on his right arm.
It's a silver band with a FLASHING red letter ""U""."|stage direction
7|UBERMAN (CONT'D)|"Looks like Roxanne's in trouble
again."|speech
8||"Uberman leaps off the building and into the air. His cape
gracefully flows in the breeze behind him as he shoots off
into the distance like a speeding bullet."|stage direction
9||EXT. OBSERVATORY HIDEOUT - ESTABLISHING SHOT|location
10||"Grime and moss decorate the outside of this long abandoned
building overlooking the COAST. Once a place of knowledge and
wonder - now home to a great evil."|stage direction
11||INT. OBSERVATORY HIDEOUT - DAY|location
12||"The inside is in complete contrast to the exterior. The huge
hall with a GIANT TELESCOPE teems with advanced ELECTRONIC
EQUIPMENT. Computers, monitors and machines which do not have
an obvious function FLASH and HUM.
A STEEL DOOR slides open, revealing the subject of our story
MASTER MIND - a villainous sight to behold. His FACE IS
INEXPLICABLY LIGHT BLUE, topped by an OVERSIZED, MUSHROOM-
SHAPED HEAD with a CIRCULAR PATCH OF WHITE HAIR ON TOP.
He's dressed in the kind of costume only a super villain
could pull off: a PURPLE JUMPSUIT AND BLACK BOOT ENSEMBLE
WITH A GIANT GREEN ""M"" ON THE CHEST. His right hand, hanging
at his side, is a METAL GAUNTLET WITH THREE SHORT SPIKES
PROTRUDING BETWEEN HIS KNUCKLES.
Master Mind begins to survey the room with his TWO
PERMANENTLY ARCHED EYEBROWS.
A man dressed as ALBERT EINSTEIN is busy ranting to two other
men. One, a hulking brute, is dressed as LEONARDO DA VINCI.
The other, a small intellectual-type carrying a clip-board,
is dressed as the philosopher PLATO."|stage direction
13|EINSTEIN|"I hate the outfits. I mean, I get
it: we're all supposed to be
""masterminds"" - very clever."|speech
14||3.|unknown
15|EINSTEIN(cont'd)|"I just feel stupid. I mean, what
the hell did Einstein really do
anyway?"|speech
16|PLATO|Theory of relativity.|speech
17||Einstein starts feverishly scratching his side.|stage direction
18|EINSTEIN|"Well, you'd think he'd invent a
wool sweater that didn't itch so
much."|speech
19||"Da Vinci and Plato's eyes suddenly grow with concern as they
see Master Mind walk up behind Einstein.
Einstein notices his colleague's staring over his right
shoulder and turns around.
He turns around and Master Mind SEIZES HIM BY HIS THROAT with
his metal gauntlet."|stage direction
20|MASTER MIND|"The real Einstein once said, ""God
does not play dice with the world.""
He was right, because the world is
MY dice. Is that understood?"|speech
21|DA VINCI & PLATO|Sir! Yes, sir!|speech
22||(gasping for air)|unknown
23|EINSTEIN|Yes, sir.|speech
24||Master Mind undoes his grip on Einstein's throat.|stage direction
25|MASTER MIND|"Alright, then - clean slate. Do we
have the girl?"|speech
26|DA VINCI|"Yes, sir. She fell into our trap
just like you knew she would."|speech
27|MASTER MIND|"Reporters are a curious lot, and
easily manipulated."|speech
28||"He quickly checks his physique in a GIANT MIRROR, adjusts his
posture and sucks in his gut."|stage direction
29||4.|unknown
30|MASTER MIND|"Alright, let's not keep the lady
waiting."|speech
31||"MOMENTS LATER
Da Vinci escorts a BLINDFOLDED and bound woman, ROXANNE
RITCHI, to the back of the room where Plato and Einstein are
standing guard over a large BLACK SWIVEL-CHAIR facing away
from us.
She pulls free of Da Vinci's grasp and waits for him to undo
the blindfold.
Her face uncovered, we finally see Roxanne's striking
features - all of which seem overshadowed by piercing eyes
that seem more put off by the situation than afraid of it."|stage direction
32|MASTER MIND (O.S.)|Miss Ritchi, we meet again.|speech
33||"The chair turns menacingly slow, finally revealing Master
Mind."|stage direction
34|ROXANNE|"You didn't need to turn around like
that. I can recognize the stench of
failure."|speech
35||Master Mind unleashes a wicked laugh.|stage direction
36|MASTER MIND|"I trust you gentlemen know the very
sassy Roxanne Ritchi, highly
regarded investigative journalist
who some say has a more than
friendly relationship with our
super powered foe Uberman. And Miss
Ritchi, I trust you've already met
my new crew: The Mad Geniuses!"|speech
37||Roxanne gives Einstein a once over.|stage direction
38|ROXANNE|"Looks like a real group of winners.
At the risk of sounding cliche',
you'll never get away with this."|speech
39|MASTER MIND|In a way, I already have.|speech
40||Roxanne unleashes an exhausted SIGH.|stage direction
41||5.|unknown
42|ROXANNE|"We go through this every time. You
kidnap me to get to Uberman, he
immediately finds your hideout,
escapes whatever lame trap you've
come up with, and takes you and
your cronies to jail. I propose we
just save everybody some heartache
this time by YOU letting me go, and
ME forgetting this whole thing ever
happened?"|speech
43|MASTER MIND|What about my revenge?|speech
44|ROXANNE|"We can say it was wasting
everyone's time."|speech
45|MASTER MIND|"You have a wicked tongue. I hope
you rid yourself of that when
you're my queen."|speech
46||Roxanne unleashes a snort-filled laugh.|stage direction
47|ROXANNE|"I'm sorry. What makes you think I
would want to be your queen?"|speech
48|MASTER MIND|"Power corrupts absolutely, Miss
Ritchi. And when I have ultimate
power over this city, I have
absolutely every intention of
corrupting you with it."|speech
49|PLATO|Sir!|speech
50||"Master Mind turns to Plato who's now standing at a computer
terminal."|stage direction
51||(annoyed)|unknown
