|character|text|type
0||"RONIN
an original screenplay by
J.D. Zeik
DRAFT: May 20, 1997"|unknown
1||"A BLOOD RED SCREEN - A JAPANESE DRUM starts to play, softly,
but tinged with a desperate edge, growing louder, joined by
other DRUMS as a BLACK LEGEND scrolls up: In feudal Japan,
the warrior class of Samurai were sworn to protect their
liege lords with their lives.  Those Samurai whose liege was
killed suffered a great shame, and they were forced to wander
the land, looking for work as hired swords or bandits.  These
masterless warriors were no longer referred to as Samurai,
they were known by another name: Such men were called Ronin.
The words hang on the screen and we hold for a BEAT, and then
the DRUMS are cut off by - A SILENCED GUN SHOT: Thwpfft...
FADE IN ON:"|stage direction
2||INT. A MEDIEVAL CATHEDRAL - NIGHT|location
3||"It's dark, and so it takes us a minute to realize we're
MOVING UP STONE SPIRALING STAIRS, up up up in what we now see
is a medieval cathedral.  And as we continue MOVING UP
something TRICKLES DOWN INTO FRAME - BLOOD.  Running thin,
then thicker, as we CONTINUE TO MOVE UP the stairs and find -
A BODY, sprawled awkwardly across the stones, arms and legs
akimbo, not so much Christ-like as victim-like.  In one hand
the Body holds a GUN he never had a chance to use.  In the
other - A DARK SHAPE, we can't quite tell what it is.
FOOTSTEPS sound from above and - THE KILLER walks into frame,
silenced pistol dangling at his side.  We don't know him, and
it's going to be a while before we see him again, but mark
his face because we'll see him again.  The Killer now picks
up the dark shape in the Body's hand, and we see it's - A
BRIEFCASE.  The Killer cuffs the Briefcase to his wrist and
turns to - TWO MEN standing behind him: subordinates.  The
Killer shows them the Briefcase."|stage direction
4|KILLER|God loves me.|speech
5||"THE BODY suddenly twitches -- this guy is not quite dead.
The Killer raises his silenced pistol."|stage direction
6||(to his victim)|location
7|KILLER|But I don't think he's too fond of you...|speech
8||SLAM CUT TO:|stage direction
9||EXT. A BACK STREET - PARIS - NIGHT|location
10||"A PHONE RINGS, replacing the sound of the silenced gun shot
we expected to hear.
Rain-slicked cobblestones gleam in a twinkling of
streetlight."|stage direction
11||EXT. A PHONE BOOTH AT THE END OF THE STREET|location
12||"The source of the ringing.  We start to PUSH SLOWLY IN one the
phone booth, and as we do we hear the VOICE of an UGLY
AMERICAN."|stage direction
13|UGLY AMERICAN (V.O.)|What is this?|speech
14||CUT TO:|stage direction
15||INT. A DRIVE BAR IN PARIS - NIGHT|location
16||"A SOCCER MATCH is in progress on a TV which sits above the
bar in this smokey, dim dive."|stage direction
17|UGLY AMERICAN (O.S.)|This is not football...|speech
18||"And now we're PULLING BACK DOWN THE LENGTH OF THE BAR.  We
see THREE MEN sitting seperately at the bar, paying no
attention to each other.  One of these men watches the game
with real interest.  The Ugly American talks on from off
screen."|stage direction
19||(continuing)|location
20|UGLY AMERICAN (O.S.)|"...Football is three hundred pound guys,
they run way too fucking fast, they got
helmets made of kevlar they use to spear
the quarterback into the next life."|speech
21||SLAM CUT TO:|stage direction
22||EXT. THE STREET OUTSIDE|location
23||"The phone is still ringing, louder now, and we're MOVING
TOWARDS it while looking THROUGH AN UNSEEN PAIR OF EYES, and
even as we drink this in we're back in -"|stage direction
24||INT. THE BAR|location
25||"AT THE END OF THE BAR - LARRY, the Ugly American.  He's got
an obvious attitude, all of it bad.  But there's something
about the guy -- he's not all bluster, and he has the look of
a seasoned tough guy who knows how to get rough and tumble.
He's big, and yeah he's got a gut, but the rest of him looks
solid."|stage direction
26||(talking to the air)|location
27|LARRY|"You wanna know what football is?  It's
hitting the other guy dirty and then
spitting in his face when he's down.
Football is all things American, and
American is A-Number-One the absolute
fucking best there is.  That's what
football is..."|speech
28||(he points to the TV)|location
29|LARRY|...And that's not football.|speech
30||"The one man at the bar who's been watching the gam turns
slowly and gives Larry a long look.  This is VINCENT: French,
hard boiled and solid.  Charming when he wants to be, which
isn't all that often.  He gives Larry a long look and then
speaks -"|stage direction
31||(to Larry in perfect English)|location
32|VINCENT|"Football -- American football -- is a
game for faggots."|speech
33||"A BEAT.  The other two men at the bar, who seem like tough
customers themselves, pretend not to watch too closely, but
they're interested: what's Larry going to say?  For a moment
it seems as if he's pissed, but then suddenly a smile breaks
out on his face and he laughs heartily at Vincent's remark.
Vincent joins in, as do the others.  In particular - THE
BARTENDER looks relieved -- he's tough enough to toss a bar
drunk, but these guys are in a different league.  The
Bartender laughs with the others, happy to have avoided a
confrontation as we go back to -"|stage direction
34||EXT. THE STREET OUTSIDE|location
35||"We're almost ON TOP OF the phone booth, the phone is still
ringing as a HAND reaches INTO FRAME and snatches the phone
from its cradle."|stage direction
36||(a touch Irish accent)|location
37|A WOMAN'S VOICE (V.O.)|Yes?|speech
38||"ANOTHER ANGLE - And we see a woman named DEIRDRE on the
phone: striking, dark-haired, Irish.  She carries herself
with the same professional edge as the men inside the bar.
Deirdre listens for a moment to the voice on the other end,
and before she speaks she sense something - A SILHOUETTE
stands in the shadows of the bar, watching Deirdre.  She
gives this silhouette a measure glance before speaking, her
hand creeping ever so slightly towards her coat."|stage direction
39|DEIRDRE|Can I help you?|speech
40||"The silhouette steps into a POOL OF LIGHT.  This is SAM.
Tough, lean, enigmatic.  Somebody you might trust, but whom
you'd never cross.  Sam returns her look before he speaks."|stage direction
41|SAM|No...|speech
42||"Sam moves towards the bar, and Deirdre returns to her phone
conversation."|stage direction
43|DEIRDRE|I'm here...|speech
44||(a beat, responding to a|location
45||question)|unknown
46|DEIRDRE|No, it was nothing.|speech
47||INT. THE BAR - A MINUTE LATER|location
48||"Sam enters and by now the men inside have all come together
at the bar, talking casually, recognizing they're somehow all
here for a reason.  With Larry and Vincent we see - GREGOR, a
man from Eastern Europe.  His accent is hard to pin down,
but he most definitely has one.  Gregor has the air of an ex-
spook, and that's exactly what he is.  Lastly we see SWEDE --
blonde, muscular, and somehow blank in the face.  No, he's
not stupid -- he's a sociopath.  Now - Sam looks at the
group, which grows quiet as he enters.  Finally, Sam speaks."|stage direction
49|SAM|Sorry I'm late...|speech
50||(a challenge)|location
51|VINCENT|"What makes you think we're here to meet
you?"|speech
52||(meeting Vincent's gaze)|location
53|SAM|Who else would you be?|speech
54||"Vincent turns towards the others, including them in an
expansive gesture."|stage direction
55|VINCENT|Perhaps the police?|speech
56|SAM|I know cops -- and you're no cop.|speech
57||"Vincent smiles at Sam's answer, satisfied, and makes room for
Sam to join them.  Vincent takes a pack of cigarettes, shakes
them so that one sticks out, and offers it to Sam."|stage direction
58|VINCENT|Cigarette?|speech
59|SAM|No thanks.|speech
60||Vincent looks a little disappointed at this as we go -|stage direction
61||EXT. BACK OUTSIDE - SAME TIME|location
62||"THE PAY PHONE makes a sharp noise as it's cracked back into
the cradle.  Deirdre stands at the phone booth, lost in
thought.  Then, without warning - Deirdre spins around,
pulling TWO GUNS from inside her coat.  The move is fast,
performed with the grace of a professional killer, as Deridre
scans the horizon, but nobody seems to be watching.  Deirdre
pockets her guns and steps into the shadows of the street,
the better to watch -
THE BAR - And as Deirdre watches the bar we watch her.
PULLING BACK from Deirdre, UP INTO THE AIR and then MOVING
THROUGH TO -"|stage direction
63||INT. A CHEAP APARTMENT - SAME TIME|location
64||"LOOKING THROUGH A WINDOW, donw onto the street below.  Barely
visible we can see Deirdre.  And staring at Deirdre - THE
WATCHER.  Somebody we're going to see periodically through
the movie.  Right now he's only a SILHOUETTE with a well-
defined PAIR OF HANDS.  And in those hands - A KNIFE.  As the
Watcher watches he slowly cleans his nail with the knife,
methodically, perfectly.  And he watches.  First Deirdre, and
then turning his attention to THE BAR.  He's especially
interested in the bar.
A TIME CUT TO:"|stage direction
65||INT. THE BAR - LATER|location
66||"The BARTENDER is wiping out a last glass.  When this is
finished he looks up at -
A TABLE IN THE BACK -
Where our five guys have relocated.  Now the Bartender and
Vincent exchange a look, and then the Bartender takes out a
set of keys and tosses them - THROUGH THE AIR and they SMWACK
into Vincent's hand.  The Bartender and Vincent speak in
rapid-fire French, and then the Bartender is gone.  Sam turns
to Vincent."|stage direction
67|SAM|He trusts you to lock up?|speech
68|VINCENT|Let's just say he knows who I am.|speech
69||"Vincent takes out his pack of cigarettes and offer them
around the table -- again, nobody takes on.  Vincent seems
really disappointed by this."|stage direction
70|LARRY|"Anybody wanna tell me what we're waiting
for?"|speech
71||(lighting his cigarette)|location
72|VINCENT|"The question isn't what we're waiting
for... it's who."|speech
73|LARRY|And who the fuck is that?|speech
74|GREGOR|Whoever hired us.|speech
75|SAM|"I got this gig through a contractor.
And he most definitely didn't know who
was doing the hiring, only that they
were paying a lot of money..."|speech
76||"There's a kind of general look around the table -- a nod or
grunt of acknowledgement, indicating that all of these men
were hired the same way."|stage direction
77||(continuing his thought)|location
78|SAM|"So none of us knows who's paying the
freight, this is just some anonymous job.
For all we know, we're working for
different people."|speech
79|GREGOR|Now that is an interesting proposition.|speech
80|SWEDE|How so?|speech
81|GREGOR|"Because if there's more than one party
involved, if we really are working for
different people, then perhaps some of us
are on different sides."|speech
82||(with great meaning)|location
83|GREGOR|Your orders might be different from mine.|speech
84|LARRY|"What're you talking about, man?  I don't
understand."|speech
85||(quietly, but loud enough to be|location
86||heard)|unknown
87|SWEDE|What a surprise...|speech
88|LARRY|I got a surprise for you, blondie...|speech
89||(sharply, as if he's used to|location
90||giving orders)|unknown
91|GREGOR|Why don't both of you shut up?|speech
92||(to Gregor at the same time)|location
93|LARRY & SWEDE|Fuck you!|speech
94|SAM|Knock it off!|speech
95||"There is a BEAT.  Gregor, Swede and Larry look at Sam, who
glares them all down.  Lastly, Sam turns and looks at
Vincent.  The two men nod at one another, acknowledging a
kind of mutual respect."|stage direction
96|SAM|"The point remains: we could be working
for different people.  There's a chance
for one of us..."|speech
97||(looks around the table)|location
98|SAM|"Maybe more than one of us -- has been
paid to cross the others.  I don't know
about you guys, but I like to know who
I'm working for.  It can help prevent a
great deal of..."|speech
99||(finding the right word)|location
100|SAM|...unpleasantness.|speech
101||(patting the gun inside his|location
102||cheap suit)|unknown
