|character|text|type
0||"ANASTASIA
FADE IN:
on a well-worn PHOTOGRAPH ALBUM. An ELDERLY WOMAN'S
HAND touched the album, caressing it lovingly for a
moment, as WE HEAR her voice."|stage direction
1|TATIANA (O.C.)|"Once we lived in an enchanted
world. . ."|speech
2||"She opend the ALBUM to reveal a BLACK AND WHITE
PHOTOGRAPH of the PALACE AT ST. PETERSBERG on a
brilliant summer day."|stage direction
3|TATIANA (CONT)|"A world of Tsars and Princesses
and elegant palaces. . ."|speech
4||CAMERA MOVES CLOSER TO the picture. . .|stage direction
5|TATIANA (CONT)|and grand parties. . .|speech
6||"The PHOTO dissolves into REALITY in brilliant color as
the day turns into night and the summer cools into
winter. We see the palace at night, blanketed in a
beautiful, almost glowing, snow as hourse drawn carriages
pull up to the front door."|stage direction
7|TATIANA (CONT)|A beautiful, magical time. . .|speech
8||MOVE INTO THE PALACE|stage direction
9|TATIANA (CONT)|"That would soon be gone
forever. . ."|speech
10||INT.  PALACE AT ST. PETERSBERG - NIGHT|location
11||"Elegant ROYALISTS mingle around the MAIN HALL as an
ORCHESTRA plays.
All eyes turn to the GLASS DOORS OF TWO ELEVADORS which
descend grandly on either side of a beautiful staircase.
Through the glass doors we see TATIANA, the Dowager
Empress, 60, imperious and bedecked with jewels, she is
seemingly unapproachable. TSAR NICHOLAS and his SON are
with her. In the other elevador, ALEXANDRA and her
daughters - well,  all her daughters except. . .
ANASTASIA, eight years old and apparently late for the
party, rushes down the upstairs hallway followed by a
SERVENT (SONYA) 16,  who is trying to catch up with
Anastasia to tie a large ribbon in her long, dark hair."|stage direction
12||(whispering)|unknown
13|SONYA|"Princess Anastasia - you're
late and it's all my  fault!"|speech
14|ANASTASIA|"Don't worry, Sonya, no one'll
notice. . ."|speech
15||"Just then, Sonya lassoes the ribbon around her hair,
stopping Anastasia with a"|stage direction
16||(loudly)|unknown
17|ANASTASIA|. . .  owwwwwwwww!|speech
18||"All eyes turn to Anastasia, who once she realizes that
she's the center of attention, flashes a mischievous
smile and descends the staircase in grand style. As the
ribbon falls out of her hair and down her back,
Anastasia kicks it to Sonya without breaking stride.
Tatiana sees her and can't help but smile.
The music suddenly becomes  a FLOURISH OF TRUMPETS.
SERVENTS open the elevador doors as the ROYAL FAMILY
steps out and begins a proccession through their
subjects. Tatiana holds out her arm to Anastasia as she
makes it to Tatiana's side just in time. Anastasia has
a beautiful but slightly impish face, dominated by
large, blue, mischievous eyes. She an abundance of
energy and confidence for a girl her age.
""THE RULARS OF RUSSIA""  (OPENING NUMBER)"|stage direction
19||The elegant guests sing their admiration as the|unknown
20||"beautiful and happy Romanov family makes it's entrance
into the ball, they're ""the  pride of all Russia"".
Vladimir invites Sophie to dance and the entire
glittering assembly assembly swings into a GLORIOUS SWEEPING
WALTZ. Singing their certainty that the Romanovs will
rule forever.
During the above, the ball is in full swing. Beautiful
COUPLES swirls across the dance floor, including
Anastasia dancing gracefully with her father.
Under a long buffet table, we see DMITRI, 11, darkly
handsome, dressed in ragged servant clothes, with a
shock of dark hair which continuoually falls accross his
eyes as watches the guest enviously. Anastasia, still
waltzing with her father, sees him. SERVENTS cross the
room carrying a trays of BEAUTIFUL TROPICAL FRUIT. The
guests ""Ew"" and ""ah"" at the sumptuous fruit. Anastasia
sees Dmitri eyeing it hungrily and without missing a
dance step, she grabs an orange off thr tray and tosses
it to Dmitri. He catches it and smiles broadly at her.
Suddenly, A HAND grabs Dmitri and pulls him out from
under the table. It's IVAR, the HEAD SERVENT, who pulls
Dmitri into an open wall panel."|stage direction
21||(angrily)|unknown
22|IVAR|"You're a servent! Never forget
your place!"|speech
23||(defiant)|unknown
24|DMITIRI|"Someday my place will be out
there!"|speech
25|IVAR|"Never! You're a peasant,
Dmitri! Back in the kitchen"|speech
26||RULARS OF RUSSIA (CONT.)|stage direction
27||UNDERSCORE CONTINUES as Dmitri is dragged from his|unknown
28||"hiding place under the table and back to the kitchen.
It's like the Moscow circus back there, COMIC MUSICAL
CONFUSION. The servants sing about their demanding
employers and mockingly imitate their behavior:  they
imply that they have their own ""party"",  that change is
coming."|stage direction
29||While back in the ballroom, the Royalists are|unknown
30||"oblivious to the servants discontent and sing their
satisfaction with their own lives."|stage direction
31||DRAMATIC UNDERSCORE CONTINUES though the following|unknown
32||"scenes.
ON TATIANA
in a large throne-like chair. Tatiana is very serious
and very regal. She slides over to make room for
Anastasia who sits next to her."|stage direction
33|TATIANA|Why were you so late tonight|speech
34|ANASTASIA|"I was showing Sonya
something . . ."|speech
