|character|text|type
0||"FROZEN
Written by
Adam Green
January 28, 2009"|unknown
1||EXT. MOUNT HOLLISTON - DAY                                    1|location
2||"Peace.
Fresh snow glistens in the sunlight and reflects off of the
giant pine trees covering the serene mountain side.
It's quiet.
So quiet.
HARD CUT TO:
FROZEN
HARD CUT TO:"|unknown
3||2   EXT. THE CHAIR LIFT - DAY                                     2|location
4||"Tight on a gloved hand as a lever is released.
Tight on the cables at the top of a rickety chair lift as
they kick into motion.
Wider as an empty chair swivels around and beneath the asses
of a threesome of SKIERS.
Even wider to reveal a long line of Skiers and SNOWBOARDERS
awaiting their moment to step up to the chair.
The camera finds a group of three standing off to the side of
the line, decked out in their winter gear."|unknown
5||3   EXT. SNOW BANK OVERLOOKING THE CHAIR LIFT - CONTINUOUS        3|location
6||"Angle on DAN WALKER (college age, shaggy hair, holding a
snowboard and a helmet in one hand) as he studies the
situation. Next to him stands an impatient JOE LYNCH
(college age, goggles on his head and a face full of fresh
stubble, standing on skis).
LYNCH
I don't see her.
DAN
The shift change is late.   Just
wait.
PARKER O'NEIL (college age, red hair, holding a snowboard)
sighs and stares back at the lift lane.
2."|unknown
7|PARKER|Are you sure about this?|speech
8|DAN|"We've been doing this forever.
Trust me. This lady loves Lynch.
She always goes for it."|speech
9||Lynch smiles at Parker.|location
10||LYNCH|unknown
11|DAN|I'm cute.|speech
12||"Just then, JASON (a ski mountain employee) approaches the
front of the line and excuses the employee working the chair."|location
13|PARKER|Is um... is that her?|speech
14||DAN|unknown
15|PARKER|Shit.|speech
16||LYNCH|unknown
17|PARKER|Dude.|speech
18|DAN|It's cool, it's cool.|speech
19||(to Parker)|unknown
20|DAN|"Look, all you have to do is smile
real pretty and tell him-"|speech
21||PARKER|unknown
22|DAN|"-What?   Me? No way.    This is your
thing."|speech
23||Parker, listen, listen. It's so|unknown
24|DAN|"easy. All you do is tell the guy
that you and your friends-"|speech
25|LYNCH|"-GIRLfriends. Say ""girlfriends""."|speech
26|DAN|"-you and your girlfriends forgot
your credit card and you can't pick
up your lift tickets."|speech
27||"He grabs a wad of cash out of Lynch's glove and shoves it in
Parker's hand."|location
28||"3.
DAN (cont'd)
Start at $50. That's what we
usually give the other lady. He'll
take it. Trust me.
PARKER
Dan, no.   You do it.    I feel
stupid.
DAN
You've got this.    You can totally
do this.
LYNCH
Parker, you've so got this.
DAN
The worst thing that happens is he
says no. He won't say no. No one
ever says no.
PARKER
Why me?
LYNCH
`Cause you're a girl.
DAN
A very beautiful girl with a very
charming smile.
(then)
Just...
He unzips her jacket a little bit, showing some more of her
body.
DAN (cont'd)
There.
PARKER
My charming smile?
Dan and Lynch smile back at her.    She exits reluctantly
towards the lift line."|unknown
29||4   EXT. CHAIR LIFT LINE - CONTINUOUS                                4|location
30||"Parker pushes her snowboard forward and moves up the side of
the line, passing all of the skiers who are waiting.
She approaches Jason who is now running the lift.    He lights
a cigarette.
4.
PARKER"|unknown
31|DAN|Hey.|speech
32||Jason looks up at her.|location
33|PARKER (cont'd)|Could I bum a smoke?|speech
34||"She flashes an adorable but forced smile and he quickly
obliges with a cigarette."|location
35||PARKER (cont'd)|unknown
36|PARKER (cont'd)|Thanks.|speech
37||He lights her cigarette.|location
38|PARKER (cont'd)|I'm Parker.|speech
39||"He looks around, not all that sure why a cute girl is talking
to him for more than just to get a smoke."|location
40||JASON|unknown
41|PARKER (cont'd)|Jason.|speech
42||PARKER|unknown
43|PARKER (cont'd)|"Oh, cool.    My brother's name is
Jason."|speech
44||JASON|unknown
45|PARKER (cont'd)|OK.|speech
46|PARKER|"Yeah, so I don't want to waste your
time and bullshit you cause you
seem like a wicked busy guy and
everything...but..this is gonna
sound so stupid..."|speech
47||Jason is all ears.|location
48|PARKER (cont'd)|"My girlfriends and I drove all the
way up here from Salem State, and I
was sort of the dumbass who told
everyone that I could cover the
lift tickets on my Mom's credit
card...but then I left her credit
card at the gas station...and so..."|speech
49||Jason totally sees where this is going.|location
50||"5.
JASON
Right.
PARKER
No- but I mean, we totally have
some cash and stuff. We just don't
have enough to cover all 3 lift
tickets, you know?
Jason exhales two lungs full of smoke as the next group gets
onto the lift.
JASON
How much?
PARKER
Like...fifty?
Jason scoffs and starts the lift.
JASON
I could lose my job.
He looks around."|unknown
51||5   EXT. SNOW BANK OVERLOOKING THE CHAIR LIFT - CONTINUOUS        5|location
52||"Lynch and Dan watch Parker at work.
LYNCH
He's not going for it.
DAN
Will you shut up? He's gonna go
for it. It's either stand there
and do the job for minimal...
minimal, what is it?
LYNCH
Minimum.
DAN
-Minimum wage or do it for minimum
wage plus a little bit more.
Lynch sighs, then changes the subject.
LYNCH
She had to come skiing with us?
Dan looks back at him, offended.
6."|unknown
53|DAN|You said you didn't mind?|speech
54||LYNCH|unknown
55|DAN|"I don't.   I don't mind.   Don't mind
at all."|speech
56||X|unknown
57||A beat.|location
58|LYNCH (cont'd)|"I'm just saying, you haven't done
dollar pitchers at Fezziwigs with"|speech
59||R|unknown
60|LYNCH (cont'd)|"us since last semester. You never
come around for Monday night
football, nobody has seen you at-"|speech
61||A|unknown
62|DAN|"-I watched the game with you last
week!"|speech
63|LYNCH|"For ten minutes, Dan. Football
games are more than ten minutes."|speech
64||M|unknown
65|LYNCH|"They're lots of ten minutes-es, you
know?"|speech
66|DAN|"Dude, I have a girlfriend now. I
love this girl. I don't know what
you..."|speech
67||D|unknown
68|LYNCH|"No, no it's fine. I'm just saying,
the Mount Holliston day trips were
our thing, you know? She doesn't
even know how to board yet."|speech
69||E|location
70||DAN|unknown
71|LYNCH|She's getting better.|speech
72||(then)|unknown
73|LYNCH|"Now I feel like a dick. You should
have said something if it was a
problem."|speech
74|LYNCH|"It's not a problem. It's not.
Forget I ever said anything."|speech
75||"They see Parker hand Jason something. He pockets it and she
glides her way back to the end of the line.
She looks up at the guys waiting on the hill and then
excitedly waves. Proud of herself."|location
76||"7.
Dan smiles at Lynch."|unknown
77||6   EXT. CHAIR LIFT LINE - CONTINUOUS                             6|location
78||"Lynch and Dan join Parker and slowly work their way up the
line.
X
DAN
Good work!     See?   They always go
for it.
R
PARKER
I did good, right?
LYNCH
You did great.
A
DAN
Oh, so where's my change?
PARKER
There isn't any.
M
DAN
You gave him the full hundred?
PARKER
He wasn't going for it at 50.
DAN
D
So what happened to the other fifty
numbers in between there? Like, I
don't know, $51 or maybe even $75?
PARKER
E
You gave me two 50's. What was I
supposed to do, ask for change?
LYNCH
I would have asked for change.
PARKER
It's still way cheaper than paying
for tickets, right?
Dan is disappointed.
LYNCH
I would have definitely asked him
for change.
8.
They get up to the front of the line.    Jason looks at Dan and
Lynch behind Parker.
JASON
(scoffs at Parker)
""Girlfriends""?
X
Parker gives him an apologetic smile.
The three get in front of the chair. It descends under them
and scoops them off of the ground into the air.
R"|unknown
79||7   EXT. CHAIR LIFT - MOMENTS LATER                                 7|location
80||"The threesome float high above the mountain as the chair
slowly makes it's way to the top.
A
DAN
Look at that. See? All these
other idiots are paying top dollar
to ski. Not us. All thanks to
you, baby.
M
PARKER
(teasing)
Oh, now I'm ""baby""?     You never call
me pet names.
DAN
I'm just not a `pet name' guy.
D
PARKER
(to Lynch)
He calls me ""Parker.""
E
DAN
It's your name.
PARKER
Yeah but you're supposed to call me
something affectionate, you know?
Like ""honey"" or ""sweetie"".
LYNCH
I hooked up with a girl last
semester that called me by my last
name in bed. It was so weird.
""Oh, Lynch! Your hair is so soft!
Do me harder, Lynch!"" It was like
I was throwing it to Dan over here.
Dan looks back to Parker.
9."|unknown
81|DAN|"See? At least I don't call you
""O'Neil""."|speech
82|PARKER|"You don't touch my face enough
either."|speech
83||X|unknown
84||Dan laughs.|location
85||"(to no one imparticular)
R"|unknown
86|LYNCH|Third wheel.|speech
87||Parker reaches across and playfully taps Lynch.|location
88||A|unknown
89|PARKER|Watch it, Lynch.|speech
90|LYNCH|"Hey, that's not fair. I'm not
dating you, you don't get to make
my life suck."|speech
91||M|unknown
92||"Parker shoots Dan a look: ""Oh, really?"""|location
93|DAN|"Wha-? I never said that. I never
said you make my life suck."|speech
94||(then, forced)|unknown
95|DAN|Sweetie.|speech
96||D|unknown
97||"After a beat he awkwardly reaches out and touches her face.
Nothing sweet or sensitive about it, but he's trying."|location
98||PARKER|unknown
99||E|location
100||(sarcastically)|unknown
101|DAN|Aww!|speech
102||(to Parker)|unknown
103|LYNCH|"Dan tells me you're getting the
hang of that board?"|speech
104|PARKER|"I wouldn't say that. But last time
we went I did pretty good, right?"|speech
105|DAN|"You did awesome. I'm telling you,
the first few times are frustrating
but once you get the hang of it,
it's like riding a bike."|speech
106||10.|unknown
107||(to Lynch's skis)|unknown
108|DAN(cont'd)|"Are you gonna trade in those
ancient things for a board?"|speech
109|LYNCH|"Please. Snowboards are too EMO for
me. Give it ten more years and
that fad will be dead."|speech
110||X|unknown
111|DAN|That's what they said about rap.|speech
112||Parker removes a cigarette and lights it.|location
113||R|unknown
114|LYNCH|"Mmm-mmm. Smell that fresh mountain
air, huh? Kind of smells like...
cancer."|speech
115||A|unknown
116|PARKER|"You know what, I am so sick of
potheads giving me shit about
smoking butts."|speech
117||M|unknown
118|LYNCH|"At least pot does something for
you. Cigarettes are just gross.
Especially out in the cold. It
like sticks to you and then you
smell like a mixture of ash tray
and an old man's used floss."|speech
119||D|unknown
120|DAN|"Used floss? Where do you come up
with this shit."|speech
121||E|location
122|LYNCH|"Have you ever sniffed your floss?
It's nasty."|speech
123||Dan and Lynch both crack up at this, huge.|location
124|DAN|"No, I have never- why would I ever
sniff my floss? Why am I friends
with you?"|speech
125||Parker blows more smoke out.|location
126|DAN (cont'd)|Gimme a drag.|speech
127||He takes her cigarette from her.|location
128||11.|unknown
129|PARKER|"What time do you think we'll get
back? I have about 2 weeks worth
of chapters to read tonight."|speech
130|LYNCH|Oh no. She broke the rule.|speech
131||"X
(to Parker)"|unknown
132|LYNCH|"Parker you just broke the first
rule."|speech
133||R|unknown
134|PARKER|What?|speech
135|DAN|"No worrying about the bullshit of
real life. The whole point of this"|speech
136||A|unknown
137|DAN|"is to relax and have fun. Worry
about school when you get home."|speech
138|PARKER|But, I haven't read a-|speech
139||M|unknown
140||"The chair suddenly stops and lurches forward slightly.   The
sound of the chair lift cuts out.
A deep silence takes over quickly, like the type of silence
that used to suddenly happen in school when you were taking a
test and the radiator that you never even noticed was on
would suddenly shut off."|location
141||D|unknown
142||"Random SKIERS and BOARDERS in the surrounding chairs express
their disgust for the delay.
Parker instinctively grabs Dan's hand.
E"|location
143|DAN|It's alright.|speech
144||LYNCH|unknown
145|DAN|"Uh-oh! Is someone afraid of
heights?"|speech
146|PARKER|No.|speech
147|LYNCH|"So it doesn't bother you when I do
this?"|speech
148||"Lynch rocks the chair back and forth.
Parker grabs hold of the safety bar."|location
149||"12.
PARKER"|unknown
150|LYNCH|Quit it!|speech
151||Dan motions to Lynch to stop.|location
152|PARKER (cont'd)|I'm not afraid of heights.   I just|speech
153||X|unknown
154|PARKER (cont'd)|don't like them.|speech
155||DAN|unknown
156|PARKER (cont'd)|"Baby, in the whole history of time,
only one chair has ever fallen off"|speech
157||R|unknown
158|PARKER (cont'd)|of a lift.|speech
159|PARKER|"Points for calling me ""baby"" but
you just made that statistic up."|speech
160||A|unknown
161|LYNCH|"Yeah, statistics don't work on
smokers."|speech
162||"M
(nervous laughter)"|unknown
163|PARKER|Oh, shut-up.|speech
164||Lynch turns around and yells behind him.|location
165|LYNCH|"OK, WHAT ASSHOLE COULDN'T GET ON
THE CHAIR RIGHT?"|speech
166||D|unknown
167||"Laughter echoes from the chairs behind him.
He yells forward.
E"|location
168|LYNCH (cont'd)|"COME ON, I PAID GOOD MONEY TO DO
SOME SKIING!"|speech
169|DAN|Actually, I paid good money.|speech
170|LYNCH|"Yeah, but I'm gonna pay you back so
it's like the same thing."|speech
171||"With a lurch, the chair starts moving forward again and the
whirring sound of the cables above them start up again.
Applause is heard from all of the other chairs."|location
172||"13.
LYNCH (cont'd)
THAT'S WHAT I'M TALKING ABOUT!
WOO!
Dan lets go of Parker's hand and gives her a smile.   She
smiles back.
X
He playfully sticks his tongue out at her and she laughs as
their chair moves forward exiting frame."|unknown
173||8   EXT. TOP OF THE CHAIR LIFT - LATER                                8|location
174||"R
The three begin to get situated with their boards and skis.
PARKER
Why do I have to wear a helmet?
A
DAN
Safety first.
PARKER
But you guys don't wear them.
M
She looks around.
PARKER (cont'd)
I only see little kids wearing
them.
DAN
D
Cause they're still learning, too.
Come on, I'm not gonna argue about
this.
LYNCH
E
Even extreme boarders wear helmets.
Nobody makes fun of them.
She begrudgingly puts on her helmet.   She's not happy about
it.
Dan and Lynch smile.
DAN / LYNCH
Awww.
PARKER
You're just doing this to make fun
of me.
Dan's laughing.
14."|unknown
175|DAN|"No, I'm not. I swear.    You look
hot in a helmet."|speech
176||"Off to the side, Lynch spots SHANNON (cute, brunette, 20's)
struggling with her boot strap. She falls down on her ass."|location
177||X|unknown
178||Lynch nonchalantly maneuvers over to her side.|location
179|LYNCH|Need some help?|speech
180||R|unknown
181||(laughing)|unknown
182|SHANNON|Do you think?|speech
183||Lynch puts out a hand to help her and pulls her up almost|location
184||A|unknown
185||"directly into his face.
Parker and Dan watch from afar as Lynch helps her with her
boot strap.
He has one hand innocently on the back of her knee and he is"|location
186||M|unknown
187||fastening the strap with his other.|location
188|PARKER|Aww, check out Lynch.|speech
189||From their point of view, they watch Lynch helping the girl.|location
190||"DAN
D"|unknown
