|character|text|type|character_clean|gender
0||"N O T T I N G   H I L L
Screenplay by Richard Curtis
Title"|stage direction||
1||EXT. VARIOUS DAYS|location||
2||"'She' plays through the credits.
Exquisite footage of Anna Scott -- the great movie star of our
time -- an ideal -- the perfect star and woman -- her life full of
glamour and sophistication and mystery."|stage direction||
3||EXT. STREET - DAY|location||
4||"Mix through to William, 35, relaxed, pleasant, informal.  We
follow him as he walks down Portobello Road, carrying a load of
bread.  It is spring."|stage direction||
5|WILLIAM (V.O.)|"Of course, I've seen her films and
always thought she was, well,
fabulous -- but, you know,
million miles from the world I live
in.  Which is here -- Notting Hill
-- not a bad place to be..."|speech|WILLIAM|M
6||EXT. PORTOBELLO ROAD - DAY|location||
7||It's a full fruit market day.|stage direction||
8|WILLIAM (V.O.)|"There's the market on weekdays,
selling every fruit and vegetable
known to man..."|speech|WILLIAM|M
9||EXT. PORTOBELLO ROAD - DAY|location||
10||A man in denims exits the tattoo studio.|stage direction||
11|WILLIAM (V.O.)|"The tattoo parlour -- with a guy
outside who got drunk and now can't
remember why he chose 'I Love Ken'..."|speech|WILLIAM|M
12||EXT. PORTOBELLO ROAD - DAY|location||
13|WILLIAM (V.O.)|"The racial hair-dressers where
everyone comes out looking like the
Cookie Monster, whether they like
it or not..."|speech|WILLIAM|M
14||Sure enough, a girl exits with a huge threaded blue bouffant.|stage direction||
15||EXT. PORTOBELLO ROAD - SATURDAY|location||
16|WILLIAM (V.O.)|"Then suddenly it's the weekend, and
from break of day, hundreds of stalls
appears out of nowhere, filling
Portobello Road right up to Notting
Hill Gate..."|speech|WILLIAM|M
17||A frantic crowded Portobello market.|stage direction||
18|WILLIAM (V.O.)|"... and thousands of people buy
millions of antiques, some genuine..."|speech|WILLIAM|M
19||"The camera finally settles on a stall selling beautiful stained
glass windows of various sizes, some featuring biblical scenes
and saints."|stage direction||
20|WILLIAM (V.O.)|... and some not so genuine.|speech|WILLIAM|M
21||EXT. GOLBORNE ROAD - DAY|location||
22|WILLIAM (V.O.)|"And what's great is that lots of
friends have ended up in this part of
London -- that's Tony, architect
turned chef, who recently invested
all the money he ever earned in a new
restaurant..."|speech|WILLIAM|M
23||"Shot of Tony proudly setting out a board outside his restaurant,
the sign still being painted.  He receives and approves a huge
fresh salmon."|stage direction||
24||EXT. PORTOBELLO ROAD - DAY|location||
25|WILLIAM (V.O.)|"So this is where I spend my days
and years -- in this small village in
the middle of a city -- in a house
with a blue door that my wife and I
bought together... before she left
me for a man who looked like Harrison
Ford, only even handsomer..."|speech|WILLIAM|M
26||We arrive outside his blue-doored house just off Portobello.|stage direction||
27|WILLIAM (V.O.)|"... and where I now lead a strange
half-life with a lodger called..."|speech|WILLIAM|M
28||INT. WILLIAM'S HOUSE - DAY|location||
29|WILLIAM|Spike!|speech|WILLIAM|M
30||"The house has far too many things in it.  Definitely two-
bachelor flat.
Spike appears.  An unusual looking fellow.  He has unusual
hair, unusual facial hair and an unusual Welsh accent: very
white, as though his flesh has never seen the sun.  He wears
only shorts."|stage direction||
31|SPIKE|"Even he.  Hey, you couldn't help me
with an incredibly important
decision, could you?"|speech|SPIKE|M
32|WILLIAM|"This is important in comparison to,
let's say, whether they should
cancel third world debt?"|speech|WILLIAM|M
33|SPIKE|"That's right -- I'm at last going out
on a date with the great Janine and I
just want to be sure I've picked the
right t-shirt."|speech|SPIKE|M
34|WILLIAM|What are the choices?|speech|WILLIAM|M
35|SPIKE|Well... wait for it...|speech|SPIKE|M
36||(He pulls on a t-shirt)|location||
37|SPIKE|First there's this one...|speech|SPIKE|M
38||"The t-shirt is white with a horrible looking plastic alien
coming out of it, jaws open, blood everywhere.  It says 'I Love
Blood.'"|stage direction||
39|WILLIAM|"Yes -- might make it hard to strike a
really romantic note."|speech|WILLIAM|M
40|SPIKE|Point taken.|speech|SPIKE|M
41||He heads back up the stairs... talks as he changes...|stage direction||
42|SPIKE|I suspect you'll prefer the next one.|speech|SPIKE|M
43||"And he re-enters in a white t-shirt, with a large arrow,
pointing down to his flies, saying, 'Get It Here.'"|stage direction||
44|SPIKE|Cool, huh?|speech|SPIKE|M
45|WILLIAM|"Yes -- she might think you don't have
true love on your mind."|speech|WILLIAM|M
46|SPIKE|Wouldn't want that...|speech|SPIKE|M
47||(and back up he goes)|location||
48|SPIKE|Okay -- just one more.|speech|SPIKE|M
49||"He comes down wearing it.  Lots of hearts, saying, 'You're the
most beautiful woman in the world.'"|stage direction||
50|WILLIAM|"Well, yes, that's perfect. Well
done."|speech|WILLIAM|M
51|SPIKE|Thanks.  Great.  Wish me luck.|speech|SPIKE|M
52|WILLIAM|Good luck.|speech|WILLIAM|M
53||"Spike turns and walks upstairs proudly.  Revealing that on the
back of the t-shirt, also printed in big letters, is written
'Fancy a fuck?'"|stage direction||
54||EXT. PORTOBELLO ROAD - DAY|location||
55|WILLIAM (V.O.)|"And so it was just another hopeless
Wednesday, as I set off through the
market to work, little suspecting
that this was the day which would
change my life forever.  This is
work, by the way, my little travel
book shop..."|speech|WILLIAM|M
56||A small unpretentious store... named 'The Travel Book Co.'|stage direction||
57|WILLIAM (V.O.)|"... which, well, sells travel books
-- and, to be frank with you, doesn't
always sell many of those."|speech|WILLIAM|M
58||William enters.|stage direction||
59||INT. THE BOOKSHOP - DAY|location||
60||"It is a small shop, slightly chaotic, bookshelves everywhere,
with little secret bits round corners with even more books.
Martin, William's sole employee, is waiting enthusiastically.
He is very keen, an uncrushable optimist.  Perhaps without
cause.  A few seconds later, William stands gloomily behind the
desk."|stage direction||
61|WILLIAM|"Classic.  Absolutely classic.
Profit from major sales push -- minus
$B!r(J347."|speech|WILLIAM|M
62|MARTIN|"Shall I go get a cappuccino?  Ease the
pain."|speech|MARTIN|M
63|WILLIAM|"Yes, better get me a half.  All I can
afford."|speech|WILLIAM|M
64|MARIN|I get your logic.  Demi-capu coming up.|speech|MARIN|?
65||"He salutes and bolts out the door -- as he does, a woman walks in.
We only just glimpse her.
Cut to William working.  He looks up casually.  And sees
something.  His reaction is hard to read.  After a pause..."|stage direction||
66|WILLIAM|Can I help you?|speech|WILLIAM|M
67||"It is Anna Scott, the biggest movie star in the world -- here --
in his shop.  The most divine, subtle, beautiful woman on earth.
When she speaks she is very self-assured and self-contained."|stage direction||
68|ANNA|No, thanks.  I'll just look around.|speech|ANNA|F
69|WILLIAM|Fine.|speech|WILLIAM|M
70||"She wanders over to a shelf as he watches her -- and picks out a
quite smart coffee table book."|stage direction||
