|text|type
0|TROPIC THUNDER|location
1|"Written by
Ethan Cohen, Ben Stiller & Justin Theroux"|unknown
2|INT. BOARDING SCHOOL|location
3|sitting at a dining hall table until we get to .JEFF|stage direction
4|EXT. A BEAUTIFUL 400 YEAR.OLD IRISH VICARAGE|location
5|INT. CHURCH|location
6|EXT. VIETNAM -- DAY|location
7|EXT.,, HOT LZ -- DAY|location
8|the mayhem. He pushes it up into Motown's neck.|stage direction
9|A 1, I qft|stage direction
10|Tropic Thunder 13.|stage direction
11|"INT. BANK - SCENE FROM ""CHITLIN AND THE DUDE"""|location
12|"EXT. PONY FARM - SCENE FROM ""SIMPLE JACK"" - DAY"|location
13|EXT. TROPIC THUNDER SET -- DAY|location
14|EXT. TROPIC THUNDER SET -- DAY|location
15|"""I' 0, nM y"|stage direction
16|INT. DOCTOR'S OFFICE|location
17|INT. HOSPITAL ROOM - A FEW WEEKS LATER|location
18|INT.''TROPIC THUNDER PRE-SHOOT PRESS CONFERENCE|location
19|INT. TROPIC THUNDER PRE-SHOOT PRESS CONFERENCE|location
20|INT. COURTROOM - VIDEO|location
21|INT. TROPIC THUNDER PRE-SHOOT PRESS CONFERENCE|location
22|EXT. HOTEL POOL -- DAY|location
23|"EXT. RUN DOWN ""RESORT"" HOTEL -- DAY"|location
24|INT. PRODUCTION OFFICE -- DAY|location
25|EXT. RUNDOWN BALCONY -- DAY|location
26|EXT. SPEEDMAN'S PALATIAL BEACHFRONT ESTATE|location
27|INT. AGENCY OFFICE -- L.A. - DAY|location
28|EXT. RUNDOWN BALCONY -- DAY|location
29|EXT. SPEEDMAN'S PALATIAL BEACHFRONT ESTATE -- NIGHT|location
30|"I
I"|stage direction
31|you understand?. Away from|stage direction
32|make sense. He then notices the chmera crew pushing in k I , 1 '144%|stage direction
33|EXT. BEACH - LATER|location
34|EXT. JUNGLE - NIGHT|location
35|EXT. JUNGLE - DAWN|location
36|,. Tropic Thunder 39.|stage direction
37|EXT. JUNGLE. -- A HALF MILE AWAY|location
38|EXT. JUNGLE -- A.HILLTOP CLEARING|location
39|EXT. JUNGLE - THE ACTORS|location
40|Tropic Thunder 45.|stage direction
41|EXT. JUNGLE - HILLTOP CLEARING|location
42|EXT. JUNGLE HILLTOP CLEARING|location
43|EXT. JUNGLE -- THE ACTORS|location
44|EXT. FLAMING DRAGON COMPOUND - ESTABLISHING|location
45|INT. FLAMING DRAGON COMPOUND - COMMAND CENTER|location
46|EXT. BAMBOO FOREST -- DAY|location
47|EXT. JUNGLE - ELSEWHERE - LATER|location
48|EXT. MOUNTAINOUS JUNGLE -- SUPER WIDE -- DUSK|location
49|EXT. JUNGLE -,DUSK|location
50|EXT. JUNGLE - NIGHT AM l u I, I nhy|location
51|,Tropic Thunder 61.|stage direction
52|INT. AGENCY OFFICE -- L.A. --DAY|location
53|EXT. FLAMING DRAGON COMPOUND -- DAWN|location
54|INT. CODY AND FOUR LEAF'S DETENTION HUT|location
55|INT. INTERROGATION ROOM -- LATER|location
56|EXT. BAMBOO CAGE --.DAY|location
57|EXT. RICE PADDY -- DAY|location
58|EXT. HILLTOP|location
59|EXT. BAMBOO CAGE -- DAY|location
60|EXT. FLAMING DRAGON HQ - COURTYARD|location
61|Tropic Thunder 71.|stage direction
62|INT. TRAN'S QUARTERS -- DAY|location
63|EXT. FLAMING DRAGON COURTYARD -- NIGHT|location
64|EXT. HOLE -- DUSK|location
65|INT. HOLE -- DUSK|location
66|INT. AGENCY OFFICE.- LOS ANGELES --DAY|location
67|INT. FLAMING DRAGON COMPOUND - COMMAND CENTER|location
68|INT. FLAMING DRAGON COMPOUND -'COMMAND CENTER|location
69|EXT. HILLTOP -- NIGHT|location
70|EXT. HILLTOP -- NIGHT|location
71|EXT. HILLTOP -- NIGHT -- LATER|location
72|EXT. FLAMING DRAGON. COMPOUND -- NIGHT|location
73|INT. CODY AND FOUR LEAF'S DETENTION HUT -- CONTINUOUS|location
74|EXT. CAMPSITE -- NIGHT|location
75|'tropic Thunder 83.|stage direction
76|"But it's not too serious.
PORTNOY (O.S.)"|stage direction
77|PORTNOY (O.S.)|stage direction
78|PORTNOY (O.S.)|stage direction
79|INT. CODY AND FOUR LEAF'S DETENTION HUT -- NIGHT|location
80|EXT. JUNGLE -- PRE-DAWN|location
81|INT. AGENCY OFFICE -- LOS ANGELES -- DAY.|location
82|HOT YOUNG ASSISTANT|stage direction
83|INT. FLAMING DRAGON COMPOUND -+., COMMAND CENTER|location
84|INT. RICK PECK'S OFFICE|location
85|INT. FLAMING DRAGON COMMAND CENTER|location
86|INT. RICK PECK'S OFFICE|location
87|EXT. FLAMING DRAGON COMPOUND -- PRE DAWN|location
88|SERIES OF SHOTS as the guerillas ready for an attack...|stage direction
89|EXT. CAMPSITE -- PRE-DAWN|location
90|EXT. FENCE LINE -- PRE-DAWN|location
91|They reach the fence. The coast looks clear and they each|stage direction
92|"Finally, it's PORTNOY'S turn. He's clearly too heavy.
The fence groans under'his weight. He launches himself --"|stage direction
93|INT. MAIN BUILDING|location
94|Tropic Thunder 93.|stage direction
95|That ain't true Portnoy! Lotta people be|stage direction
96|INT. CODY AND FOUR LEAF'S DETENTION HUT -- CONTINUOUS|location
97|INT. CODYAND FOUR LEAF'S DETENTION HUT -- CONTINUOUS|location
98|INT. SPEEDMAN'S CELL -- CONTINUOUS|location
99|REDYKULOUS (cont'd)|stage direction
100|EXT. FLAMING DRAGON COURTYARD -- CONTINUOUS|location
101|They huddle close to the wall, unseen, surveying the|stage direction
102|INT. ACADEMY AWARDS THEATER,|location
103|INT. ACADEMY AWARDS THEATER|location
104|i-Tropic Thunder 105.|stage direction
105|EXT. FLAMING DRAGON COURTYARD -- DAY|location
106|106.|stage direction
