|character|text|type|character_clean|gender
0||DONNIE BRASCO|unknown||
1||by|location||
2||"Paul Attanasio
Based on the book, ""Donnie Brasco,""
by Joseph D. Pistone with Richard
Woodley
REVISED DRAFT
July 27, 1992
1   EXT. DAY.    WASHINGTON, D.C.
An AERIAL VIEW of the nation's capital, MOVING IN on the stolid
limestone box of FBI HEADQUARTERS. Supered below:
FBI HEADQUARTERS.   WASHINGTON,
D.C. 1981.
CUT TO:
2   INT. DAY.    FBI HEADQUARTERS
A spacious corner OFFICE. American flag, FBI seal, and a plush
c arpet-- Fed eral blue .
CLENDON HOGUE, 40s, barrel chest, shrewd eyes over half-moon glasses,
PRESIDES behind a vast desk. The impressive mien of earned
authority. Before him:
JULES BONOVOLONTA, late 40s, Green Beret veteran, SUPERVISOR, 140
pounds of pugnacity and gristle. Ex-street agent cramped by
headquarters.
PAT MARSHALL, late 30s, a CASE AGENT, compulsively organized, with
haunted choirboy's eyes.
CLARENCE LEBOW, early 40s. Assistant SECTION CHIEF. Brooks
Brothers, heavy starch.
LEBOW
It's going down tonight.
JULES
Says who? A fucking wire.
LEBOW
A reliable wire.
JULES
A fiction writer.
Hogue peruses SURVEILLANCE PHOTOS of Sonny Red and Sonny Black. Then
reads the INFORMANT'S REPORT.
MARSHALL
is that the 209, sir?
LEBOW
There's going to be a war between
Sonny Red and Sonny Black--it's
all over the streets.
JULES
Clarence, you couldn't find the
streets with an asphalt detector.
(CONTINUED)
2.
2   CONTINUED:"|unknown||
3||"Sonny Black goes, everyone with
him goes."|unknown||
4||That's doesn't mean it's tonight.|unknown||
5||"Even if it's not tonight--and I ' m
not saying it's not tonight--it
could still be tonight because it
could be any night.
JULES
Fuck you, Clarence.
LEBOW
Heyl I'm a Mormon 1
HOGUE
You have some objection to these
guys killing each other?       .
MARSHALL
It's just that--one of them's one
of us.
HOGUE
An informant?
JULES
An agent. Undercover.
HOGUE
Then why are you depending on an
informant? What does the agent
say?
(off awkward looks)
When's the last time you spoke to
him?
JULES
Three weeks.
MARSHALL
Three weeks and two days.
HOGUE
He checks in every three weeks?
MARSHALL
He checks in when he checks in,
sir.
JULES
We had to make up the rules as we
went along--
(CONTINUED)
3.
2   CONTINUED:    (2)
HOGUE
My predecessor started this?"|unknown||
6||His predecessor.|unknown||
7||"It's been five years.
MARSHALL
Five years and three months.
JULES
I am   not gonna blow a chance to
cripp  le the entire fucking Mafia
just   because some fucking empty
suit   in Blue Carpet Land--
LEBOW
I am so sick of your superior New
Y or k a tt it ud e--
JULES
--thinks there's gonna be a
Shootout tonight after the
fucking tarantella.
LEBOW
You're going to risk a man's life
just to make cases."|unknown||
8||"(right back)
Making those cases is his life."|unknown||
9||And how many cases do we have?|unknown||
