|character|text|type|character_clean|gender
0||"BABEL
Written by
Guillermo Arriaga
(April 9, 2005)
1   EXT. YUSSEF AND AHMED'S HOUSE -- MORNING
Day breaks. Hassan (50) arrives at a solitary house made of
adobe, in the southern deserts of Morocco, carrying a satchel
and a large bundle wrapped in cloth.
He walks past a corral made out of branches, where several
goats bleat, and knocks on the front door.
2   EXT. YUSSEF AND AHMED'S HOUSE -- CONTINUOUS
Abdullah (40), opens.
HASSAN
(In Arabic)
Good morning Abdullah... I brought
you this...
He holds up the bundle.
3   INT. YUSSEF AND AHMED'S HOUSE -- MOMENTS LATER
Abdullah's family is inside the house. There is a room, a
small table and a simple kitchen. Yasira (38) is roasting
some goat meat assisted by Yamil (16) and Zora (17), her
daughters.
Abdullah and his sons, Yussef (13) and Ahmed (14), are sitting
on the floor around the small table, looking at a well-
conserved .270 caliber Winchester 60 rifle.
HASSAN
(To Abdullah)
It's almost new.
He takes out several boxes of cartridges from his satchel.
HASSAN (CONT'D)
Three hundred cartridges...
He opens a box and shows them one of the golden bullets.
HASSAN (CONT'D)
The hunter who gave it to me said
you can hit up to three kilometers
away.
ABDULLAH
How much do you want for everything?
HASSAN
One thousand dirhams.
2.
ABDULLAH
One thousand dirhams? I'll give you
one thousand and a goat.
Abdullah and Hassan exchange a look and Hassan smiles.
4   EXT. YUSSEF AND AHMED'S HOUSE -- DAY
Hassan and Abdullah's family are behind the house. Hassan
stands with the rifle in front of a rock some twenty yards
away and he turns toward Abdullah.
HASSAN
With this rifle, your sons will be
able to kill plenty of jackals.
He aims at the rock and pulls the trigger without holding
the rifle properly. It is clear that he doesn't know how to
fire a weapon, and the shot cracks loudly. The rifle kicks
and hits him roughly in the shoulder. The bullet flies far
wide of the rock. The women laugh nervously.
Rubbing his shoulder, Hassan turns to Abdullah.
HASSAN (CONT'D)
Let one of your sons shoot.
Abdullah looks at his boys and points at the younger one.
ABDULLAH
Let Yussef shoot.
When Hassan is about to hand Yussef the rifle, Ahmed cuts
him off, upset.
AHMED
I want to shoot first.
Father and son exchange an angry glance. Hassan, without
realizing it, turns and gives the rifle to Ahmed. The boy
grabs the gun: it is heavier than he thought.
HASSAN
Look, load it like this.
Hassan opens the chamber, inserts the bullet and then closes
it. Once it is loaded, he points at the safety.
HASSAN (CONT'D)
This is the safety. Push it in when
you're ready.
Ahmed nods. Unsure of himself, he raises the rifle and,
almost without aiming, fires. The shot kicks up dust far
from the rock. His sisters laugh.
3.
HASSAN (CONT'D)
If he doesn't hit the jackals, at
least he'll scare the shit out of
them.
Ahmed lowers the rifle. His father grabs it and gives it to
Yussef enthusiastically."|unknown||
1||"Your turn.
Yussef grabs the rifle and loads it confidently. He lifts
the rifle with ease and takes his time aiming. He seems
innately skilled at the maneuver. He shoots and the bullet
hits just below the rock.
Abdullah celebrates the shot and mockingly turns to Hassan.
ABDULLAH (CONT'D)
Now this kid shoots a hell of a lot
better than you.
5   EXT. GOAT CORRAL -- LATER
Yussef takes one of the goats out, ties and ropes it and
gives it to Hassan. Abdullah supervises. Yasira approaches
and gives Abdullah a bag."|unknown||
2||"Your lunch.
Abdullah takes it and turns to his sons.
ABDULLAH
You better kill at least three
jackals.
HASSAN
And make sure no one sees you with
the rifle, hide it if you see someone
approach you.
Ahmed nods.   Abdullah and Hassan go on their way.
6   EXT. YUSSEF AND AHMED'S HOUSE -- LATER
Yasira and Yamil are far from the house, cleaning some
goatskins stretched out on some branches.
Ahmed, with the rifle in his hands, opens the corral gate
and enters to herd them out. He calls his brother.
AHMED
Yussef, Yussef...
4.
7    EXT. SIDE WALL, YUSSEF AND AHMED'S HOUSE -- CONTINUOUS"|unknown||
3||"Yussef is squatting on the other side of the house, spying
through a crack, breathing excitedly."|location||
4||8    INT. YUSSEF AND AHMED'S HOUSE -- CONTINUOUS|unknown||
5||"Zora is inside, undressing. She has a long body and her
cinnamon skin is soft and clean. Every now and then she
aims a complicit glance at the crack through which Yussef is
spying."|location||
6||"AHMED (O.S.)
Yussef..."|unknown||
7||Zora turns around toward where the voice is coming from.|location||
8||9    EXT. YUSSEF AND AHMED'S HOUSE -- DAY|unknown||
9||Yussef is still spying.    Ahmed approaches.|location||
10||"AHMED
What are you doing?"|unknown||
11||Yussef turns around and signals for him to lower his voice.|location||
12||"AHMED (CONT'D)
I told you not to spy on her again."|unknown||
13||"Yussef pays no attention and keeps spying. Ahmed pulls him
by the shoulder and makes him lose his balance. Yussef falls
on his ass."|location||
14||"AHMED (CONT'D)
I said don't spy on her."|unknown||
15||Yussef gets up and dusts himself off.|location||
16||"YUSSEF
What the hell do you care?
AHMED
Come on, let's go."|unknown||
17||He turns around and leaves.|location||
18||10   EXT. DESERT -- DAY|unknown||
19||"The goats graze. Yussef and Ahmed watch them sitting on the
side of a hill. They look hot and bored. They both throw
stones at a small rusty can. Yussef throws one and misses.
Ahmed throws his and does. He draws a line in the ground."|location||
20||"AHMED
Five to two."|unknown||
21||A jackal is stalking the goats.    Yussef spots it.|location||
22||"5.
YUSSEF
There's a jackal over there."|unknown||
23||"Ahmed raises his head but cannot see it. Yussef points at
it, but Ahmed still cannot locate it. Yussef despairs."|location||
24||"YUSSEF (CONT'D)
Over there."|unknown||
25||"Ahmed finally spots it. He loads the rifle, but when he is
about to aim, the rifle fires. The shot hits amidst the
goats, lifting up a small cloud of dust."|location||
26||"YUSSEF (CONT'D)
What are you doing, you idiot?"|unknown||
27||"The jackal flees, terrified, while the goats scamper in
different directions."|location||
28||11   EXT. DESERT -- LATER|unknown||
29||"Both brothers are sitting under a tree, eating bread and
drinking water from a goatskin canteen."|location||
30||"YUSSEF
Zora doesn't mind."|unknown||
31||Ahmed keeps eating without turning to look at his brother.|location||
32||"AHMED
She doesn't, but I do.
YUSSEF
This is between her and me.
AHMED
You're both pigs. Next time I'm
going to tell my dad.
YUSSEF
Stay out of this."|unknown||
33||"If you want me to stay out of it,
don't do it."|unknown||
34||Yussef gets annoyed, stand up and leaves.|location||
35||12   EXT. DESERT -- DAY|unknown||
36||"The brothers are sitting apart from each other.   Ahmed guards
the goats with the rifle on his lap.
After a while, Yussef goes to sit behind a large rock. He
makes sure his brother isn't watching and he pulls his pants
down to start masturbating."|location||
37||"6.
When he is at his most concentrated, a shot rings out and
startles him. He quickly pulls his pants up and another
shot rings out. Yussef gets up to see what his brother is
doing.
Ahmed is aiming the rifle at a rock some two hundred yards
away. He fires a third time.
Yussef runs up to him.
YUSSEF
What are you doing?
Ahmed doesn't pay attention, and focuses on the rock in the
distance.
AHMED
Hassan said that it could hit things
three kilometers away, but it can't
even reach that rock over there.
YUSSEF
That's because you don't know how to
shoot. Give me the rifle.
Ahmed looks at his brother defiantly, then hands the rifle
over. Yussef aims and fires. The shot echoes through the
vast desert; the frightened goats scamper a few yards away.
AHMED
See, it can't reach it.
YUSSEF
Give me another bullet.
Yussef aims and fires. The bullet hits the rock and kicks
up a lot of whitish dust.
YUSSEF (CONT'D)
See.
AHMED
Yeah, but that's not three kilometers.
Ahmed remains pensive and suddenly starts climbing to the
top of the hill. Once at the top, he looks around for a
moment and then calls his brother.
AHMED (CONT'D)
Yussef, come here.
Yussef climbs the slope. Ahmed signals a road that in the
distance cuts across the great desert plain, and points out
a traffic sign that indicates a curve ahead.
7.
AHMED (CONT'D)
I bet you the bullet can't hit that
far away.
Ahmed loads the rifle and aims at the sign.    He fires and
nothing.
AHMED (CONT'D)
These fucking bullets aren't any
good.
YUSSEF
You're not aiming right.
Yussef points at a yellow car driving along the road.
YUSSEF (CONT'D)
What'll you give me if I hit that
car?
AHMED
I'll shoot.
Ahmed reloads. The empty cartridge falls to the ground. He
fires again - the car keeps going. Yussef asks for the rifle.
AHMED (CONT'D)
You see?    Nothing happens.
YUSSEF
Let me shoot.
He also drops the used cartridge on the ground, reloads and
shoots the traffic sign. He fires and nothing.
AHMED
I told you.    Hassan's a liar.
A bus approaches.    Ahmed points at it.
AHMED (CONT'D)
Shoot at that one...
Yussef loads the rifle parsimoniously, shuts the chamber,
raises the weapon, aims and fires.
The bus drives on.    Ahmed turns to his brother.
AHMED (CONT'D)
See: nothing.
The bus drives on another three hundred yards and suddenly
stops in the middle of the road.
8.
13   INT. T.V. ROOM, L.A. HOUSE -- NIGHT"|unknown||
38||"Amelia (54), a maternal, Mexican woman with a pleasant face,
is playing Monopoly with Debbie (4) and Mike (5). They are
both typically American kids."|location||
39||"AMELIA
(In Spanish)
I won...
MIKE
No, I won."|unknown||
40||The phone rings and Amelia goes to answer it.|location||
41||"AMELIA
(In English)
Yes... yes sir... yes sir, Mrs. Rachel
told me...I'm very sorry. How is
Mrs. Susan?... No sir, don't worry..."|unknown||
42||Amelia turns to Mike.|location||
43||"AMELIA (CONT'D)
Your dad is calling."|unknown||
44||Mike runs to the phone and grabs it.|location||
45||"Hi dad... dad, guess what? Today, at
school, they brought some baby
chickens...I held one in my hand. He
was really little and he was all
warm...
(A beat)
Dad, are you ok?...And Mariana wanted
to take one home, but the teacher
didn't let her...
14   INT. CHILDREN'S ROOM, L.A. HOUSE -- NIGHT"|unknown||
46||"Amelia is putting Debbie and Mike to sleep.   They are both
lying in bed. Amelia sits next to them."|location||
47||"AMELIA
(In Spanish)
Did you brush your teeth?"|unknown||
48||Mike shows her his teeth so she can see he did.|location||
49||"MIKE
Will you tell us a story?
AMELIA
One and then you're going to sleep."|unknown||
50||Both children nod.|location||
51||"9.
AMELIA (CONT'D)
(Her entire story in
Spanish)
Once there was a hawk who wanted to
fly higher than everyone else. He
trained every day and hunted little
birds so he could eat them and be
strong.
MIKE
Pajaritos?     Little birds?
AMELIA
Of course, that's what hawks eat.
So, one day the hawk flew so, so
high that it crashed into an airplane.
It fainted and started to fall. And
when it was about to hit the ground,
all the birds flew toward him and
saved him.
DEBBIE
They saved him?
AMELIA
Yes, and when the hawk was healthy
again he went to talk to the birds
and said: I want to thank you for
saving me, but I can't change and
I'm going to keep hunting you. The
little birds answered: we don't care
that you hunt us, because that's who
you are. But we will always save
you, because that's who we are.
The children are silent.
AMELIA (CONT'D)
(In English)
Did you like it?
DEBBIE
No.
Amelia moves to turn out the light.
DEBBIE (CONT'D)
Leave it on.
Amelia stands still beside the switch.
AMELIA
Quedamos en que se iban a dormir con
la luz apagada.
DEBBIE
But I'm scared.
10.
AMELIA
No pasa nada.
DEBBIE
I'm scared that what happened to Pat
is gonna happen to me."|unknown||
52||Amelia sits down next to her and caresses her.|location||
53||"AMELIA
A ti no te va a pasar eso...
DEBBIE
Pat died while she was sleeping.
AMELIA
That only happens to some babies
when they're really little.
MIKE
Then why did daddy get so angry at
mommy?
AMELIA
He wasn't angry, he was just very
sad.
DEBBIE
He left."|unknown||
54||Amelia doesn't know what else to say. She pats Debbie's head.|location||
55||"AMELIA
Go to sleep. I'll sit here with you,
but you can't talk anymore."|unknown||
56||"They both nod and snuggle under their blankets. Amelia watches
them silently."|location||
57||15   INT. AMELIA'S ROOM, L.A. HOUSE -- DAY|unknown||
58||"Amelia (54) sleeps. The sun is just starting to rise. A
phone rings distantly. Amelia awakes. She sits up, listens
intently and hears the ringing.
She grabs a robe from a chair beside her, puts it on and
gets up to answer the phone."|location||
59||16   INT. KITCHEN, L.A. HOUSE -- CONTINUOUS|unknown||
60||Amelia enters the kitchen and answers a wall phone.|location||
61||"AMELIA
Yes...
11.
RICHARD (O.S.)
Amelia, it's Richard. We're going to
have to be here a few more days here
in Morocco than we expected and Rachel
wasn't able to find anyone to take
care of the kids.
AMELIA
Your sister-in-law promised me to
find someone.
RICHARD (O.S.)
Amelia, this is very serious."|unknown||
62||Amelia looks worried.|location||
63||"AMELIA
It's because... I told Mrs. Jones
three months ago that today is my
son's wedding."|unknown||
64||"Amelia, this is an emergency. Cancel
your son's wedding. I'll pay for
another one.
AMELIA
Sir, everything is ready. Can't anyone
come take care of the kids? It's
just one day.
RICHARD (O.S.)
We need you, Amelia... hold on."|unknown||
65||Richard stops talking. We hear voices in the background.|location||
66||"RICHARD (O.S.) (CONT'D)
Amelia, we're really counting on
you. I have to go. Goodbye."|unknown||
67||He hangs up.   Amelia stares into empty space.|location||
68||17   INT. KITCHEN, L.A. HOUSE -- DAY|unknown||
69||"Debbie (4) and Mike (5) are having breakfast while Amelia
leans on the sink and looks at them, overwhelmed."|location||
70||"AMELIA
(To Debbie, in Spanish)
Do you want another quesadilla?
DEBBIE
Mhh."|unknown||
71||"Amelia turns around to warm up a tortilla. Mike stops eating
his cereal and looks at her."|location||
72||"12.
MIKE
How many little birds did the hawk
eat?"|unknown||
73||Amelia turns around and sees Mike, who is truly worried.|location||
74||"(In English)
None, because he started to like
quesadillas."|unknown||
75||"Amelia strokes his hair. A car horn honks. Amelia looks
out and sees a school bus parked outside the house."|location||
76||"DEBBIE
Is the bus here?
AMELIA
(In Spanish)
Yes, but today you're not going to
school.
DEBBIE
Why?
AMELIA
We have things to do."|unknown||
77||"Amelia turns around and walks out to the street. Through
the door we can see her saying something to the bus driver.
The school bus leaves and Amelia walks back into the house."|location||
78||18   INT. T.V. ROOM, L.A. HOUSE -- DAY|unknown||
79||"Debbie and Mike are watching cartoons while Amelia talks on
the phone."|location||
80||"AMELIA
(Both in Spanish)
I just want you to take of them for
today.
WOMAN (O.S.)
I can't, Mrs. Black is home.
AMELIA
And she won't go out?
WOMAN (O.S.)
No, I don't think so.
AMELIA
Ok, thanks.    I'll call you tomorrow."|unknown||
81||She hangs up and remains pensive.|location||
82||"13.
19   EXT. STREET, LOS ANGELES -- DAY"|unknown||
83||Amelia and the kids walk down a street in Santa Monica.|location||
84||20   EXT. LUCIA'S HOUSE, LOS ANGELES -- DAY|unknown||
85||"Amelia and the kids are standing in front of a house, talking
with Lucia (22), who is dressed in a black and white uniform."|location||
86||"LUCIA
(Both in Spanish)
I can't Amelia.
AMELIA
Please, it's my son's wedding. I
helped you out with that thing with
your boyfriend.
LUCIA
I really can't.
AMELIA
Just for the day, Lucia.   I'll be
back for them tonight.
LUCIA
And what do I tell Mrs. Black?
AMELIA
Tell her they're your nephews."|unknown||
87||Lucia looks down at the blonde-haired, blue-eyed children.|location||
88||"LUCIA
Yeah right, they look just like
me...with this gringa look I have.
21   INT. CHILDREN'S ROOM, L.A. HOUSE -- DAY"|unknown||
89||"Amelia is packing the children's clothes in a small suitcase.
Debbie and Mike, curious, watch her."|location||
90||"MIKE
Are we going to see your house?
AMELIA
Yes, you're going to see my house."|unknown||
91||"Is it far?
AMELIA
(In Spanish)
Not very.
14.
22   EXT. LOS ANGELES HOUSE -- DAY"|unknown||
92||"A run-down '88 Ford Pinto parks in front of the house and
honks its horn. The front door opens and Amelia walks out,
carrying the small suitcase, with the two kids.
Santiago (24), a young Mexican with light eyes."|location||
93||"SANTIAGO
(Both in Spanish)
Good morning Aunt Amelia.
AMELIA
Good morning."|unknown||
94||Santiago, surprised, looks at the children.|location||
95||"SANTIAGO
Are they coming?
AMELIA
I couldn't find anyone to leave them
with. Their parents aren't coming
back today.
SANTIAGO
Why bring them, they're just going
to make trouble.
AMELIA
They're good kids.
SANTIAGO
I know a woman who can take care of
them.
AMELIA
Santiago, I have to take them. I
can't leave them with just anybody.
SANTIAGO
What if you lose your job?
AMELIA
Come on, don't tempt the fates."|unknown||
96||Amelia opens the door for the children to get in.|location||
97||23   EXT. CASBAH TAMNOUGALT, MOROCCO-- DAY|unknown||
98||"Richard (45), tall, thin, weathered, and Susan (38), good-
looking, with an athletic body, visit the impressive Casbah
with a group of American, French and English tourists. Most
of them are old, with a few couples in their forties or
fifties."|location||
99||15.|unknown||
100||"Anwar (30), a man with a kind face, is the tour guide showing
them around."|location||
101||"ANWAR
(In English, with an
Arabic accent)
The Berbers built these kasbahs.
They made them like forts and here
they would reside after finishing
their caravans."|unknown||
102||Richard listens attentively.   Susan looks hot.|location||
103||"RICHARD
This place is beautiful, don't you
think?
SUSAN
(not very
enthusiastically)
Yeah, yeah it's very pretty..."|unknown||
104||Anwar walks toward one end of the aisles and calls the group.|location||
105||"Now, I'd like to show you the
materials that were used to build
the walls..."|unknown||
106||The herd moves docile toward Anwar's voice.|location||
107||24   EXT. SMALL EATERY, MOROCCAN DESERT -- LATER|unknown||
108||"The group of tourists spread about a small eatery with open
air tables on a dusty terrace. A bus is parked behind them.
At a table, on one end of the terrace with views to a cluster
of mountains, Richard and Susan look through some menus.
Richard seems at ease in this place. Susan appears to be
bothered by the dust and otherness.
A waiter brings a plate and some cutlery."|location||
109||"WAITER
(in broken English)
You want to order?
RICHARD
I'll have a chicken cous-cous and a
Coke, please.
SUSAN
What do you have that doesn't have
fat in it?
WAITER
Everything is delicious.
16.
Susan reads the menu again.
SUSAN
I'll have the fried eggplant and a
diet Coke.
WAITER
We don't have diet Coke.
SUSAN
Then a regular Coke.
The waiter smiles and goes to place the order. Susan takes
out a small bottle with antibacterial gel, cleans her hands
and then starts wiping the plate and the cutlery thoroughly.
Richard looks at the mountain range through a pair of
binoculars. He spots a hawk flying over the plains.
RICHARD
Look, look: a hawk.
Richard follows the hawk with his binoculars for a few seconds
and then puts them down.
RICHARD (CONT'D)
This country is incredible.
Susan remains silent and then turns to look at him.
SUSAN
Richard, why did we come here?
RICHARD
What d'you mean why? I thought you
would like it.
SUSAN
Really: why are we here?
Richard knows that Susan's answer implies something else.
RICHARD
To forget everything, to be alone.
Susan, sardonically gestures toward the other tourists with
her chin.
SUSAN
Alone?
Richard sighs in disappointment. The waiter arrives with
the Cokes and the food, which does not look particularly
appetizing. He leaves everything on the table and goes.
Richard is about to pour his drink when Susan stops him.
17.
SUSAN (CONT'D)
Throw out the ice.
RICHARD
The Coke is warm.
SUSAN
Yeah, but you don't know what kind
of water is in there."|unknown||
110||"She grabs Richard's glass and tosses out the ice. Then she
does the same thing with hers. They are quiet for a moment."|location||
