|text|type
0|"TRUE GRIT
Adaptation by
Joel and Ethan Coen
Based on the Novel by Charles Portis
June 12, 2009"|unknown
1|Voice-Over|unknown
2|"People do not give it credence that a young girl could leave
home and go off in the wintertime to avenge her father's
blood, but it did happen."|stage direction
3|"I was just fourteen years of age when a coward by the name
of Tom Chaney shot my father down in Fort Smith,
Arkansas, and robbed him of his life and his horse and two
California gold pieces that he carried in his trouser band."|stage direction
4|"Papa was a Cumberland Presbyterian and a Mason. He'd
hired Chaney--for paid wages, not on shares--when Chaney
was ""down on his luck."" If Papa had a failing it was his
kindly disposition; I did not get my mean streak from him."|stage direction
5|"He had taken Chaney up to Fort Smith to help lead back a
string of mustang ponies he'd just bought from a stock trader
named Stonehill. In town, Chaney had fallen to drink and
cards, and lost all his money. He got it into his head he'd
been cheated and went back to the boarding house for his
Henry rifle. Papa remonstrated, and Chaney shot him in the
breast."|stage direction
6|2|unknown
7|"Chaney fled. He could have taken the time to saddle the
horse--or hitched up three spans of mules to a Concord
stagecoach and smoked a pipe, as it seems that no one in that
city was inclined to give chase. Chaney had mistaken its
citizens for men."|location
8|Voice-Over|unknown
9|"You might say, what business was it of my father's to
meddle? My answer is this: he was trying to do that short
devil a good turn. He was his brother's keeper. Does that
answer your question?"|location
10|"Voice
(Irish-accented)"|unknown
11|Is that the man?|location
12|Yarnell|unknown
13|Lord lord.|location
14|Mattie|unknown
15|That is my father.|location
16|"3
Undertaker"|unknown
17|Yarnell|unknown
18|Mattie|unknown
19|Undertaker|unknown
20|Mattie|unknown
21|Undertaker|unknown
22|Mattie|unknown
23|Yarnell|unknown
24|Mattie|unknown
25|Yarnell|unknown
26|Mattie|unknown
27|"4
Yarnell"|unknown
28|Well I'm not sure I--|location
29|Mattie|unknown
30|"Tell mama not to sign anything until I return home and see
that Papa is buried in his mason's apron."|location
31|. . .Your terms are agreeable if I may pass the night here.|location
32|Undertaker|unknown
33|Here? Among these people?|location
34|Mattie|unknown
35|These people?|location
36|Undertaker|unknown
37|"I am expecting three more souls. Sullivan, Smith, and His
Tongue In The Rain."|location
38|Mattie|unknown
39|How is it that you know in advance?|location
40|Man|unknown
41|"Ladies and gentlemen beware and train up your children in
the way that they should go! You see what has become of
me because of drink. I killed a man in a trifling quarrel over
a pocketknife."|location
42|"5
Man"|unknown
43|"If I had received good instruction as a child I would be with
my wife and children today, away out on the Cimarron
River. I don't know what is to become of them. I hope and
pray that you will not slight them and compel them to go into
low company."|location
44|Mattie|unknown
45|Can you point out the sheriff?|location
46|Woman|unknown
47|Him with the mustaches.|location
48|Man|unknown
49|"Well, I killed the wrong man is the which-of-why I'm here.
Had I killed the man I meant to I don't believe I would a
been convicted. I see men out there in that crowd is worse
than me."|location
50|. . . Okay.|location
51|Indian|unknown
52|I would like to say--|location
53|"6
Crowd"|unknown
54|Oh!|stage direction
55|Man|unknown
56|"Oh, Sullivan must'er lost weight in prison! His neck ain't
broke!"|stage direction
57|Voice|unknown
58|Hot tamales?|stage direction
59|. . . Ten cents?|stage direction
60|Sheriff|unknown
61|"No, we ain't arrested him. Ain't caught up to him, he lit out
for the Territory. I would think he has throwed in with
Lucky Ned Pepper, whose gang robbed a mail hack
yesterday on the Poteau River."|stage direction
62|Mattie|unknown
63|Why are you not looking for him?|stage direction
64|Sheriff|unknown
65|"I have no authority in the Indian Nation. Tom Chaney is the
business of the U.S. marshals now."|stage direction
66|Mattie|unknown
67|When will they arrest him?|stage direction
68|Sheriff|unknown
69|"Not soon I am afraid. The marshals are not well staffed and,
I will tell you frankly, Chaney is at the end of a long list of"|stage direction
70|7|unknown
71|fugitives and malefactors.|stage direction
72|Mattie|unknown
73|Could I hire a marshal to pursue Tom Chaney?|stage direction
74|Sheriff|unknown
75|You have a lot of experience with bounty hunters?|stage direction
76|Mattie|unknown
77|"My answer is this: That is a silly question. I am here to
settle my father's affairs."|stage direction
78|Sheriff|unknown
79|All alone?|stage direction
80|Mattie|unknown
81|"I am the person for it. Mama was never any good at sums
and she can hardly spell cat. I intend to see papa's killer
hanged."|stage direction
82|Sheriff|unknown
83|"I see. Well. Nothing prevents you from offering a reward,
or from so informing a marshal. It would have to be real
money, though, to be persuasive. Chaney is across the river
in the Choctaw Nation--lawless country. It will not be a
daisy-picking expedition. Upwards of three-score US
marshals have been slaughtered in the Territory."|stage direction
84|Mattie|unknown
85|I will see to the money. Who's the best marshal?|stage direction
86|Sheriff|unknown
87|"I would have to weigh that proposition. I reckon William
Waters is the best tracker. He is half Comanche and it is
something to see him cut for sign. The meanest one is
Rooster Cogburn. He is a pitiless man, double tough and
fear don't enter into his thinking. He loves to pull a cork.
The best is probably L.T. Quinn, he brings his prisoners in
alive. He may let one get by now and again but he believes
even the worst of men is entitled to a fair shake. Quinn is a
good peace officer and a lay preacher to boot. He will not
plant evidence or abuse a prisoner. He is as straight as
string. Yes, I will say Quinn is about the best they have."|stage direction
88|"8
Mattie"|unknown
89|Where can I find this Rooster?|stage direction
90|Voice|unknown
91|The jakes is occupied.|stage direction
92|Mattie|unknown
93|"I know it is occupied Mr. Cogburn. As I said, I have
business with you."|stage direction
94|Voice|unknown
95|I have prior business.|stage direction
96|Mattie|unknown
97|You have been at it for quite some time, Mr. Cogburn.|stage direction
98|"Voice
(roaring drunk)"|unknown
99|"There is no clock on my business! To hell with you! To hell
with you! How did you stalk me here?!"|stage direction
100|Mattie|unknown
101|"The sheriff told me to look in the saloon. In the saloon they
referred me here. We must talk."|stage direction
102|"Voice
(outraged)"|unknown
103|Women ain't allowed in the saloon!|stage direction
104|Mattie|unknown
105|I was not there as a customer. I am fourteen years old.|stage direction
106|9|unknown
107|"Voice
(sullen)"|unknown
108|The jakes is occupied. And will be for some time.|stage direction
109|"Ross
Yell County
Hold at station"|unknown
110|Undertaker|unknown
111|You can sleep in a coffin if you loik.|stage direction
112|Mattie|unknown
113|Not. . . yet.|stage direction
114|10|unknown
115|Col. G. Stonehill. Licensed Auctioneer. Cotton Factor.|unknown
116|Mattie|unknown
117|How much are you paying for cotton?|stage direction
118|Stonehill|unknown
119|Nine and a half for low middling and ten for ordinary.|stage direction
120|Mattie|unknown
121|"We got most of ours out early and sold it to Woodson
Brothers in Little Rock for eleven cents."|stage direction
122|Stonehill|unknown
123|"Then I suggest you take the balance of it to the Woodson
Brothers."|stage direction
124|Mattie|unknown
125|We took the balance to Woodson. We got ten and a half.|stage direction
126|Stonehill|unknown
127|Why did you come here to tell me this?|stage direction
128|Mattie|unknown
129|"I thought we might shop around up here next year but I guess
we are doing all right in Little Rock. I am Mattie Ross,
daughter of Frank Ross."|stage direction
130|Stonehill|unknown
131|"A tragic thing. May I say your father impressed me with his
manly qualities. He was a close trader but he acted the
gentleman."|stage direction
132|"11
Mattie"|unknown
133|"I propose to sell those ponies back to you that my father
bought."|location
134|Stonehill|unknown
135|"That, I fear, is out of the question. I will see that they are
shipped to you at my earliest convenience."|location
136|Mattie|unknown
137|We don't want the ponies now. We don't need them.|location
138|Stonehill|unknown
139|"Well that hardly concerns me. Your father bought those five
ponies and paid for them and there is an end of it. I have the
bill of sale."|location
140|Mattie|unknown
141|"And I want three hundred dollars for Papa's saddle horse that
was stolen from your stable."|location
142|Stonehill|unknown
143|"You will have to take that up with the man who stole the
horse."|location
144|Mattie|unknown
145|"Tom Chaney stole the horse while it was in your care. You
are responsible."|location
146|Stonehill|unknown
147|"I admire your sand but I believe you will find that I am not
liable for such claims."|location
148|Mattie|unknown
149|"You were custodian. If you were a bank and were robbed
you could not simply tell the depositors to go hang."|location
150|Stonehill|unknown
151|"I do not entertain hypotheticals, the world as it is is vexing
enough. Secondly, your valuation of the horse is high by
about two hundred dollars. How old are you?"|location
152|"12
Mattie"|unknown
153|"If anything my price is low. Judy is a fine racing mare. She
has won purses of twenty-five dollars; I have seen her jump
an eight-rail fence with a heavy rider. I am fourteen."|stage direction
154|Stonehill|unknown
155|"Hmm. Well, that's all very interesting. The ponies are
yours, take them. Your father's horse was stolen by a
murderous criminal. I had provided reasonable protection
for the creature as per our implicit agreement. My watchman
had his teeth knocked out and can take only soup. We must
each bear his own misfortunes."|stage direction
156|Mattie|unknown
157|I will take it to law.|stage direction
158|Stonehill|unknown
159|You have no case.|stage direction
160|Mattie|unknown
161|"Lawyer J. Noble Daggett of Dardanelle, Arkansas may think
otherwise--as might a jury, petitioned by a widow and three
small children."|stage direction
162|Stonehill|unknown
163|Where is your mother?|stage direction
164|Mattie|unknown
165|"She is at home in Yell County looking after my sister
Victoria and my brother Little Frank."|stage direction
166|Stonehill|unknown
167|"I cannot make an agreement with a minor child. You are not
accountable."|stage direction
168|Mattie|unknown
169|"Lawyer Dagget will back up any decision I make, you may
rest easy on that score. You can confirm any agreement by
telegraph."|stage direction
170|Stonehill|unknown
171|"I will pay two hundred dollars to your father's estate when I
have in my hand a letter from your lawyer absolving me of"|stage direction
172|13|unknown
173|Mattie|unknown
174|Stonehill|unknown
175|Mattie|unknown
176|Stonehill|unknown
177|Mattie|unknown
178|Stonehill|unknown
179|Mattie|unknown
180|Stonehill|unknown
181|Mattie|unknown
182|"14
Stonehill"|unknown
183|"A what? All right, now listen very carefully as I will not
bargain further. I will take the ponies back and keep the gray
horse which is mine and settle for three hundred dollars.
Now you must take that or leave it and I do not much care
which it is."|location
184|Mattie|unknown
185|"Lawyer Daggett would not wish me to consider anything
under three hundred twenty-five dollars. But I will settle for
three hundred and twenty if I am given the twenty in
advance. And here is what I have to say about the saddle--"|location
186|Mrs. Floyd|unknown
187|Frank Ross's daughter. My poor child. My poor child.|location
188|Mattie|unknown
189|You have my father's traps?|location
190|Mrs. Floyd|unknown
191|"Oh yes we do. My poor child. Are you gawna be stayin
with us or are you hurrying home to your mother?"|location
192|Mattie|unknown
193|"I am staying briefly. I have business with Marshal Rooster
Cogburn. I found him in his cups today but I understand
he's to be in court tomorrow, testifying. I mean to engage
him to hunt down Tom Chaney."|location
194|"15
Mrs. Floyd"|unknown
195|"Well god bless him for that. The tariff here is seventy-five
cents for room and supper. That does not include your
daytime eats."|stage direction
196|Mattie|unknown
197|Very well.|stage direction
198|Mrs. Floyd|unknown
199|Your father owed for two days, god bless him.|stage direction
200|Mattie|unknown
201|Oh. Well.|stage direction
202|Mrs. Floyd|unknown
203|"You'll share a room with Grandma Turner. We've had to
double up, what with all the people in town come to see the
hanging Judge Parker's put on for us."|stage direction
204|Mattie|unknown
205|Yes, I witnessed the hanging myself.|stage direction
206|Mrs. Floyd|unknown
207|Was it a good'n?|stage direction
208|Mrs. Floyd|unknown
209|"This was in the poor man's room. This is everything, there
are no light fingers in this house. If you need something for
to tote the gun around I will give you an empty flour sack for
a nickel."|stage direction
210|16|unknown
211|Cogburn|unknown
212|"The woman was out in the yard dead with blowflies on her
face and the old man was inside with his breast blowed open
by a scatter-gun and his feet burned. He was still alive but
just was. He said them two Wharton boys had done it, rode
up drunk--"|stage direction
213|Mr. Goudy|unknown
214|Objection. Hearsay.|stage direction
215|Mr. Barlow|unknown
216|Dying declaration, your honor.|stage direction
217|Judge|unknown
218|Overruled. Procede, Mr. Cogburn.|stage direction
219|Cogburn|unknown
220|"Them two Wharton boys--that'd be Odus and C.C.--
throwed down on him, asked him where his money was,
when he wouldn't talk lit pine knots and held 'em to his feet.
He told 'em in a fruit jar under a gray rock at one corner of
the smokehouse."|stage direction
221|"17
Mr. Barlow"|unknown
222|Cogburn|unknown
223|Mr. Barlow|unknown
224|Cogburn|unknown
225|Mr. Goudy|unknown
226|Judge|unknown
227|Mr. Barlow|unknown
228|Mr. Goudy|unknown
229|Mr. Barlow|unknown
230|Cogburn|unknown
231|Mr. Barlow|unknown
232|Cogburn|unknown
233|Mr. Barlow|unknown
234|"18
Cogburn"|unknown
235|Mr. Barlow|unknown
236|Cogburn|unknown
237|Mr. Barlow|unknown
238|Cogburn|unknown
239|Mr. Barlow|unknown
240|Cogburn|unknown
241|Mr. Barlow|unknown
242|Mr. Goudy|unknown
243|Judge|unknown
244|"19
Mr. Barlow"|unknown
245|Cogburn|unknown
246|Mr. Barlow|unknown
247|Cogburn|unknown
248|Mr. Goudy|unknown
249|Judge|unknown
250|Mr. Barlow|unknown
251|Cogburn|unknown
252|Mr. Barlow|unknown
253|Mr. Goudy|unknown
254|Mr. Barlow|unknown
255|Mr. Goudy|unknown
256|Judge|unknown
257|Mr. Goudy|unknown
258|"20
Cogburn
I never shot nobody I didn't have to.
Mr. Goudy
That was not the question. How many?
Cogburn
. . . Shot or killed?
Mr. Goudy
Let us restrict it to ""killed"" so that we may have a
manageable figure.
Cogburn
Around twelve or fifteen. Stopping men in flight, defending
myself, et cetera.
Mr. Goudy
Around twelve or fifteen. So many that you cannot keep a
precise count. Remember, you are under oath. I have
examined the records and can supply the accurate figure."|unknown
259|"Cogburn
I believe them two Whartons make twenty-three.
Mr. Goudy
Twenty-three dead men in four years.
Cogburn
It is a dangerous business.
Mr. Goudy
How many members of this one family, the Wharton family,
have you killed?
Cogburn
Immediate, or--
Mr. Barlow
Your honor, perhaps counsel should be advised that the
marshal is not the defendant in this action.
21
Mr. Barlow"|unknown
260|Judge|unknown
261|Mr. Barlow|unknown
262|Cogburn|unknown
263|Mr. Goudy|unknown
264|Cogburn|unknown
265|Mr. Goudy|unknown
266|Cogburn|unknown
267|Mr. Goudy|unknown
268|Cogburn|unknown
269|Mr. Goudy|unknown
