|character|text|type
0||"HE'S JUST NOT THAT INTO YOU
Written by
Abby Kohn & Marc Silverstein
July 20, 2007"|unknown
1||EXT. PARK - DAY|location
2||"We float down through a serene, leafy park to the
children's play area. There, in the sandbox, a BEAUTIFUL
FIVE YEAR OLD GIRL plays among a group of kids."|stage direction
3|GIGI (V.O.)|"I have a theory about how this all
started..."|speech
4||"A SIX YEAR OLD BOY approaches. He watches the little
girl for a moment as she gently shapes her sand castle.
And then - out of nowhere - THE LITTLE BOY PUSHES THE
LITTLE GIRL DOWN."|stage direction
5|LITTLE GIRL|Why did you do that?|speech
6|LITTLE BOY|Because you smell like dog poo.|speech
7||"Some of the other kids SNICKER at this brilliant one-
liner. Our little girl's face turns red."|stage direction
8|LITTLE BOY (CONT'D)|"You're so stupid just like dog poo!
You're made of poo!"|speech
9||"And then, just to punctuate, he JUMPS ON THE SANDCASTLE,
smashing it. Finally, our little girl starts to CRY."|stage direction
10||INT. KITCHEN - DAY|location
11||"Our beautiful girl sits at a kitchen table with her MOM.
She can only get out one syllable between big, wet sobs."|stage direction
12||LITTLE GIRL|unknown
13|LITTLE BOY (CONT'D)|Made. (SOB)   Of. (SOB)   Dog. (SOB)   Poo.|speech
14|MOM|"Honey, do you know why that little boy
did those things? And said those things?"|speech
15||The little girl shakes her head no.|stage direction
16|MOM (CONT'D)|Because he LIKES YOU.|speech
17||"FREEZE FRAME ON OUR LITTLE GIRL'S FACE - TRYING TO
PROCESS THIS."|stage direction
18||1|unknown
19||7/20/7                                                 2.|stage direction
20|GIGI (V.O.)|"Uh - excuse me -- but what - the - HELL?
Where did that rumor start? Because moms
have been spreading it for years."|speech
21||BACK TO THE SCENE - THE MOM CONTINUES...|stage direction
22|MOM|"That little boy is doing those terrible
things because he HAS A CRUSH ON YOU."|speech
23||"We see our little girl take this in, like she is just now
beginning to understand the ways of the world."|stage direction
24|GIGI (V.O.)|"Do you understand what this means? We
are all encouraged to believe that if a
guy acts like a total jerk -- that means
he likes you. Sure, that's a lesson that
might serve us as five year olds, but
many of us keep believing this advice
well into adulthood."|speech
25||INT. DORM ROOM - NIGHT|location
26||"A CUTE COLLEGE GIRL sits CRYING in front of her ANSWERING
MACHINE, as her ROOMMATE looks on."|stage direction
27|GIGI (V.O.)|"Then, as we get older, we carry on this
tradition of misreading the signals men
send by encouraging our friends to do the
same..."|speech
28||The machine evilly flashes 0 in the NEW MESSAGES window.|stage direction
29|ROOMMATE #1|"That Phi Delt so obviously liked you.
I'm sure he just lost your number."|speech
30||INT. HIGH RISE OFFICE - DAY|location
