|character|text|type
0||"SOMETHING'S GOTTA GIVE
Nancy Meyers
June 14, 2002
1."|unknown
1||"OVER BLACK
We hear, Ja Rule's ""Livin' It Up""..."|stage direction
2||EXT. NEW YORK CITY - A HOT AUGUST NIGHT - MUSIC OVER|location
3||"MIDTOWN. A Brunette Beauty crosses in front of a stack of
cabs, her sheer dress clinging to her remarkable body.
A Club in THE MEATPACKING DISTRICT. A long line waits to get
in. A couple of Gorgeous Girls show up at the velvet rope and
are promptly"" let inside.
SOHO. A Crowd spills out of a Bar and onto the sidewalk. A
Confident Knock Out in jeans and a tank top laughs, drinking
a beer out of the bottle."|stage direction
4||"HARRY (V.O.)
Ahhhh... The sweet, uncomplicated
satisfaction of The Younger Woman. That
fleeting age when everything just falls
right into place. It's magic time and it
can render any man, anywhere --
absolutely helpless. Some say I'm an
expert on The Younger Woman. Guess that's
'cause I've been dating them for over
forty years..."|unknown
5||"INTO AN EMPTY FRAME COMES HARRY LANGER
What is it about him? Could be his eyes, the turn of his
mouth...something about this guy is just so damn appealing.
Maybe it's just the way he wears the Young Slinky Girl on his
arm. He's confident, cool, enviable. We're in:
A CHIC EATERY - DOWNTOWN
The place is full. Everybody is somebody here."|stage direction
6||"HARRY
(to Hostess)
Langer. .."|unknown
7||The Maitre'd snaps to attention at the sight of him.|stage direction
8||"MAITRE'D
Mr. Langer, got your table waiting."|unknown
9||"As Harry and his Girl wend their way around tables, we pass Other
Couples. Young Couples. Middle-aged couples. Not talking Couples."|stage direction
10||"HARRY (V.O.)
So what does a life of bucking the system
all add up to?
2."|unknown
11|HARRY (V.O.) (CONT'D)|"To never settle down with the right woman
for a life of leftovers and Christmas
mornings. No his and her IRA accounts, no
mini van parked in the garage. I think
it's made me what I am today."|speech
12||(Harry smiles to someone|location
13||across the room)|unknown
14|HARRY (V.O.) (CONT'D)|"The luckiest son of a bitch on earth.
Look at me. I'm positively debonair. I
should be illegal I'm lookin' so good."|speech
15||"Harry passes a table where a BEATEN SIXTY YEAR OLD dines with
his AGE APPROPRIATE, WELL-FED WIFE. IN SLOW MOTION, Harry and
The Beaten Man catch each other's glance."|stage direction
16|HARRY (V.O.)|"It isn't as if I haven't wondered what my
life would be like if I was a Regular Joe
and came in here once a month with a dame
my age' for a porterhouse and a side of"|speech
17||I         spinach. I've wondered...|stage direction
18||NT. CHIC EATERY - HARRY'S IMAGINATION|unknown
19||"Harry ENTERS all over again. This time he looks older,
something in his walk and the boxy cut of his jacket. With
him is a regular looking, nothing-to-write-home-about WOMAN
IN HER FIFTIES."|stage direction
20|HARRY (V.O.)|"No, come on, let's be honest. ..a dame
really my age. . ."|speech
21||INT. CHIC EATERY - HARRY'S IMAGINATION - TAKE TWO|location
22||"Again, the identical set up. Harry ENTERS again. This time he
looks ten years older. The bounce to his step is gone. The
twinkle in his eye, long dead. On his arm is a 63 YEAR OLD
BATTLE AX, built just like Harry. The Maitre'd reluctantly
shows them to a shitty table."|stage direction
23|HARRY (V.O.)|"There you have it. The story in a
nutshell. Not exactly debonair, am I?"|speech
24||(Harry TRIPS, his wife|location
25||looks disgusted)|unknown
26|HARRY (V.O.)|"Awww, man, it's down right sad. Look at
me. I look like I'm about to die. God
help me. I do not want to die."|speech
27||"SMASH CUT TO:
3."|unknown
28||"A LONG STRETCH OF PRISTINE COUNTRY ROAD - THE HAMPTONS - DAY
A Silver Mercedes convertible bursts into FRAME. Harry's
behind the wheel, shades, smoking a cigar, livin' large. Next
to him sits a thoroughbred of a girl. An ""IT"" Girl. Smart,
sexy and built for fun. She has perfected flirting to an art.
Her hand rests on Harry's neck. There's a good thirty year
age difference between them. Her name is MARIN. She SINGS
along with Ja Rule, now coming from a CD."|stage direction
29||( singing)|location
30|MARIN|"To all my thugs that be livin' it
up, we say, what I do. To all my..."|speech
31||(stops)|location
32|MARIN|Oh! This is it. Make a right.|speech
33||(admiring the|location
34||neighborhood)|unknown
35|HARRY|So baby, you're rich... .|speech
36|MARIN|"Well, my mother is, sort of. Not
really..."|speech
37|HARRY|"If she lives within a mile of here, she's
rich."|speech
38|MARIN|"I guess a hit play will buy you a house
in The Hamptons."|speech
39|HARRY|I'd like to meet your mother.|speech
40|MARIN|"No you wouldn't. I mean, she's
great. She's totally brilliant, but
she's not your type."|speech
41|HARRY|"You're overlooking one of the great
things about me. I don't have a type."|speech
42||(very directly)|location
43|MARIN|She's over thirty.|speech
44||Harry looks to Marin, feigning hurt.|stage direction
45|MARIN|"Oh, what?! Like you don't know you
have a slight reputation for..."|speech
46||4.|unknown
47||Just then the CAR PHONE RINGS. Harry keeps looking at Marin.|stage direction
48|HARRY|-- For what?|speech
49||"Harry waits. RINGGG!
He doesn't look away."|stage direction
50|MARIN|"For never dating anyone over 30.
Don't look at me like that."|speech
51|HARRY|It's just not true.|speech
52|MARIN|Okay. Sorry. Over 31?|speech
53||HARRY|unknown
54|MARIN|"Oh, so you wait 'til we get out to The
Hamptons to let me know you're a wise
ass."|speech
55||(answers phone)|unknown
56|MARIN|Hold on. . .|speech
57||(then to Marin)|unknown
58|MARIN|"It just so happens, my dear, that women
of a certain age, don't date me. You ever
think of it that way? No, it's always me.
You dames are all alike."|speech
59||(then into phone)|unknown
60|MARIN|Hey...|speech
61||(amused, to herself)|location
62|MARIN|Dames...|speech
63||"Marin continues singing along with Ja Rule as Harry
confidently slips his hand onto her thigh."|stage direction
64||(into phone)|location
65|BARRY|"Vh-huh.. .I'll call back Monday. Who
else? Monday... Monday... Say you couldn't
find me. Who?"|speech
66||(glances at Marin, she's|location
67||not listening)|unknown
68|BARRY|I'll call her later. No, I have it.|speech
69||"Harry hangs up, doesn't look in Marin's direction to see if'
she caught that. This brand of cool is about not playing that
card. Marin turns toward him, she has been listening. They've
reached the end of the road, sand dunes, long lilting grass
and the ocean stretch before them."|stage direction
70||5.|unknown
71||(all business)|location
72|MARIN|"Make a right, left at the second
fence."|speech
73||"Marin turns up the CD, getting herself out of whatever just
came over her, looks out the window."|stage direction
74|HARRY|"Have I mentioned how gorgeous your
breasts look in this sweater?"|speech
75||(blushing)|location
76|MARIN|Yes you have actually.|speech
77||HARRY|unknown
78|MARIN|"So it would be too much to mention it
again. . ."|speech
79||"Marin laughs, softening, as Harry turns down a dirt driveway,
driving toward a DREAM BEACH HOUSE."|stage direction
80|HARRY|Wow. It's the perfect beach house.|speech
81|MARIN|"I know. My mother doesn't know how
to do things that aren't perfect."|speech
82|HARRY|Which explains you.|speech
83||"That got her. Harry parks. She looks over at him but he's
grabbing some cigars for his shirt pocket, then looks up at
her with an innocent look that suggests he did not just say
such a lovely thought."|stage direction
84||(trying to keep up with|location
85||him)|unknown
86|MARIN|Yeah, okay, right...|speech
87||They both grab their H|stage direction
88||"overnight bags and step out of the car.
ARRY"|unknown
89|MARIN|"So, what are we gonna do out here,
just the two of us, for two whole
days?"|speech
90||"Marin sets her bag down, walks to Harry, wraps her arms
around his neck."|stage direction
91|MARIN|"Tell me the truth, are you at all
glad we waited?"|speech
92||"6.
HARRY
I'm incredibly glad we're finally
going to do it.
(she's a bit disappointed)
If that's the same as being glad we
waited, then baby doll, I'm ecstatic."|unknown
93||"Marin smiles then kisses him. He's one of those guys that
lets you kiss them."|stage direction
94||"HARRY
(slaps her tush)
Let's go for a swim, how long will
it take you to change?
MARIN
Two minutes."|unknown
95||"Marin starts UNBUTTONING HER SWEATER as she dances
seductively toward the front door, then notices Harry's
cigars."|stage direction
96||"MARIN
Oh Har... No smoking in the house. My
Mom doesn't allow it.
HARRY
But she allows you to strip in the
front yard and bring men you're
dating here to...
MARIN
She doesn't know everything I do...Or
when I do it.. or where I do it."|unknown
97||She SLIPS OFF her sweater and DROPS IT ON HARRY'S HEAD.|stage direction
98||INT. HOUSE|location
99||"It's one of those great Beach Houses. Light filled and warm
with spectacular views of the sandy landscape wrapping around
the rear of the house. Marin, now in a tight tank, tight
pants, gives Harry the grand tour as she continues to
undress."|stage direction
100||"MARIN
(TAKING OFF her belt)
The fabulous living room, perfect for
entertaining an intimate group of friends
or that special someone.
(DROPS her belt then
UNBUTTONS Harry's shirt)
Behind me, the requisite Hampton's deck
complete with pool and ocean view.
7."|unknown
101||(UNBUCKLES Harry's belt)|location
102|MARIN (CONT'D)|Your pants, please...|speech
103|HARRY|Ladies first.|speech
104||"Marin provocatively UNZIPS her pants and wriggles out of
them. She's now in a TINY TANK AND BIKINI PANTIES."|stage direction
105|MARIN|"Gourmet kitchen's to your left
where tonight I will whip you up a
culinary feast of Mac and Cheese."|speech
106||"Marin HEARS Harry's ZIPPER UNZIP. She turns, her EYES
WIDENING as Harry's PANTS land on a chair. Harry is now down
to his Boxers, an Open Shirt and a fearless smile."|stage direction
107||(smiling)|location
108|MARIN|".. O-kay, going quickly now...
Master bedroom is that away..."|speech
109||They arrive in a warmly decorated GUEST BEDROOM.|stage direction
110||"M
ARIN"|unknown
111|MARIN|"And this as they say on 'Cribs',
your favorite show, is where the
magic happens. Do we like it? Going
once, going twice ..."|speech
112|HARRY|Sold.|speech
113||"Harry takes Marin's hand and pulls her OUT OF FRAME and ONTO
THE BED. She playfully rolls on top of him. His hands cup her
ass."|stage direction
114|MARIN|"You know when I first started
auctioneering someone told me if I was
nervous to just picture everyone in the
audience in their underwear. This sort of
gives that a whole new meaning."|speech
115|HARRY|Why? You're not nervous now, are you?|speech
116|MARIN|I'm always a little nervous.|speech
117||(removing his hands)|location
118|HARRY|"So put on your bathing suit. I brought
some champagne, I'll put it on ice."|speech
119||8.|unknown
120|MARIN|Me like you, Harry Langer.|speech
121||"She bounces off him like a kid and disappears into the
bathroom.
Harry lies there alone for a second. Catches his breath. He
sits up, feet on the floor, shoulders hunched, clears his
throat, bangs on his chest. He waits a sec then stands with a
stiffness that for the first time suggests he is not a that
young man."|stage direction
122||INT. LIVING ROOM|location
123||"Now wearing only his Boxer Shorts, Harry crosses through the
Living ROOM, singing 'Livin' It Up' to himself. He reaches into
his bag and lifts out Two Bottles of Crystal. He sees himself in
the mirror, sucks in his gut."|stage direction
124||INT. KITCHEN|location
125||"Well stocked, the best of everything. Harry opens the door to the
fridge and just as HE DISAPPEARS BEHIND IT, the BACK DOOR OPENS
and TWO WOMEN ENTER from a beach walk, in the middle of a lively
conversation.
One of them is ERICA, Marin's Mother. The other is Erica's
Younger Sister, ZOE.
ERICA is in her mid-fifties and is a poster girl for growing old.
It's actually hard to imagine 55 looking any better. And not
because she looks 35, but because she makes 55 look graceful and
right. Erica is the ""girl most likely"" who went beyond
expectations but didn't realize until recently that being sure of
herself was a handicap. She doesn't try to be intimidating, she
just is.
Her sister, ZOE is in her forties. Zoe's the loose one. She
wears draw string pants and a T-shirt that says, ""BOYS LIE"".
The Women stop mid-sentence when they notice the REFRIGERATOR
IS WIDE OPEN. Then they SEE A PAIR OF BARE MEN'S LEGS poking"|stage direction
126||E|unknown
127||out from UNDER THE DOOR. They don' t move.|stage direction
128||RICA|unknown
129|MARIN|Oh God. What is this?|speech
130||"Erica nods to Zoe, gesturing a nearby knife. Zoe grabs the knife.
Harry pokes his head out from behind the fridge, equally confused."|stage direction
131||(in control)|location
132|ERICA|"Okay, stay right where you are. We have a
knife."|speech
133||9.|unknown
134||(eyeing the knife)|location
135|HARRY|Do you... live here?|speech
136|ERICA|"Okay, Mister, look, I'm gonna dial
911 and you're not gonna move. Zoe,
hand me the phone."|speech
137||(reaches out to Zoe|location
138||without looking at her)|unknown
139|HARRY|"You don't understand. I'm a friend
of your daughter's."|speech
140||"With that, Harry SHUTS the fridge door. The Women see he's
naked except for a Pair of Boxers. They both GASP. Zoe
FUMBLES the phone over to Erica who dials quickly.."|stage direction
141|ERICA|"Yeah? I don't think so. My daughter's in
the city and you what, wandered in
here,like high on Ecstasy..?."|speech
142||(looks at phone)|location
143|ERICA|Shit. I dialed 8-1-1.|speech
144||(redials)|location
