|text|type
0|DRAG ME TO HELL|location
1|"Written by
Ivan Raimi & Sam Raimi
September, 2007"|unknown
2|INT. BEDROOM - BEFORE DAWN|location
3|INT. BATHROOM - A MOMENT LATER|location
4|INT. KITCHEN -- MORNING|location
5|EXT. VENTURA BOULEVARD PARKING STRUCTURE - MORNING|location
6|INT. BANK OF CALIFORNIA -- DAY|location
7|Yes. So? 0|stage direction
8|EXT. UCLA - WESTWOOD CAMPUS - DAY|location
9|INT. UCLA LECTURE HALL - DAY|location
10|INT. RAY'S UNIVERSITY OFFICE - LATER|location
11|INT. HALL OUTSIDE RAY'S OFFICE - DAY|location
12|INT. BANK OF CALIFORNIA - BREAK ROOM - DAY|location
13|INT. BANK OF CALIFORNIA - LATER|location
14|INT. BANK - LATER|location
15|when Mr. Jacks stops by her desk. 0|stage direction
16|EXT. BANK OF CALIFORNIA - PARKING STRUCTURE - DAY|location
17|INT. POLICE STATION - SARGENT'S DESK - NIGHT|location
18|EXT. VENTURA BLVD - LATER THAT NIGHT|location
19|INT. STOREFRONT - NIGHT|location
20|EXT. HILLS OF SILVER LAKE -- NIGHT|location
21|EXT. STEPHANIE'S HOUSE - NIGHT|location
22|INT. STEPHANIE'S HOUSE - FOYER - NIGHT|location
23|INT. STEPHANIE'S HOUSE - KITCHEN - NIGHT|location
24|EXT. STEPHANIE'S HOUSE - NIGHT|location
25|INT. STEPHANIE'S HOUSE - KITCHEN - NIGHT|location
26|INT. RAY'S HOUSE - NIGHT|location
27|INT. RAY'S HOUSE - LATER|location
28|INT. RAY'S BEDROOM - NIGHT|location
29|INT. RAY'S BEDROOM - MORNING|location
30|EXT. BANK OF CALIFORNIA - MORNING|location
31|INT. RAY'S CAR|location
32|INT. BANK OF CALIFORNIA -- DAY 4|location
33|EXT. MRS. GANUSH'S HOUSE - DAY|location
34|INT. MRS GANUSH'S FOYER - DAY|location
35|INT. MRS. GANUSH'S LIVING ROOM - DAY|location
36|EXT. MRS. GANUSH'S HOUSE - DAY|location
37|EXT. SEVEN ELEVEN PARKING LOT - LATER|location
38|INT. STEPHANIE'S CAR|location
39|EXT. INTERSECTION - DAY|location
40|EXT. RHAM JAS' STOREFRONT - DAY|location
41|INT. STOREFRONT - DAY|location
42|INT. BACK ROOM OF RHAM Jas'S STOREFRONT - DAY|location
43|INT. STEPHANIE'S BEDROOM|location
44|INT. STEPHANIE'S KITCHEN - LATER|location
45|EXT. STEPHANIE'S HOUSE - DAY|location
46|INT. BATHROOM - DAY|location
47|INT. STEPHANIE'S KITCHEN -DAY|location
48|INT. STEPHANIE'S BEDROOM - DAY|location
49|INT. KITCHEN -- AFTERNOON|location
50|EXT. NICHOLAS CANYON - DUSK|location
51|INT. STEPHANIE'S CAR - DUSK|location
52|EXT. DALTON HOUSE - DUSK|location
53|INT. DALTON'S HOUSE|location
54|INT. DALTON HOUSE - DINNING ROOM - LATER|location
55|"Still keeping up with your coin
collection, Ray?
RAY
I try to. In fact Stephanie just"|stage direction
56|EXT. DALTON HOUSE - MOMENTS LATER|location
57|EXT. ECHO PARK HOUSE - LATER THAT NIGHT|location
58|INT. RHAM JAS' HOUSE -- NIGHT|location
59|INT. STEPHANIE'S HOUSE - NIGHT|location
60|INT. STORE - LATER THAT NIGHT|location
61|INT. BANK OF CALIFORNIA- DAY|location
62|INT. STEPHANIE'S KITCHEN - DAY|location
63|EXT. PASADENA HOUSE - DUSK|location
64|INT. OLD PASADENA HOUSE - STUDY - DUSK|location
65|INT. GREAT ROOM - NIGHT|location
66|EXT. PASADENA HOUSE - NIGHT - LATER|location
67|INT. RAY'S BMW - NIGHT|location
68|EXT. STEPHANIE'S HOUSE - NIGHT -- LATER|location
69|INT. DENNY'S RESTAURANT - NIGHT|location
70|INT. RHAM JAS' HOUSE - BACK ROOM - NIGHT|location
71|INT. STEPHANIE'S CAR - NIGHT|location
72|STEPHANIE (V.0.)|stage direction
73|EXT. OAKWOOD CEMETERY - RAINY NIGHT|location
74|DISSOLVE TO:|stage direction
75|INT. STEPHANIE'S HOUSE -- BATHROOM - PRE-DAWN|location
76|EXT. CITY STREET - PRE DAWN|location
77|EXT. TRAIN STATION - PARKING LOT - PRE DAWN|location
78|INT. TRAIN STATION - GRAND ENTRANCE - PRE DAWN|location
79|INT. TRAIN STATION - CLOTHING BOUTIQUE|location
80|EXT. TRAIN STATION - TRAIN PLATFORM - DAWN|location
