|character|text|type
0||"Screenplay by
Philip Eisner
SHOOTING DRAFT"|unknown
1||EXT. NEPTUNE - MODEL INTERPLANETARY SPACE|location
2||"A vast field of stars. The gas giant Neptune slowly spins
into view. Brilliant and blue and cold against the void."|stage direction
3||EXT. NEPTUNE - MODEL A BLACK SILHOUETTE|location
4||stands out against the planet, tiny against Neptune's scale.|stage direction
5||EXT. NEPTUNE - MODEL DRIFT CLOSER|location
6||"to discern the hard angles of a man-made craft. A ship. No
longer dwarfed by the planet, the scale of the vessel emerges:
a vast labyrinth of steel.
Its shadow swallows all in darkness."|stage direction
7||DISSOLVE TO:|unknown
8||INT. EVENT HORIZON - GRAVITY COUCH BAY|location
9||"Shafts of Neptune's blue light enter through windows,
illuminate debris suspended in the zero-gravity environment:
shards of metal and glass.
MOVE from the Corridor into:"|stage direction
10||INT. EVENT HORIZON - BRIDGE|location
11||"A cockpit for three. Neptune's blue light fills the chamber,
reflects off immobile particles in the air. Thick quartz
windows look down at Neptune. The cockpit lights are dark
but for one blinking red light.
An emergency beacon. Under-floor lights go on.
The strobe of the red light reveals a man floating at the
helm, slowly spinning. He is dead, perfectly preserved in
the cold vacuum of space. His eyes are empty black pits and
his mouth hangs open in a scream: DR. WILLIAM WEIR."|stage direction
12||CUT TO:|unknown
13||INT. STUDIO APARTMENT|location
14||"Weir opens his eyes, waking from dream. Sweat beads his
ascetic, etched face. Many years a scientist.
He turns on the bedside lamp, revealing a couple's apartment.
Decorated by a woman, but Weir is alone, unless you count
photographs. His nightstand looks like a shrine to a beautiful
woman.
Weir reaches to the stand. Picks up...
RECENT, UNFRAMED PHOTO
The woman appears thin and haggard and wears a small brave
smile.
Weir lies back on the bed. Looks at the photo. Presses it to
his forehead and closes his eyes. Trying to be with her,
just one more time."|stage direction
15||(whisper)|location
16|WEIR|I miss you.|speech
17||INT. STUDIO APARTMENT - LATER|location
18||"Weir stands in front of the bathroom mirror, shaving with a
straight-razor. The mirror reveals the bathtub just behind
him. DRIP, DRIP, DRIP...
Weir turns to stare at the bathtub. Water wells up at the
mouth of the tub's faucet, grows impossibly large, falls...
DRIP.
Weir turns back to his shaving."|stage direction
19||INT. STUDIO APARTMENT - LATER|location
20||"Weir stands in the kitchenette, staring at the microwave as
it cooks his breakfast."|stage direction
21||INT. STUDIO APARTMENT - LATER|location
22||"Weir stands before his window, chewing his oatmeal
mechanically, forcing himself to swallow. He reaches out to
open the blinds..."|stage direction
23||INT. STUDIO APARTMENT REVERSE ANGLE|location
24||"as the blinds pull aside, revealing Weir, upside-down.
ROTATE AND PULL BACK..."|stage direction
25||EXT. DAYLIGHT STATION - MODEL TO REVEAL DAYLIGHT STATION|location
26||"Weir's window is just one of many in a space station, a
delicate combination of cylindrical habitats and solar panels.
The structure hangs above the Earth in low orbit.
TITLE CARD: DAYLIGHT SPACE STATION 08.23.2046"|stage direction
27||INT. STUDIO APARTMENT (BLINDS OPEN)|location
28||A videophone RINGS OS...|stage direction
29|WEIR (V.O.)|This is Weir.|speech
30||(tinny)|location
31|LYLE (V.O.)|"Dr. Weir, Admiral Hollis would like
to see you as soon as possible."|speech
32||CUT TO:|unknown
33||INT. DAYLIGHT - OFFICE|location
34||"A military office, United States Aerospace Command seal
blazoned on the door. Views of the Earth. Admiral HOLLIS
sits behind his desk, a gruff career officer and a good man.
Weir enters, escorted by Hollis' adjutant, LYLE."|stage direction
35|WEIR|You wanted to see me, Admiral?|speech
36|HOLLIS|"I apologize for the short notice,
Bill, but we've had something come
up that requires your immediate
attention. Lyle?"|speech
37||INT. HOLOGRAPHIC DISPLAY OF THE SOLAR SYSTEM|location
38||"Lyle activates a holographic display of the solar system. A
box magnifies the eighth planet, Neptune, revealing a flashing
red dot in its orbit."|stage direction
39||INT. DAYLIGHT OFFICE|location
40|LYLE|"At oh-three-hundred this morning,
TDRSS picked up an automated
navigation beacon broadcasting at
two minute intervals in Neptune orbit."|speech
