|character|text|type|character_clean|gender
0||"INSIDIOUS
Written by
Leigh Whannell"|unknown||
1||"The universe is deathless;
Is deathless because, having no finite self,
it stays infinite.
A sound man by not advancing himself stays the further ahead
of himself,
By not confining himself to himself,
sustains himself outside himself."|stage direction||
2||--LAOZI|location||
3||2.|stage direction||
4||"FADE IN
INT. DARKENED BEDROOM - NIGHT"|location||
5||"A spherical black monolith rises up from a white surface...
white like the moon.
In the darkness, the towers metal skin is barely visible.
We ROTATE AROUND, revealing the tower to actually be a LAMP --
not rising up from a surface, but hanging down from a white
ceiling. The bulb unlit.
Directly below the lamp is the very definition of innocence -
a sleeping child. Chest rising and falling with each breath.
We HOVER over the young boy...watching him. A blanket
emblazoned with dinosaurs is draped across his limbs. His
mouth is slack, eyelids twitching to dreams unseen.
The truly deep sleep that an adult can only wish for.
We move away from him, exploring the dark room. Strewn with
toys. The door is slightly ajar. We float through it into--"|stage direction||
6||INT. CORRIDOR - CONTINUOUS|location||
7||"--a long hallway. Even darker than the bedroom. And without
the boys rhythmic breathing, even quieter.
A window at the end of the hall enlarges as we approach.
Someone is standing in front of it.
The murky silhouette of the figure turns and walks away. We
follow it, tentative. Turning a corner, we see the figure.
Standing in a doorway.
Now we can make out the edges of the person. It is an old
woman. Hair in a Victorian bun. A corseted dress.
She stares at us."|stage direction||
8|WOMAN|Let me in.|speech|WOMAN|F
9||"OPENING TITLES play out to the shrill screams of George
Crumb's `Black Angels I: Night Of The Electric Insects'."|stage direction||
10|CUT TO:|3.|speech|CUT TO:|?
11||INT. BEDROOM - NIGHT|location||
12||"Eyes flick open.
A woman blinks awake, gazing around the room. Another
bedroom. Sparse. Just a bed and a cabinet. It is 5.43 AM.
Her eyes settle on the man lying next to her in the dark. His
heaving snores have woken her up.
She is RENAI (pronounced Renee) LAMBERT (36). With a quiet
determination she is holding on to her youthful good looks,
but the lines of age are creeping in.
She has settled into the `comfort' years of a marriage: hair
pinned up messily, wearing dowdy pajamas.
She beholds her husband, taking him in. Considering him. He
snorts and smacks his lips. Very unflattering.
She climbs out of bed."|stage direction||
13||INT. LIVING ROOM, LAMBERT HOME - NIGHT|location||
