|character|text|type
0||"Insomnia
by
H. Seitz
5.2.00"|unknown
1||"FADE IN:
On credit sequence...
AN ARM
stretched out.  Long, alabaster white.  Beautiful.  A WASH
CLOTH enters frame.  Starts washing the arm with long, tender
strokes.
A TUMBLE OF HAIR
thick and auburn.  Being gently washed.
FINGERNAILS
being clipped with a shiny nail clipper.  Short.  Uniform.
Tidy.
EYEBROWS
brown with a touch of gold.  A BRUSH comes into view.
Brushes against the eyebrow hair, then back again.  Against.
Then back again.
PANTY-HOSE
pulled gingerly off a long leg.  Folded neatly.  The wash
cloth begins between the toes.  Warm, soapy water.
HAIR
now dry.  The HAND appears with a comb.  Pulls down through
the thick tresses.
It is only now that we see the hand is wearing a SURGICAL
GLOVE.
The gloved hand holds up the comb and pulls stray hairs from
it.  Places them in a big, clear, plastic bag.  In the bag we
see the panty-hose, a folded flower dress, the nail
clippings.
Goes back to combing.  Comes across a knot and yanks the comb
through.  The HEAD rolls over to us.  Her face is bruised,
her eyes blank.  She is lying on the floor.
Dead.
End of credit sequence."|stage direction
2||INT. BUSH PLANE - THE KILBUCK MOUNTAINS, ALASKA - DAY|location
3||"The loud THRUM of a bush plane.  We CLOSE ON a small, cloudy
window.  Through it we see an endless expanse of pine trees."|stage direction
4|HAP (O.S.)|Jesus.  Just look at all that.|speech
5||"PULL BACK to reveal HAP ECKHART and WILL DORMER sitting side
by side.  Hap's at the window.  Greying moustache, a little
pudgy, wearing a brown suit.  Holding a folded over Seattle
Times."|stage direction
6|HAP (cont'd)|"I thought we had a population problem.
Everyone should just move up here."|speech
7||(taps window)|location
8|HAP (cont'd)|Just look at it, Will.|speech
9||Will's eyes remain on the file on his lap.|stage direction
10|WILL|I don't need to look at it.|speech
11||"Will Dormer.  Tall, handsome, expensively tailored suit.
Snakeskin cowboy boots.  There's both a magnetism and a
distance to him.  An intense mixture.  Hap glances at him."|stage direction
12|HAP|Nothing wrong with smelling the roses.|speech
13||"Will looks up.  We see the trace of a thick, ropy SCAR by his
Adam's apple.  There's tension between him and Hap, just
below the surface.  He taps the file."|stage direction
14|WILL|Tell that to her, partner.|speech
15||"ANGLE ON THE FILE
a stack of 8x10 PHOTOGRAPHS.  Of the dead girl.  Her eyes
puffed up from bruises.  The whites bloody.  Contusions along
her breasts and shoulders."|stage direction
16|PILOT (O.S.)|Detective?|speech
17||"The PILOT's looking back at Will.  Wearing a leather red
baron hat."|stage direction
18|PILOT (cont'd)|"Better check your belts.  We'll be
landing in about fifteen minutes."|speech
19||"Will nods.  The plane lurches.  The file falls to the floor
and the photographs scatter.  The pilot catches a glimpse of
them.  Looks at Will."|stage direction
20||EXT. BUSH PLANE - CONTINUOUS|location
21||"The small yellow plane veers left.  Clears a mountain top and
gives view to the spectacular Alaskan coastline.  The green
of the Bering sea, the blanket of pine trees, the jagged rock
of the beaches.  Enormous."|stage direction
22||EXT. LANDING STRIP - OUTSIDE NIGHTMUTE - DAY|location
23||"A SIGN swinging in the wind: Nightmute, Alaska.  Halibut
Fishing Capital of the World!
PULL BACK to reveal it hanging from the eave of a small,
corrugated building.  The ""airport.""  Nothing else for miles
around.
A mud-splattered Jeep Cherokee pulls up next to it.  Brakes
SCREECHING.  A YOUNG WOMAN hops out.  About 23.  Petite with
short, brown hair.
Peers up at the sky.  Brightens at the sight of the BUSH
PLANE coming in for landing.  Smooths down her down vest.
Making sure the GOLD SHIELD on her belt's visible.  Nervous.
Excited."|stage direction
24|OLD MAN (O.S.)|Eleanor?|speech
25||"ELLIE BURR turns.  Shields her eyes from the sun.  An OLD MAN
hosing down the side of the building."|stage direction
26|ELLIE|Hey, Mr. Angstrom!|speech
27|MR. ANGSTROM|What're you doing here?|speech
28||Ellie puffs up.|stage direction
29|ELLIE|Police business.|speech
30|MR. ANGSTROM|Police business?|speech
31||The old man screws up his face, confused.|stage direction
32|MR. ANGSTROM (cont'd)|Didn't you used to baby-sit for us?|speech
33|ELLIE|"I don't babysit any more, Mr. Angstrom.
Just made detective three weeks ago."|speech
34||A CAT jumps down off the roof.  Angstrom sprays it.|stage direction
35|MR. ANGSTROM|"Boy, Charlie must be short-handed down at
the station."|speech
36||"Ellie, used to not being taken seriously.  Turns back to THE
ROAR of the bush plane as it taxis down the strip.  Coming to
a stop.  She hurries over as the door swings open and...
WILL DORMER steps down.  Slipping on his sunglasses.
Scanning the nothingness around him.  Spots the swinging
sign."|stage direction
37|WILL|"""Halibut fishing capital of the world."""|speech
38||Hap, right behind him.  Rubs his neck.|stage direction
39|HAP|This ought to be interesting.|speech
40||(over the engine)|location
41|ELLIE|Detective Dormer!|speech
42||"They look down.  Ellie reaches up and takes Will's bag.  Then
his hand.  Shakes it vigorously."|stage direction
43|ELLIE (cont'd)|"It's a huge honor to meet you!  Ellie
Burr.  I'm here to take you to the
station!"|speech
44||Will motions to Hap.|stage direction
45|WILL|My partner...|speech
46|ELLIE|"Detective Eckhart!  I know!  Welcome to
Nightmute!"|speech
47||She leads them away from the plane.  Takes Will's briefcase.|stage direction
48|ELLIE|"I just want to say how incredible it is
to have you working with us, Detective
Dormer.  I've followed all your cases.
Theodore Dineli, Frank and Casey
Prud'homme, the Port Angeles shootings..."|speech
49||Opens the back of the Jeep.  Puts the bags inside.|stage direction
50|ELLIE (cont'd)|"...And especially the Leland Street
Murders.  That was my case study at the
Academy."|speech
51||The Pilot walks by.  Taps her on the shoulder.|stage direction
52|PILOT|"Tell your dad the game's gonna start late
this week, Ellie."|speech
53|ELLIE|Sure thing, Spence.|speech
54||"She looks back at Will.  Can't help but focus in on his scar.
Touches her own smooth neck.  In awe."|stage direction
55|ELLIE (cont'd)|"That's where Ronald Langley cut you in
the basement of his father's house on 325
Leland, isn't it?"|speech
56||Will smiles, taken aback by this girl's exuberance.|stage direction
57|WILL|You did your homework, Officer.|speech
58|ELLIE|Actually...|speech
59||She throws a quick glance at Angstrom.  Out of ear-shot.|stage direction
60|ELLIE|I just made detective three weeks ago.|speech
61||EXT. NIGHTMUTE POLICE DEPARTMENT - DAY|location
62||"The Cherokee parked next to a police car outside a plain, one-
storey building.  The Nightmute Police Department.  A totem
pole stands out front."|stage direction
63|CHIEF NYBACK (O.S.)|Will Dormer!|speech
64||INT. CHIEF CHARLES NYBACK'S OFFICE - CONTINUOUS|location
65||"Nightmute Police Chief CHARLES NYBACK gets up from behind his
desk with a big smile.  Ruddy, red hair sprinkled with grey,
Nyback wears a faded army sweater over his uniform."|stage direction
66|CHIEF NYBACK|I'll be damned!|speech
67||"Limps from behind his desk and gives Will a shake and a slap
on the back."|stage direction
68||(warmly)|location
69|WILL|How you doing, Charlie?|speech
70||Nyback shakes Hap's hand.  A reunion.|stage direction
71|HAP|Hey, Charlie.|speech
72|CHIEF NYBACK|Christ.  I haven't seen you boys since...|speech
73|WILL|Just after Leland Street.|speech
74|CHIEF NYBACK|What's that, then?|speech
75|HAP|Eight years.|speech
76|WILL|Seven years.|speech
77|CHIEF NYBACK|"Seven years?  Where does it all go?  That
was some amazing time, though, wasn't it?"|speech
78||Looks at Will.  Down at his boots.|stage direction
79|CHIEF NYBACK (cont'd)|You haven't changed a bit, Will.|speech
80||Will.  Looks at Nyback's gut.|stage direction
81|WILL|You have, Chief.|speech
82||They LAUGH.  Eyes twinkling.|stage direction
83|CHIEF NYBACK|I knew that was coming.  I deserve it.|speech
84||"He starts back over to his desk.  Notices Ellie still
standing by the door.  Points to Will."|stage direction
85|CHIEF NYBACK (cont'd)|"Pay attention to this man, Ellie.  He'll
teach you how to be a great cop."|speech
86||Ellie straightens.  Smiles.  Looks over at Will.|stage direction
87|ELLIE|Yes, sir.|speech
88|CHIEF NYBACK|That's all, for now.|speech
89||Ellie, realises they want to be alone.|stage direction
90|ELLIE|Oh.  Right.  Okay.|speech
91||"Backs out.  Quietly closing the door behind her.  Will
unbuttons his jacket.  Takes a seat."|stage direction
92|WILL|Nice kid.|speech
93||(sits with a SIGH)|location
94|CHIEF NYBACK|"Got a love affair with police work.
Drives me crazy with it."|speech
95||Will surveys the fishing poles leaning against the gun rack.|stage direction
96|WILL|Keeping you busy up here, Charlie?|speech
97||Hap picks up a cheap trophy.  Reads the base.|stage direction
98|HAP|"""2nd prize Great Kodiak Salmon Catch."""|speech
99|CHIEF NYBACK|"I told you seven years ago this was a
stepping stone to retirement."|speech
100||"Nyback nods to Hap's Seattle Times.  The headline:  ""Deeper
Investigation into Special Branch""..."|stage direction
101|CHIEF NYBACK (cont'd)|"Looks like it's a good time for you to
get up here, too.  With all the bad
business going on down at Special Branch."|speech
102||"Will and Hap share a look.  No more joking.  Hap folds over
the paper."|stage direction
103|CHIEF NYBACK (cont'd)|Just five bad apples so far?|speech
104|WILL|So far.|speech
105|CHIEF NYBACK|What's the D.A. got them on?|speech
106|WILL|"Four unwarranted shootings, witness
intimidation, and cocaine theft."|speech
107||Nyback winces.|stage direction
108|CHIEF NYBACK|How about you?  How you faring?|speech
109|HAP|They're all over us, Charlie.|speech
110|WILL|They're all over everybody.|speech
111|HAP|"I.A.'s calling themselves the ""Corruption
Task Force.""  Can you believe that?
Trying to root out any mistakes or
""oversights"" any other Detectives may
have made over the years.  They're
turning it into a witch hunt.  Something
on the news about it practically every
night."|speech
112||Nyback pulls a stack of messages from his desk.|stage direction
113|CHIEF NYBACK|"Got a bunch of messages here from some
guy named Warfield."|speech
114||Hap tosses a glance over at Will.|stage direction
115|WILL|That's I.A.'s pit bull.|speech
116|CHIEF NYBACK|"Wants me to keep him posted on all your
movements up here."|speech
117||"Nyback turns and ceremoniously drops the messages into the
trash."|stage direction
118|CHIEF NYBACK (cont'd)|"I'm just glad Buck could spare you a
couple of weeks.  Take you out of the
frenzy.  I gotta tell you, though, I sure
don't miss big city police work.  Not
that I was ever a great detective.  But
up here there's no Bureaucracy.  No
Public Relations.  No blurred lines.
Just good guys and bad guys.  Simple."|speech
119||A cloud passes over his face.|stage direction
120|CHIEF NYBACK (cont'd)|Except for this.|speech
121||Holds up a file.  The name written on the lip:  KAY CONNELL.|stage direction
122||INT. HALLWAY - MINUTES LATER|location
123||"Nyback leads Will and Hap down a hallway.  Crooked plaques
and black-and-white pictures line the walls."|stage direction
124|CHIEF NYBACK|"Couldn't get a thing from the body.  Not
a trace.  Town's never dealt with
anything like this before."|speech
125||"They turn a corner and stop at a door.  Will glances up:
MOOSE ANTLERS hanging over it."|stage direction
126|CHIEF NYBACK (cont'd)|"I've briefed everybody about your coming.
They know to follow your lead."|speech
127||Nyback opens the door onto...|stage direction
128||INT. BULLPEN - NIGHTMUTE PD - CONTINUOUS|location
