|character|text|type
0||PITCH BLACK|location
1||"Screenplay
by
David Twohy"|unknown
2|unknown|Based on material by Ken and Jim Wheat|speech
3||Revised First Draft|location
4||3/3/98|unknown
5||"NOTE: THE HARD COPY OF THIS SCRIPT CONTAINED SCENE NUMBERS
AND SOME ""OMITTED"" SLUGS. THEY HAVE BEEN REMOVED FOR THIS
SOFT COPY.
NOTE ALSO: THE HARD COPY OF THIS SCRIPT WAS IN THE NON-
PREFORMAT FONT ""TIMES NEW ROMAN"". THIS HAS BEEN CHANGED
TO PREFORMATTED TEXT FOR THIS SOFT COPY."|stage direction
6||"Though mentioned often in the script, the creatures in PITCH BLACK are
seldom seen at length; rather, they are glimpsed, they are heard, they are
felt. They are, really, the embodiment of your nocturnal fears: A howling
coyote that jars you awake; the painting on the wall that comes to life
when stared at too long...the sway of your bed just before the earthquake
hits. Chimera of the night. The point is made so the reader appreciates
that the focus of the finished film will not be on what the creatures do,
but on what the creatures do to reveal the inner nature of the characters.
For PITCH BLACK is, at its heart, a story of humanity and courage -- and
lack of the same."|location
7||David Twohy|unknown
8||CUT IN:|stage direction
9||INT. MAIN CABIN|location
10||"A CRYO-LOCKER BLOWS OPEN, spitting out...
CAROLYN FRY. She hits the deck of the main cabin: Four crew
lockers in a forward section, countless more in back. But the
deck is canted at a sick angle and ALARMS SCREAM everywhere:
The world is dying around her.
Legs wobbly, shivering like a flu victim, Fry stumbles to the
next forward locker. It's riddled with holes. One DEAD CREWIE
is seen through fractured plexi, body pocked and bloodied. But
in the next cryo-locked...
The CAPTAIN is struggling awake. Fry's face floods with relief.
Slapping an intercom:"|stage direction
11|FRY|"Hear me? Cap'n? Some kinda compromise to
the hull...holding for now, but...Goddamn,
I'm glad you're alive. Gotta pull your
E-release...no, red handle, red handle.
I'll get the warm-ups out while --"|speech
12||PHFUT-PHFUT-PHFUT-PHFUT:|stage direction
13||Particles bore through the cabin|location
14||"blasting open the captain's chest, shattering plexi, DETONATING
INSTRUMENTS on the opposite wall and leaving CONTRAILS
HISSING in the air.
Fry lands on her ass, horrified. Suddenly...
Another LOCKER BLOWS OPEN. A body falls right on top of Fry --
but this one's still alive. Disoriented, frantic:"|stage direction
15|OWENS|Why did I fall on you?|speech
16|FRY|"He's dead. Cap'n's dead. Christ, I was
looking right at him when --"|speech
17|OWENS|"I mean, I mean, chrono shows we're 22
weeks out, so gravity wasn't supposed to
kick in for another 19. I mean, I mean,
I mean, why did I fall"|speech
18||at all|location
19|FRY|You hear me? Captain's dead. Owens too.|speech
20|OWENS|"Oh, no. Not Owens, not.... Wai', wai',
wait."|speech
21||"I'm Owens
. Right?"|location
22||"They swap nightmare looks, momentarily unsure of their own
identities."|stage direction
23|FRY|"Cryo-sleep. Swear to God, it sloughs
brain cells."|speech
24||INT. NAV-BAY - MAIN CABIN|location
25||"They stumble into nav-bay. ALARMS CONTINUE. Fry grabs warm-up
suits out of storage, pitches one to Owens, checks her screens."|stage direction
26|FRY|"1550 millibars, dropping 20 MB per minute,
shit, we're hemorrhaging air."|speech
27||Somethin'|location
28|FRY|took a swipe at us.|speech
