|character|text|type
0||"Screenplay by
Josh Friedman & David Koepp
Submitted by
Tyler"|unknown
1||"FINAL MOVIE SCRIPT
** Resized to fit on minimal number of pages**
[Showing Pictures of City Life]"|stage direction
2|NARRATOR|"No one would have believed in the early
years of the21st century, that our world
was being watched by intelligences greater
than our own. That as men busied themselves
about their various concerns, they observed
and studied. Like the way a man with
a microscope might scrutinize the creatures
that swarm and multiply in a drop of
water. With infinite complacency men
went to and fro about the globe, confident
of our empire over this world. Yet,
across the gulf of space, intellects,
vast and cool and unsympathetic regarded
our plant with envious eyes. And slowly
and surely, drew their plans against
us."|speech
3||EXT. DOCK - CARGO BAY - DAWN|location
4||"Ray (in his 30s, short hair, rough groomed, almost always wears
his New York baseball cap, raggedly dressed, looks like he hasn't
slept in days) is moving cargo boxes from the ship to ground
loading brackets. Shots show him inside the control room operating
the levers. As the last car is loaded, he is seen walking down
the stairs."|stage direction
5|SAL|Ray!! Ferrier! Whoa!|speech
6||"Ray turns away and laughs because he already knows what he is
going to say."|stage direction
7|SAL|"I need you back at 4:00 instead of 12:00
I got half of Korea coming in."|speech
8|RAY|"No, no, no I can't. I'm on a 12 hour
blow! Call Tadesko."|speech
9||Camera follows them walking down the street.|stage direction
10|SAL|"Tadesko can't move 40 containers in
an hour. I need somebody who can do
double picks."|speech
11|RAY|"I wish I could help you Sal. God damn
union regulations."|speech
12|SAL|"(getting angry) Come on, I'm in a position
here!"|speech
13|RAY|"Come on, you remember the union regulations,
Sal."|speech
14|SAL|"(angrily) You know what your problem
is?"|speech
15||Sal stops on one side of the street while Ray continues walking.|stage direction
16|RAY|"(joking) I can think of a couple of
women who'd be happy to tell you."|speech
17||EXT. RAY'S CAR - DRIVEWAY - DAWN|location
18||"Ray gets out and takes the last can of trash to the street as
Tim (in his 30s, wearing expensive clothes, slicked sharp hair,
extremely well groomed, looks like (and is) rich) and Ray's ex-wife
Mary Ann (in her 30s, pregnant with maternity clothes on, hair
hanging loose and rather unkempt) stand at their new car. Robbie
(15, ragged, tough look, long hair, partially groomed, worn clothes
(but looks in style), hip side pack with misc. objects in it.)
and Rachel (10, still dressed in Barbie color scheme clothing,
long unkempt hair in pigtails) are in the car."|stage direction
19|RAY|Is it 8:30? We say that?|speech
20|MARY ANN|We said 8:00.|speech
21|RAY|"(changing subject) Hey, this is one
safe looking vehicle you got yourself
here Tim. Congratulations."|speech
22|TIM|Thank You.|speech
23|RAY|8 o'clock huh?|speech
24|MARY ANN|"Um-Huh. We'll be back by 9:30 on Sunday,
depending on the traffic."|speech
25||"Robbie gets out of the car, carelessly banging the door on the
electrical pole. He is listening to his MP3 player at a loud
enough volume for the camera (10' away to hear)."|stage direction
26|RAY|There he is! You got a hug?|speech
27||"Robbie ignores him as if he was not there and heads up to the
front door of the house."|stage direction
28|RAY|"(continues) Confusing handshake? (joking)
Kick in the teeth? The door's locked.
(to Mary Ann): Still working on those
manners?"|speech
29||"Mary Ann nods ""yes"" as Rachel gets out of the car."|stage direction
30|RACHEL|Hello dad.|speech
31|RAY|Hello, Rachel!|speech
32||"Rachel gives him a hug and goes back to the car to retrieve her
bag. She struggles and Mary Ann, Tim, and Ray try to help which
results in a small bicker argument. (Ray, Tim, and Mary Ann add
lib.)"|stage direction
33|ROBBIE|"(during bickering, at the front door)
The door's locked."|speech
34|MARY ANN|"(suit case in hand) I'll just get it
in the door."|speech
35|RACHEL|It's got rollers, just roll it.|speech
36|MARY ANN|"Well we can't roll it up the stairs
now can we?"|speech
37|RAY|Really, I got it from here, okay?|speech
38||INT. RAY'S HOUSE - KITCHEN - DAWN|location
39||"Mary Ann, Rachel, Ray, and Tim walk into the kitchen as Robbie
heads straight upstairs to his room. Mary Ann sees a car engine
next to the kitchen table and looks at Ray in disgust."|stage direction
40|RAY|"(to Tim) It's a 302 V8. It's gonna be
out of here next week."|speech
41||"Mary Ann walks over to the refrigerator to check for the basic
food supplies. Ray gets frustrated that she is going through
HIS stuff."|stage direction
42|RAY|"(trying to get her to leave) You better
get going if you want to beat the traffic,
don't you think?"|speech
43||"Mary Ann ignores his comment as she opens the refrigerator which
is almost empty."|stage direction
44|MARY ANN|"You're out of milk. (smells it) And
everything else."|speech
45||Shot of Rachel, intensely listening from the stairs.|stage direction
46|RAY|"(mad) Would you close the door please?
Now that that's my refrigerator."|speech
47|TIM|"I'm gonna go wait outside. (to Rachel)
I love you sweetheart (hugs her) see
you in a few days."|speech
48|RACHEL|Bye Tim.|speech
49|MARY ANN|I'd better get this upstairs.|speech
50||Ray tries to further rid of her but she continues.|stage direction
51|RACHEL|"(trying to get her bag form Mary Ann)
Mom, Mom!"|speech
52|RAY|Mary Ann, let me get this.|speech
53|MARY ANN|I can get it.|speech
54|RAY|"(rushes to close his bedroom door, as
if hiding something) Excuse me."|speech
55||"Ray gets his door closed as Mary Ann goes into Rachel and Robbie's
room."|stage direction
56||INT. RAY'S HOUSE - RACHEL AND ROBBIE'S ROOM - DAWN|location
57||"Mary Ann and Ray go into the room where Robbie is laying on his
bed listening to his MP3 player. Rachel sits down on her bed."|stage direction
58|MARY ANN|"A little old to still be sharing aren't
they?"|speech
59|RAY|I don't hear any complaints.|speech
60|MARY ANN|No, I do.|speech
