|character|text|type
0||"FADE IN:
1    INT. DERELICT HOUSE - DAY >	1
A POLAROID PHOTOGRAPH, clasped between finger and thumb: a
crude, crime scene flash picture of a MAN'S BODY lying on a
decaying wooden floor, a BLOODY MESS where his head should
be.
The image in the photo starts to FADE as we SUPER TITLES. The
hand holding the photo suddenly FANS it in a rapid FLAPPING
motion, then holds it still. The image fades more, and again
the picture is FANNED.
As TITLES END the image fades to nothing. The hand holding
the photo FLAPS it again, then places it at the front of a
POLAROID CAMERA.
The camera SUCKS the blank picture up, then the FLASH BURSTS.
The Polaroid camera is lowered, revealing the sweaty, heavy-
breathing face of LEONARD (mid-30's). There are droplets of
blood across his face. Leonard stares, satisfied, at
something on the ground in front of him. There is WET BLOOD
on his BLUE SHIRT and BEIGE SUIT. His hand opens and catches
a HANDGUN which leaps up into his grasp.
Still staring, he crouches down and pulls a BODY off the
floor by the wet hair of its BLOODY HEAD. He slowly inserts
the barrel of the gun into the bloody mess where the mouth
should be.
Leonard FLINCHES. A DEAFENING ROAR as wet red leaps off his
face and suit and head, with a SPASM, reassembles itself
into the face of TEDDY (40's, moustache) and we-"|stage direction
1||CUT TO:|location
2||"2    INT. MOTEL ROOM 21 - DAY ##BLACK AND WHITE SEQUENCE##	   2
Close on Leonard's eyes. He rolls them to one side, then
turns his head."|stage direction
3|LEONARD (V.O.)|So where are you?|speech
4||Leonard lifts his head. He is lying on a queen-sized bed.|stage direction
5|LEONARD (cont'd)|You're in some motel room.|speech
6||"CUT TO:
2."|location
7||"3    EXT. DERELICT BUILDING - DAY >		   3
A late model Jaguar bumps across some railroad tracks and
approaches a large, clearly abandoned DERELICT BUILDING.
Leonard is driving. He wears a BEIGE SUIT and BLUE SHIRT (no
blood). Next to him is TEDDY. Leonard stops the car next to a
PICKUP TRUCK sitting Outside the derelict building. Leonard
kills the engine, staring at the pickup."|stage direction
8|LEONARD|Looks like somebody's home.|speech
9||Teddy looks from Leonard to the pickup and back.|stage direction
10|TEDDY|That thing's been here for years.|speech
11||"Leonard gets out of the Jaguar and moves to the pickup. He
inspects it with a methodical, practiced eye. Teddy follows."|stage direction
12|LEONARD|"I think you're wrong. These tracks aren't	*
more than a few days old."|speech
13||"Leonard opens the door of the pickup and searches the
interior. On the dirty vinyl of the passenger seat he finds	*
six BULLETS. Leonard picks two of them up and studies them.	*
He drops them onto the dashboard then SHUTS the door.		*"|stage direction
14|LEONARD (cont'd)|Let's take a look inside.|speech
15||"Leonard walks towards the house, patting his jacket pockets.
Teddy leans on the pickup, uneasy, watching Leonard.
4    INT. DERELICT BUILDING - DAY >			4
Leonard stands in the dimly-lit, decaying former hallway. He
pulls a stack of POLAROID PHOTOGRAPHS out of his pocket and
leafs through them as Teddy starts walking towards him.
Leonard finds a photo showing Teddy with a shit-eating grin
standing in front of the pickup truck. On the broad white
strip beneath the photo is handwritten:
""TEDDY GAMMELL TEL. 555 0134""
Leonard flips the photo over. On the white strip on the back,
in the same small handwriting."|stage direction
16||(CONTINUED)|unknown
17||MEMENTO Pink Revisions - 9/7/99|stage direction
18||3.|unknown
19||"4    CONTINUED:							4
""DON'T LISTEN TO HIS LIES""
""HE IS THE ONE""
""KILL HIM"""|stage direction
20|LEONARD (V.0.)			*|"I've finally found him. How long have I		*
been looking?					*"|speech
21||"Leonard stuffs the Polaroids back into his pocket, reaches
around to the back of his waistband and draws a HANDGUN,
keeping it out of Teddy's line of sight. Teddy enters, wary."|stage direction
22|TEDDY|"Find anything? Didn't think so, let's go,
yeah?"|speech
23||"Leonard neither replies nor turns around. Teddy, worried,
affects a casual air, shrugging dismissively,"|stage direction
24|TEDDY (cont'd)|Fuck this.|speech
25||"Teddy turns and heads for the door. Leonard LEAPS on him,
pistol-whipping him furiously as he shouts:"|stage direction
26|LEONARD|"YOU PAY FOR WHAT YOU DID! YOU BEG
FORGIVENESS, THEN YOU PAY!"|speech
