;classement;titre;annee;duree;categorie
0;1.;Star Wars: Episode I - The Phantom Menace;(1999);136 min;Action, Adventure, Fantasy            
1;2.;The Sixth Sense;(1999);107 min;Drama, Mystery, Thriller            
2;3.;Toy Story 2;(1999);92 min;Animation, Adventure, Comedy            
3;4.;Austin Powers: The Spy Who Shagged Me;(1999);95 min;Action, Adventure, Comedy            
4;5.;The Matrix;(1999);136 min;Action, Sci-Fi            
5;6.;Tarzan;(1999);88 min;Animation, Adventure, Family            
6;7.;Big Daddy;(1999);93 min;Comedy, Drama, Family            
7;8.;The Mummy;(1999);125 min;Action, Adventure, Fantasy            
8;9.;Runaway Bride;(1999);116 min;Comedy, Romance            
9;10.;The Blair Witch Project;(1999);81 min;Drama, Horror, Mystery            
10;11.;Stuart Little;(1999);84 min;Adventure, Comedy, Family            
11;12.;The Green Mile;(1999);189 min;Crime, Drama, Fantasy            
12;13.;American Beauty;(1999);122 min;Drama, Romance            
13;14.;The World Is Not Enough;(1999);128 min;Action, Adventure, Thriller            
14;15.;Double Jeopardy;(1999);105 min;Crime, Drama, Mystery            
15;16.;Notting Hill;(1999);124 min;Comedy, Drama, Romance            
16;17.;Wild Wild West;(1999);106 min;Action, Comedy, Sci-Fi            
17;18.;Analyze This;(1999);103 min;Comedy, Crime            
18;19.;The General's Daughter;(1999);116 min;Crime, Drama, Mystery            
19;20.;American Pie;(1999);95 min;Comedy            
20;21.;Sleepy Hollow;(1999);105 min;Fantasy, Horror, Mystery            
21;22.;Inspector Gadget;(1999);78 min;Action, Adventure, Comedy            
22;23.;The Haunting;(1999);113 min;Fantasy, Horror, Mystery            
23;24.;Entrapment;(1999);113 min;Action, Crime, Romance            
24;25.;Payback;(I) (1999);100 min;Action, Crime, Drama            
25;26.;The Talented Mr. Ripley;(1999);139 min;Crime, Drama, Thriller            
26;27.;Any Given Sunday;(1999);162 min;Drama, Sport            
27;28.;Deep Blue Sea;(1999);105 min;Action, Sci-Fi, Thriller            
28;29.;Galaxy Quest;(1999);102 min;Comedy, Sci-Fi            
29;30.;The Thomas Crown Affair;(1999);113 min;Crime, Romance, Thriller            
30;31.;Blue Streak;(1999);93 min;Action, Comedy, Crime            
31;32.;End of Days;(1999);121 min;Action, Fantasy, Horror            
32;33.;The Bone Collector;(1999);118 min;Crime, Drama, Mystery            
33;34.;Bowfinger;(1999);97 min;Comedy            
34;35.;Deuce Bigalow: Male Gigolo;(1999);88 min;Comedy, Romance            
35;36.;Life;(I) (1999);108 min;Comedy, Crime, Drama            
36;37.;She's All That;(1999);95 min;Comedy, Romance            
37;38.;Three Kings;(1999);114 min;Action, Adventure, Comedy            
38;39.;Fantasia 2000;(1999);74 min;Animation, Comedy, Family            
39;40.;Bicentennial Man;(1999);132 min;Comedy, Drama, Sci-Fi            
40;41.;The Cider House Rules;(1999);126 min;Drama, Romance            
41;42.;Eyes Wide Shut;(1999);159 min;Drama, Mystery, Thriller            
42;43.;Never Been Kissed;(1999);107 min;Comedy, Drama, Romance            
43;44.;Varsity Blues;(1999);106 min;Comedy, Drama, Romance            
44;45.;Forces of Nature;(1999);105 min;Comedy, Romance            
45;46.;Message in a Bottle;(1999);126 min;Drama, Romance            
46;47.;South Park: Bigger, Longer & Uncut;(1999);81 min;Animation, Comedy, Fantasy            
47;48.;The Hurricane;(1999);146 min;Biography, Drama, Sport            
48;49.;Stigmata;(1999);103 min;Horror            
49;50.;Pokémon: The Movie 2000;(1999);99 min;Animation, Action, Adventure            
50;1.;Star Wars: Episode I - The Phantom Menace;(1999);136 min;Action, Adventure, Fantasy            
51;2.;The Sixth Sense;(1999);107 min;Drama, Mystery, Thriller            
52;3.;Toy Story 2;(1999);92 min;Animation, Adventure, Comedy            
53;4.;Austin Powers: The Spy Who Shagged Me;(1999);95 min;Action, Adventure, Comedy            
54;5.;The Matrix;(1999);136 min;Action, Sci-Fi            
55;6.;Tarzan;(1999);88 min;Animation, Adventure, Family            
56;7.;Big Daddy;(1999);93 min;Comedy, Drama, Family            
57;8.;The Mummy;(1999);125 min;Action, Adventure, Fantasy            
58;9.;Runaway Bride;(1999);116 min;Comedy, Romance            
59;10.;The Blair Witch Project;(1999);81 min;Drama, Horror, Mystery            
60;11.;Stuart Little;(1999);84 min;Adventure, Comedy, Family            
61;12.;The Green Mile;(1999);189 min;Crime, Drama, Fantasy            
62;13.;American Beauty;(1999);122 min;Drama, Romance            
63;14.;The World Is Not Enough;(1999);128 min;Action, Adventure, Thriller            
