;classement;titre;annee;durée;categorie
0;1.;Finding Nemo;(2003);100 min;Animation, Adventure, Comedy            
1;2.;The Lord of the Rings: The Return of the King;(2003);201 min;Adventure, Drama, Fantasy            
2;3.;Pirates of the Caribbean: The Curse of the Black Pearl;(2003);143 min;Action, Adventure, Fantasy            
3;4.;The Matrix Reloaded;(2003);138 min;Action, Sci-Fi            
4;5.;Bruce Almighty;(2003);101 min;Comedy, Drama, Fantasy            
5;6.;X-Men 2;(2003);134 min;Action, Adventure, Fantasy            
6;7.;Elf;(2003);97 min;Comedy, Family, Fantasy            
7;8.;Terminator 3: Rise of the Machines;(2003);109 min;Action, Sci-Fi, Thriller            
8;9.;Matrix Revolutions;(2003);129 min;Action, Sci-Fi            
9;10.;Cheaper by the Dozen;(2003);98 min;Comedy, Family            
10;11.;Bad Boys II;(2003);147 min;Action, Comedy, Crime            
11;12.;Anger Management;(2003);106 min;Comedy            
12;13.;Bringing Down the House;(2003);105 min;Comedy            
13;14.;Hulk;(2003);138 min;Action, Sci-Fi            
14;15.;2 Fast 2 Furious;(2003);107 min;Action, Crime, Thriller            
15;16.;Something's Gotta Give;(2003);128 min;Comedy, Drama, Romance            
16;17.;Seabiscuit;(2003);140 min;Drama, History, Sport            
17;18.;S.W.A.T.;(2003);117 min;Action, Adventure, Crime            
18;19.;Spy Kids 3-D: Game Over;(2003);84 min;Action, Adventure, Comedy            
19;20.;The Last Samurai;(2003);154 min;Action, Drama, History            
20;21.;Freaky Friday;(2003);97 min;Comedy, Family, Fantasy            
21;22.;Scary Movie 3;(2003);84 min;Comedy            
22;23.;The Italian Job;(2003);111 min;Action, Crime, Thriller            
23;24.;How to Lose a Guy in 10 Days;(2003);116 min;Comedy, Romance            
24;25.;American Wedding;(2003);96 min;Comedy, Romance            
25;26.;Daddy Day Care;(2003);92 min;Comedy, Family            
26;27.;Charlie's Angels: Full Throttle;(2003);106 min;Action, Adventure, Comedy            
27;28.;The Cat in the Hat;(2003);82 min;Adventure, Comedy, Family            
28;29.;Cold Mountain;(2003);154 min;Adventure, Drama, History            
29;30.;Master and Commander: The Far Side of the World;(2003);138 min;Action, Adventure, Drama            
30;31.;Mystic River;(2003);138 min;Crime, Drama, Mystery            
31;32.;Legally Blonde 2: Red, White & Blonde;(2003);95 min;Comedy            
32;33.;Frère des ours;(2003);85 min;Animation, Adventure, Comedy            
33;34.;Freddy vs. Jason;(2003);97 min;Action, Horror, Thriller            
34;35.;School of Rock;(2003);108 min;Comedy, Family, Music            
35;36.;The Texas Chainsaw Massacre;(2003);98 min;Horror            
36;37.;The Haunted Mansion;(2003);88 min;Comedy, Family, Fantasy            
37;38.;Old School;(2003);88 min;Comedy            
38;39.;Kill Bill: Vol. 1;(2003);111 min;Action, Crime, Thriller            
39;40.;Holes;(2003);117 min;Adventure, Comedy, Drama            
40;41.;Kangaroo Jack;(2003);89 min;Action, Adventure, Comedy            
41;42.;The League of Extraordinary Gentlemen;(2003);110 min;Action, Adventure, Fantasy            
42;43.;Big Fish;(2003);125 min;Adventure, Drama, Fantasy            
43;44.;Lara Croft Tomb Raider: The Cradle of Life;(2003);117 min;Action, Adventure, Fantasy            
44;45.;Mona Lisa Smile;(2003);117 min;Drama            
45;46.;Shanghai Knights;(2003);114 min;Action, Adventure, Comedy            
46;47.;Bad Santa;(2003);91 min;Comedy, Crime, Drama            
47;48.;Gothika;(2003);98 min;Horror, Mystery, Thriller            
48;49.;Love Actually;(2003);135 min;Comedy, Drama, Romance            
49;50.;Open Range;(2003);139 min;Drama, Romance, Western            
50;51.;Just Married;(2003);95 min;Comedy, Romance            
51;52.;Once Upon a Time in Mexico;(2003);102 min;Action, Thriller            
52;53.;Paycheck;(2003);119 min;Action, Mystery, Sci-Fi            
53;54.;The Recruit;(2003);115 min;Action, Drama, Mystery            
54;55.;Radio;(2003);109 min;Biography, Drama, Sport            
55;56.;Underworld;(2003);121 min;Action, Fantasy, Thriller            
56;57.;Identity;(2003);90 min;Mystery, Thriller            
57;58.;Runaway Jury;(2003);127 min;Drama, Thriller            
58;59.;Peter Pan;(2003);113 min;Adventure, Family, Fantasy            
59;60.;The Jungle Book 2;(2003);72 min;Animation, Adventure, Family            
60;61.;The Rundown;(2003);104 min;Action, Adventure, Comedy            
