;classement;titre;annee;duree;categorie;realisateur
0;1.;Toy Story 3;(2010);103 min;"
Animation, Adventure, Comedy            ";Lee Unkrich
1;2.;Alice in Wonderland;(I) (2010);108 min;"
Adventure, Family, Fantasy            ";Tim Burton
2;3.;Iron Man 2;(2010);124 min;"
Action, Adventure, Sci-Fi            ";Jon Favreau
3;4.;The Twilight Saga: Eclipse;(2010);124 min;"
Adventure, Drama, Fantasy            ";David Slade
4;5.;Harry Potter and the Deathly Hallows: Part 1;(2010);146 min;"
Adventure, Family, Fantasy            ";David Yates
5;6.;Inception;(2010);148 min;"
Action, Adventure, Sci-Fi            ";Christopher Nolan
6;7.;Despicable Me;(2010);95 min;"
Animation, Adventure, Comedy            ";Pierre Coffin
7;8.;Shrek Forever After;(2010);93 min;"
Animation, Adventure, Comedy            ";Mike Mitchell
8;9.;How to Train Your Dragon;(2010);98 min;"
Animation, Action, Adventure            ";Dean DeBlois
9;10.;Tangled;(2010);100 min;"
Animation, Adventure, Comedy            ";Nathan Greno
10;11.;The Karate Kid;(2010);140 min;"
Action, Drama, Family            ";Harald Zwart
11;12.;TRON: Legacy;(2010);125 min;"
Action, Adventure, Sci-Fi            ";Joseph Kosinski
12;13.;True Grit;(2010);110 min;"
Adventure, Drama, Western            ";Ethan Coen
13;14.;Clash of the Titans;(2010);106 min;"
Action, Adventure, Fantasy            ";Louis Leterrier
14;15.;Grown Ups;(2010);102 min;"
Comedy            ";Dennis Dugan
15;16.;Little Fockers;(2010);98 min;"
Comedy, Romance            ";Paul Weitz
16;17.;Megamind;(2010);95 min;"
Animation, Action, Comedy            ";Tom McGrath
17;18.;The King's Speech;(2010);118 min;"
Biography, Drama            ";Tom Hooper
18;19.;The Last Airbender;(2010);103 min;"
Action, Adventure, Family            ";M. Night Shyamalan
19;20.;Shutter Island;(2010);138 min;"
Mystery, Thriller            ";Martin Scorsese
20;21.;The Other Guys;(2010);107 min;"
Action, Comedy, Crime            ";Adam McKay
21;22.;Salt;(2010);100 min;"
Action, Crime, Mystery            ";Phillip Noyce
22;23.;Jackass 3D;(2010);94 min;"
Documentary, Action, Comedy            ";Jeff Tremaine
23;24.;Valentine's Day;(I) (2010);125 min;"
Comedy, Romance            ";Garry Marshall
24;25.;Black Swan;(2010);108 min;"
Drama, Thriller            ";Darren Aronofsky
25;26.;Robin Hood;(2010);140 min;"
Action, Adventure, Drama            ";Ridley Scott
26;27.;The Chronicles of Narnia: The Voyage of the Dawn Treader;(2010);113 min;"
Adventure, Family, Fantasy            ";Michael Apted
27;28.;The Expendables;(2010);103 min;"
Action, Adventure, Thriller            ";Sylvester Stallone
28;29.;Due Date;(2010);95 min;"
Comedy, Drama            ";Todd Phillips
29;30.;Yogi Bear;(2010);80 min;"
Animation, Adventure, Comedy            ";Eric Brevig
30;31.;Date Night;(2010);88 min;"
Comedy, Crime, Romance            ";Shawn Levy
31;32.;The Social Network;(2010);120 min;"
Biography, Drama            ";David Fincher
32;33.;Sex and the City 2;(2010);146 min;"
Comedy, Drama, Romance            ";Michael Patrick King
33;34.;The Book of Eli;(2010);118 min;"
Action, Adventure, Drama            ";Albert Hughes
34;35.;The Fighter;(I) (2010);116 min;"
Biography, Drama, Sport            ";David O. Russell
35;36.;The Town;(2010);125 min;"
Crime, Drama, Thriller            ";Ben Affleck
36;37.;Prince of Persia: The Sands of Time;(2010);116 min;"
Action, Adventure, Fantasy            ";Mike Newell
37;38.;RED;(2010);111 min;"
Action, Comedy, Crime            ";Robert Schwentke
38;39.;Percy Jackson & the Olympians: The Lightning Thief;(2010);118 min;"
Adventure, Family, Fantasy            ";Chris Columbus
39;40.;Paranormal Activity 2;(2010);91 min;"
Horror            ";Tod Williams
40;41.;Unstoppable;(2010);98 min;"
Action, Thriller            ";Tony Scott
41;42.;Eat Pray Love;(2010);133 min;"
Drama, Romance            ";Ryan Murphy
42;43.;Dear John;(I) (2010);108 min;"
Drama, Romance, War            ";Lasse Hallström
43;44.;The A-Team;(2010);117 min;"
Action, Adventure, Comedy            ";Joe Carnahan
44;45.;Knight and Day;(2010);109 min;"
Action, Comedy, Romance            ";James Mangold
45;46.;Dinner for Schmucks;(2010);114 min;"
Comedy            ";Jay Roach
46;47.;The Tourist;(2010);103 min;"
Action, Romance, Thriller            ";Florian Henckel von Donnersmarck
47;48.;The Bounty Hunter;(I) (2010);110 min;"
Action, Comedy, Romance            ";Andy Tennant
48;49.;Diary of a Wimpy Kid;(2010);94 min;"
Comedy, Family            ";Thor Freudenthal
49;50.;The Sorcerer's Apprentice;(2010);109 min;"
Action, Adventure, Family            ";Jon Turteltaub
50;51.;A Nightmare on Elm Street;(2010);95 min;"
Horror, Mystery, Thriller            ";Samuel Bayer
51;52.;The Last Song;(2010);107 min;"
Drama, Family, Music            ";Julie Anne Robinson
52;53.;The Wolfman;(2010);103 min;"
Drama, Fantasy, Horror            ";Joe Johnston
53;54.;Get Him to the Greek;(2010);109 min;"
Comedy, Music            ";Nicholas Stoller
54;55.;Resident Evil: Afterlife;(2010);97 min;"
Action, Adventure, Horror            ";Paul W.S. Anderson
55;56.;Why Did I Get Married Too?;(2010);121 min;"
Comedy, Drama, Romance            ";Tyler Perry
56;57.;Tooth Fairy;(I) (2010);101 min;"
Comedy, Family, Fantasy            ";Michael Lembeck
57;58.;Secretariat;(2010);123 min;"
Biography, Drama, Family            ";Randall Wallace
58;59.;Easy A;(2010);92 min;"
Comedy, Drama, Romance            ";Will Gluck
59;60.;Takers;(2010);107 min;"
Action, Crime, Thriller            ";John Luessenhop
60;61.;Legend of the Guardians: The Owls of Ga'Hoole;(2010);97 min;"
Animation, Action, Adventure            ";Zack Snyder
61;62.;Insidious;(I) (2010);103 min;"
Horror, Mystery, Thriller            ";James Wan
62;63.;Life as We Know It;(2010);114 min;"
Comedy, Drama, Romance            ";Greg Berlanti
63;64.;Letters to Juliet;(2010);105 min;"
Comedy, Drama, Romance            ";Gary Winick
64;65.;Wall Street: Money Never Sleeps;(2010);133 min;"
Drama            ";Oliver Stone
65;66.;Predators;(2010);107 min;"
Action, Adventure, Sci-Fi            ";Nimród Antal
66;67.;Hubble;(2010);44 min;"
Documentary            ";Toni Myers
67;68.;Hot Tub Time Machine;(2010);101 min;"
Comedy, Sci-Fi            ";Steve Pink
68;69.;Kick-Ass;(2010);117 min;"
Action, Comedy            ";Matthew Vaughn
69;70.;Killers;(2010);100 min;"
Action, Comedy, Romance            ";Robert Luketic
70;71.;Saw 3D: The Final Chapter;(2010);90 min;"
Horror, Mystery            ";Kevin Greutert
71;72.;Cop Out;(2010);107 min;"
Action, Comedy, Crime            ";Kevin Smith
72;73.;Cats & Dogs: The Revenge of Kitty Galore;(2010);82 min;"
Action, Comedy, Family            ";Brad Peyton
73;74.;Edge of Darkness;(2010);117 min;"
Crime, Drama, Mystery            ";Martin Campbell
74;75.;Gulliver's Travels;(2010);85 min;"
Adventure, Comedy, Family            ";Rob Letterman
75;76.;Death at a Funeral;(2010);92 min;"
Comedy            ";Neil LaBute
76;77.;Step Up 3D;(2010);107 min;"
Drama, Music, Romance            ";Jon M. Chu
77;78.;Le dernier exorcisme;(2010);87 min;"
Drama, Horror, Thriller            ";Daniel Stamm
78;79.;Legion;(2010);100 min;"
Action, Fantasy, Horror            ";Scott Stewart
79;80.;Burlesque;(I) (2010);119 min;"
Drama, Music, Musical            ";Steve Antin
80;81.;The Crazies;(2010);101 min;"
Horror, Thriller            ";Breck Eisner
81;82.;For Colored Girls;(2010);133 min;"
Drama            ";Tyler Perry
82;83.;The Back-up Plan;(2010);104 min;"
Comedy, Romance            ";Alan Poul
83;84.;Vampires Suck;(2010);82 min;"
Comedy            ";Jason Friedberg
84;85.;The American;(2010);105 min;"
Crime, Drama, Thriller            ";Anton Corbijn
85;86.;Green Zone;(2010);115 min;"
Action, Drama, Thriller            ";Paul Greengrass
86;87.;Marmaduke;(2010);87 min;"
Comedy, Family            ";Tom Dey
87;88.;Devil;(2010);80 min;"
Horror, Mystery, Thriller            ";John Erick Dowdle
88;89.;Hereafter;(2010);129 min;"
Drama, Fantasy            ";Clint Eastwood
89;90.;When in Rome;(2010);91 min;"
Comedy, Romance            ";Mark Steven Johnson
90;91.;Love & Other Drugs;(2010);112 min;"
Comedy, Drama, Romance            ";Edward Zwick
91;92.;She's Out of My League;(2010);104 min;"
Comedy, Romance            ";Jim Field Smith
92;93.;Scott Pilgrim vs. the World;(2010);112 min;"
Action, Comedy, Fantasy            ";Edgar Wright
93;94.;The Debt;(I) (2010);113 min;"
Drama, Thriller            ";John Madden
94;95.;Charlie St. Cloud;(2010);99 min;"
Drama, Fantasy, Romance            ";Burr Steers
95;96.;Morning Glory;(2010);107 min;"
Comedy, Drama, Romance            ";Roger Michell
96;97.;How Do You Know;(2010);121 min;"
Comedy, Drama, Romance            ";James L. Brooks
97;98.;Nanny McPhee Returns;(2010);109 min;"
Comedy, Family, Fantasy            ";Susanna White
98;99.;The Switch;(I) (2010);101 min;"
Comedy, Drama, Romance            ";Josh Gordon
99;100.;Machete;(2010);105 min;"
Action, Crime, Thriller            ";Ethan Maniquis
