;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;Shrek 2;(2004);93 min;"
Animation, Adventure, Comedy            ";Andrew Adamson;;
1;2.0;Spider-Man 2;(2004);127 min;"
Action, Adventure            ";Sam Raimi;;
2;3.0;The Passion of the Christ;(2004);127 min;"
Drama            ";Mel Gibson;;
3;4.0;Meet the Fockers;(2004);115 min;"
Comedy, Romance            ";Jay Roach;;
4;5.0;The Incredibles;(2004);115 min;"
Animation, Action, Adventure            ";Brad Bird;;
5;6.0;Harry Potter and the Prisoner of Azkaban;(2004);142 min;"
Adventure, Family, Fantasy            ";Alfonso Cuarón;http://www.imsdb.com/Movie Scripts/Harry Potter and the Prisoner of Azkaban Script.html;
6;7.0;The Day After Tomorrow;(2004);124 min;"
Action, Adventure, Sci-Fi            ";Roland Emmerich;;
7;8.0;The Bourne Supremacy;(2004);108 min;"
Action, Mystery, Thriller            ";Paul Greengrass;;
8;9.0;National Treasure;(2004);131 min;"
Action, Adventure, Family            ";Jon Turteltaub;;
9;10.0;Shark Tale;(2004);90 min;"
Animation, Adventure, Comedy            ";Bibo Bergeron;;
10;11.0;I, Robot;(2004);115 min;"
Action, Mystery, Sci-Fi            ";Alex Proyas;http://www.imsdb.com/Movie Scripts/I, Robot Script.html;http://www.imsdb.com/scripts/I,-Robot.html
11;12.0;Troy;(2004);163 min;"
Adventure            ";Wolfgang Petersen;http://www.imsdb.com/Movie Scripts/Troy Script.html;
12;13.0;Ocean's Twelve;(2004);125 min;"
Crime, Thriller            ";Steven Soderbergh;http://www.imsdb.com/Movie Scripts/Ocean's Twelve Script.html;http://www.imsdb.com/scripts/Ocean's-Twelve.html
13;14.0;50 First Dates;(2004);99 min;"
Comedy, Romance            ";Peter Segal;;
14;15.0;Van Helsing;(2004);131 min;"
Action, Adventure            ";Stephen Sommers;;
15;16.0;Fahrenheit 9/11;(2004);122 min;"
Documentary, Drama, War            ";Michael Moore;;
16;17.0;A Series of Unfortunate Events;(2004);108 min;"
Adventure, Comedy, Family            ";Brad Silberling;;
17;18.0;Dodgeball: A True Underdog Story;(2004);92 min;"
Comedy, Sport            ";Rawson Marshall Thurber;;
18;19.0;The Village;(2004);108 min;"
Drama, Mystery, Thriller            ";M. Night Shyamalan;;
19;20.0;The Grudge;(2004);91 min;"
Horror, Mystery, Thriller            ";Takashi Shimizu;;
20;21.0;Aviator;(2004);170 min;"
Biography, Drama, History            ";Martin Scorsese;;
21;22.0;Million Dollar Baby;(2004);132 min;"
Drama, Sport            ";Clint Eastwood;;
22;23.0;Collateral;(2004);120 min;"
Crime, Drama, Thriller            ";Michael Mann;http://www.imsdb.com/Movie Scripts/Collateral Script.html;http://www.imsdb.com/scripts/Collateral.html
23;24.0;The Princess Diaries 2: Royal Engagement;(2004);113 min;"
Comedy, Family, Romance            ";Garry Marshall;;
24;25.0;Starsky & Hutch;(2004);101 min;"
Comedy, Crime            ";Todd Phillips;;
25;26.0;Along Came Polly;(2004);90 min;"
Comedy, Romance            ";John Hamburg;;
26;27.0;Mean Girls;(2004);97 min;"
Comedy            ";Mark Waters;;
27;28.0;The SpongeBob SquarePants Movie;(2004);87 min;"
Animation, Adventure, Comedy            ";Stephen Hillenburg;;
28;29.0;Scooby-Doo 2: Monsters Unleashed;(2004);93 min;"
Adventure, Comedy, Family            ";Raja Gosnell;;
29;30.0;Anchorman: The Legend of Ron Burgundy;(2004);94 min;"
Comedy            ";Adam McKay;;
30;31.0;AVP: Alien vs. Predator;(2004);101 min;"
Action, Horror, Sci-Fi            ";Paul W.S. Anderson;;
31;32.0;Man on Fire;(2004);146 min;"
Action, Crime, Drama            ";Tony Scott;;
32;33.0;The Terminal;(2004);128 min;"
Comedy, Drama, Romance            ";Steven Spielberg;;
33;34.0;Garfield;(2004);80 min;"
Animation, Comedy, Family            ";Peter Hewitt;;
34;35.0;Ray;(I) (2004);152 min;"
Biography, Drama, Music            ";Taylor Hackford;;
35;36.0;Ladder 49;(2004);115 min;"
Action, Drama, Thriller            ";Jay Russell;;
36;37.0;Christmas with the Kranks;(2004);99 min;"
Comedy, Family            ";Joe Roth;;
37;38.0;Sideways;(2004);126 min;"
Comedy, Drama, Romance            ";Alexander Payne;http://www.imsdb.com/Movie Scripts/Sideways Script.html;http://www.imsdb.com/scripts/Sideways.html
38;39.0;White Chicks;(2004);109 min;"
Comedy, Crime            ";Keenen Ivory Wayans;;
