;vocab_male;vocab_male_count;vocab_female;vocab_female_count
0;man;1124;something;281
1;time;910;time;278
2;way;763;way;254
3;something;723;man;254
4;look;493;hanna;220
5;thing;465;night;188
6;get;430;jack;167
7;day;425;look;165
8;gonna;404;day;161
9;jack;392;thing;152
10;life;378;room;150
11;let;378;face;146
12;world;374;life;145
13;nothing;374;hand;123
14;joe;369;get;118
15;hand;368;nothing;112
16;hell;343;please;112
17;face;329;let;110
18;yeah;325;world;107
19;guy;320;help;107
20;anything;317;cont;105
21;work;303;anything;103
22;head;296;god;101
23;hey;281;door;101
24;door;275;place;99
25;car;272;everything;98
26;help;271;int;98
27;place;269;car;97
28;money;261;work;95
29;room;257;tell;94
30;night;255;house;93
31;tell;252;home;93
32;thor;251;gonna;90
33;home;246;woman;89
34;name;246;talk;87
35;everything;244;v;85
36;someone;239;someone;85
37;talk;228;sir;84
38;caesar;228;name;82
39;see;226;kind;82
40;john;226;head;80
41;job;225;need;79
42;moment;223;see;78
43;house;217;blood;78
44;call;212;girl;76
45;fire;210;marissa;76
46;greer;206;moment;75
47;kind;198;yeah;69
48;okay;195;ravenna;68
49;mr;192;jane;67
50;sir;182;family;67
51;need;181;sorry;66
52;sorry;179;guy;66
53;problem;177;thor;64
54;please;173;joe;64
55;water;173;part;63
56;son;168;father;62
57;lot;167;money;62
58;wife;167;call;60
59;god;165;ground;60
60;gotta;163;hey;60
61;idea;161;baby;60
62;move;160;heart;58
63;jay;160;jake;58
64;everyone;160;john;57
65;air;158;job;57
66;family;157;lot;57
67;body;157;wait;55
68;gun;156;water;54
69;phone;153;everyone;54
70;wait;152;floor;53
71;course;151;love;53
72;woman;151;hell;52
73;kill;150;idea;52
74;woody;147;blaze;52
75;ass;147;mother;51
76;city;146;draft;51
77;power;146;gun;51
78;ground;146;deal;50
79;floor;144;course;50
80;part;144;city;50
81;side;142;morning;50
82;doug;142;perseus;50
83;blood;141;town;49
84;jesus;140;death;49
85;mind;140;air;48
86;stop;140;rain;48
87;friend;139;son;48
88;kid;139;move;48
89;line;138;side;47
90;security;138;sword;47
91;care;138;thank;46
92;think;138;phone;45
93;business;137;year;45
94;shit;136;road;45
95;father;136;business;45
96;watch;136;body;45
97;cont;135;care;44
98;fuck;135;jesus;44
99;anyone;134;mind;43
100;morning;133;eye;43
101;jake;132;music;42
102;girl;130;johnny;42
103;town;130;fire;42
104;end;125;problem;42
105;today;125;president;41
106;guess;120;space;41
107;word;119;stop;41
108;control;118;tomorrow;40
109;right;117;anyone;40
110;dream;117;case;40
111;number;116;end;39
112;boy;115;shit;39
113;death;113;guess;39
114;case;110;use;39
115;somebody;109;stay;39
116;ship;109;today;38
117;street;109;half;38
118;truck;108;friend;38
119;show;108;kill;38
120;draft;107;chance;38
121;war;107;wife;37
122;deal;107;okay;37
123;cause;105;boy;36
124;point;105;feel;36
125;matter;105;number;36
126;try;103;meet;36
127;half;103;school;35
128;shot;103;mean;35
129;baby;102;trust;35
130;thank;102;drop;35
131;chance;101;think;35
132;heart;99;sophie;35
133;space;99;ghost;35
134;tomorrow;99;daughter;34
135;office;98;mr;34
136;president;98;understand;34
137;shoot;96;truck;34
138;kay;95;watch;33
139;mean;95;ship;33
140;agent;95;mom;33
141;year;94;power;33
142;dudley;93;line;33
143;stay;93;hello;33
144;use;93;rider;32
145;nobody;92;show;32
146;earth;90;husband;32
147;eye;89;jason;32
148;school;88;war;31
149;huh;87;trouble;31
150;arm;87;change;31
151;rocket;87;gotta;31
152;master;86;somebody;31
153;meet;86;arm;31
154;damn;86;hair;31
155;computer;84;erik;31
156;voice;83;master;30
157;c;83;matter;30
158;peter;83;victoria;30
159;everybody;83;report;30
160;dad;83;figure;30
161;sit;83;reason;30
162;country;82;control;30
163;die;82;wall;30
164;news;82;sara;30
165;feel;82;leader;30
166;start;81;eat;30
167;game;81;shoot;29
168;blaze;80;story;29
169;bridge;80;office;29
170;mother;80;everybody;29
171;story;80;oh;29
172;order;79;c;29
173;bitch;79;promise;29
174;force;79;coffee;28
175;christ;79;voice;28
176;trust;79;security;28
177;question;79;choice;28
178;machine;78;field;28
179;party;78;mission;28
180;figure;78;ass;28
181;wall;78;cause;28
182;guard;77;earth;27
183;jane;75;news;27
184;drop;75;child;27
185;dragon;74;right;27
186;check;74;brother;27
187;int;72;screen;27
188;captain;72;week;27
189;oh;72;rest;27
190;hold;71;silence;27
191;take;71;try;27
192;gold;71;point;27
193;brother;71;street;26
194;glass;70;honey;26
195;minute;70;word;26
196;hanna;70;doctor;26
197;road;70;mon;26
198;bit;70;tv;26
199;officer;70;cid;26
200;mission;70;dad;26
201;loki;70;book;26
202;goddamn;69;hate;25
203;cage;69;greer;25
204;henri;69;order;25
205;ice;69;distance;25
206;v;69;mine;25
207;rest;67;dog;25
208;trouble;67;team;25
209;beat;67;breath;25
210;field;67;endeavor;25
211;cut;67;hour;25
212;partner;67;bubbleship;25
213;hour;67;cell;25
214;love;66;want;24
215;system;66;come;24
216;change;66;william;24
217;mon;66;te;24
218;understand;66;creature;24
219;plan;65;dream;24
220;step;65;camera;24
221;week;65;nobody;24
222;pull;64;stuff;24
223;sense;64;group;24
224;government;64;peshet;23
225;bank;64;jesse;23
226;area;64;bitch;23
227;reason;64;bed;23
228;police;64;parker;23
229;bar;64;beat;23
230;rain;64;sky;23
231;boat;63;tiamat;23
232;cop;63;risk;22
233;bob;63;country;22
234;pay;63;kid;22
235;storm;62;glass;22
236;anybody;62;die;22
237;hope;61;seat;22
238;team;60;area;22
239;situation;60;hurry;22
240;information;60;corridor;22
241;coffee;60;person;22
242;mine;60;mirror;22
243;doc;60;light;22
